date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-08-10,1.0,1.0,1.0,1.0,30000000,30000000,226,1.0,1.0
2005-08-10,1.0,1.0,1.0,1.0,30000000,30000000,226,1.0,1.0
2005-08-22,1.0,1.0,1.0,1.0,70000000,70000000,36,1.0,1.0
2005-08-22,1.0,1.0,1.0,1.0,70000000,70000000,36,1.0,1.0
2005-08-28,1.0,1.0,1.0,1.0,190700,190700,16,1.0,1.0
2005-08-28,1.0,1.0,1.0,1.0,190700,190700,16,1.0,1.0
2005-08-29,1.0,1.0,1.0,1.0,8010,8010,6,1.0,1.0
2005-08-29,1.0,1.0,1.0,1.0,8010,8010,6,1.0,1.0
2005-08-30,1.0,1.0,1.0,1.0,100,100,1,1.0,1.0
2005-08-30,1.0,1.0,1.0,1.0,100,100,1,1.0,1.0
2005-08-31,1.0,1.0,1.0,1.0,50007210,50007210,12,1.0,1.0
2005-08-31,1.0,1.0,1.0,1.0,50007210,50007210,12,1.0,1.0
2005-09-03,1.0,1.0,1.0,1.0,305300,305300,10,1.0,1.0
2005-09-03,1.0,1.0,1.0,1.0,305300,305300,10,1.0,1.0
2005-09-04,1.0,1.0,1.0,1.0,200,200,1,1.0,1.0
2005-09-04,1.0,1.0,1.0,1.0,200,200,1,1.0,1.0
2005-09-05,1.0,1.0,1.0,1.0,110000,110000,2,1.0,1.0
2005-09-05,1.0,1.0,1.0,1.0,110000,110000,2,1.0,1.0
2005-09-06,1.0,1.0,1.0,1.0,4000,4000,2,1.0,1.0
2005-09-06,1.0,1.0,1.0,1.0,4000,4000,2,1.0,1.0
2005-09-10,1.0,1.0,1.0,1.0,6210,6210,5,1.0,1.0
2005-09-10,1.0,1.0,1.0,1.0,6210,6210,5,1.0,1.0
2005-09-11,1.0,1.0,1.0,1.0,500,500,1,1.0,1.0
2005-09-11,1.0,1.0,1.0,1.0,500,500,1,1.0,1.0
2005-09-12,1.0,1.0,1.0,1.0,7000,7000,2,1.0,1.0
2005-09-12,1.0,1.0,1.0,1.0,7000,7000,2,1.0,1.0
2005-09-13,1.0,1.0,1.0,1.0,1100,1100,2,1.0,1.0
2005-09-13,1.0,1.0,1.0,1.0,1100,1100,2,1.0,1.0
2005-09-19,1.0,1.0,1.0,1.0,600,600,2,1.0,1.0
2005-09-19,1.0,1.0,1.0,1.0,600,600,2,1.0,1.0
2005-09-21,1.0,1.0,1.0,1.0,103010,103010,5,1.0,1.0
2005-09-21,1.0,1.0,1.0,1.0,103010,103010,5,1.0,1.0
2005-09-24,1.0,1.0,1.0,1.0,200,200,1,1.0,1.0
2005-09-24,1.0,1.0,1.0,1.0,200,200,1,1.0,1.0
2005-09-25,1.0,1.0,1.0,1.0,16010,16010,5,1.0,1.0
2005-09-25,1.0,1.0,1.0,1.0,16010,16010,5,1.0,1.0
2005-09-26,1.0,1.0,1.0,1.0,589000,589000,33,1.0,1.0
2005-09-26,1.0,1.0,1.0,1.0,589000,589000,33,1.0,1.0
2005-09-27,1.0,1.0,1.0,1.0,148600,148600,7,1.0,1.0
2005-09-27,1.0,1.0,1.0,1.0,148600,148600,7,1.0,1.0
2005-09-28,1.0,1.0,1.0,1.0,223300,223300,10,1.0,1.0
2005-09-28,1.0,1.0,1.0,1.0,223300,223300,10,1.0,1.0
2005-10-01,1.0,1.0,1.0,1.0,188600,188600,15,1.0,1.0
2005-10-01,1.0,1.0,1.0,1.0,188600,188600,15,1.0,1.0
2005-10-02,1.0,1.0,1.0,1.0,174200,174200,21,1.0,1.0
2005-10-02,1.0,1.0,1.0,1.0,174200,174200,21,1.0,1.0
2005-10-03,1.0,1.0,1.0,1.0,119810,119810,13,1.0,1.0
2005-10-03,1.0,1.0,1.0,1.0,119810,119810,13,1.0,1.0
2005-10-04,1.0,1.0,1.0,1.0,22200,22200,4,1.0,1.0
2005-10-04,1.0,1.0,1.0,1.0,22200,22200,4,1.0,1.0
2005-10-05,1.0,1.0,1.0,1.0,322900,322900,26,1.0,1.0
2005-10-05,1.0,1.0,1.0,1.0,322900,322900,26,1.0,1.0
2005-10-08,1.0,1.0,1.0,1.0,141700,141700,12,1.0,1.0
2005-10-08,1.0,1.0,1.0,1.0,141700,141700,12,1.0,1.0
2005-10-09,1.0,1.0,1.0,1.0,129200,129200,14,1.0,1.0
2005-10-09,1.0,1.0,1.0,1.0,129200,129200,14,1.0,1.0
2005-10-10,1.0,1.0,1.0,1.0,480800,480800,49,1.0,1.0
2005-10-10,1.0,1.0,1.0,1.0,480800,480800,49,1.0,1.0
2005-10-11,1.0,1.0,1.0,1.0,520810,520810,34,1.0,1.0
2005-10-11,1.0,1.0,1.0,1.0,520810,520810,34,1.0,1.0
2005-10-12,1.0,1.0,1.0,1.0,836100,836100,82,1.0,1.0
2005-10-12,1.0,1.0,1.0,1.0,836100,836100,82,1.0,1.0
2005-10-15,1.0,1.0,1.0,1.0,465700,465700,14,1.0,1.0
2005-10-15,1.0,1.0,1.0,1.0,465700,465700,14,1.0,1.0
2005-10-16,1.0,1.0,1.0,1.0,171100,171100,20,1.0,1.0
2005-10-16,1.0,1.0,1.0,1.0,171100,171100,20,1.0,1.0
2005-10-17,1.0,1.0,1.0,1.0,953410,953410,53,1.0,1.0
2005-10-17,1.0,1.0,1.0,1.0,953410,953410,53,1.0,1.0
2005-10-18,1.0,1.0,1.0,1.0,500410,500410,35,1.0,1.0
2005-10-18,1.0,1.0,1.0,1.0,500410,500410,35,1.0,1.0
2005-10-19,1.0,1.0,1.0,1.0,363900,363900,24,1.0,1.0
2005-10-19,1.0,1.0,1.0,1.0,363900,363900,24,1.0,1.0
2005-10-22,1.0,1.0,1.0,1.0,421300,421300,38,1.0,1.0
2005-10-22,1.0,1.0,1.0,1.0,421300,421300,38,1.0,1.0
2005-10-23,1.0,1.0,1.0,1.0,603800,603800,37,1.0,1.0
2005-10-23,1.0,1.0,1.0,1.0,603800,603800,37,1.0,1.0
2005-10-24,1.0,1.0,1.0,1.0,665300,665300,31,1.0,1.0
2005-10-24,1.0,1.0,1.0,1.0,665300,665300,31,1.0,1.0
2005-10-26,1.0,1.0,1.0,1.0,1679500,1679500,105,1.0,1.0
2005-10-26,1.0,1.0,1.0,1.0,1679500,1679500,105,1.0,1.0
2005-10-29,1.0,1.0,1.0,1.0,566200,566200,26,1.0,1.0
2005-10-29,1.0,1.0,1.0,1.0,566200,566200,26,1.0,1.0
2005-10-30,1.0,1.0,1.0,1.0,928900,928900,84,1.0,1.0
2005-10-30,1.0,1.0,1.0,1.0,928900,928900,84,1.0,1.0
2005-10-31,1.0,1.0,1.0,1.0,868600,868600,65,1.0,1.0
2005-10-31,1.0,1.0,1.0,1.0,868600,868600,65,1.0,1.0
2005-11-01,1.0,1.0,1.0,1.0,1039200,1039200,48,1.0,1.0
2005-11-01,1.0,1.0,1.0,1.0,1039200,1039200,48,1.0,1.0
2005-11-02,1.0,1.0,1.0,1.0,741900,741900,78,1.0,1.0
2005-11-02,1.0,1.0,1.0,1.0,741900,741900,78,1.0,1.0
2005-11-05,1.0,1.0,1.0,1.0,516800,516800,42,1.0,1.0
2005-11-05,1.0,1.0,1.0,1.0,516800,516800,42,1.0,1.0
2005-11-06,1.0,1.0,1.0,1.0,711000,711000,40,1.0,1.0
2005-11-06,1.0,1.0,1.0,1.0,711000,711000,40,1.0,1.0
2005-11-07,1.0,1.0,1.0,1.0,1131100,1131100,61,1.0,1.0
