date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-03-06,10000.0,10000.0,10000.0,10000.0,990000000000,99000000,38343,10000.0,10000.0
2022-03-07,10000.0,10000.0,10000.0,10000.0,1979792930000,197979293,43176,10000.0,10000.0
2022-03-08,10000.0,10000.0,10000.0,10000.0,244505170000,24450517,13894,10000.0,10000.0
2022-03-09,10000.0,10000.0,10000.0,10000.0,920486820000,92048682,39485,10000.0,10000.0
2022-03-12,10000.0,10000.0,10000.0,10000.0,855215080000,85521508,19497,10000.0,10000.0
2022-03-19,10250.0,10250.0,10030.0,10170.0,226378339930,22256572,6171,10000.0,10230.0
2022-03-26,10280.0,10300.0,10120.0,10210.0,212075110170,20773237,5822,10170.0,10260.0
2022-03-27,10230.0,10350.0,10230.0,10300.0,254856030890,24739441,4677,10210.0,10330.0
2022-03-28,10340.0,10500.0,10320.0,10420.0,170563563390,16362615,4178,10300.0,10500.0
2022-03-29,10500.0,10540.0,10260.0,10380.0,289441856730,27880817,6957,10420.0,10310.0
2022-03-30,10270.0,10440.0,10210.0,10350.0,203560518680,19666098,4693,10380.0,10420.0
2022-04-03,10420.0,10710.0,10410.0,10600.0,184312159380,17395224,4559,10350.0,10680.0
2022-04-04,10740.0,10840.0,10540.0,10680.0,211152328650,19768110,5384,10600.0,10600.0
2022-04-05,10590.0,10730.0,10540.0,10640.0,148216939920,13928122,4072,10680.0,10660.0
2022-04-06,10630.0,10680.0,10440.0,10560.0,159196276530,15077997,4271,10640.0,10480.0
2022-04-09,10430.0,10570.0,10320.0,10440.0,187566055310,17964217,4320,10560.0,10520.0
2022-04-10,10530.0,10650.0,10520.0,10590.0,170300199640,16074685,2928,10440.0,10600.0
2022-04-11,10580.0,10650.0,10570.0,10620.0,162429722580,15292313,3052,10590.0,10640.0
2022-04-12,10590.0,10590.0,10320.0,10370.0,124563368300,12009991,3306,10620.0,10320.0
2022-04-13,10320.0,10520.0,10300.0,10430.0,93368786760,8955171,2422,10370.0,10450.0
2022-04-16,10490.0,10550.0,10450.0,10490.0,133533474440,12728881,2648,10430.0,10510.0
2022-04-17,10460.0,10590.0,10420.0,10520.0,171788413490,16325708,3064,10490.0,10570.0
2022-04-18,10600.0,10860.0,10600.0,10770.0,383492786730,35615861,4406,10520.0,10710.0
2022-04-19,10640.0,10900.0,10630.0,10850.0,130936935360,12070961,2500,10770.0,10860.0
2022-04-20,10900.0,10900.0,10780.0,10840.0,87182568380,8042415,2351,10850.0,10890.0
2022-04-24,10840.0,10850.0,10700.0,10760.0,64417954450,5985050,2072,10840.0,10740.0
2022-04-25,10710.0,10800.0,10670.0,10730.0,60830361410,5669216,2626,10760.0,10800.0
2022-04-26,10800.0,10880.0,10800.0,10850.0,99363560400,9157970,3117,10730.0,10870.0
2022-04-27,10850.0,10880.0,10790.0,10830.0,82442666630,7611011,4883,10850.0,10820.0
2022-04-30,10830.0,10860.0,10800.0,10820.0,65303706890,6033899,1866,10830.0,10810.0
2022-05-01,10810.0,10840.0,10780.0,10800.0,62256286230,5764468,1614,10820.0,10810.0
2022-05-02,10820.0,10880.0,10770.0,10830.0,112413880680,10382096,1991,10800.0,10870.0
2022-05-07,10880.0,11000.0,10870.0,10930.0,123484313400,11297683,1859,10830.0,10930.0
2022-05-08,10980.0,11030.0,10950.0,11000.0,86919902440,7901990,1883,10930.0,11030.0
2022-05-09,11050.0,11050.0,10850.0,10930.0,85245703360,7797648,1824,11000.0,10900.0
2022-05-10,10890.0,10950.0,10800.0,10890.0,71009374010,6520690,1551,10930.0,10930.0
2022-05-11,10930.0,11100.0,10930.0,11060.0,88392606570,7988727,1821,10890.0,11080.0
2022-05-14,11200.0,11300.0,11110.0,11190.0,132243495320,11821112,2123,11060.0,11200.0
2022-05-15,11240.0,11270.0,11030.0,11150.0,144871437560,12987269,2495,11190.0,11160.0
2022-05-16,11190.0,11280.0,11180.0,11210.0,118608275020,10577919,4208,11150.0,11280.0
2022-05-17,11310.0,11470.0,11290.0,11390.0,151289069420,13287839,2350,11210.0,11350.0
2022-05-18,11390.0,11390.0,11270.0,11300.0,110078004050,9740749,2729,11390.0,11300.0
2022-05-21,11330.0,11330.0,11150.0,11190.0,106649092980,9532594,1753,11300.0,11200.0
2022-05-22,11300.0,11300.0,11190.0,11260.0,100221874210,8899270,1360,11190.0,11270.0
2022-05-23,11320.0,11320.0,10970.0,11060.0,132165797130,11948349,2052,11260.0,10990.0
2022-05-24,11060.0,11100.0,11010.0,11040.0,111630607420,10107775,1390,11060.0,11050.0
2022-05-25,11050.0,11120.0,11040.0,11070.0,69646552700,6292672,1408,11040.0,11100.0
2022-05-28,11110.0,11120.0,10920.0,11000.0,111574213940,10142971,1666,11070.0,10950.0
2022-05-29,10930.0,11000.0,10780.0,10850.0,106805111930,9845083,1785,11000.0,10940.0
2022-05-30,10900.0,10940.0,10830.0,10870.0,93514878330,8604746,1356,10850.0,10860.0
2022-05-31,10850.0,10960.0,10850.0,10900.0,44112891500,4046351,1059,10870.0,10910.0
2022-06-01,10900.0,10940.0,10850.0,10880.0,56513311680,5194387,1067,10900.0,10910.0
2022-06-06,10950.0,10950.0,10530.0,10650.0,80156482050,7527447,1467,10880.0,10610.0
2022-06-07,10600.0,10700.0,10540.0,10620.0,60466384860,5691450,1164,10650.0,10650.0
2022-06-08,10640.0,10720.0,10640.0,10690.0,34048999980,3184827,779,10620.0,10700.0
2022-06-11,10720.0,10740.0,10640.0,10670.0,79354376830,7435179,898,10690.0,10680.0
2022-06-12,10660.0,10890.0,10630.0,10810.0,67204844700,6219763,1166,10670.0,10880.0
2022-06-13,10900.0,11190.0,10900.0,11140.0,165177241170,14822799,1726,10810.0,11160.0
2022-06-14,11170.0,11190.0,11100.0,11140.0,90969502140,8162628,1105,11140.0,11150.0
2022-06-15,11150.0,11150.0,11030.0,11050.0,55627724450,5035134,734,11140.0,11070.0
2022-06-18,11080.0,11090.0,10890.0,10950.0,54020777640,4933519,818,11050.0,10940.0
2022-06-19,10940.0,10980.0,10900.0,10920.0,80513960130,7372857,827,10950.0,10910.0
2022-06-20,10920.0,11000.0,10900.0,10930.0,62193793170,5687827,716,10920.0,10930.0
2022-06-21,10910.0,10910.0,10810.0,10870.0,203154199580,18688629,799,10930.0,10820.0
2022-06-22,10820.0,10860.0,10780.0,10800.0,34135321810,3161971,677,10870.0,10800.0
2022-06-25,10780.0,10910.0,10610.0,10710.0,24128582720,2253264,761,10800.0,10620.0
2022-06-26,10620.0,10640.0,10450.0,10510.0,25026609010,2380434,640,10710.0,10480.0
2022-06-27,10440.0,10600.0,10430.0,10540.0,26163815300,2483200,781,10510.0,10560.0
2022-06-28,10600.0,10690.0,10580.0,10610.0,58553917880,5520331,661,10540.0,10600.0
2022-06-29,10600.0,10620.0,10560.0,10590.0,27710699500,2617332,533,10610.0,10600.0
2022-07-02,10600.0,10600.0,10420.0,10470.0,25996099670,2483058,661,10590.0,10440.0
2022-07-03,10450.0,10540.0,10410.0,10490.0,73642554090,7020952,685,10470.0,10500.0
2022-07-04,10540.0,10580.0,10490.0,10520.0,19875487570,1888958,510,10490.0,10490.0
2022-07-05,10500.0,10570.0,10490.0,10540.0,20895534110,1982092,575,10520.0,10560.0
2022-07-06,10550.0,10550.0,10430.0,10480.0,92507048590,8829093,515,10540.0,10440.0
2022-07-09,10440.0,10500.0,10440.0,10470.0,31243640480,2985355,537,10480.0,10450.0
2022-07-11,10430.0,10450.0,10260.0,10380.0,87032506100,8380743,797,10470.0,10280.0
2022-07-12,10290.0,10430.0,10260.0,10360.0,61934975210,5980123,860,10380.0,10400.0
2022-07-13,10420.0,10550.0,10420.0,10450.0,44654058800,4274892,546,10360.0,10440.0
2022-07-16,10410.0,10410.0,10260.0,10320.0,51743963790,5011559,952,10450.0,10280.0
2022-07-17,10270.0,10270.0,10180.0,10210.0,67855629650,6647649,957,10320.0,10210.0
2022-07-19,10230.0,10300.0,10220.0,10270.0,31943931670,3111037,558,10210.0,10280.0
2022-07-20,10270.0,10300.0,10260.0,10290.0,14484274940,1407836,338,10270.0,10300.0
2022-07-23,10350.0,10410.0,10270.0,10330.0,34529358160,3341640,671,10290.0,10300.0
2022-07-24,10270.0,10270.0,10130.0,10180.0,33138796370,3255127,629,10330.0,10130.0
2022-07-25,10120.0,10120.0,9910.0,10000.0,81455244520,8145534,865,10180.0,9910.0
2022-07-26,9930.0,10100.0,9930.0,10040.0,157763496180,15715386,779,10000.0,10020.0
2022-07-27,10040.0,10110.0,10030.0,10070.0,71641756020,7113588,468,10040.0,10060.0
2022-07-30,10070.0,10150.0,10000.0,10090.0,34884467170,3458922,543,10070.0,10010.0
2022-07-31,10080.0,10080.0,9880.0,9950.0,25442969920,2555848,608,10090.0,9990.0
2022-08-01,9990.0,10060.0,9990.0,10040.0,25465825950,2537555,391,9950.0,10040.0
2022-08-02,10030.0,10070.0,10030.0,10060.0,51040897060,5076056,507,10040.0,10070.0
2022-08-03,10070.0,10150.0,10070.0,10120.0,32267698880,3188615,531,10060.0,10150.0
2022-08-06,10170.0,10200.0,10130.0,10170.0,63430959300,6235332,699,10120.0,10180.0
2022-08-09,10190.0,10230.0,10160.0,10190.0,76059386130,7462837,537,10170.0,10170.0
2022-08-10,10150.0,10190.0,10110.0,10160.0,32162822740,3166891,374,10190.0,10150.0
2022-08-13,10160.0,10350.0,10150.0,10300.0,69655957490,6763905,888,10160.0,10350.0
2022-08-14,10340.0,10340.0,10210.0,10280.0,55149145170,5362553,525,10300.0,10230.0
2022-08-15,10230.0,10290.0,10200.0,10230.0,35956025810,3513341,565,10280.0,10260.0
2022-08-16,10270.0,10300.0,10150.0,10220.0,54838125310,5364186,515,10230.0,10150.0
2022-08-17,10160.0,10190.0,10110.0,10140.0,58736380320,5791911,445,10220.0,10130.0
2022-08-20,10110.0,10110.0,10010.0,10060.0,98768701500,9815077,532,10140.0,10070.0
2022-08-21,10050.0,10090.0,9970.0,10020.0,21665749860,2161465,410,10060.0,10020.0
2022-08-22,9950.0,10050.0,9940.0,9970.0,17349975210,1739829,418,10020.0,9960.0
2022-08-23,9930.0,10040.0,9930.0,10010.0,12878257760,1286441,392,9970.0,10030.0
2022-08-24,10020.0,10110.0,10020.0,10080.0,28118124840,2789792,529,10010.0,10100.0
2022-08-27,10090.0,10180.0,10080.0,10140.0,33862098460,3340105,558,10080.0,10090.0
2022-08-28,10060.0,10120.0,10060.0,10090.0,32941720600,3265710,359,10140.0,10090.0
2022-08-29,10070.0,10140.0,10070.0,10110.0,147505815400,14587239,617,10090.0,10070.0
2022-08-30,10050.0,10050.0,10000.0,10020.0,13730923140,1370431,330,10110.0,10010.0
2022-08-31,10000.0,10030.0,10000.0,10010.0,14261119290,1424455,318,10020.0,10010.0
2022-09-03,9970.0,9970.0,9870.0,9930.0,18604872260,1872807,465,10010.0,9910.0
2022-09-04,9910.0,9960.0,9910.0,9920.0,8308170100,837184,339,9930.0,9920.0
2022-09-05,9900.0,9960.0,9900.0,9930.0,6372112270,641608,225,9920.0,9920.0
2022-09-06,9900.0,9940.0,9860.0,9890.0,8687891680,878814,259,9930.0,9870.0
2022-09-07,9860.0,9900.0,9750.0,9790.0,9671914540,988285,370,9890.0,9760.0
2022-09-10,9760.0,9760.0,9610.0,9660.0,35894743790,3714299,377,9790.0,9650.0
2022-09-11,9660.0,9680.0,9620.0,9660.0,21840106610,2261939,297,9660.0,9650.0
2022-09-12,9620.0,9710.0,9610.0,9650.0,20000701750,2073357,274,9660.0,9660.0
2022-09-13,9640.0,9700.0,9610.0,9660.0,18062938000,1870613,355,9650.0,9670.0
2022-09-14,9680.0,9680.0,9600.0,9640.0,24423286620,2533519,279,9660.0,9620.0
2022-09-18,9590.0,9590.0,9490.0,9520.0,18928001880,1987908,319,9640.0,9500.0
2022-09-19,9500.0,9570.0,9480.0,9520.0,16345900390,1717850,245,9520.0,9480.0
2022-09-20,9480.0,9500.0,9420.0,9480.0,36870095800,3891262,255,9520.0,9420.0
2022-09-21,9400.0,9410.0,9300.0,9340.0,16590758390,1776674,296,9480.0,9330.0
2022-09-24,9330.0,9330.0,9120.0,9220.0,28040764270,3040829,343,9340.0,9140.0
2022-09-26,9150.0,9290.0,9110.0,9240.0,12556222760,1359574,361,9220.0,9280.0
2022-09-28,9250.0,9420.0,9250.0,9370.0,16197365340,1728613,355,9240.0,9340.0
2022-10-01,9330.0,9330.0,9110.0,9220.0,21535763400,2334682,378,9370.0,9120.0
2022-10-02,9090.0,9150.0,9090.0,9110.0,17200665170,1887484,353,9220.0,9110.0
2022-10-03,9110.0,9160.0,9070.0,9100.0,30981933960,3403963,322,9110.0,9090.0
2022-10-04,9100.0,9140.0,9070.0,9090.0,9044104970,995407,249,9100.0,9100.0
