date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-04,1550.0,1550.0,1550.0,1550.0,4287391450,2766059,7,1000.0,1550.0
2013-11-30,1600.0,2100.0,1600.0,2053.0,2234780000,1088690,7,1550.0,2000.0
2013-12-08,2100.0,2500.0,2000.0,2164.0,78979000,36490,3,2053.0,2000.0
2013-12-11,2100.0,2150.0,2100.0,2100.0,16531298400,7871404,28,2164.0,2100.0
2013-12-18,2150.0,2150.0,2150.0,2150.0,1428116000,664240,32,2100.0,2150.0
2013-12-22,2100.0,2100.0,2100.0,2100.0,38213700,18197,21,2150.0,2100.0
2013-12-24,2100.0,2400.0,2100.0,2310.0,1155002100,500001,3,2100.0,2400.0
2013-12-28,2400.0,2499.0,2200.0,2399.0,360402745000,150225550,8,2310.0,2499.0
2014-01-01,2500.0,2700.0,2400.0,2565.0,780890000,304400,6,2399.0,2700.0
2014-01-04,2500.0,2500.0,2500.0,2500.0,1250000000,500000,1,2565.0,2500.0
2014-01-05,2500.0,2500.0,2500.0,2500.0,1374650000,549860,27,2500.0,2500.0
2014-01-07,2500.0,2500.0,2500.0,2500.0,82200000,32880,3,2500.0,2500.0
2014-01-11,2550.0,2550.0,2500.0,2511.0,117075000,46630,4,2500.0,2500.0
2014-01-13,2601.0,2700.0,2600.0,2610.0,3380755258,1295288,17,2511.0,2700.0
2014-01-14,2700.0,2750.0,2700.0,2707.0,388628200,143566,8,2610.0,2700.0
2014-01-20,3100.0,3300.0,3100.0,3163.0,347910000,110000,5,2707.0,3100.0
2014-01-26,3070.0,3150.0,2626.0,3078.0,5683740560,1846572,18,3163.0,3120.0
2014-02-04,3100.0,3100.0,3100.0,3100.0,6820000,2200,2,2659.0,3100.0
2014-02-05,2600.0,2600.0,2501.0,2593.0,985410000,380000,5,3100.0,2520.0
2014-02-08,2750.0,2750.0,2500.0,2684.0,1087724203,405336,12,2593.0,2510.0
2014-02-09,2410.0,2410.0,2300.0,2363.0,609715000,258050,5,2684.0,2301.0
2014-02-12,2271.0,2400.0,2211.0,2349.0,454915200,193700,8,2363.0,2271.0
2014-02-16,2200.0,2211.0,2200.0,2203.0,2093751500,950500,10,2349.0,2200.0
2014-02-17,2205.0,2300.0,2205.0,2221.0,1619858720,729377,8,2203.0,2300.0
2014-02-18,2170.0,2170.0,2160.0,2162.0,1297000000,600000,2,2221.0,2160.0
2014-02-19,2150.0,2150.0,2150.0,2150.0,420346500,195510,4,2162.0,2150.0
2014-02-22,2130.0,2220.0,2004.0,2164.0,499925480,231034,9,2150.0,2220.0
2014-02-23,2031.0,2031.0,2001.0,2008.0,2169080000,1080000,8,2164.0,2031.0
2014-02-24,2004.0,2004.0,2004.0,2004.0,20040000,10000,1,2008.0,2004.0
2014-02-26,2004.0,2030.0,2004.0,2030.0,629170000,310000,4,2004.0,2030.0
2014-03-03,2030.0,2030.0,2000.0,2022.0,567177620,280454,6,2030.0,2030.0
2014-03-04,1815.0,1816.0,1800.0,1811.0,1909290000,1054000,4,2022.0,1816.0
2014-03-10,1850.0,1851.0,1710.0,1838.0,629363340,342390,7,1811.0,1810.0
2014-03-11,1740.0,1850.0,1700.0,1727.0,3730902630,2160415,16,1838.0,1800.0
2014-03-12,1850.0,1850.0,1850.0,1850.0,55500000,30000,1,1727.0,1850.0
2014-03-15,1950.0,1950.0,1950.0,1950.0,42900000,22000,1,1850.0,1950.0
2014-03-17,1999.0,2020.0,1976.0,1998.0,635780800,318279,5,1950.0,1999.0
2014-03-18,2040.0,2040.0,1976.0,2037.0,5397819760,2650010,3,1998.0,1999.0
2014-03-19,2040.0,2058.0,2040.0,2053.0,839415200,408880,4,2037.0,2040.0
2014-03-25,2210.0,2210.0,2210.0,2210.0,44200000,20000,1,2053.0,2210.0
2014-03-30,2040.0,2040.0,2040.0,2040.0,204000000,100000,1,2210.0,2040.0
2014-03-31,2040.0,2040.0,2040.0,2040.0,612000000,300000,1,2040.0,2040.0
2014-04-05,2040.0,2050.0,2038.0,2040.0,1224066000,600000,9,2040.0,2040.0
2014-04-06,2040.0,2040.0,2038.0,2040.0,260296560,127614,6,2040.0,2040.0
2014-04-07,2040.0,2040.0,2000.0,2029.0,472565000,232875,4,2040.0,2040.0
2014-04-09,2002.0,2002.0,2002.0,2002.0,80080000,40000,1,2029.0,2002.0
2014-04-12,2002.0,2002.0,2000.0,2001.0,130070000,65000,3,2002.0,2000.0
2014-04-13,2000.0,2000.0,1925.0,1950.0,585100000,300000,4,2001.0,1925.0
2014-04-14,1913.0,1913.0,1912.0,1912.0,382500000,200000,4,1950.0,1912.0
2014-04-15,1900.0,1900.0,1900.0,1900.0,190000000,100000,1,1912.0,1900.0
2014-04-16,1900.0,1900.0,1900.0,1900.0,993700,523,1,1900.0,1900.0
2014-04-19,1900.0,1900.0,1880.0,1888.0,590473200,312828,5,1900.0,1880.0
2014-04-20,1900.0,1900.0,1880.0,1900.0,399414100,210219,2,1888.0,1880.0
2014-04-26,2000.0,2040.0,2000.0,2028.0,1029322440,507511,5,1900.0,2020.0
2014-04-27,2000.0,2000.0,1920.0,1998.0,10306109320,5159124,18,2028.0,1920.0
2014-04-28,2190.0,2190.0,2190.0,2190.0,1095000,500,1,1998.0,2190.0
2014-04-29,2187.0,2187.0,2187.0,2187.0,240570,110,2,2190.0,2187.0
2014-05-04,1950.0,1950.0,1753.0,1950.0,97506813911,50003887,2,2187.0,1753.0
2014-05-05,1940.0,1940.0,1940.0,1940.0,1940000,1000,1,1950.0,1940.0
2014-05-12,1989.0,1989.0,1940.0,1941.0,8928900,4600,3,1940.0,1940.0
2014-05-14,1900.0,1900.0,1900.0,1900.0,2401600,1264,1,1941.0,1900.0
2014-05-17,1810.0,1810.0,1810.0,1810.0,180619900,99790,1,1900.0,1810.0
2014-05-18,1810.0,1810.0,1790.0,1798.0,306623100,170510,4,1810.0,1790.0
2014-05-20,1796.0,1796.0,1795.0,1795.0,35910000,20000,2,1798.0,1795.0
2014-05-21,1850.0,1850.0,1847.0,1847.0,28205800,15268,4,1795.0,1848.0
2014-05-24,1802.0,1802.0,1795.0,1796.0,48847709,27193,4,1847.0,1795.0
