date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-01-18,10000.0,10000.0,10000.0,10000.0,1702393290000,170239329,1135829,1000.0,10000.0
2023-01-21,10500.0,10500.0,10500.0,10010.0,3424102500,326105,2201,10000.0,10500.0
2023-01-22,10610.0,10610.0,10610.0,10610.0,17214565850,1622485,2879,10110.0,10610.0
2023-01-23,11140.0,11140.0,11140.0,11140.0,19224064060,1725679,3574,10610.0,11140.0
2023-01-24,11690.0,11690.0,11690.0,11690.0,52317051920,4475368,13732,11140.0,11690.0
2023-01-25,12270.0,12270.0,12270.0,12270.0,51759927510,4218413,14759,11690.0,12270.0
2023-01-28,12880.0,12880.0,12880.0,12880.0,87763019120,6813899,22110,12270.0,12880.0
2023-01-29,13520.0,13520.0,13520.0,13520.0,103642035120,7665831,34154,12880.0,13520.0
2023-01-30,14190.0,14190.0,14190.0,14190.0,108444563370,7642323,24448,13520.0,14190.0
2023-01-31,14890.0,14890.0,14890.0,14890.0,182706806930,12270437,42426,14190.0,14890.0
2023-02-01,15630.0,15630.0,15630.0,15630.0,106200879660,6794682,24343,14890.0,15630.0
2023-02-06,16410.0,16410.0,16410.0,16410.0,534704785620,32584082,74562,15630.0,16410.0
2023-02-07,17230.0,17230.0,17230.0,17230.0,556399775000,32292500,67340,16410.0,17230.0
2023-02-08,18090.0,18090.0,17090.0,17960.0,3072633490410,171048951,320856,17230.0,18090.0
2023-02-12,18270.0,18300.0,17200.0,17800.0,678646259330,38136680,88682,17960.0,18000.0
2023-02-13,18000.0,18290.0,17450.0,17750.0,325423959260,18334430,44388,17800.0,17600.0
2023-02-14,17650.0,17650.0,16870.0,17040.0,424149963240,24893710,36774,17750.0,16880.0
2023-02-15,16520.0,17530.0,16320.0,16960.0,275791847290,16257666,23173,17040.0,17190.0
2023-02-19,17110.0,17590.0,16580.0,16860.0,173287307680,10279688,21268,16960.0,16640.0
2023-02-20,16690.0,17700.0,16690.0,17550.0,252270641620,14370814,10247,16860.0,17700.0
2023-02-21,18420.0,18420.0,17840.0,18340.0,578058484790,31520279,10599,17550.0,17960.0
2023-02-22,18000.0,18090.0,17590.0,17900.0,179887223510,10051852,9061,18340.0,17930.0
2023-02-25,18300.0,18790.0,18300.0,18760.0,258027086560,13755902,6823,17900.0,18790.0
2023-02-26,19670.0,19690.0,18970.0,19510.0,467873570570,23980412,10904,18760.0,19690.0
2023-02-27,19750.0,20090.0,18910.0,19570.0,182560813050,9329690,7863,19510.0,19470.0
2023-02-28,19750.0,19750.0,19000.0,19430.0,109080242970,5613187,7000,19570.0,19420.0
2023-03-01,19410.0,19420.0,18520.0,18940.0,175487564720,9263687,6067,19430.0,18700.0
2023-03-04,18540.0,19090.0,18540.0,18980.0,71466757650,3765662,4597,18940.0,18930.0
2023-03-05,18810.0,19250.0,18810.0,18980.0,82466267280,4346024,4013,18980.0,18960.0
2023-03-06,19200.0,19920.0,19200.0,19850.0,143111441260,7208145,2866,18980.0,19920.0
