date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-10-15,10207.0,10507.0,10207.0,10212.0,1445286018,141524,36,10000.0,10212.0
2019-10-16,10506.0,10506.0,10215.0,10226.0,1608508845,157303,22,10212.0,10215.0
2019-10-20,10222.0,10229.0,10221.0,10228.0,863149153,84393,10,10226.0,10228.0
2019-10-21,10229.0,10269.0,10229.0,10269.0,218968415,21324,23,10228.0,10268.0
2019-10-22,10268.0,10274.0,10250.0,10256.0,250755173,24450,11,10269.0,10274.0
2019-10-23,10275.0,10285.0,10260.0,10266.0,132011287,12859,10,10256.0,10285.0
2019-10-26,10300.0,10300.0,10282.0,10296.0,27593560,2680,5,10266.0,10282.0
2019-10-28,10310.0,10310.0,10309.0,10310.0,232334850,22535,9,10296.0,10310.0
2019-10-30,10320.0,10330.0,10320.0,10330.0,161776130,15661,9,10310.0,10330.0
2019-11-02,10350.0,10400.0,10350.0,10350.0,2083958600,201346,7,10330.0,10400.0
2019-11-03,10500.0,10500.0,10319.0,10334.0,665252350,64372,11,10350.0,10319.0
2019-11-04,10323.0,10323.0,10323.0,10323.0,8196462,794,3,10334.0,10323.0
2019-11-05,10342.0,10342.0,10341.0,10342.0,6546338,633,2,10323.0,10341.0
2019-11-09,10023.0,10023.0,10006.0,10010.0,1258030165,125676,27,10342.0,10023.0
2019-11-10,10026.0,10026.0,10015.0,10026.0,639719253,63808,21,10010.0,10026.0
2019-11-11,10030.0,10032.0,10020.0,10028.0,461879059,46061,24,10026.0,10032.0
2019-11-12,10022.0,10037.0,10022.0,10037.0,2436502795,242755,11,10028.0,10037.0
2019-11-13,10041.0,10041.0,10031.0,10041.0,331969816,33062,23,10037.0,10041.0
2019-11-16,10041.0,10057.0,10040.0,10041.0,643389446,64078,8,10041.0,10057.0
2019-11-17,10059.0,10059.0,10043.0,10052.0,8996426,895,4,10041.0,10052.0
2019-11-18,10050.0,10063.0,10050.0,10051.0,33207874,3304,8,10052.0,10050.0
2019-11-19,10050.0,10064.0,10050.0,10054.0,48158088,4790,5,10051.0,10064.0
2019-11-20,10070.0,10070.0,10067.0,10069.0,172323071,17115,15,10054.0,10067.0
2019-11-23,10082.0,10083.0,10070.0,10075.0,112808132,11197,21,10069.0,10070.0
2019-11-24,10086.0,10086.0,10076.0,10084.0,81581570,8090,14,10075.0,10085.0
2019-11-25,10075.0,10075.0,10074.0,10074.0,152325628,15120,7,10084.0,10075.0
2019-11-26,10080.0,10102.0,10079.0,10096.0,770836711,76350,26,10074.0,10084.0
2019-11-27,10107.0,10114.0,10090.0,10114.0,30653124046,3030780,79,10096.0,10114.0
2019-11-30,10128.0,10128.0,10109.0,10112.0,398582311,39415,29,10114.0,10125.0
2019-12-01,10138.0,10138.0,10124.0,10126.0,717940020,70900,11,10112.0,10130.0
2019-12-02,10152.0,10152.0,10136.0,10146.0,1418774292,139836,14,10126.0,10136.0
2019-12-03,10141.0,10147.0,10139.0,10144.0,651772650,64250,5,10146.0,10147.0
2019-12-04,10150.0,10169.0,10150.0,10151.0,146116674,14394,11,10144.0,10151.0
2019-12-07,10014.0,10029.0,10009.0,10012.0,525624142,52499,25,10151.0,10011.0
2019-12-08,10017.0,10042.0,10017.0,10024.0,2680876106,267449,38,10012.0,10024.0
2019-12-09,10048.0,10048.0,10033.0,10034.0,210275212,20957,13,10024.0,10033.0
2019-12-10,10035.0,10047.0,10034.0,10034.0,719008469,71655,17,10034.0,10045.0
2019-12-11,10036.0,10045.0,10036.0,10036.0,207678655,20693,9,10034.0,10037.0
2019-12-14,10054.0,10059.0,10054.0,10054.0,276402939,27491,13,10036.0,10059.0
2019-12-15,10070.0,10070.0,10065.0,10065.0,648346306,64413,21,10054.0,10067.0
2019-12-16,10071.0,10071.0,10064.0,10065.0,37179839,3694,9,10065.0,10064.0
2019-12-17,10116.0,10135.0,10116.0,10127.0,86160408,8508,10,10065.0,10116.0
2019-12-18,10129.0,10129.0,10129.0,10129.0,20268129000,2001000,31,10127.0,10129.0
2019-12-21,10153.0,10173.0,10153.0,10154.0,105232562,10364,5,10129.0,10172.0
2019-12-22,10185.0,10185.0,10169.0,10169.0,310808289,30564,7,10154.0,10170.0
2019-12-23,10182.0,10203.0,10182.0,10201.0,347208856,34036,12,10169.0,10203.0
2019-12-24,10183.0,10183.0,10181.0,10181.0,31562646,3100,2,10201.0,10181.0
2019-12-25,10183.0,10206.0,10183.0,10203.0,1075954081,105451,16,10181.0,10206.0
2019-12-28,10200.0,10215.0,10196.0,10202.0,75497160,7400,5,10203.0,10215.0
2019-12-29,10211.0,10230.0,10210.0,10221.0,32706100,3200,5,10202.0,10230.0
2019-12-30,10201.0,10201.0,10174.0,10190.0,139571597,13697,5,10221.0,10201.0
2019-12-31,10190.0,10191.0,10190.0,10190.0,20899790,2051,3,10190.0,10190.0
2020-01-01,10190.0,10215.0,10190.0,10193.0,9143430,897,4,10190.0,10215.0
2020-01-04,10217.0,10244.0,10217.0,10238.0,65573050,6405,8,10193.0,10220.0
2020-01-05,10203.0,10203.0,10178.0,10187.0,34584310,3395,6,10238.0,10178.0
2020-01-07,10002.0,10027.0,10002.0,10017.0,253159462,25272,19,10187.0,10027.0
2020-01-08,10010.0,10010.0,10001.0,10010.0,4054872519,405087,26,10017.0,10010.0
2020-01-11,10028.0,10028.0,10005.0,10024.0,922556628,92032,57,10010.0,10008.0
2020-01-12,10038.0,10038.0,10014.0,10016.0,2044133496,204082,38,10024.0,10038.0
2020-01-13,10055.0,10080.0,10055.0,10072.0,367905531,36527,22,10016.0,10070.0
2020-01-14,10150.0,10174.0,10150.0,10171.0,1127704943,110870,19,10072.0,10174.0
2020-01-15,10180.0,10182.0,10156.0,10162.0,281718424,27722,12,10171.0,10182.0
2020-01-18,10183.0,10208.0,10183.0,10187.0,667554203,65533,23,10162.0,10208.0
2020-01-19,10197.0,10225.0,10197.0,10214.0,65277929,6391,6,10187.0,10197.0
2020-01-20,10208.0,10224.0,10208.0,10211.0,143980800,14100,7,10214.0,10224.0
2020-01-21,10224.0,10242.0,10213.0,10235.0,550401761,53777,23,10211.0,10213.0
2020-01-22,10210.0,10237.0,10209.0,10237.0,10425224804,1018396,33,10235.0,10211.0
2020-01-25,10261.0,10290.0,10261.0,10286.0,169659343,16495,14,10237.0,10289.0
2020-01-26,10286.0,10287.0,10286.0,10286.0,146073586,14201,4,10286.0,10286.0
2020-01-27,10306.0,10320.0,10306.0,10311.0,31779755,3082,6,10286.0,10309.0
2020-01-28,10341.0,10370.0,10341.0,10347.0,33917681,3278,8,10311.0,10364.0
2020-02-01,10412.0,10413.0,10412.0,10412.0,10412002,1000,2,10347.0,10413.0
2020-02-02,10382.0,10382.0,10353.0,10355.0,33942934,3278,5,10412.0,10353.0
2020-02-03,10385.0,10415.0,10385.0,10408.0,126047735,12111,5,10355.0,10385.0
2020-02-04,10413.0,10442.0,10413.0,10439.0,246956754,23658,13,10408.0,10413.0
2020-02-05,10025.0,10026.0,10022.0,10025.0,4389087436,437799,65,10439.0,10026.0
2020-02-08,10049.0,10049.0,10033.0,10049.0,4190954452,417060,44,10025.0,10049.0
2020-02-09,10033.0,10550.0,10010.0,10033.0,31250315833,3114777,101,10049.0,10033.0
2020-02-10,10051.0,10051.0,10030.0,10049.0,1391819162,138502,29,10033.0,10051.0
2020-02-12,10023.0,10023.0,10012.0,10023.0,2861337003,285478,65,10049.0,10023.0
2020-02-15,10049.0,10078.0,10049.0,10077.0,1144891304,113617,25,10023.0,10062.0
