date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-04-27,6660.0,6660.0,6660.0,6660.0,1997979220800,299996880,1580124,1000.0,6660.0
2022-04-30,6990.0,6990.0,6990.0,6720.0,2659841790,380521,2143,6660.0,6990.0
2022-05-01,7050.0,7050.0,7050.0,7050.0,16017233400,2271948,3569,6720.0,7050.0
2022-05-02,7400.0,7400.0,7400.0,7400.0,16784080600,2268119,3865,7050.0,7400.0
2022-05-07,7770.0,7770.0,7770.0,7770.0,16022431530,2062089,8327,7400.0,7770.0
2022-05-08,8150.0,8150.0,8150.0,8150.0,59968189000,7358060,17817,7770.0,8150.0
2022-05-09,8550.0,8550.0,8550.0,8550.0,75675836250,8850975,20093,8150.0,8550.0
2022-05-10,8970.0,8970.0,8970.0,8970.0,95462310060,10642398,23925,8550.0,8970.0
2022-05-11,9410.0,9410.0,9410.0,9410.0,127552135960,13554956,44664,8970.0,9410.0
2022-05-14,9880.0,9880.0,9880.0,9880.0,173548878880,17565676,70111,9410.0,9880.0
2022-05-15,10370.0,10370.0,10370.0,10370.0,113552018500,10950050,48920,9880.0,10370.0
2022-05-16,10880.0,10880.0,10880.0,10880.0,159224785280,14634631,55698,10370.0,10880.0
2022-05-17,11420.0,11420.0,11420.0,11420.0,681849052240,59706572,199056,10880.0,11420.0
2022-05-18,11570.0,11990.0,11570.0,11870.0,2067545821010,174177988,370202,11420.0,11990.0
2022-05-21,12120.0,12460.0,11610.0,12270.0,484548615660,39487974,68664,11870.0,12460.0
2022-05-22,12860.0,12880.0,12610.0,12860.0,188372577020,14649764,14739,12270.0,12880.0
2022-05-23,13500.0,13500.0,13500.0,13500.0,99863739000,7397314,10139,12860.0,13500.0
2022-05-24,14170.0,14170.0,14170.0,14170.0,85886226270,6061131,6202,13500.0,14170.0
2022-05-25,14860.0,14870.0,14210.0,14810.0,1783454004750,120423196,65915,14170.0,14870.0
2022-05-28,15550.0,15550.0,14600.0,15500.0,939323529940,60586602,41129,14810.0,15550.0
2022-05-29,15900.0,16040.0,14730.0,15070.0,1072008302250,71128280,70617,15500.0,14730.0
2022-05-30,14400.0,14900.0,14320.0,14390.0,706386403690,49102233,52196,15070.0,14320.0
2022-05-31,14120.0,15000.0,14110.0,14750.0,595033364240,40342311,37965,14390.0,14930.0
2022-06-01,0.0,15480.0,14770.0,15330.0,357066675220,23295153,15280,14750.0,15480.0
2022-06-06,15900.0,16090.0,15360.0,15990.0,757761425530,47387665,22295,15330.0,16090.0
2022-06-07,16210.0,16780.0,16210.0,16690.0,187273584780,11221272,6324,15990.0,16780.0
2022-06-08,17520.0,17520.0,17520.0,17520.0,109251338640,6235807,2738,16690.0,17520.0
2022-06-11,18370.0,18390.0,17650.0,18320.0,471649358840,25745580,3308,17520.0,18290.0
2022-06-19,17650.0,18190.0,17410.0,17640.0,340906642580,19322850,5414,18320.0,17410.0
2022-06-20,16760.0,17390.0,16760.0,16840.0,1449880993550,86102884,30020,17640.0,16770.0
2022-06-21,17200.0,17680.0,17070.0,17600.0,806046354110,45800985,13471,16840.0,17680.0
2022-06-22,17740.0,18100.0,16720.0,17090.0,669040438350,39148248,14490,17600.0,16890.0
2022-06-25,16600.0,16940.0,16240.0,16280.0,234183335930,14384932,5519,17090.0,16240.0
2022-06-26,15750.0,16070.0,15470.0,15550.0,503949298640,32410818,11246,16280.0,15800.0
2022-06-27,16000.0,16320.0,15650.0,16080.0,211328696120,13145276,7691,15550.0,15880.0
2022-06-28,16050.0,16050.0,15280.0,15310.0,317397630710,20725696,5587,16080.0,15340.0
2022-06-29,15310.0,15900.0,14550.0,15020.0,313490417270,20876170,9352,15310.0,15350.0
2022-07-02,15340.0,15440.0,15010.0,15210.0,113470086580,7459616,5632,15020.0,15370.0
2022-07-03,15400.0,15960.0,15220.0,15630.0,160534631870,10268539,5161,15210.0,15500.0
2022-07-04,15590.0,15880.0,15000.0,15140.0,157331074670,10390001,5558,15630.0,15150.0
2022-07-05,14900.0,15510.0,14400.0,15100.0,170541353170,11295012,4663,15140.0,14940.0
2022-07-06,14730.0,15750.0,14660.0,15280.0,188809740800,12359632,4823,15100.0,15400.0
2022-07-09,15400.0,15690.0,14950.0,15340.0,153528068010,10010935,4468,15280.0,15440.0
2022-07-11,15400.0,15600.0,14880.0,15090.0,91363635490,6052694,3737,15340.0,14930.0
2022-07-12,15100.0,15200.0,14340.0,14800.0,119085904530,8047862,3511,15090.0,14730.0
2022-07-13,14960.0,15540.0,14770.0,15420.0,177358121860,11501516,3918,14800.0,15510.0
2022-07-16,15520.0,16090.0,15010.0,15820.0,238060970490,15045498,4622,15420.0,15910.0
2022-07-17,15910.0,16110.0,15420.0,15800.0,104488816200,6611949,3444,15820.0,15900.0
2022-07-19,15810.0,16300.0,15730.0,15940.0,250851721740,15739721,3545,15800.0,15980.0
2022-07-31,15800.0,16120.0,15380.0,15910.0,311786388350,19592211,2073,15870.0,15900.0
2022-08-01,15800.0,16700.0,15610.0,16520.0,253709068270,15361455,4658,15910.0,16700.0
2022-08-02,16950.0,17340.0,16740.0,17310.0,163914485190,9470758,2688,16520.0,17340.0
2022-08-14,17940.0,17950.0,16880.0,17630.0,313243216570,17768907,4750,17310.0,17440.0
2022-08-15,17630.0,18510.0,17380.0,18410.0,291218278530,15815439,3891,17630.0,18510.0
2022-08-16,18700.0,19330.0,18300.0,19110.0,271051669070,14182176,4774,18410.0,19330.0
2022-08-17,19790.0,20060.0,19200.0,19890.0,245198637790,12324645,4160,19110.0,20060.0
2022-08-20,20060.0,20550.0,18900.0,19330.0,291540218200,15081779,5291,19890.0,18900.0
2022-08-21,18880.0,19250.0,18370.0,18700.0,242410534650,12965330,5315,19330.0,19000.0
2022-08-22,19000.0,19630.0,19000.0,19600.0,339470784030,17317209,4466,18700.0,19610.0
2022-08-23,19900.0,20560.0,19700.0,20090.0,213511287430,10625980,3864,19600.0,20000.0
