date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-04-25,10000.0,10000.0,10000.0,10000.0,257110000,25711,106,10000.0,10000.0
2018-04-28,10000.0,10000.0,10000.0,10000.0,34070000,3407,154,10000.0,10000.0
2018-04-29,10000.0,10000.0,10000.0,10000.0,567010000,56701,7,10000.0,10000.0
2018-04-30,10000.0,10000.0,10000.0,10000.0,100076500000,10007650,388,10000.0,10000.0
2018-05-01,10000.0,10000.0,10000.0,10000.0,891120000,89112,246,10000.0,10000.0
2018-06-13,10200.0,10700.0,10200.0,10318.0,252532739,24475,10,10000.0,10700.0
2018-06-17,10396.0,10900.0,10396.0,10857.0,313762127,28900,15,10318.0,10900.0
2018-06-18,11100.0,11260.0,10905.0,11243.0,251547890,22374,22,10857.0,11260.0
2018-06-19,10800.0,11500.0,10800.0,11325.0,454984725,40175,14,11243.0,11500.0
2018-06-20,11500.0,12000.0,11500.0,11939.0,552531700,46280,19,11325.0,11700.0
2018-06-23,11731.0,11751.0,11400.0,11672.0,478689100,41010,8,11939.0,11550.0
2018-06-24,12000.0,12500.0,12000.0,12244.0,1778605200,145259,20,11672.0,12300.0
2018-06-25,12850.0,12850.0,12600.0,12797.0,658690900,51474,7,12244.0,12600.0
2018-06-26,12700.0,12700.0,12050.0,12363.0,208071000,16830,9,12797.0,12050.0
2018-06-27,12100.0,12100.0,11400.0,11720.0,547301000,46700,11,12363.0,11700.0
2018-06-30,12070.0,12070.0,11730.0,11808.0,244384710,20697,10,11720.0,11800.0
2018-07-01,11660.0,11660.0,11450.0,11508.0,1035750,90,2,11808.0,11450.0
2018-07-02,11600.0,11799.0,11600.0,11795.0,72186000,6120,4,11508.0,11799.0
2018-07-03,12071.0,12071.0,12000.0,12066.0,13031000,1080,2,11795.0,12000.0
2018-07-04,12150.0,12203.0,11900.0,12007.0,302666040,25208,9,12066.0,11900.0
2018-07-07,11700.0,11700.0,11700.0,11700.0,6903000,590,46,12007.0,11700.0
2018-07-10,11700.0,11700.0,11700.0,11700.0,117000,10,1,11700.0,11700.0
2018-07-11,11700.0,11700.0,11450.0,11454.0,22393500,1955,3,11700.0,11450.0
2018-07-14,11450.0,11450.0,11300.0,11402.0,17331250,1520,9,11454.0,11300.0
2018-07-15,11200.0,11200.0,11200.0,11200.0,7190400,642,3,11402.0,11200.0
2018-07-16,11180.0,11180.0,11100.0,11179.0,45330500,4055,7,11200.0,11100.0
2018-07-17,11100.0,11100.0,11100.0,11100.0,7048500,635,3,11179.0,11100.0
2018-07-18,11100.0,11100.0,11100.0,11100.0,42013500,3785,7,11100.0,11100.0
2018-07-21,11100.0,11101.0,11100.0,11100.0,4440101,400,5,11100.0,11100.0
2018-07-22,11200.0,11200.0,11200.0,11200.0,224000,20,2,11100.0,11200.0
2018-07-24,11200.0,11200.0,11200.0,11200.0,2240000,200,1,11200.0,11200.0
2018-07-25,11200.0,11270.0,11200.0,11236.0,27931600,2486,11,11200.0,11270.0
2018-07-28,11240.0,11840.0,11240.0,11797.0,379624000,32180,6,11236.0,11840.0
2018-07-29,12200.0,12200.0,12000.0,12005.0,49218741,4100,8,11797.0,12000.0
2018-07-30,12300.0,20000.0,12250.0,13680.0,1703079489,124490,61,12005.0,12500.0
2018-07-31,12950.0,13300.0,12950.0,13192.0,1662019434,125989,46,13680.0,13160.0
2018-08-01,13350.0,13550.0,13200.0,13335.0,1650239804,123752,51,13192.0,13350.0
2018-08-04,13210.0,13550.0,13210.0,13442.0,949930520,70671,24,13335.0,13400.0
2018-08-05,13800.0,13940.0,13800.0,13905.0,568086542,40855,28,13442.0,13910.0
2018-08-06,14700.0,14780.0,14405.0,14714.0,2495584937,169602,49,13905.0,14405.0
2018-08-07,14600.0,14600.0,14150.0,14463.0,258104455,17846,11,14714.0,14300.0
2018-08-08,14300.0,14400.0,14050.0,14177.0,133784900,9437,9,14463.0,14150.0
