date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-08-09,3470.0,3470.0,3470.0,3470.0,34700000000,10000000,82222,1000.0,3470.0
2017-08-12,3643.0,3643.0,3643.0,3643.0,93526739,25673,218,3470.0,3643.0
2017-08-13,3825.0,3825.0,3825.0,3825.0,87053175,22759,197,3643.0,3825.0
2017-08-14,4016.0,4016.0,4016.0,4016.0,108913920,27120,245,3825.0,4016.0
2017-08-15,4216.0,4216.0,4216.0,4216.0,123984128,29408,251,4016.0,4216.0
2017-08-16,4426.0,4426.0,4426.0,4426.0,154578050,34925,295,4216.0,4426.0
2017-08-19,4647.0,4647.0,4647.0,4647.0,167519703,36049,311,4426.0,4647.0
2017-08-20,4879.0,4879.0,4879.0,4879.0,194130531,39789,347,4647.0,4879.0
2017-08-21,5122.0,5122.0,5122.0,5122.0,126713158,24739,219,4879.0,5122.0
2017-08-22,5378.0,5378.0,5378.0,5378.0,128555712,23904,209,5122.0,5378.0
2017-08-23,5646.0,5646.0,5646.0,5646.0,197965698,35063,306,5378.0,5646.0
2017-08-26,5928.0,5928.0,5928.0,5928.0,276321864,46613,407,5646.0,5928.0
2017-08-27,6224.0,6224.0,6224.0,6224.0,324693632,52168,443,5928.0,6224.0
2017-08-28,6535.0,6535.0,6535.0,6535.0,584307420,89412,359,6224.0,6535.0
2017-08-29,6861.0,6861.0,6861.0,6861.0,1961498151,285891,2418,6535.0,6861.0
2017-08-30,7204.0,7204.0,7204.0,7204.0,887893000,123250,1059,6861.0,7204.0
2017-09-02,7564.0,7564.0,7564.0,7564.0,1536921596,203189,1738,7204.0,7564.0
2017-09-03,7942.0,7942.0,7942.0,7942.0,2405933596,302938,2605,7564.0,7942.0
2017-09-04,8339.0,8339.0,8339.0,8339.0,1345706125,161375,1373,7942.0,8339.0
2017-09-05,8755.0,8755.0,8755.0,8755.0,1480654355,169121,1391,8339.0,8755.0
2017-09-06,9192.0,9192.0,9192.0,9192.0,38369540544,4174232,16117,8755.0,9192.0
2017-09-10,9651.0,9651.0,9651.0,9651.0,9498379086,984186,5830,9192.0,9651.0
2017-09-11,10133.0,10133.0,10133.0,10133.0,1552750521,153237,1207,9651.0,10133.0
2017-09-12,10639.0,10639.0,10200.0,10526.0,107066366289,10171589,34117,10133.0,10300.0
2017-09-13,10200.0,10450.0,10000.0,10055.0,35604419419,3541062,8365,10526.0,10100.0
2017-09-16,10190.0,10455.0,10055.0,10223.0,7816451180,764587,2314,10055.0,10200.0
