date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-12-17,10000.0,10000.0,10000.0,10000.0,142633540000,14263354,246,10000.0,10000.0
2022-12-18,10000.0,10000.0,10000.0,10000.0,110744840000,11074484,408,10000.0,10000.0
2022-12-19,10000.0,10000.0,10000.0,10000.0,140153780000,14015378,274,10000.0,10000.0
2022-12-20,10000.0,10000.0,10000.0,10000.0,123582150000,12358215,252,10000.0,10000.0
2022-12-21,10000.0,10000.0,10000.0,10000.0,193885690000,19388569,481,10000.0,10000.0
2023-01-31,10000.0,10000.0,9823.0,9825.0,267667900141,27244588,146,10000.0,9825.0
2023-02-01,9810.0,9899.0,9800.0,9816.0,3541816951,360826,132,9825.0,9860.0
2023-02-05,9999.0,9999.0,9631.0,9692.0,7768508254,801562,78,9816.0,9631.0
2023-02-06,9658.0,9947.0,9280.0,9618.0,5664876546,588965,84,9692.0,9876.0
2023-02-07,9998.0,9998.0,9751.0,9882.0,1008941075,102097,33,9618.0,9800.0
2023-02-08,9850.0,9998.0,9800.0,9885.0,7946023163,803814,105,9882.0,9980.0
2023-02-12,9870.0,9995.0,9722.0,9848.0,1626752866,165183,50,9885.0,9995.0
2023-02-13,9997.0,9999.0,9860.0,9897.0,3386009650,342126,52,9848.0,9990.0
2023-02-14,9900.0,9990.0,9861.0,9869.0,2982153663,302159,43,9897.0,9864.0
2023-02-15,9860.0,9999.0,9820.0,9836.0,2236056738,227336,57,9869.0,9990.0
2023-02-19,9814.0,9990.0,9814.0,9921.0,13285512952,1339096,53,9836.0,9897.0
2023-02-20,9892.0,10500.0,9892.0,10304.0,13311103349,1291815,118,9921.0,10500.0
2023-02-21,10579.0,11328.0,10510.0,10906.0,24651319077,2260340,219,10304.0,10900.0
2023-02-22,10760.0,11385.0,10710.0,10845.0,9328642468,860154,97,10906.0,11140.0
2023-02-25,11450.0,11929.0,11450.0,11927.0,16308137888,1367285,149,10845.0,11929.0
2023-02-26,13110.0,13110.0,11648.0,12116.0,16831666468,1389256,262,11927.0,11880.0
2023-02-27,11700.0,12185.0,11590.0,11932.0,12301608041,1030963,123,12116.0,11968.0
2023-02-28,11750.0,12297.0,11387.0,12091.0,67624549524,5593129,122,11932.0,12297.0
2023-03-01,12050.0,12280.0,11520.0,12036.0,14150632403,1175679,110,12091.0,11850.0
2023-03-04,11850.0,11999.0,11681.0,11706.0,2268663854,193800,46,12036.0,11682.0
2023-03-05,11899.0,12225.0,11656.0,11934.0,39209942974,3285491,89,11706.0,11721.0
2023-03-06,11900.0,11993.0,11701.0,11940.0,57188424047,4789452,90,11934.0,11993.0
2023-03-07,11940.0,12400.0,11922.0,12171.0,12180077454,1000709,68,11940.0,12215.0
2023-03-11,11812.0,12299.0,11812.0,12039.0,6662466870,553413,74,12171.0,12050.0
2023-03-12,11843.0,12000.0,11518.0,11744.0,15748347892,1340974,115,12039.0,11790.0
2023-03-13,11792.0,11993.0,11610.0,11734.0,1589376685,135448,54,11744.0,11670.0
2023-03-14,11680.0,12090.0,11680.0,11841.0,3028696997,255779,107,11734.0,12090.0
2023-03-15,12050.0,12750.0,12000.0,12284.0,166505470221,13554293,141,11841.0,12739.0
2023-03-18,12907.0,13512.0,12549.0,12865.0,152380173174,11844536,165,12284.0,13460.0
2023-03-19,13100.0,13490.0,13010.0,13195.0,203110746234,15393332,183,12865.0,13201.0
2023-03-25,13151.0,14513.0,13150.0,13441.0,27444997426,2041888,134,13195.0,13600.0
2023-03-27,13290.0,13680.0,12901.0,13399.0,23129948629,1726243,128,13441.0,13587.0
2023-03-28,13500.0,13840.0,13500.0,13653.0,26040298776,1907269,109,13399.0,13699.0
2023-03-29,13750.0,13997.0,13410.0,13680.0,64093011086,4685270,224,13653.0,13890.0
2023-04-03,13800.0,14390.0,13131.0,14015.0,172096587836,12279455,333,13680.0,14201.0
2023-04-04,14000.0,14790.0,13701.0,14013.0,18772970216,1339679,214,14015.0,14000.0
2023-04-05,13710.0,14999.0,13710.0,14398.0,45678866405,3172608,152,14013.0,14798.0
2023-04-08,14800.0,15800.0,14800.0,15252.0,29412166029,1928429,291,14398.0,15150.0
2023-04-09,15450.0,15600.0,14905.0,15010.0,96892662721,6455109,353,15252.0,14987.0
2023-04-10,14850.0,15269.0,14515.0,14976.0,4201776537,280573,114,15010.0,14909.0
2023-04-11,13644.0,15180.0,13644.0,14643.0,53929671647,3682870,139,14976.0,14857.0
