date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-04-21,3500.0,3500.0,3500.0,3500.0,84450233000,24128638,495,500.0,3500.0
2021-04-24,3605.0,3605.0,3605.0,3605.0,20600001030,5714286,142,3500.0,3605.0
2021-04-25,3713.0,3713.0,3713.0,3713.0,21878173021,5892317,93,3605.0,3713.0
2021-04-26,3824.0,3824.0,3824.0,3717.0,812600000,212500,26,3713.0,3824.0
2021-04-27,3828.0,3828.0,3828.0,3718.0,191400000,50000,7,3717.0,3828.0
2021-04-28,3903.0,3903.0,3903.0,3722.0,446913015,114505,13,3718.0,3903.0
2021-05-01,3833.0,3833.0,3833.0,3730.0,1398891680,364960,21,3722.0,3833.0
2021-05-02,3841.0,3841.0,3841.0,3732.0,377866057,98377,17,3730.0,3841.0
2021-05-03,3843.0,3843.0,3843.0,3738.0,1126882890,293230,24,3732.0,3843.0
2021-05-05,3924.0,3924.0,3924.0,3745.0,751226256,191444,19,3738.0,3924.0
2021-05-08,3857.0,3857.0,3857.0,3747.0,390752670,101310,14,3745.0,3857.0
2021-05-09,3859.0,3859.0,3859.0,3755.0,1555177000,403000,26,3747.0,3859.0
2021-05-10,3867.0,3867.0,3867.0,3758.0,560637660,144980,12,3755.0,3867.0
2021-05-11,3945.0,3945.0,3945.0,3776.0,1991617470,504846,15,3758.0,3945.0
2021-05-12,3889.0,3889.0,3889.0,3777.0,118808950,30550,7,3776.0,3889.0
2021-05-15,3890.0,3890.0,3890.0,3781.0,373440000,96000,12,3777.0,3890.0
2021-05-16,3894.0,3894.0,3894.0,3786.0,450492966,115689,6,3781.0,3894.0
2021-05-17,3975.0,3975.0,3975.0,3818.0,1807830000,454800,18,3786.0,3975.0
2021-05-18,3932.0,3932.0,3932.0,3821.0,266982800,67900,7,3818.0,3932.0
2021-05-19,3935.0,3935.0,3935.0,3824.0,257486725,65435,8,3821.0,3935.0
2021-05-22,3938.0,3938.0,3938.0,3832.0,728530000,185000,10,3824.0,3938.0
2021-05-23,4023.0,4023.0,4023.0,3838.0,305957196,76052,9,3832.0,4023.0
2021-05-24,3953.0,3953.0,3953.0,3859.0,1921707467,486139,13,3838.0,3953.0
2021-05-25,3974.0,3974.0,3974.0,3861.0,140361680,35320,10,3859.0,3974.0
2021-05-26,3976.0,3976.0,3976.0,3863.0,168980000,42500,9,3861.0,3976.0
2021-05-29,4056.0,4056.0,4056.0,3914.0,2752454328,678613,20,3863.0,4056.0
2021-05-30,4031.0,4031.0,4031.0,3919.0,431337155,107005,11,3914.0,4031.0
2021-05-31,4036.0,4036.0,4036.0,3920.0,53703016,13306,4,3919.0,4036.0
2021-06-01,4037.0,4037.0,4037.0,3928.0,672160500,166500,7,3920.0,4037.0
2021-06-02,4124.0,4124.0,4124.0,3955.0,1492958108,362017,16,3928.0,4124.0
2021-06-07,4073.0,4073.0,4073.0,3964.0,764457297,187689,12,3955.0,4073.0
2021-06-08,4082.0,4082.0,4082.0,3989.0,2148299452,526286,16,3964.0,4082.0
2021-06-09,4108.0,4108.0,4108.0,3991.0,135806372,33059,5,3989.0,4108.0
2021-06-15,5300.0,5300.0,5300.0,5300.0,171514418300,32361211,281,3991.0,5300.0
2021-06-16,5141.0,5396.0,5141.0,5181.0,300588311309,58016396,2263,5300.0,5329.0
2021-06-19,5336.0,5336.0,5026.0,5141.0,61495635984,11962028,974,5181.0,5130.0
2021-06-20,5120.0,5120.0,4987.0,4993.0,38466848438,7704509,338,5141.0,4987.0
2021-06-21,4844.0,4948.0,4844.0,4941.0,3338782964,688766,91,4993.0,4844.0
2021-06-22,4793.0,4793.0,4793.0,4939.0,108767549,22693,9,4941.0,4793.0
2021-06-23,4693.0,4926.0,4693.0,4728.0,56030863996,11850589,793,4939.0,4693.0
2021-06-26,4600.0,4765.0,4587.0,4608.0,22168424997,4810502,507,4728.0,4587.0
2021-06-27,4639.0,4746.0,4470.0,4694.0,36693137933,7816554,572,4608.0,4746.0
2021-06-28,4575.0,4834.0,4575.0,4792.0,36849172468,7689059,1142,4694.0,4600.0
2021-06-29,4651.0,4895.0,4649.0,4727.0,18369498980,3886211,570,4792.0,4649.0
2021-06-30,4590.0,4860.0,4586.0,4745.0,47714684698,10056509,1059,4727.0,4830.0
2021-07-03,4778.0,4887.0,4700.0,4829.0,25889323951,5360785,645,4745.0,4859.0
2021-07-04,4880.0,4973.0,4800.0,4923.0,31675701120,6434568,709,4829.0,4826.0
2021-07-05,4930.0,5059.0,4776.0,4854.0,32385923048,6671950,726,4923.0,4776.0
2021-07-06,4722.0,4836.0,4709.0,4718.0,14748724800,3125731,364,4854.0,4709.0
2021-07-07,4600.0,4840.0,4577.0,4651.0,45480739607,9779572,908,4718.0,4651.0
2021-07-19,4699.0,4699.0,4448.0,4587.0,1922150743,416674,47,4581.0,4620.0
2021-07-26,4679.0,4685.0,4450.0,4460.0,10386218876,2328660,259,4587.0,4450.0
2021-07-27,4327.0,4500.0,4327.0,4416.0,3180620739,734557,98,4460.0,4327.0
2021-07-28,4284.0,4380.0,4284.0,4320.0,6907001048,1611631,153,4416.0,4284.0
2021-07-31,4104.0,4104.0,4104.0,4249.0,3139601040,765010,29,4320.0,4104.0
2021-08-01,4122.0,4122.0,4122.0,4246.0,254117178,61649,10,4249.0,4122.0
2021-08-02,4119.0,4119.0,4119.0,4245.0,83479773,20267,5,4246.0,4119.0
2021-08-03,4118.0,4118.0,4118.0,4241.0,277614970,67415,15,4245.0,4118.0
2021-08-04,4029.0,4029.0,4029.0,4234.0,315031539,78191,14,4241.0,4029.0
2022-01-18,3400.0,3400.0,3400.0,4022.0,2040000000,600000,12,4234.0,3400.0
