date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-14,5204.0,5204.0,5204.0,5204.0,208160000000,40000000,8005,1000.0,5204.0
2023-03-15,5300.0,5300.0,5130.0,5290.0,217690000140,41137967,3228,5204.0,5300.0
2023-03-18,5390.0,5390.0,5190.0,5290.0,59420789130,11232719,1178,5290.0,5300.0
2023-03-19,5380.0,5390.0,5370.0,5390.0,35371258100,6565307,580,5290.0,5390.0
2023-03-25,5490.0,5490.0,5490.0,5440.0,5317537140,968586,103,5390.0,5490.0
2023-04-10,5540.0,5540.0,5540.0,5540.0,14100917680,2545292,148,5440.0,5540.0
2023-04-11,5650.0,5650.0,5650.0,5650.0,39004599850,6903469,688,5540.0,5650.0
2023-04-15,5760.0,5760.0,5760.0,5760.0,20982637440,3642819,371,5650.0,5760.0
2023-04-26,5870.0,5870.0,5770.0,5860.0,58204266930,9928316,865,5760.0,5870.0
2023-04-29,5970.0,5970.0,5820.0,5960.0,47022036500,7889788,848,5860.0,5900.0
2023-04-30,6050.0,6050.0,5850.0,5940.0,20661159330,3477305,395,5960.0,6040.0
2023-05-01,6040.0,6040.0,5830.0,5970.0,39016135090,6533426,663,5940.0,6030.0
2023-05-02,6010.0,6080.0,5860.0,6050.0,32234384170,5330889,507,5970.0,5950.0
2023-05-03,6140.0,6170.0,6050.0,6140.0,23754479160,3867867,406,6050.0,6160.0
2023-05-06,6260.0,6260.0,6160.0,6250.0,26110397640,4176114,438,6140.0,6250.0
2023-05-07,6370.0,6370.0,6130.0,6200.0,14889172380,2402125,227,6250.0,6130.0
2023-05-08,6220.0,6320.0,6080.0,6270.0,26010265590,4146740,420,6200.0,6310.0
2023-05-09,6380.0,6390.0,6200.0,6370.0,23651708760,3715175,411,6270.0,6390.0
2023-05-10,6270.0,6490.0,6250.0,6470.0,53995168980,8339380,760,6370.0,6350.0
2023-05-13,6400.0,6400.0,6350.0,6350.0,19288397070,3036660,310,6470.0,6350.0
2023-05-14,6230.0,6460.0,6230.0,6380.0,27390859210,4292198,433,6350.0,6390.0
2023-05-15,6460.0,6480.0,6310.0,6430.0,25703374420,3994450,414,6380.0,6440.0
2023-05-17,6550.0,6550.0,6320.0,6540.0,16844512670,2574574,230,6430.0,6540.0
2023-05-20,6500.0,6650.0,6470.0,6610.0,20358780410,3080860,284,6540.0,6520.0
2023-05-21,6480.0,6720.0,6480.0,6610.0,18794156100,2842647,298,6610.0,6480.0
2023-05-22,6480.0,6740.0,6480.0,6720.0,98215579960,14623370,1502,6610.0,6740.0
2023-05-23,6850.0,6850.0,6850.0,6850.0,20966788250,3060845,265,6720.0,6850.0
2023-05-24,6980.0,6980.0,6980.0,6980.0,14264048800,2043560,131,6850.0,6980.0
2023-05-27,7110.0,7110.0,7080.0,7110.0,119274659380,16779296,1688,6980.0,7110.0
2023-05-28,7250.0,7250.0,6970.0,7090.0,33199052860,4679313,476,7110.0,6970.0
2023-05-29,6950.0,6950.0,6950.0,6950.0,7618617800,1096204,89,7090.0,6950.0
2023-05-30,6820.0,6950.0,6820.0,6820.0,81842070660,11998247,1304,6950.0,6820.0
2023-05-31,6690.0,6900.0,6690.0,6740.0,37067327060,5496762,601,6820.0,6840.0
2023-06-03,6860.0,6870.0,6610.0,6810.0,9913466200,1455242,183,6740.0,6820.0
2023-06-06,6940.0,6940.0,6890.0,6910.0,5518726790,799138,119,6810.0,6920.0
2023-06-07,7030.0,7040.0,6970.0,7020.0,13264324810,1889630,326,6910.0,7020.0
2023-06-10,7100.0,7100.0,6880.0,6910.0,8878125700,1284404,121,7020.0,6880.0
2023-06-11,6910.0,7020.0,6870.0,6940.0,11874916670,1710809,211,6910.0,6950.0
2023-06-12,7000.0,7030.0,6940.0,6980.0,12182341090,1745299,204,6940.0,6980.0
2023-06-13,7040.0,7090.0,7020.0,7040.0,6681739360,949020,114,6980.0,7050.0
2023-06-14,7020.0,7180.0,7000.0,7110.0,9124484080,1282690,125,7040.0,7050.0
2023-06-17,6990.0,7190.0,6980.0,7140.0,7514801130,1052593,134,7110.0,7090.0
2023-06-18,7270.0,7270.0,7110.0,7230.0,14493028970,2003387,183,7140.0,7200.0
2023-06-19,7320.0,7340.0,7150.0,7270.0,28410151210,3907600,357,7230.0,7240.0
2023-06-20,7360.0,7390.0,7180.0,7330.0,21644881170,2953297,288,7270.0,7280.0
2023-06-21,7450.0,7470.0,7280.0,7430.0,21150430650,2845848,394,7330.0,7430.0
2023-06-24,7540.0,7570.0,7540.0,7570.0,9041762230,1194690,148,7430.0,7570.0
2023-06-25,7420.0,7720.0,7420.0,7420.0,72742329310,9799437,626,7570.0,7540.0
2023-06-26,7530.0,7550.0,7440.0,7530.0,3405619510,452113,77,7420.0,7500.0
2023-06-27,7530.0,7550.0,7380.0,7510.0,13170457540,1754580,109,7530.0,7540.0
2023-06-28,7530.0,7660.0,7430.0,7600.0,20818439240,2740454,187,7510.0,7530.0
2023-07-01,7730.0,7750.0,7700.0,7720.0,10795663670,1398141,87,7600.0,7750.0
2023-07-02,7870.0,7870.0,7800.0,7860.0,10849654420,1379540,98,7720.0,7870.0
2023-07-03,7970.0,8010.0,7850.0,7930.0,55401317570,6985258,243,7860.0,8010.0
2023-07-04,8070.0,8080.0,7940.0,7960.0,53875444750,6767122,194,7930.0,8060.0
2023-07-05,7960.0,8000.0,7850.0,7900.0,4434788790,561359,66,7960.0,7880.0
2023-07-08,7910.0,8050.0,7870.0,7970.0,12913721600,1621059,104,7900.0,8000.0
2023-07-09,8000.0,8120.0,8000.0,8110.0,8758185220,1079268,93,7970.0,8120.0
2023-07-10,8270.0,8270.0,8240.0,8270.0,14732268060,1781730,108,8110.0,8270.0
2023-07-11,8430.0,8430.0,8380.0,8430.0,18917301280,2244460,144,8270.0,8430.0
2023-07-12,8590.0,8590.0,8500.0,8580.0,31443783940,3665043,245,8430.0,8590.0
2023-07-15,8410.0,8410.0,8410.0,8410.0,2606519710,309931,14,8580.0,8410.0
2023-07-16,8250.0,8260.0,8250.0,8250.0,7037313760,852985,76,8410.0,8250.0
2023-07-17,8090.0,8340.0,8090.0,8250.0,39102964180,4737007,315,8250.0,8290.0
2023-07-18,8250.0,8380.0,8090.0,8240.0,19814359790,2405443,197,8250.0,8270.0
2023-08-05,8300.0,8390.0,8070.0,8110.0,19755869330,2435824,106,8230.0,8090.0
2023-08-06,8260.0,8260.0,8190.0,8230.0,28398463110,3451932,162,8110.0,8200.0
2023-08-07,8350.0,8390.0,8290.0,8340.0,20850919920,2500663,136,8230.0,8390.0
2023-08-08,8460.0,8500.0,8460.0,8490.0,8013549340,944382,83,8340.0,8490.0
2023-08-09,8620.0,8650.0,8620.0,8640.0,31188451420,3608537,132,8490.0,8650.0
2023-08-12,8770.0,8810.0,8740.0,8790.0,16400885730,1866589,155,8640.0,8810.0
2023-08-13,8960.0,8960.0,8900.0,8920.0,12891996560,1444514,135,8790.0,8950.0
2023-08-14,9050.0,9090.0,8920.0,9030.0,33292154990,3687560,187,8920.0,9090.0
2023-08-15,8870.0,8870.0,8850.0,8850.0,8332419060,941344,53,9030.0,8850.0
2023-08-16,8680.0,8680.0,8680.0,8680.0,3840596200,442465,29,8850.0,8680.0
2023-08-19,8510.0,8810.0,8510.0,8590.0,17343872890,2018657,105,8680.0,8680.0
2023-08-20,8630.0,8730.0,8420.0,8600.0,192613171410,22394096,798,8590.0,8420.0
2023-08-21,8720.0,8770.0,8680.0,8720.0,7313876160,838586,82,8600.0,8720.0
2023-08-22,8840.0,8890.0,8810.0,8860.0,12532374200,1415130,108,8720.0,8870.0
2023-08-23,8980.0,9000.0,8750.0,8940.0,9392865880,1051135,94,8860.0,8870.0
2023-08-26,8940.0,9100.0,8770.0,8860.0,15081224550,1701490,115,8940.0,8800.0
2023-08-27,8700.0,8780.0,8690.0,8690.0,18358134950,2112480,92,8860.0,8690.0
