date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-09-25,1990.0,1990.0,1990.0,1990.0,2402454599820,1207263618,818287,1000.0,1990.0
2019-09-28,2089.0,2089.0,2089.0,2089.0,1287099748,616132,515,1990.0,2089.0
2019-09-29,2193.0,2193.0,2193.0,2193.0,1994088321,909297,720,2089.0,2193.0
2019-09-30,2302.0,2302.0,2302.0,2302.0,3467900846,1506473,1302,2193.0,2302.0
2019-10-01,2417.0,2417.0,2417.0,2417.0,293884905592,121590776,16018,2302.0,2417.0
2019-10-02,2537.0,2537.0,2537.0,2537.0,35093217405,13832565,8056,2417.0,2537.0
2019-10-05,2663.0,2663.0,2663.0,2663.0,11381914985,4274095,3220,2537.0,2663.0
2019-10-06,2796.0,2796.0,2796.0,2796.0,84831685704,30340374,7439,2663.0,2796.0
2019-10-07,2935.0,2935.0,2657.0,2931.0,843781506085,287915325,145420,2796.0,2935.0
2019-10-08,2900.0,2900.0,2785.0,2834.0,186398309744,65766994,41306,2931.0,2785.0
2019-10-09,2693.0,2693.0,2693.0,2693.0,111500522269,41403833,21469,2834.0,2693.0
2019-10-12,2703.0,2827.0,2559.0,2768.0,398810323364,144089622,91157,2693.0,2827.0
2019-10-13,2906.0,2906.0,2630.0,2820.0,446623786322,158396990,88386,2768.0,2781.0
2019-10-14,2730.0,2748.0,2679.0,2694.0,257129404369,95442898,39501,2820.0,2679.0
2019-10-15,2680.0,2733.0,2560.0,2595.0,103747392865,39979362,15937,2694.0,2560.0
2019-10-16,2530.0,2680.0,2469.0,2506.0,201441354294,80399617,34220,2595.0,2490.0
2019-10-20,2490.0,2560.0,2381.0,2415.0,94000728588,38928261,12031,2506.0,2381.0
2019-10-21,2340.0,2535.0,2295.0,2432.0,338978897555,139395502,41410,2415.0,2535.0
2019-10-22,2553.0,2553.0,2446.0,2542.0,137871750632,54241923,12988,2432.0,2553.0
2019-10-23,2599.0,2645.0,2415.0,2522.0,154699430475,61339515,26579,2542.0,2532.0
2019-10-26,2520.0,2522.0,2396.0,2436.0,94642912135,38852872,20502,2522.0,2433.0
2019-10-28,2420.0,2523.0,2397.0,2477.0,96543919725,38977912,18452,2436.0,2494.0
2019-10-30,2527.0,2530.0,2487.0,2502.0,136420327084,54526560,18832,2477.0,2500.0
2019-11-02,2515.0,2515.0,2399.0,2434.0,142206325463,58427359,19718,2502.0,2420.0
2019-11-03,2413.0,2485.0,2384.0,2442.0,119820283243,49071549,15934,2434.0,2443.0
2019-11-04,2443.0,2448.0,2383.0,2404.0,89551181317,37243269,11582,2442.0,2389.0
2019-11-05,2409.0,2524.0,2380.0,2483.0,142708624223,57468008,15278,2404.0,2524.0
2019-11-09,2607.0,2607.0,2607.0,2607.0,95432694489,36606327,6092,2483.0,2607.0
2019-11-10,2590.0,2619.0,2505.0,2550.0,160050700351,62757337,15507,2607.0,2539.0
2019-11-11,2512.0,2575.0,2501.0,2520.0,89279239833,35428860,11006,2550.0,2508.0
2019-11-12,2520.0,2580.0,2501.0,2541.0,89229835537,35114107,10639,2520.0,2531.0
2019-11-13,2530.0,2578.0,2507.0,2531.0,80026830369,31617028,9787,2541.0,2520.0
2019-11-16,2569.0,2597.0,2500.0,2543.0,101912892411,40076316,9087,2531.0,2508.0
2019-11-17,2422.0,2498.0,2416.0,2420.0,118057386019,48794063,7544,2543.0,2416.0
2019-11-18,2376.0,2479.0,2376.0,2432.0,55765380619,22931286,5559,2420.0,2415.0
