date,open,high,low,adjClose,value,volume,count,yesterday,close
2006-07-25,551.0,674.0,406.0,521.0,51227596,98302,13,551.0,521.0
2006-07-26,541.0,541.0,541.0,541.0,2380400,4400,2,521.0,541.0
2006-07-29,562.0,562.0,561.0,561.0,130130262,231551,52,541.0,561.0
2006-07-30,582.0,583.0,569.0,576.0,72579358,125872,35,561.0,576.0
2006-07-31,573.0,583.0,570.0,578.0,19397980,33554,13,576.0,578.0
2006-08-01,570.0,570.0,555.0,555.0,32507160,58560,16,578.0,555.0
2006-08-02,540.0,540.0,533.0,533.0,12205744,22895,11,555.0,533.0
2006-08-05,512.0,512.0,512.0,512.0,6103040,11920,3,533.0,512.0
2006-08-06,492.0,492.0,492.0,492.0,1071576,2178,3,512.0,492.0
2006-08-09,473.0,473.0,473.0,473.0,8429806,17822,2,492.0,473.0
2006-08-13,455.0,455.0,455.0,455.0,455000,1000,3,473.0,455.0
2006-08-14,437.0,437.0,437.0,437.0,2622000,6000,3,455.0,437.0
2006-08-15,420.0,420.0,420.0,420.0,420000,1000,1,437.0,420.0
2006-08-16,404.0,404.0,404.0,404.0,2424000,6000,3,420.0,404.0
2006-08-19,388.0,388.0,388.0,388.0,42777000,110250,31,404.0,388.0
2006-08-20,373.0,400.0,373.0,376.0,178227002,473082,78,388.0,376.0
2006-08-21,391.0,391.0,391.0,391.0,7625282,19502,8,376.0,391.0
2006-08-23,406.0,406.0,406.0,406.0,4920720,12120,7,391.0,406.0
2006-08-26,422.0,422.0,422.0,422.0,6137568,14544,5,406.0,422.0
2006-08-27,438.0,438.0,438.0,438.0,375804,858,1,422.0,438.0
2006-08-28,455.0,455.0,455.0,455.0,9029020,19844,6,438.0,455.0
2006-08-29,473.0,473.0,437.0,465.0,188777382,405370,77,455.0,465.0
2006-08-30,447.0,465.0,447.0,447.0,148031275,330695,84,465.0,447.0
2006-09-02,447.0,464.0,430.0,441.0,158570988,358759,74,447.0,441.0
2006-09-03,458.0,458.0,458.0,458.0,59548244,130018,33,441.0,458.0
2006-09-04,476.0,476.0,450.0,471.0,122453090,259955,61,458.0,471.0
2006-09-05,454.0,473.0,453.0,453.0,23155650,51050,19,471.0,453.0
2006-09-06,440.0,450.0,435.0,439.0,114700190,260960,69,453.0,439.0
2006-09-10,439.0,440.0,422.0,427.0,102681959,240455,62,439.0,427.0
2006-09-11,417.0,420.0,410.0,410.0,101104000,246000,63,427.0,410.0
2006-09-12,394.0,408.0,394.0,400.0,123012473,307245,75,410.0,400.0
2006-09-13,400.0,416.0,400.0,407.0,83687582,205460,62,400.0,407.0
2006-09-16,417.0,419.0,400.0,408.0,117727534,287978,72,407.0,408.0
2006-09-17,394.0,410.0,393.0,396.0,85869785,216532,57,408.0,396.0
2006-09-18,383.0,383.0,381.0,381.0,76206945,199845,57,396.0,381.0
2006-09-19,382.0,382.0,366.0,371.0,82094446,220841,59,381.0,371.0
2006-09-20,358.0,358.0,357.0,357.0,62723398,175664,44,371.0,357.0
2006-09-23,343.0,371.0,343.0,355.0,246482240,693458,207,357.0,355.0
2006-09-24,355.0,369.0,341.0,351.0,315964517,899106,244,355.0,351.0
2006-11-05,400.0,450.0,400.0,400.0,1191254000,2975010,138,351.0,400.0
2006-11-06,400.0,400.0,400.0,400.0,428478400,1071196,46,400.0,400.0
2014-03-15,850.0,884.0,850.0,874.0,324750048,371780,58,400.0,884.0
2014-03-16,908.0,943.0,876.0,928.0,4250648442,4581566,667,874.0,943.0
2014-03-17,1002.0,1002.0,1002.0,1002.0,925593492,923746,77,928.0,1002.0
2014-03-18,1082.0,1082.0,1050.0,1081.0,5920350124,5478835,582,1002.0,1082.0
2014-03-19,1120.0,1149.0,1051.0,1084.0,3921857955,3616981,453,1081.0,1061.0
2014-03-25,1084.0,1090.0,1001.0,1037.0,2272483583,2190915,277,1084.0,1015.0
2014-03-26,1020.0,1020.0,972.0,986.0,1686144823,1709257,266,1037.0,973.0
2014-03-29,926.0,1064.0,922.0,1044.0,4112458451,3939426,389,986.0,1064.0
2014-03-30,1127.0,1127.0,1110.0,1127.0,5187164357,4603491,226,1044.0,1127.0
2014-03-31,1190.0,1217.0,1166.0,1205.0,9228965766,7658644,922,1127.0,1190.0
2014-04-05,1201.0,1201.0,1109.0,1143.0,4753094764,4158585,575,1205.0,1150.0
2014-04-06,1131.0,1177.0,1063.0,1098.0,2822984744,2569887,349,1143.0,1075.0
2014-04-07,1070.0,1178.0,1070.0,1127.0,8458968705,7503953,770,1098.0,1155.0
2014-04-08,1168.0,1198.0,1125.0,1159.0,3152685633,2719209,408,1127.0,1160.0
2014-04-09,1160.0,1180.0,1101.0,1147.0,3108486767,2709068,286,1159.0,1120.0
2014-04-12,1089.0,1139.0,1056.0,1063.0,2760010252,2596218,325,1147.0,1056.0
2014-04-13,1050.0,1050.0,978.0,986.0,2636280783,2674409,282,1063.0,1001.0
2014-04-14,950.0,1040.0,931.0,992.0,3857913339,3889913,401,986.0,960.0
2014-04-15,997.0,1070.0,970.0,1022.0,3486259832,3410102,405,992.0,1020.0
2014-04-16,1049.0,1089.0,1031.0,1057.0,2254959094,2133371,334,1022.0,1037.0
2014-04-19,1050.0,1050.0,973.0,976.0,3617956998,3706205,401,1057.0,973.0
2014-04-20,1020.0,1054.0,1020.0,1044.0,4397606457,4212626,411,976.0,1054.0
2014-04-21,1070.0,1088.0,1042.0,1066.0,2584749285,2423619,325,1044.0,1085.0
2014-04-22,1080.0,1089.0,981.0,996.0,4171919752,4188161,441,1066.0,993.0
2014-04-23,980.0,1015.0,952.0,990.0,3418650797,3454534,516,996.0,1003.0
2014-04-26,1010.0,1055.0,1001.0,1041.0,5711062389,5486239,591,990.0,1043.0
2014-04-27,1066.0,1068.0,990.0,1020.0,6535816035,6405062,438,1041.0,990.0
2014-04-28,961.0,1005.0,961.0,983.0,2046106221,2081351,203,1020.0,981.0
2014-04-29,995.0,995.0,920.0,943.0,2139563704,2268385,264,983.0,935.0
2014-04-30,902.0,989.0,900.0,941.0,1850207153,1966836,251,943.0,930.0
2014-05-03,910.0,940.0,866.0,903.0,5236677805,5799192,556,941.0,940.0
2014-05-04,857.0,890.0,831.0,853.0,3321784111,3895292,390,903.0,841.0
2014-05-05,848.0,884.0,785.0,804.0,3653301630,4545934,597,853.0,785.0
2014-05-06,760.0,779.0,740.0,752.0,2714385816,3611538,532,804.0,740.0
2014-05-07,692.0,750.0,692.0,709.0,11820464038,16660420,1748,752.0,700.0
2014-09-14,600.0,600.0,600.0,600.0,90000000,150000,3,709.0,600.0
2014-09-15,552.0,552.0,552.0,552.0,13435680000,24340000,690,600.0,552.0
2014-09-16,552.0,552.0,552.0,552.0,828000000,1500000,42,552.0,552.0
2014-09-17,552.0,552.0,552.0,552.0,1380000000,2500000,73,552.0,552.0
2014-09-20,552.0,552.0,552.0,552.0,9874992408,17889479,363,552.0,552.0
2021-11-21,850.0,850.0,765.0,788.0,23455184196,29754442,2864,552.0,791.0
2021-11-22,762.0,866.0,745.0,815.0,37964187960,46572734,3416,788.0,866.0
2021-11-23,896.0,896.0,896.0,896.0,12901595392,14399102,850,815.0,896.0
2021-11-24,935.0,935.0,815.0,883.0,54537193385,61774013,2309,896.0,865.0
2021-11-27,845.0,879.0,817.0,830.0,12671718162,15268644,1000,883.0,820.0
2021-11-28,803.0,849.0,792.0,814.0,11532570203,14174772,915,830.0,800.0
2021-11-29,839.0,847.0,790.0,815.0,11910108361,14606689,973,814.0,800.0
2021-11-30,800.0,800.0,760.0,772.0,8740417429,11328297,705,815.0,760.0
2021-12-01,750.0,752.0,701.0,722.0,7225267682,10011103,616,772.0,717.0
2021-12-04,680.0,729.0,650.0,661.0,9697647668,14663298,747,722.0,652.0
2021-12-05,613.0,671.0,613.0,653.0,7443516410,11392023,659,661.0,654.0
2021-12-06,630.0,654.0,612.0,632.0,7300249583,11544561,618,653.0,628.0
2021-12-07,610.0,620.0,581.0,594.0,7950920412,13376211,657,632.0,593.0
2021-12-08,598.0,629.0,574.0,611.0,6922768397,11332170,706,594.0,608.0
2021-12-11,647.0,647.0,592.0,603.0,2772691641,4595980,385,611.0,598.0
2021-12-12,582.0,586.0,552.0,565.0,2562089545,4535461,329,603.0,559.0
2021-12-13,550.0,588.0,521.0,555.0,3965848973,7150718,436,565.0,537.0
2021-12-14,505.0,565.0,505.0,539.0,6308029482,11706028,496,555.0,532.0
2021-12-15,580.0,580.0,522.0,541.0,4155381572,7675944,401,539.0,540.0
2021-12-18,525.0,554.0,513.0,530.0,4408412058,8318388,554,541.0,528.0
2021-12-19,507.0,527.0,507.0,516.0,5207454021,10101539,368,530.0,514.0
2021-12-20,507.0,522.0,492.0,508.0,4943003217,9733666,391,516.0,517.0
2021-12-21,532.0,543.0,497.0,525.0,4311815138,8209387,449,508.0,543.0
2021-12-22,544.0,577.0,526.0,570.0,8334854885,14634632,600,525.0,577.0
2021-12-25,585.0,619.0,550.0,586.0,9856038370,16829241,731,570.0,598.0
2021-12-26,566.0,597.0,559.0,578.0,4431200846,7671815,444,586.0,580.0
2021-12-27,574.0,618.0,572.0,596.0,8036125252,13492414,626,578.0,593.0
2021-12-28,585.0,607.0,570.0,593.0,4861231973,8200126,424,596.0,593.0
2021-12-29,587.0,609.0,561.0,575.0,4417129264,7676300,469,593.0,566.0
2022-01-01,575.0,576.0,535.0,547.0,2970129106,5431341,276,575.0,547.0
2022-01-02,524.0,557.0,524.0,539.0,3984877636,7394100,375,547.0,533.0
2022-01-03,523.0,565.0,523.0,542.0,5878630101,10843808,456,539.0,552.0
2022-01-04,546.0,560.0,531.0,542.0,4484503143,8275960,322,542.0,533.0
2022-01-05,525.0,556.0,525.0,532.0,3435906171,6456450,303,542.0,540.0
2022-01-08,524.0,542.0,491.0,510.0,10115325834,19847608,689,532.0,500.0
2022-01-09,500.0,500.0,466.0,479.0,5633408660,11771832,461,510.0,469.0
2022-01-10,451.0,474.0,443.0,449.0,7859872242,17489410,671,479.0,461.0
2022-01-11,451.0,493.0,441.0,462.0,11002690220,23818903,720,449.0,493.0
2022-01-12,489.0,498.0,467.0,483.0,10613387107,21977675,736,462.0,488.0
2022-01-15,497.0,497.0,455.0,467.0,10143349738,21738177,698,483.0,470.0
2022-01-16,470.0,470.0,421.0,435.0,17966140313,41284058,1287,467.0,440.0
2022-01-17,443.0,445.0,403.0,423.0,20019971134,47360293,1616,435.0,431.0
2022-01-18,400.0,419.0,381.0,386.0,25458691142,65871891,1864,423.0,398.0
2022-06-07,650.0,650.0,650.0,650.0,12281183200,18894128,118,386.0,650.0
2022-06-08,728.0,728.0,650.0,696.0,151986584,218311,20,650.0,650.0
2022-06-18,680.0,680.0,613.0,613.0,15255430124,24885175,131,696.0,613.0
2022-06-19,650.0,650.0,650.0,650.0,525169450,807953,19,613.0,650.0
2022-06-20,650.0,650.0,650.0,650.0,77246000,118840,13,650.0,650.0
2022-06-21,650.0,650.0,650.0,650.0,6500000,10000,1,650.0,650.0
