date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-09-05,15000.0,15450.0,14670.0,15370.0,3326172316363,216401209,12071,1000.0,15450.0
2020-09-06,15831.0,15831.0,14909.0,15415.0,3813180591743,247362269,11826,15370.0,14909.0
2020-09-07,14954.0,14954.0,14954.0,14954.0,112552955848,7526612,262,15416.0,14954.0
2020-09-08,14506.0,14506.0,14506.0,14506.0,72923547780,5027130,104,14954.0,14506.0
2020-09-09,13781.0,14500.0,13781.0,13831.0,1623635924305,117393214,6215,14506.0,13800.0
2020-09-12,13910.0,14200.0,13417.0,13698.0,413816872919,30209354,2998,13831.0,13417.0
2020-09-13,13288.0,13288.0,13288.0,13651.0,2203695208,165841,81,13698.0,13288.0
2020-09-14,13242.0,13420.0,13242.0,13252.0,1081284484532,81591282,5114,13651.0,13242.0
2020-09-15,12950.0,13880.0,12650.0,13449.0,463859321179,34490654,6259,13252.0,13200.0
2020-09-16,13210.0,13300.0,13046.0,13053.0,341498791662,26162727,1386,13449.0,13046.0
2020-09-19,12662.0,12662.0,12662.0,12662.0,297837437976,23522148,1419,13053.0,12662.0
2020-09-20,12310.0,12600.0,12283.0,12309.0,270925254162,22009971,2020,12662.0,12283.0
2020-09-21,11694.0,11850.0,11694.0,11698.0,115167854742,9845163,753,12309.0,11694.0
2020-09-22,11401.0,11930.0,11348.0,11368.0,303372912749,26687164,2334,11698.0,11500.0
2020-09-23,11499.0,11709.0,11200.0,11685.0,179261396597,15340531,1264,11368.0,11709.0
2020-09-26,12035.0,12035.0,12035.0,11912.0,13349920030,1109258,292,11685.0,12035.0
2020-09-27,12269.0,12269.0,11555.0,12218.0,628797918953,51465917,3282,11912.0,12269.0
2020-09-28,12020.0,12220.0,11608.0,11828.0,184714551817,15616817,1447,12218.0,12101.0
2020-09-29,12090.0,12182.0,11855.0,12123.0,45921591066,3787952,719,11828.0,12182.0
