date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-11-06,10000.0,10000.0,10000.0,10000.0,50844840000,5084484,742,10000.0,10000.0
2021-11-07,10000.0,10000.0,10000.0,10000.0,45602340000,4560234,340,10000.0,10000.0
2021-12-04,10000.0,10002.0,10000.0,10000.0,652564261,65256,25,10000.0,10000.0
2021-12-05,10000.0,10090.0,10000.0,10014.0,4959670612,495283,98,10000.0,10001.0
2021-12-06,10091.0,10100.0,10000.0,10056.0,13140899758,1306789,97,10014.0,10050.0
2021-12-07,10050.0,10087.0,10005.0,10068.0,40707668155,4043089,90,10056.0,10031.0
2021-12-08,10086.0,10499.0,10008.0,10399.0,10268710049,987429,109,10068.0,10402.0
2021-12-11,10500.0,10500.0,10205.0,10409.0,2087951093,200592,37,10399.0,10364.0
2021-12-12,10364.0,10364.0,10033.0,10155.0,1527817397,150446,53,10409.0,10290.0
2021-12-13,10150.0,10150.0,10000.0,10062.0,4472718804,444521,46,10155.0,10022.0
2021-12-14,10000.0,10080.0,9715.0,10005.0,8753420365,874925,43,10062.0,9951.0
2021-12-15,10075.0,10075.0,10000.0,10010.0,619688117,61907,17,10005.0,10000.0
2021-12-18,10100.0,10500.0,10003.0,10154.0,405885874,39972,23,10010.0,10118.0
2021-12-19,10090.0,10090.0,10000.0,10011.0,467461384,46695,28,10154.0,10001.0
2021-12-20,10001.0,10030.0,9990.0,10000.0,13743197082,1374257,55,10011.0,10000.0
2021-12-21,10054.0,10280.0,10020.0,10202.0,21464004607,2103967,93,10000.0,10201.0
2021-12-22,10390.0,10500.0,10200.0,10461.0,1692453491,161787,54,10202.0,10480.0
2021-12-25,10165.0,10600.0,10165.0,10413.0,805035318,77311,53,10461.0,10336.0
2021-12-26,10163.0,10400.0,10163.0,10302.0,267064240,25923,13,10413.0,10400.0
2021-12-27,10523.0,10630.0,10400.0,10574.0,203896195,19283,19,10302.0,10400.0
2021-12-28,10301.0,10550.0,10301.0,10351.0,1116445265,107856,15,10574.0,10500.0
2021-12-29,10300.0,10600.0,10300.0,10550.0,5264584524,499003,45,10351.0,10555.0
2022-01-01,10500.0,10500.0,10250.0,10275.0,1636327140,159260,31,10550.0,10250.0
2022-01-02,10250.0,10302.0,10250.0,10291.0,178042610,17300,11,10275.0,10300.0
2022-01-03,10300.0,10300.0,10201.0,10239.0,107510460,10500,12,10291.0,10300.0
2022-01-04,10100.0,10319.0,10100.0,10138.0,1234059898,121730,17,10239.0,10319.0
2022-01-05,10319.0,10360.0,10150.0,10299.0,132145583,12831,11,10138.0,10170.0
2022-01-08,10171.0,10485.0,10150.0,10173.0,21229622524,2086921,56,10299.0,10160.0
2022-01-09,10110.0,10180.0,10000.0,10002.0,30154649680,3014841,72,10173.0,10004.0
