date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-10-20,1000.0,1000.0,1000.0,1000.0,25000000,25000,4,1000.0,1000.0
2013-12-22,700.0,700.0,700.0,700.0,14000000,20000,2,1000.0,700.0
2013-12-24,700.0,700.0,700.0,700.0,21000000,30000,1,700.0,700.0
2013-12-29,865.0,865.0,850.0,857.0,17150000,20000,2,700.0,850.0
2014-01-04,911.0,911.0,911.0,911.0,911000,1000,1,857.0,911.0
2014-01-13,911.0,911.0,911.0,911.0,32249400,35400,1,911.0,911.0
2014-01-14,900.0,1200.0,900.0,925.0,55476250,59950,7,911.0,900.0
2014-02-01,910.0,1200.0,905.0,1036.0,140069350,135150,9,925.0,1200.0
2014-02-03,920.0,920.0,905.0,912.0,18245000,20000,4,1036.0,905.0
2014-02-09,912.0,912.0,905.0,906.0,113230000,125000,4,912.0,905.0
2014-02-22,901.0,901.0,900.0,901.0,54050000,60000,3,906.0,900.0
2014-02-23,901.0,911.0,901.0,901.0,119863000,133000,4,901.0,911.0
2014-08-11,890.0,890.0,720.0,856.0,21400000,25000,2,901.0,720.0
2014-08-19,700.0,740.0,700.0,709.0,24996200,35240,7,856.0,700.0
2014-08-20,702.0,702.0,701.0,702.0,35450102,50501,9,709.0,702.0
2014-08-23,700.0,700.0,700.0,700.0,26852000,38360,4,702.0,700.0
2014-08-24,750.0,750.0,750.0,750.0,597000,796,1,700.0,750.0
2014-09-27,600.0,600.0,600.0,600.0,3000000,5000,1,750.0,600.0
2014-10-06,700.0,888.0,600.0,715.0,351696000,491630,15,600.0,888.0
2014-10-07,810.0,990.0,790.0,824.0,247730000,300600,9,715.0,990.0
2014-10-08,810.0,810.0,810.0,810.0,18630000,23000,1,824.0,810.0
2014-10-11,801.0,815.0,801.0,807.0,14522500,18000,4,810.0,801.0
2014-10-12,700.0,700.0,700.0,700.0,3150000,4500,1,807.0,700.0
2014-10-14,750.0,751.0,750.0,751.0,28533000,38000,2,700.0,751.0
2014-10-18,798.0,798.0,798.0,798.0,7581000,9500,3,751.0,798.0
2014-10-19,798.0,798.0,798.0,798.0,798000,1000,1,798.0,798.0
2014-10-20,780.0,880.0,751.0,812.0,129781200,159800,7,798.0,751.0
2014-10-22,706.0,706.0,706.0,706.0,13020758,18443,1,812.0,706.0
2014-10-25,703.0,703.0,703.0,703.0,12965429,18443,1,706.0,703.0
2014-10-27,710.0,720.0,710.0,711.0,42661557,60000,4,703.0,711.0
2014-10-28,710.0,710.0,710.0,710.0,26270000,37000,3,711.0,710.0
2014-10-29,700.0,721.0,700.0,705.0,49015470,69557,4,710.0,720.0
2014-11-01,652.0,652.0,652.0,652.0,32600000,50000,2,705.0,652.0
2014-11-02,671.0,671.0,670.0,671.0,8413810,12543,2,652.0,670.0
2014-11-05,740.0,740.0,700.0,705.0,30375000,43100,4,671.0,700.0
2014-11-08,671.0,671.0,661.0,667.0,53327113,80000,3,705.0,661.0
2014-11-09,665.0,665.0,664.0,665.0,33230000,50000,2,667.0,664.0
2014-11-10,700.0,744.0,664.0,689.0,154830128,224687,8,665.0,717.0
2014-12-03,699.0,699.0,699.0,699.0,2496828,3572,1,689.0,699.0
2014-12-06,699.0,699.0,697.0,698.0,17460000,25000,4,699.0,698.0
2014-12-07,689.0,689.0,689.0,689.0,1378000,2000,1,698.0,689.0
2014-12-08,670.0,670.0,670.0,670.0,1340000,2000,1,689.0,670.0
2014-12-09,667.0,667.0,648.0,659.0,11335600,17200,2,670.0,648.0
2014-12-16,650.0,650.0,650.0,650.0,3250000,5000,1,659.0,650.0
2014-12-20,639.0,640.0,639.0,639.0,57481420,89928,2,650.0,640.0
2014-12-27,611.0,611.0,611.0,611.0,6110000,10000,1,639.0,611.0
2014-12-29,610.0,610.0,610.0,610.0,30195000,49500,2,611.0,610.0
2014-12-30,610.0,610.0,610.0,610.0,305000,500,1,610.0,610.0
2015-01-03,610.0,640.0,580.0,597.0,29845000,50000,5,610.0,640.0
2015-01-07,739.0,800.0,700.0,753.0,272322100,361658,11,597.0,700.0
2015-01-10,695.0,695.0,600.0,631.0,18925000,30000,3,753.0,600.0
2015-01-11,690.0,799.0,690.0,781.0,99912560,127864,4,631.0,799.0
2015-01-12,799.0,847.0,799.0,804.0,30904944,38444,10,781.0,847.0
2015-01-13,847.0,899.0,847.0,871.0,191472950,219850,3,804.0,899.0
2015-01-21,600.0,600.0,600.0,600.0,6000000,10000,1,871.0,600.0
2015-01-26,750.0,800.0,750.0,789.0,39475000,50000,4,600.0,795.0
2015-01-27,805.0,990.0,760.0,952.0,136491100,143429,5,789.0,990.0
2015-01-31,901.0,901.0,900.0,900.0,38450000,42700,7,952.0,900.0
2015-02-01,900.0,1005.0,850.0,974.0,254170000,261000,14,900.0,1005.0
2015-02-02,1005.0,1005.0,1005.0,1005.0,7035000,7000,1,974.0,1005.0
2015-02-03,1199.0,1250.0,1199.0,1243.0,28597000,23000,3,1005.0,1250.0
2015-02-04,1140.0,1140.0,952.0,1070.0,68371840,63920,2,1243.0,952.0
2015-02-07,1000.0,1000.0,961.0,984.0,9844000,10000,3,1070.0,961.0
2015-02-08,961.0,1030.0,851.0,898.0,132670250,147750,5,984.0,1030.0
2015-02-09,999.0,999.0,920.0,958.0,124604340,130060,7,898.0,990.0
2015-02-10,930.0,930.0,920.0,925.0,18500000,20000,2,958.0,920.0
2015-02-14,998.0,998.0,950.0,952.0,9899200,10400,2,925.0,950.0
2015-02-16,913.0,913.0,900.0,909.0,36350000,40000,4,952.0,900.0
2015-02-18,861.0,861.0,861.0,861.0,17220000,20000,1,909.0,861.0
2015-02-22,863.0,863.0,851.0,853.0,47265400,55400,2,861.0,851.0
2015-02-23,850.0,850.0,811.0,816.0,19592700,24000,2,853.0,811.0
2015-03-04,713.0,713.0,704.0,710.0,19961993,28099,4,816.0,707.0
2015-03-07,709.0,798.0,709.0,757.0,39838800,52600,3,710.0,798.0
2015-03-08,800.0,800.0,764.0,770.0,46560800,60451,3,757.0,764.0
2015-03-09,800.0,800.0,800.0,800.0,781600,977,1,770.0,800.0
2015-03-10,894.0,894.0,894.0,894.0,4470000,5000,1,800.0,894.0
2015-03-18,846.0,913.0,846.0,873.0,158229800,181200,9,894.0,913.0
2015-04-04,1000.0,1000.0,990.0,999.0,218379000,218500,6,873.0,1000.0
2015-04-05,1050.0,1120.0,951.0,1048.0,714207500,681310,18,999.0,951.0
2015-04-06,1250.0,1250.0,910.0,1201.0,42050000,35000,2,1048.0,910.0
2015-04-07,900.0,900.0,900.0,900.0,22500000,25000,1,1201.0,900.0
2015-04-08,880.0,900.0,880.0,899.0,159100,177,2,900.0,900.0
2015-04-11,900.0,900.0,900.0,900.0,13500000,15000,1,899.0,900.0
2015-04-12,999.0,1099.0,900.0,1010.0,85846000,85000,5,900.0,1099.0
2015-04-13,1099.0,1160.0,1099.0,1121.0,326554000,291400,10,1010.0,1160.0
2015-04-15,1150.0,1200.0,1150.0,1195.0,495476000,414480,7,1121.0,1200.0
2015-04-18,1042.0,1240.0,1042.0,1151.0,54292000,47150,6,1195.0,1200.0
2015-05-04,1000.0,1000.0,1000.0,1000.0,5000,5,1,1151.0,1000.0
2015-05-05,990.0,990.0,990.0,990.0,495000,500,1,1000.0,990.0
2015-05-17,700.0,700.0,570.0,579.0,11570500,20000,5,990.0,570.0
2015-05-18,605.0,621.0,605.0,607.0,30628080,50480,2,579.0,621.0
2015-05-31,643.0,643.0,643.0,643.0,6430000,10000,1,607.0,643.0
2015-06-02,643.0,643.0,642.0,642.0,25692500,40000,3,643.0,642.0
2015-06-09,650.0,650.0,650.0,650.0,3250000,5000,1,642.0,650.0
2015-06-24,700.0,700.0,700.0,700.0,2800000,4000,2,650.0,700.0
2015-06-28,660.0,660.0,647.0,654.0,6531765,9995,2,700.0,647.0
2015-06-29,647.0,647.0,647.0,647.0,12940000,20000,1,654.0,647.0
2015-07-15,721.0,790.0,721.0,743.0,23411500,31500,3,647.0,790.0
2015-07-25,750.0,750.0,722.0,733.0,19052000,26000,4,743.0,722.0
2015-07-28,735.0,735.0,735.0,735.0,7350000,10000,1,733.0,735.0
2015-07-29,735.0,735.0,735.0,735.0,6504750,8850,1,735.0,735.0
2015-08-12,736.0,736.0,736.0,736.0,7360000,10000,1,735.0,736.0
2015-08-18,735.0,735.0,735.0,735.0,33920250,46150,1,736.0,735.0
2015-08-31,647.0,647.0,620.0,625.0,6254000,10000,2,735.0,620.0
2015-09-13,650.0,650.0,650.0,650.0,5200000,8000,1,625.0,650.0
2015-09-22,602.0,602.0,602.0,602.0,3010000,5000,1,650.0,602.0
2015-10-14,605.0,605.0,603.0,604.0,20667600,34200,4,602.0,603.0
2015-10-20,604.0,604.0,604.0,604.0,10690800,17700,1,604.0,604.0
2015-10-21,604.0,604.0,604.0,604.0,6040000,10000,1,604.0,604.0
2015-12-01,643.0,643.0,620.0,623.0,12451000,20000,4,604.0,620.0
2015-12-09,651.0,651.0,630.0,646.0,3232100,5000,4,623.0,630.0
2015-12-13,690.0,699.0,690.0,696.0,11139000,16000,2,646.0,699.0
2015-12-22,699.0,699.0,699.0,699.0,977901,1399,1,696.0,699.0
2015-12-26,616.0,616.0,616.0,616.0,13181784,21399,1,699.0,616.0
2016-01-06,699.0,700.0,699.0,699.0,34970000,50000,2,616.0,700.0
2016-01-27,739.0,739.0,739.0,739.0,443400,600,3,699.0,739.0
2016-02-20,670.0,670.0,650.0,654.0,15833280,24202,4,739.0,670.0
2016-02-21,650.0,650.0,650.0,650.0,128700,198,1,654.0,650.0
2016-02-28,670.0,670.0,670.0,670.0,7303670,10901,1,650.0,670.0
2016-03-06,749.0,750.0,749.0,750.0,80387500,107250,4,670.0,750.0
2016-03-07,998.0,998.0,610.0,654.0,14396000,22000,3,750.0,610.0
2016-04-10,650.0,650.0,650.0,650.0,7800000,12000,1,654.0,650.0
2016-04-17,650.0,650.0,611.0,615.0,13521560,22000,4,650.0,611.0
2016-04-27,610.0,622.0,501.0,567.0,66859400,118000,6,615.0,501.0
2016-05-02,520.0,520.0,520.0,520.0,2600000,5000,1,567.0,520.0
2016-05-04,521.0,521.0,521.0,521.0,1276450,2450,1,520.0,521.0
2016-05-15,527.0,527.0,527.0,527.0,5270000,10000,1,521.0,527.0
2016-05-17,530.0,530.0,530.0,530.0,5300000,10000,1,527.0,530.0
2016-05-18,530.0,530.0,529.0,529.0,10590000,20000,2,530.0,529.0
2016-05-24,544.0,544.0,530.0,531.0,21931000,41300,2,529.0,530.0
2016-06-20,544.0,544.0,530.0,537.0,10740000,20000,2,531.0,530.0
2016-06-22,530.0,530.0,530.0,530.0,1094450,2065,1,537.0,530.0
2016-06-25,532.0,532.0,532.0,532.0,2128000,4000,1,530.0,532.0
2016-07-02,552.0,553.0,532.0,542.0,23869685,44000,5,532.0,533.0
2016-07-03,532.0,532.0,526.0,530.0,27505570,51920,3,542.0,526.0
2016-07-10,531.0,531.0,531.0,531.0,266031,501,1,530.0,531.0
2016-07-17,540.0,540.0,531.0,533.0,29503230,55330,4,531.0,531.0
2016-07-18,520.0,520.0,520.0,520.0,2600000,5000,1,533.0,520.0
2016-07-24,500.0,500.0,500.0,500.0,12500000,25000,3,520.0,500.0
2016-07-31,444.0,444.0,444.0,444.0,4440000,10000,1,500.0,444.0
2016-08-21,451.0,451.0,444.0,447.0,25541936,57144,3,444.0,444.0
2016-08-31,440.0,440.0,440.0,440.0,2942280,6687,1,447.0,440.0
2016-09-06,460.0,460.0,422.0,439.0,18454328,42000,4,440.0,422.0
2016-09-19,423.0,423.0,423.0,423.0,1288881,3047,1,439.0,423.0
2016-09-21,423.0,423.0,423.0,423.0,2115000,5000,1,423.0,423.0
2016-09-24,423.0,423.0,421.0,422.0,34566119,81953,3,423.0,421.0
