date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-10-28,18000.0,18000.0,18000.0,18000.0,90000000000,5000000,49,67.0,18000.0
2020-10-31,18540.0,18540.0,18540.0,18527.0,20121517620,1085303,122,18000.0,18540.0
2020-11-01,19082.0,19082.0,19082.0,18771.0,9327834978,488829,89,18527.0,19082.0
2020-11-02,19334.0,19334.0,19334.0,18946.0,6673400776,345164,53,18771.0,19334.0
2020-11-04,19893.0,19893.0,19893.0,19310.0,8506704339,427623,56,18946.0,19893.0
2020-11-07,19889.0,19889.0,19889.0,19571.0,9297809165,467485,71,19310.0,19889.0
2020-11-08,20158.0,20158.0,20158.0,19715.0,5116947036,253842,61,19571.0,20158.0
2020-11-09,20306.0,20306.0,20306.0,19988.0,9708257988,478098,59,19715.0,20306.0
2020-11-10,20987.0,20987.0,20987.0,20987.0,21830173712,1040176,59,19988.0,20987.0
2020-11-11,21616.0,21616.0,21616.0,21184.0,7019471760,324735,50,20987.0,21616.0
2020-11-14,21819.0,21819.0,21819.0,21341.0,5103682290,233910,54,21184.0,21819.0
2020-11-15,21981.0,21981.0,21981.0,21666.0,10552242822,480062,46,21341.0,21981.0
2020-11-16,22749.0,22749.0,22749.0,22070.0,8007943737,352013,54,21666.0,22749.0
2020-11-17,22732.0,22732.0,22732.0,22309.0,7740496052,340511,31,22070.0,22732.0
2020-11-29,22463.0,22463.0,22463.0,21972.0,5134749781,228587,33,21809.0,22463.0
2020-11-30,22631.0,22631.0,22631.0,22284.0,9827127023,434233,56,21972.0,22631.0
2020-12-01,22952.0,22952.0,22952.0,22479.0,6159444624,268362,53,22284.0,22952.0
2020-12-02,23153.0,23153.0,23153.0,22684.0,6448110500,278500,46,22479.0,23153.0
2020-12-05,23818.0,23818.0,23818.0,22953.0,4977199824,208968,52,22684.0,23818.0
2020-12-06,23641.0,23641.0,23641.0,23157.0,6167345875,260875,52,22953.0,23641.0
2020-12-07,23851.0,23851.0,23851.0,23347.0,5771536533,241983,60,23157.0,23851.0
2020-12-08,24047.0,24047.0,24047.0,23554.0,6275088697,260951,57,23347.0,24047.0
2020-12-09,24731.0,24731.0,24731.0,24055.0,9289433489,375619,87,23554.0,24731.0
2020-12-12,24776.0,24776.0,24776.0,24269.0,6119126928,246978,67,24055.0,24776.0
2020-12-13,24997.0,24997.0,24997.0,24444.0,5001849706,200098,44,24269.0,24997.0
2020-12-14,25177.0,25177.0,25177.0,24614.0,4860797505,193065,42,24444.0,25177.0
2020-12-15,25844.0,25844.0,25844.0,25035.0,7351480864,284456,75,24614.0,25844.0
2020-12-20,25786.0,25786.0,25786.0,25272.0,6514136678,252623,29,25035.0,25786.0
2020-12-21,26030.0,26030.0,26030.0,25618.0,9499049810,364927,52,25272.0,26030.0
2020-12-22,26386.0,26386.0,26386.0,25720.0,2789290446,105711,30,25618.0,26386.0
2020-12-23,26491.0,26491.0,26491.0,25837.0,3204086450,120950,31,25720.0,26491.0
2020-12-26,27128.0,27128.0,27128.0,26471.0,10305574536,379887,49,25837.0,27128.0
2020-12-27,27265.0,27265.0,27265.0,26692.0,5887331450,215930,31,26471.0,27265.0
2020-12-28,27492.0,27492.0,27492.0,26841.0,3960552504,144062,27,26692.0,27492.0
2020-12-29,27646.0,27646.0,27646.0,27051.0,5583607328,201968,44,26841.0,27646.0
2020-12-30,28403.0,28403.0,28403.0,27387.0,5461016407,192269,38,27051.0,28403.0
2021-01-02,28208.0,28208.0,28208.0,27599.0,5316531008,188476,58,27387.0,28208.0
2021-01-03,28426.0,28426.0,28426.0,27820.0,5539829436,194886,45,27599.0,28426.0
2021-01-04,28654.0,28654.0,28654.0,28292.0,11833299688,412972,48,27820.0,28654.0
2021-01-05,29706.0,29706.0,29706.0,29706.0,33947957388,1142798,133,28292.0,29706.0
2021-02-14,5186.0,5186.0,5186.0,5127.0,12502642170,2410845,86,5035.0,5186.0
2021-02-15,5280.0,5280.0,5280.0,5201.0,10157030400,1923680,80,5127.0,5280.0
2021-02-16,5357.0,5357.0,5357.0,5268.0,9176439217,1712981,52,5201.0,5357.0
2021-02-17,5426.0,5426.0,5426.0,5316.0,6551601996,1207446,52,5268.0,5426.0
2021-02-20,5581.0,5581.0,5581.0,5477.0,12789492153,2291613,89,5316.0,5581.0
2021-02-21,5641.0,5641.0,5641.0,5530.0,6864487772,1216892,53,5477.0,5641.0
2021-02-22,5695.0,5695.0,5695.0,5614.0,10929507995,1919141,76,5530.0,5695.0
2021-02-23,5782.0,5782.0,5782.0,5720.0,13725328946,2373803,86,5614.0,5782.0
2021-02-24,6006.0,6006.0,6006.0,5896.0,13902064176,2314696,112,5720.0,6006.0
2021-03-13,6072.0,6072.0,5779.0,5957.0,696311746654,116889630,3292,5896.0,5779.0
2021-03-14,5838.0,5838.0,5838.0,5838.0,95086897878,16287581,487,5957.0,5838.0
2021-03-15,5722.0,5722.0,5722.0,5722.0,36807548914,6432637,286,5838.0,5722.0
2021-03-16,5608.0,5608.0,5608.0,5608.0,46735770944,8333768,310,5722.0,5608.0
2021-03-17,5450.0,5888.0,5450.0,5766.0,480964935987,83419270,2258,5608.0,5888.0
2021-03-27,5910.0,5910.0,5651.0,5718.0,158909690509,27789034,1869,5766.0,5765.0
2021-03-28,5740.0,5845.0,5604.0,5647.0,104229500283,18457431,1477,5718.0,5604.0
2021-03-30,5550.0,5560.0,5535.0,5579.0,11888288338,2146776,211,5647.0,5535.0
2021-03-31,5468.0,5535.0,5468.0,5470.0,116810769384,21356070,629,5579.0,5499.0
2021-04-03,5490.0,5580.0,5361.0,5397.0,78404205601,14527293,724,5470.0,5361.0
2021-04-04,5290.0,5290.0,5290.0,5392.0,852250740,161106,47,5397.0,5290.0
2021-04-05,5285.0,5285.0,5285.0,5361.0,5527829895,1045947,50,5392.0,5285.0
2021-04-06,5147.0,5147.0,5147.0,5198.0,14360778522,2790126,118,5361.0,5147.0
2021-04-07,5095.0,5095.0,5095.0,5196.0,416016940,81652,27,5198.0,5095.0
2021-04-10,5093.0,5093.0,5093.0,5192.0,675683217,132669,30,5196.0,5093.0
2021-04-11,5089.0,5089.0,5089.0,5191.0,236068532,46388,15,5192.0,5089.0
2021-04-12,4984.0,4984.0,4984.0,5154.0,3465679224,695361,70,5191.0,4984.0
2021-04-13,5051.0,5051.0,5051.0,5102.0,9821639194,1944494,61,5154.0,5051.0
2021-04-14,5000.0,5000.0,5000.0,5093.0,1700660000,340132,33,5102.0,5000.0
