date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-08-31,1270.0,1270.0,1270.0,1270.0,19050000,15000,2,900.0,1270.0
2014-10-08,1999.0,1999.0,1999.0,1999.0,19990000,10000,2,1270.0,1999.0
2014-10-15,2190.0,2200.0,2190.0,2190.0,4600000,2100,2,1999.0,2200.0
2014-10-19,2500.0,2500.0,2500.0,2500.0,22500000,9000,2,2190.0,2500.0
2014-10-20,3000.0,3500.0,3000.0,3168.0,47200000,14900,5,2500.0,3500.0
2014-10-21,3100.0,4500.0,3100.0,3947.0,26840000,6800,3,3168.0,4500.0
2014-10-22,6000.0,7000.0,6000.0,6831.0,40300000,5900,2,3947.0,7000.0
2014-10-25,9900.0,9900.0,9900.0,9900.0,48510000,4900,7,6831.0,9900.0
2014-10-26,10000.0,10000.0,10000.0,10000.0,118850000,11885,5,9900.0,10000.0
2014-10-28,7000.0,7000.0,4000.0,4546.0,137460000,30240,8,10000.0,4000.0
2014-11-01,4500.0,4500.0,4500.0,4500.0,45000,10,1,4546.0,4500.0
2014-11-02,4500.0,4500.0,3000.0,3036.0,112827000,37164,10,4500.0,3000.0
2014-11-05,3200.0,3200.0,3000.0,3053.0,161010000,52736,10,3036.0,3200.0
2014-11-08,3500.0,3600.0,3300.0,3392.0,81400000,24000,3,3053.0,3300.0
2014-11-09,3500.0,4427.0,3500.0,3696.0,120117500,32500,4,3392.0,4427.0
2014-11-10,4500.0,4500.0,4444.0,4491.0,259378500,57750,17,3696.0,4500.0
2014-11-11,4500.0,5000.0,4490.0,4821.0,326490800,67721,10,4491.0,4500.0
2014-11-12,4750.0,5000.0,4000.0,4233.0,156638400,37000,6,4821.0,4000.0
2014-11-16,4000.0,4300.0,3900.0,3999.0,125964500,31500,12,4233.0,4000.0
2014-11-17,4000.0,4000.0,4000.0,4000.0,8000000,2000,1,3999.0,4000.0
2014-11-19,3980.0,3980.0,3611.0,3854.0,60705500,15750,5,4000.0,3810.0
2014-11-22,3710.0,3710.0,3511.0,3595.0,127778709,35541,10,3854.0,3511.0
2014-11-23,3600.0,3600.0,3600.0,3600.0,435448800,120958,5,3595.0,3600.0
2014-11-24,3601.0,3601.0,3600.0,3601.0,64816000,18000,7,3600.0,3601.0
2014-11-25,3511.0,3700.0,3511.0,3632.0,25427500,7000,2,3601.0,3700.0
2014-11-26,3780.0,3800.0,3780.0,3795.0,58820000,15500,7,3632.0,3800.0
2014-12-01,3511.0,3511.0,3511.0,3511.0,77242000,22000,3,3795.0,3511.0
2014-12-02,3511.0,3511.0,3360.0,3507.0,80838931,23048,6,3511.0,3511.0
2014-12-03,3360.0,3360.0,3360.0,3360.0,4882080,1453,1,3507.0,3360.0
2014-12-06,3100.0,3200.0,3020.0,3081.0,142085500,46115,12,3360.0,3050.0
2014-12-07,2802.0,2802.0,2802.0,2802.0,11208000,4000,1,3081.0,2802.0
2014-12-08,2800.0,2800.0,2800.0,2800.0,8960000,3200,2,2802.0,2800.0
2014-12-15,2800.0,2800.0,2750.0,2798.0,72190000,25800,3,2800.0,2750.0
2014-12-20,2304.0,2304.0,2304.0,2304.0,2559744,1111,1,2798.0,2304.0
2014-12-24,2700.0,2790.0,2700.0,2776.0,243960300,87889,3,2304.0,2790.0
2014-12-27,3222.0,3222.0,3190.0,3215.0,2250760,700,4,2776.0,3190.0
2014-12-30,3300.0,3300.0,2750.0,3204.0,65493050,20440,5,3215.0,3199.0
2015-01-07,2500.0,2500.0,2500.0,2500.0,8250000,3300,1,3204.0,2500.0
2015-01-12,2500.0,2500.0,2500.0,2500.0,210000,84,1,2500.0,2500.0
2015-01-17,2600.0,2600.0,2501.0,2594.0,206754700,79700,2,2500.0,2501.0
2015-01-21,3000.0,3000.0,2500.0,2567.0,12100400,4714,3,2594.0,2500.0
2015-01-25,2567.0,2567.0,2567.0,2567.0,192525000,75000,1,2567.0,2567.0
2015-01-27,2322.0,2322.0,2320.0,2321.0,44257760,19068,2,2567.0,2320.0
2015-01-31,2320.0,2320.0,2320.0,2320.0,6960000,3000,2,2321.0,2320.0
2015-02-03,2780.0,2780.0,2780.0,2780.0,5560000,2000,1,2320.0,2780.0
2015-02-04,2620.0,2620.0,2620.0,2620.0,3930000,1500,1,2780.0,2620.0
2015-02-07,2789.0,2900.0,2520.0,2649.0,19102300,7210,9,2620.0,2849.0
2015-02-08,2370.0,2370.0,2320.0,2323.0,46458000,20000,6,2649.0,2320.0
2015-02-16,2222.0,2223.0,2222.0,2222.0,26666000,12000,2,2323.0,2223.0
2015-02-17,2220.0,2223.0,2220.0,2220.0,53292000,24000,3,2222.0,2223.0
2015-02-18,2200.0,2200.0,2200.0,2200.0,55000000,25000,1,2220.0,2200.0
2015-03-02,2000.0,2030.0,2000.0,2009.0,235710000,117300,14,2200.0,2000.0
2015-03-03,1610.0,2010.0,1610.0,1768.0,10077000,5700,3,2009.0,1750.0
2015-03-04,1750.0,1760.0,1750.0,1754.0,15790000,9000,2,1768.0,1760.0
2015-03-08,1770.0,1770.0,1770.0,1770.0,13275000,7500,2,1754.0,1770.0
2015-03-29,2100.0,2200.0,2100.0,2114.0,74000000,35000,5,1770.0,2200.0
2015-03-30,2429.0,2429.0,2300.0,2348.0,56361000,24000,5,2114.0,2429.0
2015-03-31,2440.0,2440.0,2440.0,2440.0,18224360,7469,1,2348.0,2440.0
2015-04-04,2440.0,2499.0,2440.0,2470.0,55655640,22531,3,2440.0,2449.0
2015-04-05,3198.0,3200.0,2800.0,3163.0,640403920,202491,36,2470.0,3190.0
2015-04-06,3200.0,3200.0,2700.0,2878.0,365949320,127173,15,3163.0,2730.0
2015-04-07,2730.0,2730.0,2730.0,2730.0,5293470,1939,1,2878.0,2730.0
2015-04-18,2150.0,2150.0,2150.0,2150.0,10750000,5000,1,2730.0,2150.0
2015-04-21,2800.0,2945.0,2600.0,2757.0,450167000,163295,9,2150.0,2700.0
2015-04-22,2600.0,2600.0,2600.0,2600.0,26000000,10000,1,2757.0,2600.0
2015-04-25,2400.0,2401.0,2400.0,2400.0,36005000,15000,2,2600.0,2401.0
2015-04-27,2410.0,2420.0,2410.0,2417.0,69615000,28800,2,2400.0,2420.0
2015-04-29,2411.0,2411.0,2410.0,2411.0,84375000,35000,3,2417.0,2410.0
2015-05-04,2410.0,2410.0,2400.0,2402.0,24019000,10000,2,2411.0,2400.0
2015-05-05,2369.0,2400.0,2369.0,2373.0,46764845,19705,3,2402.0,2377.0
2015-05-06,2400.0,2400.0,2400.0,2400.0,36000000,15000,1,2373.0,2400.0
