date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-03-05,4000.0,5251.0,4000.0,4740.0,11528584401,2432330,1587,1000.0,5251.0
2012-03-06,4977.0,4977.0,4977.0,4977.0,1991795400,400200,163,4740.0,4977.0
2012-03-07,5225.0,5225.0,5225.0,5225.0,1569746750,300430,122,4977.0,5225.0
2012-03-10,5486.0,5486.0,5435.0,5485.0,5043038900,919350,401,5225.0,5486.0
2012-03-11,5759.0,5759.0,5759.0,5759.0,1310172500,227500,98,5485.0,5759.0
2012-03-12,5970.0,5970.0,5472.0,5688.0,2865577600,503800,245,5759.0,5472.0
2012-03-13,5418.0,5418.0,5404.0,5414.0,188405700,34800,25,5688.0,5404.0
2012-03-14,5144.0,5171.0,5144.0,5146.0,961280800,186800,126,5414.0,5144.0
2012-03-17,4929.0,5250.0,4889.0,5048.0,368760000,73050,38,5146.0,4889.0
2012-03-18,4796.0,4796.0,4796.0,4796.0,479600,100,1,5048.0,4796.0
2012-03-24,4608.0,4796.0,4557.0,4604.0,81957300,17800,12,4796.0,4557.0
2012-03-25,4374.0,4779.0,4374.0,4462.0,678214100,152003,99,4604.0,4540.0
2012-03-26,4685.0,4685.0,4251.0,4285.0,32565500,7600,6,4462.0,4251.0
2012-03-27,4400.0,4497.0,4071.0,4165.0,728820602,174978,104,4285.0,4114.0
2012-03-28,4350.0,4373.0,4168.0,4322.0,313186758,72468,51,4165.0,4373.0
2012-04-02,4322.0,4322.0,4322.0,4322.0,43220000,10000,5,4322.0,4322.0
2012-04-03,4221.0,4221.0,4106.0,4163.0,116567000,28000,20,4322.0,4106.0
2012-04-04,4147.0,4147.0,3981.0,4079.0,494078201,121135,82,4163.0,3981.0
2012-04-07,4180.0,4180.0,4178.0,4179.0,15460500,3700,7,4079.0,4179.0
2012-04-08,4179.0,4179.0,3971.0,3989.0,45894355,11505,10,4179.0,3971.0
2012-04-09,4118.0,4188.0,3899.0,4144.0,621651432,150000,82,3989.0,4188.0
2012-04-10,4351.0,4351.0,4351.0,4351.0,36983500,8500,5,4144.0,4351.0
2012-04-11,4444.0,4444.0,4134.0,4141.0,144951300,35000,18,4351.0,4136.0
2012-04-14,4347.0,4348.0,4150.0,4275.0,203059194,47500,33,4141.0,4200.0
2012-04-15,4071.0,4071.0,4062.0,4063.0,195427200,48100,29,4275.0,4062.0
2012-04-16,4062.0,4062.0,3860.0,3873.0,176243500,45500,26,4063.0,3860.0
2012-04-17,4060.0,4064.0,3898.0,3977.0,530872808,133500,77,3873.0,3999.0
2012-04-18,4061.0,4160.0,3800.0,3880.0,152480200,39300,23,3977.0,3800.0
2012-04-21,3930.0,4074.0,3930.0,4046.0,398512000,98500,47,3880.0,4074.0
2012-04-22,4159.0,4248.0,4159.0,4242.0,223872160,52780,48,4046.0,4248.0
2012-04-23,4300.0,4300.0,4220.0,4290.0,68645000,16000,13,4242.0,4285.0
2012-04-24,4498.0,4498.0,4498.0,4498.0,899600,200,1,4290.0,4498.0
2012-04-28,4589.0,4589.0,4589.0,4589.0,229450,50,1,4498.0,4589.0
2012-05-01,4360.0,4360.0,4360.0,4360.0,10900000,2500,1,4589.0,4360.0
2012-05-02,4142.0,4142.0,4142.0,4142.0,41420000,10000,5,4360.0,4142.0
2012-05-05,3947.0,3947.0,3935.0,3943.0,27998500,7100,4,4142.0,3935.0
2012-05-06,3933.0,4140.0,3860.0,3942.0,23652100,6000,5,3943.0,3860.0
2012-05-07,4050.0,4050.0,4050.0,4050.0,8100000,2000,1,3942.0,4050.0
2012-05-08,4030.0,4030.0,4030.0,4030.0,8060000,2000,2,4050.0,4030.0
2012-05-09,3833.0,3833.0,3829.0,3829.0,419285500,109500,45,4030.0,3829.0
2012-05-12,3999.0,3999.0,3999.0,3999.0,3999000,1000,1,3829.0,3999.0
2012-05-13,3973.0,3973.0,3973.0,3973.0,397300,100,1,3999.0,3973.0
2012-05-14,3775.0,3775.0,3775.0,3775.0,9437500,2500,1,3973.0,3775.0
