date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-08-28,5600.0,5600.0,5600.0,5600.0,11459627200,2046362,295,1000.0,5600.0
2017-08-30,5590.0,5590.0,4499.0,4926.0,1726652320,350516,69,5600.0,4499.0
2017-09-02,3551.0,3630.0,3551.0,3568.0,10275921677,2880045,597,4926.0,3630.0
2017-09-04,3630.0,3789.0,3630.0,3722.0,3560805063,955305,135,3568.0,3789.0
2017-09-06,3727.0,3851.0,3727.0,3792.0,2266898002,597742,124,3727.0,3851.0
2017-09-11,3979.0,3979.0,3753.0,3944.0,3079842203,780857,161,3792.0,3753.0
2017-09-13,3720.0,3720.0,3669.0,3718.0,1774026951,477170,137,3944.0,3669.0
2017-09-16,3699.0,3704.0,3699.0,3700.0,1137948714,307561,76,3718.0,3704.0
2017-09-18,3949.0,3949.0,3820.0,3913.0,3384187053,864942,113,3700.0,3820.0
2017-09-20,3700.0,3700.0,3700.0,3700.0,383727000,103710,12,3913.0,3700.0
2017-09-23,3700.0,3700.0,3700.0,3700.0,1551084400,419212,67,3700.0,3700.0
2017-09-25,3700.0,3730.0,3700.0,3702.0,1211652190,327322,47,3700.0,3730.0
2017-10-07,3899.0,3899.0,3899.0,3899.0,2297735286,589314,45,3702.0,3899.0
2017-10-09,3890.0,3890.0,3612.0,3859.0,1077545028,279216,52,3899.0,3612.0
2017-10-11,3657.0,3657.0,3657.0,3657.0,251780793,68849,10,3859.0,3657.0
2017-10-14,3849.0,3849.0,3750.0,3751.0,196000650,52251,17,3657.0,3750.0
2017-10-16,3550.0,3580.0,3550.0,3550.0,1337515950,376749,47,3751.0,3580.0
2017-10-18,3651.0,3800.0,3651.0,3784.0,704580000,186200,24,3550.0,3800.0
2017-10-21,3770.0,3770.0,3770.0,3770.0,911265550,241715,47,3784.0,3770.0
2017-10-23,3802.0,3804.0,3802.0,3803.0,609106762,160182,27,3770.0,3804.0
2017-10-25,3946.0,3946.0,3802.0,3824.0,202621820,52982,22,3803.0,3802.0
2017-10-28,3803.0,3803.0,3803.0,3803.0,553416363,145521,24,3824.0,3803.0
2017-10-30,3803.0,3895.0,3803.0,3839.0,1206771174,314358,30,3803.0,3895.0
2017-11-01,3889.0,3935.0,3889.0,3895.0,1454928635,373563,52,3839.0,3935.0
2017-11-04,3950.0,4310.0,3950.0,4123.0,1533975200,372052,82,3895.0,4310.0
2017-11-06,4610.0,4899.0,4610.0,4657.0,3000317598,642121,122,4123.0,4899.0
2017-11-08,5000.0,5000.0,4590.0,4962.0,2127065000,428693,87,4657.0,4590.0
2017-11-11,4502.0,4600.0,4502.0,4518.0,3065284022,678415,124,4962.0,4600.0
2017-11-20,4599.0,4599.0,4599.0,4599.0,873225927,189873,21,4520.0,4599.0
2017-11-22,4610.0,4610.0,4544.0,4605.0,2092474294,454430,70,4599.0,4544.0
2017-11-25,4290.0,4290.0,4290.0,4290.0,257400000,60000,5,4605.0,4290.0
2017-11-29,4300.0,4500.0,4300.0,4336.0,3190189500,735727,70,4290.0,4500.0
2017-12-02,4886.0,4886.0,4340.0,4459.0,230981800,51800,12,4336.0,4340.0
2017-12-04,4459.0,4459.0,4200.0,4334.0,90045725,20775,7,4459.0,4200.0
2017-12-09,3720.0,4000.0,3720.0,3950.0,580432360,146929,25,4334.0,4000.0
2017-12-11,3950.0,3950.0,3950.0,3950.0,321917100,81498,14,3950.0,3950.0
2017-12-13,4000.0,4000.0,3900.0,3993.0,685179000,171581,38,3950.0,3900.0
2017-12-16,3999.0,3999.0,3753.0,3870.0,103149345,26655,7,3993.0,3753.0
2017-12-18,3870.0,3630.0,3630.0,3630.0,181500000,50000,6,3870.0,3630.0
2017-12-20,3700.0,3710.0,3700.0,3702.0,543961300,146949,26,3630.0,3710.0
2017-12-23,3621.0,3621.0,3621.0,3621.0,36210000,10000,7,3702.0,3621.0
2017-12-25,3750.0,3750.0,3750.0,3750.0,1084061250,289083,38,3621.0,3750.0
2017-12-27,3750.0,3750.0,3750.0,3750.0,522363750,139297,45,3750.0,3750.0
2018-01-03,3621.0,3621.0,3234.0,3603.0,511285269,141910,31,3750.0,3234.0
2018-01-06,3620.0,3700.0,3620.0,3627.0,1387113280,382400,28,3603.0,3700.0
2018-01-08,3700.0,3700.0,3700.0,3700.0,305198200,82486,16,3627.0,3700.0
2018-01-10,3698.0,3698.0,3698.0,3698.0,7961794,2153,2,3700.0,3698.0
2018-01-15,3669.0,3669.0,3500.0,3503.0,81715120,23324,6,3698.0,3500.0
2018-01-17,3503.0,3556.0,3503.0,3516.0,306999680,87310,17,3503.0,3556.0
2018-01-20,3668.0,3668.0,3551.0,3574.0,203829388,57029,15,3516.0,3551.0
2018-01-22,3573.0,3573.0,3560.0,3572.0,428998019,120103,13,3574.0,3573.0
2018-01-24,3450.0,3450.0,3450.0,3450.0,7935000,2300,2,3572.0,3450.0
2018-01-27,3450.0,3499.0,3450.0,3450.0,198734210,57600,19,3450.0,3499.0
2018-01-29,3437.0,3437.0,3437.0,3437.0,1718500,500,2,3450.0,3437.0
2018-01-31,3437.0,3437.0,3437.0,3437.0,221683063,64499,10,3437.0,3437.0
