date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-08-26,10000.0,10000.0,10000.0,10000.0,34565710000,3456571,177,10000.0,10000.0
2019-08-27,10000.0,10000.0,10000.0,10000.0,52220420000,5222042,179,10000.0,10000.0
2019-08-28,10000.0,10000.0,10000.0,10000.0,28779550000,2877955,442,10000.0,10000.0
2019-08-31,10000.0,10000.0,10000.0,10000.0,6897240000,689724,213,10000.0,10000.0
2019-09-01,10000.0,10000.0,10000.0,10000.0,27829020000,2782902,84,10000.0,10000.0
2019-10-14,10289.0,10290.0,10289.0,10289.0,2141649061,208149,16,10000.0,10289.0
2019-10-15,10290.0,10293.0,10287.0,10290.0,1366059896,132752,60,10289.0,10292.0
2019-10-16,10297.0,10299.0,10293.0,10295.0,14989531625,1456064,81,10290.0,10297.0
2019-10-20,11000.0,11000.0,10311.0,10316.0,1241468394,120342,29,10295.0,10311.0
2019-10-21,10320.0,10321.0,10318.0,10320.0,10699466716,1036772,48,10316.0,10321.0
2019-10-22,10325.0,10325.0,10321.0,10325.0,4919421624,476468,32,10320.0,10325.0
2019-10-23,10111.0,10111.0,10006.0,10010.0,10191933798,1018225,82,10325.0,10006.0
2019-10-26,10018.0,10018.0,10015.0,10018.0,18658066038,1862455,62,10010.0,10018.0
2019-10-28,10324.0,10324.0,10029.0,10034.0,244235620943,24341730,556,10018.0,10040.0
2019-10-30,10054.0,10070.0,10040.0,10045.0,155285875071,15459009,309,10034.0,10045.0
2019-11-02,10088.0,10088.0,10045.0,10048.0,50455416820,5021210,146,10045.0,10050.0
2019-11-03,10090.0,10090.0,10049.0,10052.0,28625600120,2847725,74,10048.0,10053.0
2019-11-04,10055.0,10057.0,10055.0,10057.0,30059573374,2988927,107,10052.0,10057.0
2019-11-05,10059.0,10078.0,10056.0,10077.0,43168591646,4283692,105,10057.0,10073.0
2019-11-09,10080.0,10083.0,10080.0,10083.0,5168580099,512618,37,10077.0,10083.0
2019-11-10,10179.0,10179.0,10083.0,10093.0,847782501,83999,21,10083.0,10097.0
2019-11-11,10097.0,10101.0,10096.0,10099.0,12561384679,1243816,41,10093.0,10096.0
2019-11-12,10105.0,10105.0,10100.0,10101.0,11757710773,1164013,29,10099.0,10101.0
2019-11-13,10115.0,10125.0,10115.0,10116.0,63733564446,6300216,141,10101.0,10115.0
