date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-05-10,1210.0,1210.0,1210.0,1210.0,1210000,1000,1,1000.0,1210.0
2015-09-01,1110.0,1110.0,1110.0,1110.0,1110000,1000,1,1088.0,1110.0
2015-10-19,1110.0,1110.0,1110.0,1110.0,555000,500,1,1110.0,1110.0
2015-12-01,1110.0,1110.0,1110.0,1110.0,111000,100,1,1110.0,1110.0
2015-12-07,1110.0,1110.0,1110.0,1110.0,111000,100,1,1110.0,1110.0
2016-01-16,1110.0,1110.0,1110.0,1110.0,1110000,1000,1,1110.0,1110.0
2016-03-05,1110.0,1110.0,1110.0,1110.0,15540000,14000,1,1110.0,1110.0
2016-07-04,1110.0,1110.0,1110.0,1110.0,11100,10,1,1110.0,1110.0
2016-07-10,1110.0,1110.0,1110.0,1110.0,1110,1,1,1110.0,1110.0
2016-07-11,1110.0,1110.0,1110.0,1110.0,1375290,1239,2,1110.0,1110.0
2017-01-16,911.0,911.0,911.0,911.0,9110000,10000,1,1103.0,911.0
2017-04-10,911.0,911.0,911.0,911.0,81990,90,2,911.0,911.0
2017-05-27,911.0,911.0,911.0,911.0,2657387,2917,1,911.0,911.0
2017-05-30,1002.0,1002.0,1002.0,1002.0,15100140,15070,2,911.0,1002.0
2017-06-07,1102.0,1102.0,1102.0,1102.0,5504490,4995,1,1002.0,1102.0
2017-07-17,1212.0,1212.0,1212.0,1212.0,18180000,15000,2,1102.0,1212.0
2017-08-14,1500.0,1803.0,1500.0,1210.0,23822025,15745,2,1202.0,1803.0
2017-08-19,1803.0,1803.0,1803.0,1211.0,2430444,1348,2,1210.0,1803.0
2017-08-26,1060.0,1100.0,1060.0,1208.0,17142620,15748,3,1211.0,1100.0
2017-08-30,1100.0,1100.0,1100.0,1203.0,33000000,30000,4,1208.0,1100.0
2017-09-03,1100.0,1100.0,1100.0,1201.0,11742500,10675,3,1203.0,1100.0
2017-09-04,1000.0,1000.0,1000.0,1194.0,15000000,15000,2,1201.0,1000.0
2017-09-24,1200.0,1200.0,1000.0,1196.0,2540000,2300,3,1196.0,1000.0
2017-10-11,1450.0,1450.0,1450.0,1196.0,1450000,1000,1,1196.0,1450.0
2017-10-15,1060.0,1060.0,1060.0,1195.0,5300000,5000,1,1196.0,1060.0
2017-10-16,1070.0,1070.0,1070.0,1194.0,5350000,5000,1,1195.0,1070.0
2017-10-22,1200.0,1200.0,1200.0,1194.0,810000,675,1,1194.0,1200.0
2017-10-28,1200.0,1220.0,1200.0,1194.0,6032200,5010,2,1194.0,1220.0
2017-11-04,1200.0,1200.0,1027.0,1193.0,6465270,6110,2,1194.0,1027.0
2017-11-05,1053.0,1090.0,1053.0,1191.0,11903000,11100,3,1193.0,1090.0
2017-11-06,1299.0,1299.0,1299.0,1191.0,2598000,2000,1,1191.0,1299.0
2017-11-08,1260.0,1260.0,1260.0,1191.0,3780000,3000,2,1191.0,1260.0
2017-11-11,1191.0,1191.0,1191.0,1191.0,11910000,10000,4,1191.0,1191.0
2017-11-12,1195.0,1220.0,1195.0,1192.0,28420000,23500,4,1191.0,1220.0
2017-11-13,1340.0,1340.0,1340.0,1195.0,15034800,11220,7,1192.0,1340.0
2017-11-25,1070.0,1070.0,1070.0,1194.0,4554990,4257,2,1195.0,1070.0
2017-11-29,1062.0,1062.0,1062.0,1193.0,4399866,4143,2,1194.0,1062.0
2017-12-04,1231.0,1231.0,1225.0,1193.0,245600,200,2,1193.0,1225.0
2017-12-24,1190.0,1190.0,1190.0,1084.0,1190000,1000,1,1084.0,1190.0
2017-12-25,1190.0,1190.0,1190.0,1084.0,1904000,1600,1,1084.0,1190.0
2018-01-03,1179.0,1190.0,1179.0,1085.0,16287790,13701,3,1084.0,1190.0
2018-01-06,1190.0,1200.0,1190.0,1086.0,13155520,11029,8,1085.0,1190.0
2018-01-07,1100.0,1200.0,1100.0,1086.0,2266549,1960,3,1086.0,1200.0
2018-01-13,1101.0,1101.0,1101.0,1086.0,6394608,5808,3,1086.0,1101.0
2018-01-30,730.0,848.0,710.0,766.0,3729117433,4869927,352,1086.0,710.0
2018-01-31,710.0,710.0,690.0,700.0,1066251485,1523301,117,766.0,690.0
2018-02-03,661.0,664.0,633.0,643.0,739214199,1148814,119,700.0,641.0
2018-02-04,630.0,670.0,585.0,606.0,22604847805,37304124,3198,643.0,645.0
2018-02-05,660.0,666.0,660.0,666.0,7774964318,11675542,531,606.0,666.0
2018-02-06,700.0,719.0,662.0,686.0,8996399920,13111338,816,666.0,670.0
2018-02-07,661.0,679.0,659.0,666.0,2040522875,3062823,206,686.0,661.0
2018-02-10,657.0,657.0,625.0,633.0,1228188990,1940813,158,666.0,630.0
2018-02-12,665.0,665.0,629.0,633.0,778688070,1229210,128,633.0,629.0
2018-02-13,633.0,650.0,604.0,612.0,13366330325,21853088,1757,633.0,626.0
2018-02-14,618.0,633.0,618.0,628.0,1733822856,2761018,163,612.0,630.0
2018-02-17,617.0,638.0,607.0,616.0,2845978732,4623612,285,628.0,610.0
2018-02-18,614.0,619.0,606.0,609.0,505477601,829336,88,616.0,609.0
2018-02-19,612.0,625.0,607.0,611.0,962799952,1575940,137,609.0,607.0
2018-02-21,610.0,648.0,609.0,631.0,1881421585,2983180,253,611.0,640.0
2018-02-24,622.0,633.0,622.0,628.0,1120384616,1783010,126,631.0,625.0
2018-02-25,614.0,634.0,613.0,626.0,1154154343,1843065,165,628.0,630.0
2018-02-26,629.0,630.0,614.0,627.0,895293868,1428800,106,626.0,627.0
2018-02-27,616.0,628.0,616.0,622.0,505066774,812005,65,627.0,628.0
2018-02-28,627.0,627.0,607.0,609.0,1065365925,1748120,149,622.0,607.0
2018-03-03,618.0,618.0,597.0,601.0,1241600293,2064406,205,609.0,600.0
2018-03-04,598.0,610.0,595.0,600.0,1022267789,1704793,152,601.0,600.0
2018-03-05,600.0,600.0,586.0,591.0,776295331,1312490,114,600.0,586.0
2018-03-06,586.0,593.0,580.0,586.0,430827766,735546,73,591.0,589.0
2018-03-07,595.0,613.0,582.0,600.0,987452328,1646480,166,586.0,606.0
2018-03-10,600.0,610.0,588.0,595.0,990262897,1663437,122,600.0,589.0
2018-03-11,609.0,613.0,583.0,594.0,423970377,713215,57,595.0,605.0
2018-03-26,590.0,624.0,585.0,591.0,28387289,48059,11,594.0,610.0
2018-03-27,593.0,650.0,592.0,642.0,2577242434,4016821,308,591.0,650.0
2018-03-28,684.0,688.0,640.0,665.0,4697313586,7062337,556,642.0,650.0
2018-04-03,657.0,657.0,613.0,622.0,1201994418,1932771,153,665.0,617.0
2018-04-04,617.0,617.0,604.0,608.0,583678712,959725,102,622.0,606.0
2018-04-07,609.0,630.0,609.0,624.0,487194908,780604,76,608.0,627.0
2018-04-08,629.0,629.0,601.0,605.0,477374573,789541,73,624.0,601.0
