date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-11,10000.0,10000.0,10000.0,10000.0,489774940000,48977494,2085,10000.0,10000.0
2020-07-12,10000.0,10000.0,10000.0,10000.0,500225060000,50022506,1814,10000.0,10000.0
2020-08-09,11000.0,11000.0,10200.0,10881.0,1719519310,158023,126,10000.0,10320.0
2020-08-10,10300.0,10300.0,9795.0,10022.0,40241724409,4015319,398,10881.0,10010.0
2020-08-11,10190.0,10190.0,10000.0,10004.0,6406335146,640360,112,10022.0,10000.0
2020-08-12,10010.0,10010.0,10000.0,10001.0,5353483001,535273,95,10004.0,10006.0
2020-08-15,10000.0,10010.0,10000.0,10001.0,2396520716,239639,93,10001.0,10002.0
2020-08-16,10010.0,10010.0,9890.0,9946.0,2741781134,275665,77,10001.0,9910.0
2020-08-17,9900.0,9918.0,9900.0,9902.0,1202917550,121482,68,9946.0,9903.0
2020-08-18,9930.0,10005.0,9930.0,9974.0,2155236273,216093,84,9902.0,9999.0
2020-08-19,10000.0,10000.0,9861.0,9887.0,778645545,78751,37,9974.0,9871.0
2020-08-22,9860.0,10000.0,9860.0,9890.0,651261368,65849,38,9887.0,9884.0
2020-08-23,9997.0,9997.0,9843.0,9889.0,8271595851,836458,80,9890.0,9847.0
2020-08-24,9848.0,9850.0,9810.0,9812.0,3521583671,358903,35,9889.0,9810.0
2020-08-25,9870.0,9998.0,9870.0,9920.0,348625229,35143,42,9812.0,9904.0
2020-08-26,9988.0,10000.0,9902.0,9969.0,3447606242,345827,98,9920.0,9990.0
2020-08-31,10010.0,10089.0,9970.0,10019.0,3017717625,301204,87,9969.0,10000.0
2020-09-01,10000.0,10010.0,9970.0,9985.0,2527140576,253093,55,10019.0,9971.0
2020-09-02,9951.0,9997.0,9910.0,9925.0,839653240,84604,44,9985.0,9940.0
2020-09-05,9970.0,9999.0,9970.0,9976.0,478139885,47929,31,9925.0,9990.0
2020-09-06,10010.0,10010.0,10000.0,10004.0,1313355043,131288,90,9976.0,10001.0
2020-09-07,9970.0,10000.0,9940.0,9948.0,1489286638,149708,42,10004.0,9940.0
2020-09-08,9940.0,9960.0,9890.0,9898.0,1501011943,151651,29,9948.0,9890.0
2020-09-09,10010.0,10010.0,9870.0,9924.0,5454831308,549686,43,9898.0,9920.0
2020-09-12,10018.0,10018.0,9951.0,9964.0,2506544631,251551,53,9924.0,9952.0
2020-09-13,10009.0,10009.0,9910.0,9930.0,3965449489,399321,60,9964.0,9910.0
2020-09-14,9970.0,10014.0,9940.0,9970.0,3428024902,343831,52,9930.0,9970.0
2020-09-15,9980.0,10080.0,9980.0,10031.0,7627725107,760391,90,9970.0,10080.0
2020-09-16,10089.0,10132.0,10010.0,10079.0,19848312738,1969189,110,10031.0,10035.0
2020-09-19,10100.0,10100.0,10060.0,10089.0,2760560125,273615,60,10079.0,10090.0
2020-09-20,10094.0,11000.0,10094.0,10147.0,3423057208,337332,88,10089.0,10104.0
2020-09-21,10110.0,10110.0,10100.0,10103.0,2294095971,227064,30,10147.0,10105.0
2020-09-22,10120.0,10120.0,9502.0,10110.0,7060030892,698340,47,10103.0,10110.0
2020-09-23,10115.0,10120.0,10109.0,10112.0,13845890351,1369318,80,10110.0,10110.0
2020-09-26,10134.0,10135.0,10125.0,10128.0,17573297496,1735119,98,10112.0,10125.0
2020-09-27,10140.0,10140.0,10000.0,10108.0,21463744360,2123400,77,10128.0,10081.0
2020-09-28,10021.0,10080.0,9986.0,10010.0,4460049697,445551,31,10108.0,9987.0
2020-09-29,10070.0,10070.0,10000.0,10048.0,5325073196,529967,28,10010.0,10002.0
2020-09-30,10005.0,10005.0,10000.0,10002.0,146337190,14631,13,10048.0,10002.0
2020-10-03,10098.0,10098.0,10002.0,10043.0,1334085319,132831,31,10002.0,10009.0
2020-10-04,10005.0,10107.0,10005.0,10014.0,796107080,79503,22,10043.0,10011.0
2020-10-05,10000.0,10054.0,10000.0,10006.0,1192631353,119196,23,10014.0,10002.0
2020-10-07,10000.0,10020.0,10000.0,10001.0,9165239598,916448,45,10006.0,10000.0
2020-10-10,10010.0,10054.0,10000.0,10006.0,4172194473,416988,45,10001.0,10001.0
2020-10-11,10050.0,10050.0,10001.0,10033.0,6720729279,669872,42,10006.0,10040.0
2020-10-12,10020.0,10049.0,10000.0,10012.0,7197361707,718842,34,10033.0,10049.0
2020-10-13,10079.0,10080.0,10030.0,10056.0,834049619,82940,31,10012.0,10080.0
2020-10-14,10038.0,10038.0,10001.0,10034.0,9298894673,926707,26,10056.0,10004.0
2020-10-18,10040.0,10096.0,10040.0,10055.0,729219290,72521,31,10034.0,10041.0
2020-10-19,10045.0,10045.0,9801.0,10034.0,5243095438,522527,25,10055.0,10000.0
2020-10-20,10040.0,10070.0,10040.0,10042.0,1458762481,145266,25,10034.0,10060.0
2020-10-21,10084.0,10119.0,10042.0,10072.0,390612076,38781,21,10042.0,10075.0
2020-10-24,10140.0,10140.0,10040.0,10065.0,643775108,63964,27,10072.0,10040.0
2020-10-26,10000.0,10020.0,10000.0,10001.0,281694130,28167,11,10065.0,10020.0
2020-10-27,10117.0,10119.0,10011.0,10113.0,664696004,65729,27,10001.0,10117.0
2020-10-28,10100.0,10100.0,10010.0,10016.0,983530876,98192,31,10113.0,10011.0
2020-10-31,10020.0,10139.0,10020.0,10046.0,326166758,32467,22,10016.0,10020.0
2020-11-01,10021.0,10045.0,10020.0,10020.0,4182935581,417448,28,10046.0,10020.0
2020-11-02,10020.0,10043.0,10020.0,10021.0,209489291,20904,13,10020.0,10020.0
2020-11-04,10145.0,10145.0,10020.0,10034.0,81964130,8169,9,10021.0,10020.0
2020-11-07,10020.0,10050.0,10000.0,10018.0,100188170,10001,9,10034.0,10050.0
2020-11-08,10000.0,10001.0,10000.0,10000.0,501071200,50106,12,10018.0,10000.0
2020-11-09,10000.0,10020.0,10000.0,10002.0,65160300,6515,4,10000.0,10000.0
2020-11-10,10000.0,10008.0,10000.0,10005.0,30016000,3000,3,10002.0,10008.0
2020-11-11,10000.0,10099.0,10000.0,10026.0,154058451,15366,10,10005.0,10000.0
2020-11-14,10096.0,10096.0,10000.0,10041.0,102184175,10177,11,10026.0,10000.0
2020-11-15,10099.0,10111.0,10001.0,10088.0,1185670775,117527,21,10041.0,10007.0
2020-11-16,10007.0,10050.0,10001.0,10024.0,130008820,12970,10,10088.0,10048.0
2020-11-17,10010.0,10025.0,10010.0,10025.0,1578606475,157469,9,10024.0,10025.0
2020-11-18,10025.0,10050.0,10025.0,10035.0,75374015,7511,13,10025.0,10041.0
2020-11-21,10101.0,10101.0,10036.0,10080.0,358178912,35533,22,10035.0,10036.0
2020-11-22,10040.0,10087.0,10040.0,10080.0,4867827000,482900,14,10080.0,10087.0
2020-11-23,10081.0,10097.0,10080.0,10081.0,2226373340,220848,15,10080.0,10097.0
2020-11-24,10083.0,10083.0,10082.0,10083.0,2326324587,230720,20,10081.0,10082.0
2020-11-25,10084.0,10100.0,10084.0,10088.0,385641572,38228,13,10083.0,10088.0
2020-11-28,10089.0,10100.0,10089.0,10093.0,427783420,42384,17,10088.0,10090.0
2020-11-29,10138.0,10149.0,10091.0,10123.0,435694177,43041,15,10093.0,10149.0
2020-11-30,10149.0,10155.0,10124.0,10138.0,408085218,40253,18,10123.0,10153.0
2020-12-01,10160.0,10170.0,10160.0,10164.0,1242705230,122260,18,10138.0,10160.0
2020-12-02,10200.0,10200.0,10180.0,10184.0,5425992000,532800,32,10164.0,10180.0
2020-12-05,10210.0,10210.0,10170.0,10189.0,4609465500,452388,30,10184.0,10210.0
2020-12-06,10211.0,10230.0,10195.0,10211.0,10580250874,1036174,54,10189.0,10220.0
2020-12-07,10220.0,10240.0,10200.0,10230.0,8101029458,791907,49,10211.0,10240.0
2020-12-08,10240.0,10249.0,10230.0,10240.0,8404683544,820774,25,10230.0,10241.0
2020-12-09,10300.0,10500.0,10250.0,10324.0,635507897,61556,39,10240.0,10400.0
2020-12-12,10330.0,10429.0,10320.0,10326.0,11755698430,1138501,38,10324.0,10320.0
2020-12-13,10370.0,10439.0,10300.0,10353.0,23412907974,2261475,65,10326.0,10353.0
2020-12-14,10400.0,10449.0,10390.0,10404.0,2584500810,248403,32,10353.0,10395.0
2020-12-15,10430.0,10490.0,10400.0,10426.0,10070102279,965857,75,10404.0,10440.0
2020-12-16,10400.0,10470.0,10360.0,10429.0,50290704273,4822296,133,10426.0,10469.0
2020-12-19,10429.0,10459.0,10420.0,10430.0,11963410638,1146987,28,10429.0,10429.0
2020-12-20,10470.0,10470.0,10350.0,10425.0,1201632760,115268,13,10430.0,10350.0
2020-12-21,10426.0,10430.0,10426.0,10426.0,720961980,69150,10,10425.0,10427.0
2020-12-22,10427.0,10439.0,10400.0,10427.0,3179824452,304968,16,10426.0,10427.0
2020-12-23,10430.0,10455.0,10430.0,10431.0,205103190,19663,16,10427.0,10440.0
2020-12-26,10432.0,10433.0,10410.0,10432.0,1593273474,152732,23,10431.0,10432.0
