date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-08-31,6000.0,6000.0,6000.0,6000.0,53508000,8918,4,0.0,6000.0
2004-09-01,6000.0,6000.0,6000.0,6000.0,8292000,1382,1,6000.0,6000.0
2007-06-10,5000.0,5400.0,4942.0,5005.0,935706530,186928,66,6000.0,5005.0
2007-06-11,5098.0,5099.0,4901.0,4986.0,771453692,154340,39,5005.0,4986.0
2007-06-12,4825.0,4942.0,4819.0,4895.0,795027290,162412,60,4986.0,4895.0
2007-06-13,4710.0,4710.0,4700.0,4700.0,417622200,88846,22,4895.0,4700.0
2007-06-16,4515.0,4515.0,4512.0,4512.0,1267968120,281010,75,4700.0,4512.0
2007-06-17,4511.0,4520.0,4511.0,4513.0,114162770,25296,14,4512.0,4513.0
2007-06-19,4513.0,4513.0,4513.0,4513.0,45130000,10000,1,4513.0,4513.0
2007-06-20,4513.0,4513.0,4513.0,4513.0,4513000,1000,1,4513.0,4513.0
2007-06-23,4551.0,4600.0,4550.0,4571.0,62250910,13617,7,4513.0,4571.0
2007-06-24,4571.0,4571.0,4513.0,4530.0,48636164,10736,7,4571.0,4530.0
2007-06-25,4349.0,4360.0,4349.0,4355.0,585271974,134510,12,4530.0,4355.0
2007-06-26,4268.0,4280.0,4181.0,4197.0,837896797,199621,53,4355.0,4197.0
2007-06-27,4197.0,4197.0,4197.0,4197.0,27280500,6500,6,4197.0,4197.0
2007-06-30,4364.0,4364.0,4363.0,4363.0,13134630,3010,4,4197.0,4363.0
2007-07-01,4524.0,4524.0,4363.0,4377.0,4859170,1110,4,4363.0,4377.0
2007-07-10,4552.0,4552.0,4552.0,4552.0,345023392,75796,23,4377.0,4552.0
2007-07-11,4734.0,4734.0,4700.0,4733.0,501783330,106010,21,4552.0,4733.0
2007-07-14,4921.0,4922.0,4850.0,4921.0,415632862,84446,27,4733.0,4921.0
2007-07-15,5000.0,5000.0,4730.0,4741.0,901022410,190010,22,4921.0,4741.0
2007-07-16,4700.0,4700.0,4700.0,4700.0,95607400,20342,6,4741.0,4700.0
2007-07-17,4650.0,4888.0,4650.0,4874.0,1156221800,237190,51,4700.0,4874.0
2007-07-18,4874.0,4874.0,4874.0,4874.0,48740000,10000,1,4874.0,4874.0
2007-07-21,5058.0,5068.0,5058.0,5066.0,784868712,154899,36,4874.0,5066.0
2007-07-22,5050.0,5102.0,5050.0,5066.0,72274360,14264,6,5066.0,5066.0
2007-07-23,5100.0,5100.0,5100.0,5100.0,13377300,2623,1,5066.0,5100.0
2007-07-24,5303.0,5304.0,5303.0,5303.0,1200453310,226330,13,5100.0,5303.0
2007-07-25,5515.0,5515.0,5515.0,5515.0,203338050,36870,13,5303.0,5515.0
2009-08-04,5407.0,5430.0,5400.0,5407.0,465300470,86051,23,5515.0,5430.0
2009-08-08,5731.0,5731.0,5731.0,5731.0,63614100,11100,6,5407.0,5731.0
2009-08-09,6074.0,6074.0,6074.0,6074.0,30370000,5000,1,5731.0,6074.0
2009-08-11,6299.0,6300.0,6299.0,6299.0,110240000,17500,2,6074.0,6300.0
2009-08-12,6676.0,6676.0,6676.0,6676.0,3317972,497,2,6299.0,6676.0
2009-08-15,7076.0,7076.0,7076.0,7076.0,21228000,3000,3,6676.0,7076.0
2009-08-16,6663.0,6663.0,6661.0,6662.0,81895673,12293,9,7076.0,6661.0
2009-08-17,6663.0,6663.0,6663.0,6663.0,41843640,6280,5,6662.0,6663.0
2009-08-18,6264.0,7000.0,6264.0,6632.0,180001835,27141,12,6663.0,6800.0
2009-08-19,6600.0,6900.0,6600.0,6633.0,5943600,896,3,6632.0,6600.0
2009-08-22,6603.0,6603.0,6501.0,6602.0,115839038,17546,7,6633.0,6501.0
2009-08-23,6500.0,6750.0,6500.0,6644.0,17314000,2606,3,6602.0,6750.0
2009-08-25,6900.0,6900.0,6900.0,6900.0,17250000,2500,2,6644.0,6900.0
2009-08-26,6619.0,6619.0,6619.0,6619.0,26476000,4000,2,6900.0,6619.0
2009-08-30,6304.0,6307.0,6300.0,6303.0,182624264,28973,9,6619.0,6300.0
2009-09-02,6681.0,6681.0,6681.0,6681.0,33405000,5000,3,6303.0,6681.0
2009-09-05,6508.0,6800.0,6508.0,6767.0,25810516,3814,5,6681.0,6800.0
2009-09-07,6800.0,6849.0,6800.0,6819.0,55957894,8206,2,6767.0,6849.0
2009-09-09,6900.0,7080.0,6900.0,7077.0,55337100,7819,4,6819.0,7080.0
2009-09-15,7100.0,7379.0,7100.0,7186.0,49727218,6920,11,7077.0,7200.0
2009-09-16,7190.0,7190.0,7190.0,7190.0,3595000,500,1,7186.0,7190.0
2009-09-19,7104.0,7108.0,7103.0,7106.0,22220081,3127,4,7190.0,7103.0
2009-09-21,7101.0,7250.0,7101.0,7190.0,17976000,2500,2,7106.0,7250.0
2009-09-22,7250.0,7250.0,7250.0,7250.0,2704250,373,1,7190.0,7250.0
2009-09-23,7250.0,7300.0,7220.0,7245.0,668504318,92273,26,7250.0,7220.0
2010-08-08,11850.0,12000.0,11850.0,11977.0,643606738,53736,8,7245.0,12000.0
2010-08-09,11922.0,11923.0,11922.0,11922.0,364084036,30538,9,11977.0,11922.0
2010-08-10,11980.0,11980.0,11980.0,11980.0,119800000,10000,1,11922.0,11980.0
2010-08-14,11920.0,11920.0,11920.0,11920.0,64892480,5444,2,11980.0,11920.0
2010-08-15,11920.0,11920.0,11920.0,11920.0,125970560,10568,3,11920.0,11920.0
2010-08-16,10971.0,10971.0,10971.0,10971.0,19056627,1737,1,11920.0,10971.0
2010-08-17,11800.0,11848.0,11800.0,11823.0,243335800,20581,5,10971.0,11800.0
2010-08-18,11824.0,11824.0,11824.0,11824.0,1832720,155,1,11823.0,11824.0
2010-08-21,11824.0,11831.0,11824.0,11827.0,456047925,38560,4,11824.0,11831.0
2010-08-22,12189.0,12600.0,12001.0,12142.0,70996508,5847,6,11827.0,12600.0
2010-08-23,12500.0,12500.0,12163.0,12237.0,139077500,11365,7,12142.0,12163.0
2010-08-25,12172.0,12172.0,11259.0,12136.0,141581304,11666,7,12237.0,11259.0
2010-08-28,11400.0,11400.0,11400.0,11400.0,6646200,583,1,12136.0,11400.0
2010-08-30,12000.0,12000.0,12000.0,12000.0,22536000,1878,3,11400.0,12000.0
2010-08-31,12000.0,12100.0,12000.0,12054.0,40490087,3359,4,12000.0,12100.0
2010-09-05,11400.0,11400.0,11166.0,11335.0,62951964,5554,2,12054.0,11166.0
2010-09-06,12200.0,12200.0,12200.0,12200.0,24400000,2000,2,11335.0,12200.0
2010-09-12,11224.0,11300.0,11224.0,11229.0,155180456,13819,5,12200.0,11224.0
2010-09-18,11800.0,11800.0,11000.0,11374.0,114016160,10024,6,11229.0,11000.0
2010-09-19,11001.0,11001.0,11000.0,11001.0,33002000,3000,2,11374.0,11000.0
2010-09-20,10701.0,10702.0,10500.0,10649.0,80476546,7557,6,11001.0,10500.0
2010-09-21,10512.0,11100.0,10500.0,10920.0,1039062000,95156,14,10649.0,11000.0
2010-09-22,11000.0,11100.0,11000.0,11004.0,284048000,25813,11,10920.0,11000.0
2010-09-26,11001.0,11001.0,11000.0,11000.0,6094220,554,2,11004.0,11000.0
2010-09-27,10700.0,11299.0,10700.0,11284.0,1040156087,92183,5,11000.0,11299.0
2010-09-28,11200.0,11296.0,11200.0,11219.0,785316401,69999,6,11284.0,11296.0
2010-10-02,10329.0,10329.0,10329.0,10329.0,30439563,2947,1,11219.0,10329.0
2010-10-03,10329.0,10329.0,10001.0,10119.0,32907668,3252,2,10329.0,10001.0
2011-06-08,8000.0,8000.0,8000.0,8000.0,120000,15,1,10119.0,8000.0
2011-06-13,8800.0,8500.0,8500.0,8500.0,6349500,747,1,8000.0,8500.0
2011-06-14,9100.0,9100.0,9100.0,9100.0,11902800,1308,1,8500.0,9100.0
2011-06-15,9100.0,9100.0,9100.0,9100.0,3094000,340,1,9100.0,9100.0
2011-06-18,9100.0,9200.0,9100.0,9153.0,12063100,1318,5,9100.0,9200.0
2011-06-19,9200.0,9200.0,9200.0,9200.0,29200800,3174,8,9153.0,9200.0
2011-06-21,9500.0,9500.0,9500.0,9500.0,22258500,2343,4,9200.0,9500.0
2011-06-26,8740.0,8740.0,8740.0,8740.0,3277500,375,1,9500.0,8740.0
2011-06-29,9439.0,9439.0,9439.0,9439.0,191630578,20302,6,8740.0,9439.0
2011-07-03,9010.0,9013.0,9010.0,9012.0,9543685,1059,3,9439.0,9013.0
2011-07-04,9024.0,9070.0,9024.0,9045.0,8439212,933,3,9012.0,9070.0
2011-07-05,9160.0,9160.0,9160.0,9160.0,970960,106,1,9045.0,9160.0
2011-07-06,9200.0,9200.0,9200.0,9200.0,8675600,943,3,9160.0,9200.0
2011-07-09,9768.0,9865.0,9000.0,9680.0,59447645,6141,10,9200.0,9100.0
2011-07-10,9489.0,9490.0,9489.0,9490.0,11140740,1174,2,9680.0,9490.0
2012-05-21,6000.0,6000.0,6000.0,6000.0,13980000,2330,3,9490.0,6000.0
2012-05-23,6000.0,6000.0,6000.0,6000.0,66000,11,1,6000.0,6000.0
2012-05-26,5530.0,5530.0,5530.0,5530.0,11060000,2000,1,6000.0,5530.0
2012-05-27,5555.0,5900.0,5555.0,5759.0,107564159,18679,5,5530.0,5601.0
2012-05-28,5759.0,5759.0,5406.0,5724.0,648306560,113260,6,5759.0,5406.0
2012-05-29,5500.0,5500.0,5500.0,5500.0,55000000,10000,2,5724.0,5500.0
2012-05-30,5500.0,5500.0,5500.0,5500.0,83930000,15260,3,5500.0,5500.0
2012-06-02,5200.0,5200.0,5200.0,5200.0,10348000,1990,2,5500.0,5200.0
2012-06-05,5000.0,5000.0,5000.0,5000.0,2870000,574,1,5200.0,5000.0
2012-06-06,5000.0,5100.0,5000.0,5000.0,651332764,130264,47,5000.0,5001.0
2012-06-11,5000.0,5000.0,5000.0,5000.0,10000000,2000,1,5000.0,5000.0
2012-06-17,5000.0,5400.0,5000.0,5221.0,755820000,144774,10,5000.0,5400.0
2012-07-02,5320.0,5320.0,5320.0,5320.0,978880,184,1,5221.0,5320.0
2012-07-04,4895.0,4895.0,4895.0,4895.0,2217435,453,2,5320.0,4895.0
2013-09-22,8499.0,8555.0,8200.0,8407.0,2746875540,326744,221,4895.0,8200.0
2013-09-23,8360.0,8890.0,8000.0,8237.0,940250427,114144,151,8407.0,8171.0
2013-09-24,8200.0,8500.0,8151.0,8408.0,322967727,38413,64,8237.0,8499.0
2013-09-25,8210.0,8335.0,7900.0,8218.0,766982665,93325,69,8408.0,8335.0
2013-09-28,8001.0,8530.0,8001.0,8417.0,444586516,52822,54,8218.0,8500.0
2013-09-29,8430.0,8800.0,8018.0,8573.0,530347041,61866,51,8417.0,8558.0
2013-09-30,8320.0,8320.0,8189.0,8302.0,41358808,4982,11,8573.0,8208.0
2013-10-01,8500.0,8966.0,8500.0,8916.0,1082267826,121382,72,8302.0,8852.0
2013-10-02,9260.0,9629.0,9260.0,9594.0,1108083310,115492,80,8916.0,9629.0
2013-10-05,10360.0,10361.0,10360.0,10361.0,1512805255,146016,120,9594.0,10361.0
2013-10-06,11160.0,11160.0,9650.0,10806.0,1906583400,176435,128,10361.0,10222.0
2013-10-07,10101.0,10500.0,9942.0,9957.0,959870221,96406,102,10806.0,9942.0
2013-10-08,10000.0,10000.0,9333.0,9549.0,1085603354,113684,40,9957.0,9411.0
2013-10-09,9550.0,10195.0,9550.0,9752.0,644343264,66074,48,9549.0,9601.0
2013-10-12,9850.0,9850.0,9006.0,9269.0,961504063,103730,48,9752.0,9300.0
2013-10-13,9210.0,9210.0,8800.0,9014.0,1297802419,143971,51,9269.0,9100.0
2013-10-14,9620.0,9735.0,9620.0,9691.0,1557100637,160675,73,9014.0,9735.0
2013-10-15,9201.0,9740.0,9201.0,9559.0,165195154,17282,31,9691.0,9300.0
2013-10-19,9020.0,10000.0,9020.0,9434.0,599645073,63559,38,9559.0,9213.0
2013-10-20,9010.0,9598.0,9010.0,9293.0,385119736,41443,30,9434.0,9500.0
2013-10-21,9060.0,9500.0,9060.0,9356.0,977687355,104496,19,9293.0,9500.0
2013-10-22,9110.0,9890.0,9100.0,9678.0,581242616,60061,53,9356.0,9890.0
2013-10-23,9994.0,10104.0,9500.0,9914.0,2195801522,221479,64,9678.0,9999.0
2013-10-26,10100.0,10100.0,9570.0,9761.0,368675010,37771,12,9914.0,9650.0
2013-10-27,9172.0,9600.0,9172.0,9499.0,430127500,45280,8,9761.0,9600.0
2013-10-28,9600.0,10199.0,9253.0,9914.0,762151861,76880,59,9499.0,10000.0
2013-10-29,10350.0,10368.0,9555.0,10066.0,848293049,84277,40,9914.0,10000.0
2013-10-30,10139.0,10242.0,10000.0,10142.0,1498742866,147777,45,10066.0,10001.0
2013-11-02,10000.0,10953.0,10000.0,10941.0,3427922218,313302,84,10142.0,10953.0
2013-11-03,11600.0,11600.0,10066.0,11022.0,1157047254,104975,62,10941.0,11500.0
2013-11-04,10400.0,11390.0,10400.0,10858.0,292553511,26944,24,11022.0,10900.0
2013-11-05,10201.0,11066.0,10150.0,10501.0,282956684,26945,26,10858.0,10700.0
2013-11-06,11293.0,11341.0,11000.0,11307.0,786590393,69567,32,10501.0,11341.0
