date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-11-10,350000.0,350000.0,350000.0,350000.0,5950000000,17000,17,350000.0,350000.0
2021-11-13,350000.0,350000.0,350000.0,350000.0,1750000000,5000,5,350000.0,350000.0
2021-11-14,350000.0,350000.0,350000.0,350000.0,1050000000,3000,3,350000.0,350000.0
2021-11-20,350000.0,350000.0,350000.0,350000.0,350000000,1000,1,350000.0,350000.0
2021-11-29,350000.0,350000.0,350000.0,350000.0,385000000,1100,1,350000.0,350000.0
2021-12-07,350000.0,350000.0,350000.0,350000.0,203000000000,580000,7,350000.0,350000.0
2021-12-08,350000.0,350000.0,350000.0,350000.0,522515000000,1492900,16,350000.0,350000.0
2023-03-29,385000.0,385000.0,385000.0,385000.0,385000000,1000,1,350000.0,385000.0
2023-04-04,423500.0,423500.0,423500.0,423500.0,1270500000,3000,3,385000.0,423500.0
2023-04-09,465850.0,465850.0,465850.0,465850.0,2329250000,5000,4,423500.0,465850.0
2023-04-15,465850.0,465850.0,465850.0,465850.0,512435000,1100,1,465850.0,465850.0
2023-04-18,465850.0,465850.0,465850.0,465850.0,465850000,1000,1,465850.0,465850.0
2023-04-29,465850.0,465850.0,465850.0,465850.0,465850000,1000,1,465850.0,465850.0
2023-05-08,465850.0,465850.0,465850.0,465850.0,465850000,1000,1,465850.0,465850.0
