date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-08-24,1551.0,1551.0,1551.0,1551.0,22458480,14480,5,700.0,1551.0
2015-08-25,1645.0,1645.0,1645.0,1645.0,493500,300,1,1551.0,1645.0
2015-09-13,1550.0,1550.0,1550.0,1550.0,4758500,3070,3,1645.0,1550.0
2015-11-25,2100.0,2151.0,2100.0,2116.0,931140,440,2,1550.0,2151.0
2015-11-28,2100.0,2151.0,2100.0,2144.0,4074150,1900,2,2116.0,2151.0
2015-12-09,2150.0,2150.0,2150.0,2150.0,193500,90,3,2144.0,2150.0
2015-12-23,2160.0,2160.0,2160.0,2160.0,410400,190,7,2150.0,2160.0
2016-01-16,2500.0,2500.0,2500.0,2500.0,29175000,11670,16,2160.0,2500.0
2016-01-18,2500.0,2550.0,2500.0,2547.0,13500000,5300,2,2500.0,2550.0
2016-01-31,2547.0,2547.0,2547.0,2547.0,28017,11,1,2547.0,2547.0
2016-02-01,2457.0,2548.0,2457.0,2532.0,75965,30,5,2547.0,2548.0
2016-02-02,2500.0,2500.0,2500.0,2500.0,1375000,550,1,2532.0,2500.0
2016-02-03,2654.0,2654.0,2654.0,2654.0,2123200,800,1,2500.0,2654.0
2016-02-06,2546.0,2548.0,2545.0,2546.0,101860,40,4,2654.0,2547.0
2016-02-07,2549.0,2549.0,2549.0,2549.0,12745,5,1,2546.0,2549.0
2016-02-08,2549.0,2549.0,2549.0,2549.0,254900,100,1,2549.0,2549.0
2016-02-14,2549.0,2549.0,2549.0,2549.0,127450,50,1,2549.0,2549.0
2016-02-15,2548.0,2548.0,2548.0,2548.0,267540,105,3,2549.0,2548.0
2016-02-23,2750.0,2750.0,2550.0,2690.0,9146800,3400,6,2248.0,2550.0
2016-02-29,2600.0,2600.0,2600.0,2600.0,26000000,10000,1,2690.0,2600.0
2016-03-02,2851.0,2851.0,2851.0,2851.0,6557300,2300,1,2600.0,2851.0
2016-03-07,3000.0,3000.0,3000.0,3000.0,3210000,1070,1,2851.0,3000.0
2016-03-08,3200.0,3200.0,3200.0,3200.0,9600000,3000,3,3000.0,3200.0
