date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-07-16,2369.0,2369.0,2369.0,2369.0,82915000000,35000000,117165,1000.0,2369.0
2018-07-17,2487.0,2487.0,2487.0,2487.0,1377810435,554005,1982,2369.0,2487.0
2018-07-18,2611.0,2611.0,2611.0,2611.0,23696378545,9075595,31016,2487.0,2611.0
2018-07-28,2971.0,3110.0,2851.0,2997.0,54756690784,18273534,34864,2411.0,3030.0
2018-07-29,3146.0,3146.0,3010.0,3091.0,33003434822,10677050,17325,2997.0,3060.0
2018-07-30,3021.0,3050.0,2937.0,2953.0,8042646836,2723348,2277,3091.0,2937.0
2018-07-31,2806.0,3070.0,2806.0,2941.0,28407599702,9660564,11024,2953.0,3005.0
2018-08-01,3049.0,3049.0,2794.0,2859.0,13636150204,4769966,4197,2941.0,2795.0
2018-08-04,2800.0,2800.0,2717.0,2720.0,10269659860,3775037,3497,2859.0,2718.0
2018-08-05,2701.0,2799.0,2660.0,2727.0,9365620909,3434372,2851,2720.0,2680.0
2018-08-06,2670.0,2759.0,2591.0,2625.0,10267127148,3911468,2478,2727.0,2591.0
2018-08-07,2525.0,2650.0,2494.0,2512.0,13652376604,5435459,3014,2625.0,2522.0
2018-08-08,2507.0,2637.0,2507.0,2608.0,9956058564,3817602,2303,2512.0,2637.0
2018-08-11,2738.0,2738.0,2708.0,2738.0,4283081815,1564495,836,2608.0,2738.0
2018-08-12,2874.0,2874.0,2700.0,2794.0,13762378745,4925719,2570,2738.0,2759.0
2018-08-13,2729.0,2759.0,2655.0,2684.0,7505385056,2796530,1357,2794.0,2675.0
2018-08-14,2611.0,2800.0,2611.0,2769.0,7985722452,2884370,1487,2684.0,2759.0
2018-08-15,2800.0,2854.0,2758.0,2817.0,7581821039,2691817,1611,2769.0,2794.0
2018-08-18,2791.0,2957.0,2791.0,2952.0,26373742853,8934395,3037,2817.0,2957.0
2018-08-19,3030.0,3095.0,2910.0,3034.0,13521794949,4456442,2170,2952.0,3036.0
2018-08-20,3098.0,3098.0,2931.0,3007.0,5499075452,1828831,925,3034.0,2967.0
2018-08-21,3033.0,3090.0,2882.0,2917.0,7472623325,2561728,1129,3007.0,2933.0
2018-08-25,2891.0,2954.0,2822.0,2898.0,8463222064,2920645,1385,2917.0,2910.0
