date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-10-11,11.0,17.0,11.0,14.0,517466,37498,8,1000.0,17.0
2015-10-14,46.0,50.0,40.0,45.0,3396920,75438,6,14.0,47.0
2015-10-17,73.0,76.0,70.0,73.0,69632806,947600,11,45.0,75.0
2015-10-18,75.0,94.0,75.0,78.0,21987350,280898,10,73.0,75.0
2015-10-19,80.0,100.0,80.0,85.0,20681480,243868,9,78.0,100.0
2015-10-20,89.0,89.0,79.0,85.0,88078736,1037682,19,85.0,85.0
2015-10-21,87.0,87.0,87.0,87.0,1496400,17200,7,85.0,87.0
2015-10-25,87.0,87.0,70.0,79.0,23901178,301158,7,87.0,86.0
2015-10-26,86.0,86.0,86.0,86.0,16399168,190688,5,79.0,86.0
2015-10-27,86.0,99.0,86.0,92.0,55745000,605000,5,86.0,99.0
2015-10-28,86.0,89.0,85.0,86.0,44817628,522298,5,92.0,89.0
2015-10-31,80.0,80.0,80.0,80.0,2000000,25000,2,86.0,80.0
2015-11-01,80.0,81.0,80.0,80.0,48100000,600000,7,80.0,81.0
2015-11-04,70.0,70.0,51.0,62.0,31444440,509842,12,80.0,70.0
2015-11-07,70.0,70.0,70.0,70.0,1096060,15658,1,62.0,70.0
2015-11-08,55.0,69.0,51.0,62.0,12233740,196740,6,70.0,51.0
2015-11-09,51.0,51.0,51.0,51.0,5100000,100000,6,62.0,51.0
2015-11-10,53.0,53.0,53.0,53.0,530000,10000,3,51.0,53.0
2015-11-11,52.0,54.0,52.0,53.0,2206888,41594,4,53.0,54.0
2015-11-14,55.0,55.0,51.0,52.0,30535372,588666,20,53.0,51.0
2015-11-15,45.0,51.0,45.0,47.0,28440480,604544,20,52.0,51.0
2015-11-16,47.0,47.0,40.0,45.0,6775000,152000,13,47.0,40.0
2015-11-17,36.0,39.0,35.0,37.0,42141580,1132220,15,45.0,37.0
2015-11-18,39.0,39.0,28.0,30.0,35788204,1177742,13,37.0,33.0
2015-11-21,25.0,33.0,24.0,28.0,24285840,857202,25,30.0,28.0
2015-11-22,30.0,30.0,20.0,23.0,50229480,2151020,36,28.0,25.0
2015-11-23,26.0,27.0,26.0,26.0,16950000,650000,20,23.0,27.0
2015-11-24,26.0,27.0,26.0,27.0,8687000,324000,16,26.0,27.0
2015-11-25,24.0,27.0,24.0,25.0,5006000,198000,8,27.0,27.0
2015-11-28,25.0,27.0,24.0,25.0,6302148,247726,15,25.0,26.0
2015-11-29,25.0,27.0,23.0,26.0,33518946,1306278,30,25.0,26.0
2015-11-30,27.0,28.0,20.0,24.0,87510250,3720132,44,26.0,25.0
2015-12-01,23.0,27.0,22.0,23.0,48066944,2118548,18,24.0,22.0
2015-12-05,23.0,31.0,22.0,26.0,104479352,4056126,41,23.0,24.0
2015-12-06,24.0,25.0,23.0,24.0,22670996,960000,11,26.0,24.0
2015-12-07,23.0,23.0,23.0,23.0,9252762,402294,10,24.0,23.0
2015-12-08,23.0,23.0,23.0,23.0,2802228,121836,3,23.0,23.0
2015-12-09,25.0,25.0,25.0,25.0,859000,34360,1,23.0,25.0
2015-12-13,23.0,24.0,23.0,24.0,59656000,2486000,2,25.0,24.0
2015-12-14,24.0,25.0,22.0,24.0,21966790,927730,9,24.0,22.0
2015-12-15,26.0,29.0,24.0,27.0,6192476,226068,7,24.0,24.0
2015-12-16,28.0,33.0,26.0,32.0,14688000,464000,8,27.0,28.0
2015-12-19,28.0,28.0,28.0,28.0,4617200,164900,7,32.0,28.0
2015-12-20,28.0,28.0,20.0,21.0,37567794,1776000,14,28.0,20.0
2015-12-21,18.0,20.0,15.0,17.0,16742521,972424,22,21.0,18.0
2015-12-22,20.0,27.0,20.0,23.0,4963440,211672,9,17.0,27.0
2015-12-23,25.0,27.0,23.0,25.0,9030000,360000,7,23.0,27.0
2015-12-26,23.0,23.0,23.0,23.0,338100,14700,3,25.0,23.0
2015-12-27,23.0,27.0,23.0,26.0,6040000,230000,6,23.0,27.0
2015-12-28,28.0,30.0,20.0,26.0,44464268,1700000,15,26.0,22.0
2015-12-30,23.0,31.0,20.0,28.0,99158414,3501946,51,26.0,31.0
2016-01-02,30.0,30.0,21.0,26.0,395745110,15337942,46,28.0,27.0
2016-01-03,28.0,32.0,27.0,29.0,23352226,810662,34,26.0,32.0
2016-01-04,29.0,29.0,15.0,20.0,51320192,2519704,45,29.0,17.0
2016-03-16,8.0,8.0,8.0,8.0,128000000,16000000,2,20.0,8.0
2016-03-26,6.0,6.0,6.0,6.0,96000000,16000000,2,8.0,6.0
2016-03-27,5.0,5.0,5.0,5.0,80000000,16000000,2,6.0,5.0
2016-03-28,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-03-29,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-03-30,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-04-03,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-04-06,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-04-09,5.0,5.0,5.0,5.0,40000000,8000000,1,5.0,5.0
2016-04-12,5.0,5.0,5.0,5.0,40000000,8000000,1,5.0,5.0
2016-04-17,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-04-18,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-04-19,5.0,5.0,5.0,5.0,40000000,8000000,1,5.0,5.0
2016-04-20,5.0,5.0,5.0,5.0,80000000,16000000,1,5.0,5.0
2016-04-27,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-04-30,5.0,5.0,5.0,5.0,80000000,16000000,2,5.0,5.0
2016-05-01,5.0,5.0,5.0,5.0,22042950,4408590,1,5.0,5.0
2016-05-03,3.0,3.0,3.0,3.0,48000000,16000000,3,5.0,3.0
2016-05-04,3.0,3.0,3.0,3.0,48000000,16000000,2,3.0,3.0
2016-05-07,3.0,3.0,3.0,3.0,48000000,16000000,2,3.0,3.0
2016-05-08,3.0,3.0,3.0,3.0,48000000,16000000,2,3.0,3.0
2016-05-09,3.0,3.0,3.0,3.0,48000000,16000000,2,3.0,3.0
2016-05-10,1.0,1.0,1.0,1.0,337242100,337242100,2,3.0,1.0
2017-11-22,82.0,82.0,82.0,82.0,575873044,7022842,558,1.0,82.0
2017-11-25,80.0,80.0,74.0,75.0,1775906906,23784793,1364,82.0,74.0
2017-11-26,71.0,75.0,68.0,69.0,932070102,13416846,713,75.0,72.0
2017-11-28,75.0,75.0,75.0,75.0,210254775,2803397,160,69.0,75.0
2017-11-29,82.0,82.0,82.0,82.0,60326088,735684,37,75.0,82.0
2017-12-02,90.0,90.0,90.0,90.0,209363940,2326266,141,82.0,90.0
2017-12-03,99.0,99.0,91.0,98.0,3829152054,38922632,1958,90.0,99.0
2017-12-04,100.0,103.0,90.0,96.0,1086450530,11329886,702,98.0,94.0
2017-12-05,92.0,98.0,88.0,90.0,506041479,5615535,248,96.0,90.0
2017-12-09,92.0,92.0,81.0,82.0,995153461,12082656,614,90.0,82.0
2017-12-10,79.0,88.0,78.0,84.0,364174370,4311871,296,82.0,88.0
2017-12-11,88.0,92.0,87.0,92.0,1261397446,13759506,640,84.0,92.0
2017-12-12,95.0,95.0,88.0,90.0,156747847,1743420,146,92.0,88.0
2017-12-13,92.0,92.0,82.0,84.0,226253629,2697544,129,90.0,84.0
2017-12-16,82.0,85.0,80.0,81.0,268041004,3302140,156,84.0,84.0
2017-12-17,82.0,89.0,82.0,88.0,1115588507,12702628,717,81.0,89.0
2017-12-18,86.0,93.0,85.0,90.0,255285733,2843411,182,88.0,89.0
2017-12-19,85.0,86.0,81.0,82.0,846403223,10340052,458,90.0,83.0
