date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-18,12250.0,12250.0,12250.0,12250.0,4350165450750,355115547,1935327,1000.0,12250.0
2022-05-21,12860.0,12860.0,12860.0,12860.0,16919490480,1315668,2368,12250.0,12860.0
2022-05-22,13500.0,13500.0,13500.0,13500.0,17391226500,1288239,2750,12860.0,13500.0
2022-05-23,14170.0,14170.0,14170.0,14170.0,22675414970,1600241,6065,13500.0,14170.0
2022-05-24,14870.0,14870.0,14870.0,14870.0,25496607580,1714634,6710,14170.0,14870.0
2022-05-25,15610.0,15610.0,15610.0,15610.0,390780099990,25033959,17714,14870.0,15610.0
2022-05-28,16390.0,16390.0,16390.0,16390.0,660257152940,40284146,36805,15610.0,16390.0
2022-05-29,17200.0,17200.0,17200.0,17200.0,1326119088400,77099947,88676,16390.0,17200.0
2022-05-30,17900.0,17900.0,16500.0,17440.0,3617840692280,207435009,609564,17200.0,16500.0
2022-06-06,16570.0,16570.0,16570.0,16570.0,95701476590,5775587,1085,17440.0,16570.0
2022-06-12,15380.0,15390.0,15380.0,15380.0,79403847590,5162715,9780,15090.0,15380.0
2022-06-13,15700.0,16140.0,15700.0,16080.0,509490625420,31694208,82835,15380.0,16140.0
2022-06-14,16350.0,16690.0,15530.0,15870.0,1103322290240,69534299,150472,16080.0,15550.0
2022-06-15,15290.0,15590.0,15080.0,15130.0,649047527150,42891929,86920,15870.0,15250.0
2022-06-18,15160.0,15640.0,14380.0,14740.0,371119127610,25169540,47167,15130.0,14460.0
2022-06-19,14250.0,14400.0,14010.0,14140.0,570097556390,40330208,53182,14740.0,14370.0
2022-06-20,14800.0,14840.0,14720.0,14840.0,473135044120,31890071,20521,14140.0,14840.0
2022-06-21,14950.0,15000.0,14230.0,14530.0,297598008070,20483755,22438,14840.0,14270.0
2022-06-22,14300.0,14700.0,13910.0,14140.0,257139865470,18191616,20714,14530.0,13990.0
2022-06-25,14000.0,14140.0,13450.0,13620.0,249078662030,18293798,21154,14140.0,13540.0
2022-06-26,13640.0,13920.0,13200.0,13370.0,162794006810,12179417,14600,13620.0,13240.0
2022-06-27,13100.0,13450.0,13010.0,13320.0,180033347420,13515604,16663,13370.0,13400.0
2022-06-28,13450.0,13660.0,13250.0,13370.0,126834017230,9488393,11582,13320.0,13310.0
2022-06-29,13350.0,13400.0,13090.0,13210.0,118963139220,9005903,12284,13370.0,13150.0
2022-07-02,13070.0,13120.0,12610.0,12730.0,153020657900,12018599,15239,13210.0,12640.0
2022-07-03,12790.0,13360.0,12560.0,13240.0,256393999660,19365235,14951,12730.0,13360.0
2022-07-04,13400.0,13490.0,13000.0,13150.0,145306585350,11046174,10902,13240.0,13040.0
2022-07-05,12990.0,13160.0,12750.0,12870.0,143295505840,11136309,11622,13150.0,12960.0
2022-07-06,12960.0,13160.0,12790.0,12910.0,71782057960,5558938,7464,12870.0,12890.0
2022-07-09,12890.0,12900.0,12580.0,12680.0,87491771230,6899099,9135,12910.0,12620.0
2022-07-11,12600.0,12650.0,12090.0,12250.0,143469346390,11708588,9303,12680.0,12200.0
2022-07-12,12400.0,12530.0,12100.0,12310.0,82042386130,6665318,6358,12250.0,12300.0
2022-07-13,12330.0,12430.0,12180.0,12270.0,73955562110,6029677,5584,12310.0,12200.0
2022-07-16,12240.0,12490.0,12130.0,12260.0,87060266230,7099654,6223,12270.0,12210.0
2022-07-17,12270.0,12400.0,12020.0,12130.0,95889981380,7905774,5858,12260.0,12050.0
2022-07-19,12300.0,12300.0,12050.0,12160.0,56502845820,4646134,4293,12130.0,12080.0
2022-07-20,12320.0,12320.0,12150.0,12230.0,53613648840,4384345,7436,12160.0,12220.0
2022-07-23,12310.0,12350.0,12150.0,12220.0,60429063460,4943264,7549,12230.0,12150.0
2022-07-24,12250.0,12330.0,12010.0,12140.0,95369271580,7857650,7202,12220.0,12100.0
2022-07-25,12000.0,12150.0,11540.0,11710.0,132139221470,11288252,5455,12140.0,11580.0
2022-07-26,11680.0,12000.0,11470.0,11630.0,67905535220,5841174,3996,11710.0,11500.0
2022-07-27,11630.0,11760.0,11450.0,11540.0,60535718910,5244182,4082,11630.0,11510.0
2022-07-30,11600.0,11620.0,11160.0,11370.0,64118816750,5639429,3934,11540.0,11200.0
2022-07-31,11330.0,11330.0,10810.0,10940.0,76875389850,7025046,4510,11370.0,10900.0
2022-08-01,10950.0,11100.0,10930.0,10980.0,35655997880,3246517,3269,10940.0,10960.0
2022-08-02,11030.0,11170.0,10940.0,11070.0,33890231240,3062624,2838,10980.0,11020.0
2022-08-03,11070.0,11620.0,11070.0,11520.0,65693602310,5700404,3014,11070.0,11620.0
2022-08-06,11720.0,12000.0,11720.0,11870.0,51535580250,4342318,3161,11520.0,11890.0
2022-08-09,11460.0,11740.0,11450.0,11590.0,47583295400,4106300,3042,11870.0,11530.0
2022-08-10,11480.0,11550.0,11230.0,11370.0,30629637020,2693348,2577,11590.0,11380.0
2022-08-13,11440.0,11880.0,11390.0,11690.0,39325038730,3365273,3112,11370.0,11650.0
2022-08-14,11660.0,11670.0,11280.0,11410.0,52164100430,4571764,3325,11690.0,11320.0
2022-08-15,11300.0,11550.0,11180.0,11330.0,43525232940,3839926,3298,11410.0,11450.0
2022-08-16,11450.0,11470.0,11280.0,11350.0,43540998290,3837079,2989,11330.0,11300.0
2022-08-17,11220.0,11300.0,11060.0,11130.0,50805316310,4563535,3461,11350.0,11070.0
2022-08-20,11110.0,11680.0,11020.0,11430.0,91188714060,7977422,4564,11130.0,11550.0
2022-08-21,11540.0,11650.0,11240.0,11400.0,37181000060,3261712,2951,11430.0,11290.0
2022-08-22,11310.0,11470.0,11300.0,11400.0,58074006660,5094459,2721,11400.0,11400.0
2022-08-23,11400.0,11790.0,11390.0,11650.0,52279656500,4486444,3230,11400.0,11640.0
2022-08-24,11650.0,11840.0,11600.0,11740.0,64170951800,5466121,3468,11650.0,11780.0
2022-08-27,11800.0,11950.0,11590.0,11700.0,71770599210,6131973,4333,11740.0,11710.0
2022-08-28,11650.0,11850.0,11540.0,11700.0,47328793350,4046530,3038,11700.0,11790.0
2022-08-29,11800.0,11880.0,11610.0,11720.0,40299146770,3438705,3071,11700.0,11720.0
2022-08-30,11730.0,12170.0,11720.0,11950.0,68710875840,5748909,3681,11720.0,11890.0
2022-08-31,11900.0,12000.0,11730.0,11830.0,31651841830,2675318,2865,11950.0,11810.0
2022-09-03,11750.0,11810.0,11450.0,11550.0,27260722140,2359853,2732,11830.0,11470.0
2022-09-04,11420.0,11630.0,11380.0,11470.0,30996684700,2703214,2758,11550.0,11540.0
2022-09-05,11440.0,11800.0,11430.0,11510.0,21150390790,1838291,2514,11470.0,11460.0
2022-09-06,11450.0,11670.0,11390.0,11520.0,44256928120,3842042,2814,11510.0,11560.0
2022-09-07,11550.0,11650.0,11460.0,11570.0,31964395300,2762972,2777,11520.0,11580.0
2022-09-10,11570.0,11630.0,11410.0,11510.0,41960810610,3647048,2569,11570.0,11540.0
2022-09-11,11510.0,11590.0,11250.0,11390.0,36811194210,3232919,2361,11510.0,11370.0
2022-09-12,11370.0,11450.0,11300.0,11400.0,23454798820,2057652,2134,11390.0,11420.0
2022-09-13,11400.0,11680.0,11390.0,11460.0,50020233170,4363822,2445,11400.0,11600.0
2022-09-14,11600.0,11710.0,11410.0,11540.0,23153829420,2006323,2178,11460.0,11530.0
2022-09-18,11400.0,11550.0,11370.0,11410.0,43677899870,3826415,2312,11540.0,11410.0
2022-09-19,11370.0,11500.0,11320.0,11400.0,32434541570,2844749,1904,11410.0,11340.0
2022-09-20,11290.0,11400.0,11280.0,11340.0,29394904980,2592976,1711,11400.0,11320.0
2022-09-21,11270.0,11400.0,11250.0,11330.0,26899949770,2373867,1730,11340.0,11340.0
2022-09-24,11240.0,11250.0,10810.0,10910.0,39830239700,3652376,2626,11330.0,10840.0
2022-09-26,10780.0,11200.0,10780.0,11020.0,27879072890,2530140,1810,10910.0,11010.0
2022-09-28,11040.0,11300.0,11010.0,11200.0,28825978750,2572884,2005,11020.0,11200.0
2022-10-01,11010.0,11010.0,10770.0,10860.0,35481357530,3266036,2389,11200.0,10770.0
2022-10-02,10780.0,10840.0,10770.0,10780.0,40878872710,3792198,2236,10860.0,10810.0
2022-10-03,10800.0,11140.0,10770.0,10880.0,18726796010,1721551,1899,10780.0,10850.0
2022-10-04,10780.0,10890.0,10780.0,10810.0,14876452770,1375745,1486,10880.0,10840.0
2022-10-08,10800.0,10890.0,10760.0,10820.0,15796110320,1460427,1773,10810.0,10780.0
2022-10-09,10790.0,10800.0,10770.0,10770.0,61647369600,5722213,2023,10820.0,10780.0
2022-10-10,10780.0,10880.0,10770.0,10800.0,26365025570,2440734,2026,10770.0,10880.0
