date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-10-03,700.0,700.0,700.0,700.0,86170000,123100,1,1000.0,700.0
2016-12-27,700.0,700.0,700.0,700.0,140000000,200000,1,700.0,700.0
2017-01-02,700.0,700.0,700.0,700.0,70000000,100000,1,700.0,700.0
2017-01-14,700.0,700.0,700.0,700.0,57326500,81895,1,700.0,700.0
2017-02-05,800.0,800.0,800.0,800.0,160000000,200000,1,700.0,800.0
2017-03-27,800.0,800.0,720.0,728.0,9673800,13290,6,800.0,720.0
2017-04-08,728.0,728.0,728.0,728.0,939120,1290,1,728.0,728.0
2017-04-12,800.0,800.0,800.0,800.0,8000000,10000,1,728.0,800.0
2017-04-15,880.0,880.0,800.0,811.0,196355680,242000,15,800.0,800.0
2017-04-16,892.0,892.0,802.0,853.0,142535194,167023,19,811.0,892.0
2017-04-17,938.0,938.0,938.0,938.0,14623420,15590,1,853.0,938.0
2017-04-18,1031.0,1031.0,1030.0,1031.0,118034500,114500,10,938.0,1031.0
2017-04-22,1134.0,1134.0,1134.0,1134.0,11340000,10000,1,1031.0,1134.0
2017-04-23,1247.0,1247.0,1022.0,1101.0,19176721,17411,4,1134.0,1022.0
2017-04-24,991.0,991.0,991.0,991.0,4547699,4589,2,1101.0,991.0
2017-04-29,1090.0,1090.0,1090.0,1090.0,4893010,4489,2,991.0,1090.0
2017-05-10,981.0,981.0,981.0,981.0,5946822,6062,3,1090.0,981.0
2017-05-16,1078.0,1078.0,1077.0,1078.0,83605460,77570,5,981.0,1077.0
2017-05-23,971.0,983.0,971.0,982.0,16781470,17090,3,1078.0,983.0
2017-05-27,900.0,1000.0,900.0,907.0,17907698,19744,6,982.0,912.0
2017-05-28,926.0,926.0,925.0,926.0,5360835,5790,4,907.0,925.0
2017-05-31,925.0,1015.0,925.0,930.0,58552811,62931,6,926.0,1015.0
2017-06-03,1020.0,1023.0,1020.0,1021.0,64656556,63298,11,930.0,1023.0
2017-06-06,1123.0,1123.0,1123.0,1123.0,25924455,23085,8,1021.0,1123.0
