date,open,high,low,adjClose,value,volume,count,yesterday,close
2007-07-15,2570.0,2570.0,2570.0,2570.0,7710000000,3000000,38,0.0,2570.0
2007-07-16,2621.0,2621.0,2604.0,2604.0,419386040,160010,41,2570.0,2604.0
2007-07-17,2606.0,2608.0,2552.0,2602.0,958962526,374847,12,2604.0,2602.0
2007-07-21,2550.0,2587.0,2550.0,2587.0,178525870,70010,8,2602.0,2587.0
2007-07-22,2536.0,2572.0,2536.0,2572.0,177545720,70010,16,2587.0,2572.0
2007-07-23,2546.0,2572.0,2521.0,2564.0,152335640,60010,7,2572.0,2564.0
2007-07-24,2513.0,2541.0,2513.0,2541.0,272306447,108359,24,2564.0,2541.0
2007-07-25,2500.0,2524.0,2500.0,2524.0,250085240,100010,11,2541.0,2524.0
2007-07-29,2474.0,2523.0,2474.0,2523.0,8684230,3510,2,2524.0,2523.0
2007-07-30,2476.0,2522.0,2475.0,2522.0,7606245,3073,3,2523.0,2522.0
2007-08-04,2519.0,2522.0,2519.0,2522.0,277120,110,2,2522.0,2522.0
2007-08-06,2472.0,2501.0,2472.0,2501.0,247225010,100010,11,2522.0,2501.0
2007-08-07,2451.0,2501.0,2451.0,2501.0,2476010,1010,2,2501.0,2501.0
2007-08-08,2451.0,2495.0,2451.0,2495.0,73554950,30010,7,2501.0,2495.0
2007-08-13,2451.0,2491.0,2451.0,2491.0,48162550,19650,5,2495.0,2491.0
2007-08-14,2450.0,2450.0,2442.0,2450.0,491406150,201227,35,2491.0,2450.0
2007-08-19,2401.0,2449.0,2401.0,2449.0,24022029490,10005010,3,2450.0,2449.0
2007-08-20,2401.0,2448.0,2401.0,2448.0,24022029480,10005010,4,2449.0,2448.0
2007-08-21,2400.0,2407.0,2400.0,2407.0,492024070,205010,23,2448.0,2407.0
2007-08-26,2407.0,2408.0,2407.0,2408.0,35871667480,14903060,3,2407.0,2408.0
2007-08-27,2407.0,2407.0,1704.0,2407.0,24066108258,12235092,5,2408.0,2407.0
2007-09-02,2407.0,2407.0,2407.0,2407.0,24070000,10000,5,2407.0,2407.0
2007-09-03,2449.0,2450.0,2407.0,2407.0,6982520,2851,3,2407.0,2407.0
2007-09-05,2411.0,2418.0,2407.0,2418.0,35917985500,14922250,6,2407.0,2418.0
2007-09-09,2407.0,2407.0,2407.0,2407.0,34184370455,14202065,2,2418.0,2407.0
2007-09-11,2450.0,2455.0,2409.0,2409.0,25385905,10345,6,2407.0,2409.0
2007-09-15,2407.0,2409.0,2407.0,2409.0,10968719,4557,5,2409.0,2409.0
2007-09-18,2410.0,2410.0,2409.0,2409.0,11001640,4565,2,2409.0,2409.0
2007-10-07,2408.0,2409.0,2408.0,2409.0,24104090,10010,2,2409.0,2409.0
2007-11-04,2408.0,2409.0,2408.0,2409.0,3515690,1460,2,2409.0,2409.0
2007-11-05,2408.0,2409.0,2408.0,2409.0,4984570,2070,2,2409.0,2409.0
2007-11-11,2408.0,2409.0,2408.0,2409.0,24104090,10010,3,2409.0,2409.0
2007-11-13,2400.0,2409.0,2400.0,2409.0,2424090,1010,2,2409.0,2409.0
2007-11-18,3639.0,3639.0,2409.0,2409.0,319648976232,87839788,3,2409.0,2409.0
2007-11-24,2400.0,2407.0,2400.0,2407.0,115742470,48226,11,2409.0,2407.0
2007-12-22,3200.0,3950.0,3200.0,3632.0,595958970,164065,24,2407.0,3632.0
2007-12-24,3704.0,3704.0,3632.0,3632.0,73360,20,2,3632.0,3632.0
2007-12-25,3704.0,3704.0,3632.0,3632.0,1888320,510,2,3632.0,3632.0
2008-01-09,3704.0,3704.0,3704.0,3704.0,185200,50,1,3632.0,3704.0
2008-01-12,3778.0,3778.0,3778.0,3778.0,37591100,9950,3,3704.0,3778.0
2008-01-13,3853.0,3853.0,3853.0,3853.0,77060000,20000,4,3778.0,3853.0
2008-01-16,3930.0,3930.0,3853.0,3853.0,3968530,1010,3,3853.0,3853.0
2008-01-21,3930.0,3930.0,3857.0,3857.0,55058570,14010,6,3853.0,3857.0
2008-02-13,3857.0,3857.0,3857.0,3857.0,1986355,515,1,3857.0,3857.0
2008-02-27,3857.0,3857.0,3857.0,3857.0,6379478,1654,2,3857.0,3857.0
2008-05-25,4000.0,4006.0,4000.0,4005.0,4486050,1120,3,3857.0,4005.0
2008-05-26,4005.0,4005.0,4005.0,4005.0,6043545,1509,1,4005.0,4005.0
2008-06-08,4200.0,4200.0,4200.0,4200.0,42420000,10100,5,4005.0,4200.0
2008-06-30,4326.0,4326.0,4200.0,4200.0,2875530,665,2,4200.0,4200.0
2008-07-15,4500.0,5303.0,4500.0,5001.0,15053010,3010,4,4200.0,5001.0
2008-07-19,5151.0,5151.0,5003.0,5003.0,18078530,3510,3,5001.0,5003.0
2008-07-29,5153.0,5153.0,5003.0,5003.0,565330,110,2,5003.0,5003.0
2008-08-02,5153.0,5153.0,5003.0,5003.0,307680,60,2,5003.0,5003.0
2008-08-05,5153.0,5153.0,5003.0,5003.0,2626530,510,2,5003.0,5003.0
2008-08-30,5153.0,5153.0,5004.0,5004.0,12159590,2360,2,5003.0,5004.0
2008-09-14,5154.0,5154.0,5005.0,5005.0,5204050,1010,2,5004.0,5005.0
2008-09-15,5155.0,5155.0,5008.0,5008.0,21670150,4204,3,5005.0,5008.0
2008-10-05,5158.0,5158.0,5009.0,5009.0,5208090,1010,2,5008.0,5009.0
