date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-12-02,45900.0,45900.0,45501.0,45647.0,25339319116,555000,653,0.0,45647.0
2003-12-03,47929.0,47929.0,45746.0,45746.0,47926817,1000,4,45647.0,45746.0
2003-12-06,48033.0,48033.0,48033.0,48033.0,4803300000,100000,242,45746.0,48033.0
2003-12-07,50434.0,50434.0,48033.0,48033.0,50431599,1000,2,48033.0,48033.0
2003-12-08,50434.0,50434.0,50434.0,50434.0,2471266000,49000,103,48033.0,50434.0
2003-12-09,52955.0,52955.0,52955.0,52955.0,1587855675,29985,73,50434.0,52955.0
2003-12-10,50319.0,55392.0,50308.0,51034.0,3868505567,75802,313,52955.0,51034.0
2003-12-13,50310.0,50500.0,50000.0,50246.0,3167551312,63040,107,51034.0,50246.0
2003-12-14,50246.0,52758.0,49000.0,51368.0,1810011088,35236,54,50246.0,51368.0
2003-12-15,51366.0,51367.0,51299.0,51362.0,1216781776,23690,29,51368.0,51362.0
2003-12-16,51362.0,51362.0,51361.0,51361.0,179560872,3496,10,51362.0,51361.0
2003-12-17,50998.0,50998.0,49500.0,50019.0,1071724970,21462,31,51361.0,50019.0
2003-12-21,50352.0,50352.0,50164.0,50164.0,504006640,10010,9,50019.0,50164.0
2003-12-23,50000.0,50000.0,49877.0,49969.0,1503544388,30089,44,50164.0,49969.0
2003-12-24,49001.0,49686.0,49000.0,49686.0,326205900,6657,12,49969.0,49686.0
2003-12-27,49948.0,49948.0,49800.0,49800.0,499978000,10010,12,49686.0,49800.0
2003-12-28,49919.0,49919.0,49500.0,49814.0,1001910745,20112,28,49800.0,49814.0
2003-12-29,48501.0,49369.0,48500.0,49369.0,703815050,14332,12,49814.0,49369.0
2003-12-30,46924.0,49000.0,46924.0,48884.0,631243616,13010,16,49369.0,48884.0
2003-12-31,48677.0,48960.0,46456.0,48608.0,1469336938,30228,35,48884.0,48608.0
2004-01-03,48589.0,48938.0,48580.0,48737.0,914551692,18754,19,48608.0,48737.0
2004-01-04,49000.0,49190.0,48869.0,48869.0,571793810,11670,23,48737.0,48869.0
2004-01-05,49600.0,50000.0,48920.0,48920.0,56404365,1130,7,48869.0,48920.0
2004-01-06,51000.0,51290.0,50724.0,50724.0,999330508,19586,16,48920.0,50724.0
