date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-12-11,14500.0,14610.0,14500.0,14535.0,2434576900000,167500000,26,1000.0,14610.0
2021-12-12,15261.0,15261.0,15261.0,15261.0,21670620000,1420000,312,14535.0,15261.0
2021-12-13,16024.0,16024.0,15830.0,16023.0,1073671465311,67006078,17737,15261.0,15830.0
2021-12-14,16000.0,16220.0,15222.0,15610.0,338990122447,21716574,7814,16023.0,15222.0
2021-12-15,15010.0,15977.0,14841.0,15517.0,362754488608,23377628,6595,15610.0,15695.0
2021-12-18,15759.0,15894.0,14742.0,15008.0,150002968862,9995039,3536,15517.0,14750.0
2021-12-19,14783.0,14783.0,14301.0,14516.0,120585200806,8307189,2454,15008.0,14650.0
2021-12-20,14516.0,14640.0,14081.0,14432.0,66593285755,4614223,1442,14516.0,14516.0
2021-12-21,14700.0,15153.0,14440.0,14979.0,48250626153,3221142,1120,14432.0,15153.0
2021-12-22,15242.0,15727.0,15230.0,15479.0,58254605887,3763346,1537,14979.0,15468.0
2021-12-25,15623.0,15690.0,15100.0,15402.0,84553933517,5489760,1699,15479.0,15528.0
2021-12-26,15402.0,15780.0,15096.0,15540.0,29897653989,1923893,660,15402.0,15530.0
2021-12-27,15800.0,15840.0,15262.0,15659.0,30235274265,1930905,670,15540.0,15700.0
2021-12-28,15659.0,15800.0,15371.0,15561.0,28754028460,1847851,588,15659.0,15400.0
2021-12-29,15561.0,15561.0,14800.0,15308.0,14713286550,967325,442,15561.0,14955.0
2022-01-01,15308.0,15400.0,14693.0,15024.0,27744584471,1846649,576,15308.0,15300.0
2022-01-02,15280.0,15280.0,14874.0,14981.0,8767871594,587446,253,15024.0,14880.0
2022-01-03,14981.0,14999.0,14532.0,14841.0,10084199385,685624,341,14981.0,14532.0
2022-01-04,14501.0,14981.0,14300.0,14797.0,16985995030,1148505,380,14841.0,14600.0
2022-01-05,14797.0,14800.0,14410.0,14719.0,8503850444,581778,239,14797.0,14800.0
2022-01-08,14720.0,14850.0,14360.0,14640.0,7704012720,530173,223,14719.0,14400.0
2022-01-09,14640.0,14640.0,14200.0,14510.0,9697800190,674139,238,14640.0,14210.0
2022-01-10,14500.0,14610.0,14130.0,14440.0,9516704500,662103,246,14510.0,14260.0
2022-01-11,14650.0,15060.0,14380.0,14650.0,11648518930,787088,285,14440.0,14700.0
2022-01-12,14800.0,14840.0,14510.0,14680.0,8056817340,547260,272,14650.0,14820.0
2022-01-18,13410.0,13460.0,12840.0,13450.0,3405157260,255261,88,13480.0,13040.0
2022-01-19,13300.0,13500.0,12780.0,13200.0,14905593570,1132980,438,13450.0,13140.0
2022-01-22,13550.0,13550.0,13030.0,13200.0,4122521300,312388,159,13200.0,13080.0
2022-01-23,13200.0,13350.0,12590.0,13170.0,3488777670,267605,114,13200.0,12790.0
2022-01-24,13100.0,13100.0,12530.0,13110.0,2921371100,227503,161,13170.0,12560.0
2022-01-25,13100.0,13200.0,12460.0,13030.0,15201979920,1167525,280,13110.0,12850.0
2022-01-26,13030.0,13130.0,12650.0,13030.0,7376585050,566454,145,13030.0,13040.0
2022-01-29,13030.0,13100.0,12720.0,13030.0,5420309640,415908,127,13030.0,13010.0
2022-01-30,13030.0,13080.0,12710.0,13020.0,6459916770,496902,148,13030.0,13040.0
2022-01-31,13020.0,13020.0,12680.0,12990.0,4651432040,360552,115,13020.0,12800.0
2022-02-01,13030.0,13030.0,12600.0,12940.0,4939459710,385354,126,12990.0,12700.0
2022-02-02,13000.0,13000.0,12510.0,12880.0,3993629070,314452,116,12940.0,12620.0
2022-02-05,12880.0,12880.0,12420.0,12820.0,3659924780,290178,108,12880.0,12530.0
2022-02-06,12750.0,12750.0,12180.0,12630.0,7598882810,612223,146,12820.0,12220.0
2022-02-07,12370.0,12370.0,12000.0,12400.0,6794670490,562139,122,12630.0,12010.0
2022-02-08,11800.0,12200.0,11780.0,12290.0,3348396320,282228,128,12400.0,11990.0
2022-02-09,12260.0,12260.0,12040.0,12250.0,5237550420,430730,139,12290.0,12150.0
2022-02-12,12170.0,12260.0,11880.0,12240.0,2528093040,207333,63,12250.0,12180.0
2022-02-13,12200.0,12350.0,12160.0,12230.0,4162426050,340645,66,12240.0,12280.0
2022-02-14,12430.0,12500.0,12240.0,12250.0,1387598330,111774,65,12230.0,12500.0
2022-02-16,12490.0,12500.0,12200.0,12270.0,3168308330,256596,66,12250.0,12270.0
2022-02-19,12290.0,12390.0,12270.0,12280.0,1942718190,157734,45,12270.0,12390.0
2022-02-20,12280.0,12500.0,12270.0,12290.0,1975102220,160036,43,12280.0,12300.0
2022-02-21,12470.0,12900.0,12470.0,12380.0,3302773970,259423,138,12290.0,12870.0
2022-02-22,12590.0,12940.0,12470.0,12420.0,1698975630,132871,52,12380.0,12870.0
2022-02-23,12520.0,12810.0,12500.0,12440.0,1377614930,108880,66,12420.0,12810.0
2022-02-26,12510.0,12800.0,12200.0,12450.0,2338572500,187125,64,12440.0,12700.0
2022-02-27,12500.0,12790.0,12460.0,12460.0,2406193950,192312,79,12450.0,12510.0
2022-02-28,12500.0,12730.0,12460.0,12460.0,564274000,45162,32,12460.0,12460.0
2022-03-02,12480.0,12870.0,11850.0,12440.0,2577626620,209036,86,12460.0,12400.0
2022-03-05,12190.0,12740.0,12190.0,12440.0,889672760,71409,42,12440.0,12450.0
2022-03-06,12440.0,12710.0,12200.0,12440.0,2136791420,171496,73,12440.0,12650.0
2022-03-07,12220.0,12730.0,12220.0,12440.0,793758550,63710,39,12440.0,12270.0
2022-03-08,12200.0,12660.0,12170.0,12440.0,4624918050,372039,58,12440.0,12500.0
2022-03-09,12400.0,12690.0,12250.0,12440.0,1906126160,153443,59,12440.0,12440.0
2022-03-12,12190.0,12640.0,11820.0,12230.0,12777570970,1049785,161,12440.0,11840.0
2022-03-13,12130.0,12390.0,11620.0,12050.0,7108501990,601175,127,12230.0,11620.0
2022-03-14,11830.0,12300.0,11450.0,11860.0,6918017440,595061,124,12050.0,11450.0
2022-03-15,11590.0,11930.0,11270.0,11670.0,15837995890,1356972,196,11860.0,11500.0
