date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-01,4000.0,4000.0,4000.0,4000.0,4000000,1000,1,1000.0,4000.0
2014-02-02,4000.0,4000.0,3300.0,3722.0,5173500,1390,3,4000.0,3300.0
2014-02-03,3500.0,3500.0,3500.0,3500.0,3500000,1000,1,3722.0,3500.0
2014-02-05,3000.0,3000.0,3000.0,3000.0,3000000,1000,1,3500.0,3000.0
2014-02-08,2500.0,2500.0,2500.0,2500.0,3262500,1305,1,3000.0,2500.0
2014-02-12,2000.0,2000.0,2000.0,2000.0,80000000,40000,2,2500.0,2000.0
2014-02-17,2000.0,2000.0,2000.0,2000.0,20000000,10000,1,2000.0,2000.0
2014-02-18,2000.0,2000.0,2000.0,2000.0,48000000,24000,2,2000.0,2000.0
2014-02-19,1950.0,1950.0,1950.0,1950.0,70590000,36200,1,2000.0,1950.0
2014-02-24,1950.0,1950.0,1950.0,1950.0,5850000,3000,3,1950.0,1950.0
2014-02-26,1850.0,1850.0,1500.0,1667.0,105000000,63000,2,1950.0,1500.0
2014-03-02,1900.0,1900.0,1900.0,1900.0,5320000,2800,1,1667.0,1900.0
2014-03-04,1500.0,1500.0,1300.0,1393.0,117000000,84000,7,1900.0,1300.0
2014-03-08,1300.0,1300.0,1300.0,1300.0,130000000,100000,1,1393.0,1300.0
2014-03-09,1200.0,1200.0,1100.0,1150.0,46000000,40000,3,1300.0,1100.0
2014-03-10,1008.0,1008.0,1000.0,1005.0,33181000,33000,3,1150.0,1000.0
2014-04-07,1501.0,1501.0,1501.0,1501.0,30020000,20000,1,1005.0,1501.0
2014-04-08,1507.0,1507.0,1507.0,1507.0,4521000,3000,1,1501.0,1507.0
2014-04-13,1499.0,1499.0,1499.0,1499.0,16489000,11000,1,1507.0,1499.0
2014-04-14,1111.0,1111.0,1052.0,1100.0,62704000,57000,4,1499.0,1052.0
2014-04-15,1200.0,1200.0,1200.0,1200.0,8400000,7000,1,1100.0,1200.0
2014-04-19,1650.0,1650.0,1650.0,1650.0,990000,600,1,1200.0,1650.0
2014-05-07,1201.0,1500.0,1201.0,1369.0,121799000,89000,3,1650.0,1500.0
2014-05-10,1700.0,1700.0,1700.0,1700.0,170000,100,1,1369.0,1700.0
2014-05-17,1500.0,1500.0,1500.0,1500.0,16500000,11000,1,1700.0,1500.0
2014-05-18,1400.0,1400.0,1400.0,1400.0,1358000,970,1,1500.0,1400.0
2014-05-19,1400.0,1400.0,1400.0,1400.0,26600000,19000,1,1400.0,1400.0
2014-05-24,1700.0,1700.0,1700.0,1700.0,51000,30,1,1400.0,1700.0
2014-06-03,1250.0,1250.0,1250.0,1250.0,2500000,2000,1,1700.0,1250.0
2014-06-14,1250.0,1251.0,1250.0,1251.0,15008000,12000,3,1250.0,1250.0
2014-06-18,1400.0,1400.0,1400.0,1400.0,11200000,8000,1,1251.0,1400.0
2014-06-23,1500.0,1500.0,1500.0,1500.0,32253000,21502,2,1400.0,1500.0
2014-06-28,1500.0,1500.0,1500.0,1500.0,14661000,9774,2,1500.0,1500.0
2014-07-05,1990.0,1990.0,1990.0,1990.0,2067610,1039,2,1500.0,1990.0
2014-07-06,1990.0,1990.0,1990.0,1990.0,19900000,10000,1,1990.0,1990.0
2014-07-07,1775.0,1775.0,1725.0,1750.0,3500000,2000,2,1990.0,1725.0
2014-07-09,1970.0,1970.0,1970.0,1970.0,1426280,724,1,1750.0,1970.0
2014-07-13,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,1970.0,1500.0
2014-07-26,1969.0,1969.0,1969.0,1969.0,1969000,1000,1,1500.0,1969.0
2014-08-11,1950.0,1960.0,1950.0,1951.0,13140190,6736,2,1969.0,1960.0
2014-08-17,2000.0,2400.0,1955.0,2127.0,113443910,53340,8,1951.0,2400.0
2014-08-18,2490.0,2490.0,2480.0,2489.0,18670000,7500,2,2127.0,2480.0
2014-08-19,3000.0,3000.0,2500.0,2776.0,155199000,55898,3,2489.0,2500.0
2014-08-24,1980.0,3000.0,1980.0,2510.0,38609260,15383,3,2776.0,2770.0
2014-09-01,2222.0,2222.0,2222.0,2222.0,1111000,500,1,2510.0,2222.0
2014-09-06,2220.0,2222.0,2150.0,2201.0,24743274,11242,4,2222.0,2222.0
2014-09-10,2222.0,2222.0,2150.0,2153.0,5339200,2480,2,2201.0,2150.0
2014-09-13,2500.0,2500.0,2500.0,2500.0,12500000,5000,1,2153.0,2500.0
2014-09-22,2600.0,2600.0,2600.0,2600.0,10935600,4206,1,2500.0,2600.0
2014-10-07,3400.0,3400.0,3400.0,3400.0,4127600,1214,1,2600.0,3400.0
2014-10-14,2601.0,2601.0,2601.0,2601.0,2601000,1000,1,3400.0,2601.0
2014-10-28,2800.0,3000.0,2800.0,2999.0,189416400,63164,3,2601.0,3000.0
2014-11-01,3000.0,3000.0,3000.0,3000.0,30000,10,1,2999.0,3000.0
2014-11-12,3000.0,3000.0,2200.0,2342.0,14521800,6200,3,3000.0,2200.0
2014-11-26,2200.0,2500.0,2200.0,2281.0,46777500,20511,3,2342.0,2200.0
2014-12-16,1904.0,1904.0,1904.0,1904.0,2122960,1115,1,2281.0,1904.0
2014-12-30,1540.0,1543.0,1540.0,1542.0,19378640,12566,3,1904.0,1543.0
2015-01-07,1282.0,1282.0,1282.0,1282.0,64100,50,1,1542.0,1282.0
2015-01-11,1320.0,1320.0,1320.0,1320.0,5394840,4087,2,1282.0,1320.0
2015-01-20,2100.0,2100.0,2100.0,2100.0,12411000,5910,2,1320.0,2100.0
2015-01-24,2250.0,2250.0,2250.0,2250.0,13419000,5964,1,2100.0,2250.0
2015-01-27,2700.0,2700.0,2700.0,2700.0,135000,50,1,2250.0,2700.0
2015-01-28,3000.0,3000.0,2700.0,2911.0,6840000,2350,2,2700.0,2700.0
2015-01-31,2700.0,3000.0,2700.0,2949.0,46182000,15660,3,2911.0,3000.0
