date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-12-19,2090.0,2280.0,1991.0,2139.0,20221502325,9454636,1332,1000.0,2000.0
2011-12-20,2033.0,2033.0,2033.0,2033.0,113624370,55890,12,2139.0,2033.0
2011-12-21,1932.0,1932.0,1932.0,1932.0,9661932,5001,4,2033.0,1932.0
2011-12-24,1836.0,1836.0,1836.0,1836.0,736236,401,2,1932.0,1836.0
2011-12-25,1745.0,1804.0,1745.0,1749.0,5069844846,2898414,771,1836.0,1745.0
2011-12-26,1685.0,1685.0,1662.0,1665.0,1427477610,857115,211,1749.0,1662.0
2011-12-27,1600.0,1630.0,1582.0,1587.0,653657232,411855,120,1665.0,1582.0
2011-12-28,1600.0,1659.0,1530.0,1587.0,1242340597,782874,218,1587.0,1530.0
2011-12-31,1643.0,1647.0,1582.0,1606.0,391952195,244100,75,1587.0,1600.0
2012-01-01,1600.0,1600.0,1533.0,1551.0,152406610,98241,27,1606.0,1544.0
2012-01-02,1550.0,1550.0,1517.0,1529.0,276667457,180949,48,1551.0,1517.0
2012-01-03,1550.0,1584.0,1510.0,1558.0,305298500,196000,58,1529.0,1524.0
2012-01-04,1506.0,1635.0,1506.0,1623.0,1104438470,680400,181,1558.0,1635.0
2012-01-07,1639.0,1639.0,1547.0,1562.0,9374000,6000,2,1623.0,1547.0
2012-01-08,1502.0,1510.0,1502.0,1507.0,65413800,43400,14,1562.0,1510.0
2012-01-09,1528.0,1528.0,1470.0,1498.0,1157948550,773100,322,1507.0,1510.0
2012-01-10,1500.0,1570.0,1500.0,1530.0,251541921,164401,31,1498.0,1521.0
2012-01-11,1570.0,1599.0,1500.0,1539.0,250458200,162700,47,1530.0,1500.0
2012-01-15,1489.0,1595.0,1489.0,1592.0,257088500,161500,50,1539.0,1590.0
2012-01-16,1531.0,1531.0,1515.0,1516.0,383583310,252970,54,1592.0,1516.0
2012-01-17,1517.0,1517.0,1500.0,1502.0,312366930,207910,45,1516.0,1500.0
2012-01-18,1507.0,1510.0,1500.0,1501.0,232600000,155000,37,1502.0,1500.0
2012-01-21,1500.0,1500.0,1500.0,1500.0,59460000,39640,9,1501.0,1500.0
2012-01-23,1501.0,1501.0,1500.0,1500.0,211536000,141000,25,1500.0,1500.0
2012-01-25,1501.0,1501.0,1500.0,1500.0,310482500,206965,43,1500.0,1500.0
2012-01-28,1569.0,1575.0,1569.0,1574.0,44781150,28450,16,1500.0,1575.0
2012-01-29,1652.0,1652.0,1541.0,1647.0,867301470,526532,113,1574.0,1620.0
2012-01-30,1628.0,1630.0,1579.0,1616.0,254055850,157200,45,1647.0,1579.0
2012-01-31,1610.0,1610.0,1545.0,1598.0,184574000,115515,23,1616.0,1545.0
2012-02-01,1620.0,1625.0,1610.0,1618.0,558182000,345000,60,1598.0,1619.0
2012-02-04,1619.0,1660.0,1619.0,1620.0,524887073,323992,64,1618.0,1619.0
2012-02-05,1620.0,1620.0,1599.0,1613.0,48390000,30000,3,1620.0,1599.0
2012-02-06,1544.0,1560.0,1544.0,1560.0,24209720,15521,13,1613.0,1560.0
2012-02-07,1602.0,1602.0,1562.0,1584.0,126730000,80000,13,1560.0,1562.0
2012-02-08,1599.0,1661.0,1599.0,1636.0,252544350,154403,51,1584.0,1655.0
2012-02-12,1648.0,1649.0,1645.0,1647.0,463114906,281182,123,1636.0,1646.0
2012-02-13,1649.0,1650.0,1640.0,1643.0,476382990,290020,60,1647.0,1642.0
2012-02-14,1650.0,1650.0,1610.0,1633.0,635213240,389002,67,1643.0,1620.0
2012-02-15,1639.0,1714.0,1639.0,1682.0,469384500,279000,59,1633.0,1710.0
