date,open,high,low,adjClose,value,volume,count,yesterday,close
2007-11-27,5050.0,5050.0,5050.0,5050.0,12463556550,2468031,415,0.0,5050.0
2007-11-28,5050.0,5050.0,4949.0,4954.0,426597249,86109,25,5050.0,4954.0
2007-12-01,5049.0,5050.0,5025.0,5025.0,151999134,30101,9,4954.0,5025.0
2007-12-02,5025.0,5025.0,5025.0,5025.0,2442150,486,1,5025.0,5025.0
2007-12-08,5124.0,5124.0,5025.0,5053.0,158988600,31410,28,5025.0,5053.0
2007-12-09,5121.0,5130.0,5121.0,5129.0,220615290,43010,7,5053.0,5129.0
2007-12-12,5130.0,5130.0,5129.0,5129.0,25701290,5010,4,5129.0,5129.0
2007-12-22,5129.0,5129.0,5129.0,5129.0,5129000,1000,1,5129.0,5129.0
2007-12-23,5129.0,5129.0,5129.0,5129.0,25645000,5000,1,5129.0,5129.0
2007-12-25,5230.0,5230.0,5138.0,5138.0,18837540,3602,3,5129.0,5138.0
2007-12-26,5240.0,5240.0,5164.0,5164.0,52451640,10010,2,5138.0,5164.0
2007-12-30,5267.0,5267.0,5267.0,5267.0,210680000,40000,5,5164.0,5267.0
2007-12-31,5372.0,5372.0,5372.0,5372.0,355357800,66150,17,5267.0,5372.0
2008-01-01,5479.0,5479.0,5479.0,5479.0,860203000,157000,48,5372.0,5479.0
2008-01-02,5588.0,5588.0,5588.0,5588.0,1257300000,225000,55,5479.0,5588.0
2008-01-05,5699.0,5699.0,5690.0,5698.0,2147541779,376865,113,5588.0,5698.0
2008-01-06,5700.0,5701.0,5698.0,5698.0,54101460,9490,4,5698.0,5698.0
2008-01-08,5700.0,5700.0,5585.0,5692.0,11857690,2121,4,5698.0,5692.0
2008-01-09,5579.0,5805.0,5579.0,5628.0,582027775,103415,32,5692.0,5628.0
2008-01-12,5632.0,5632.0,5629.0,5629.0,80116870,14230,4,5628.0,5629.0
2008-01-13,5517.0,5599.0,5517.0,5599.0,60772990,11010,8,5629.0,5599.0
2008-01-16,5488.0,5488.0,5488.0,5488.0,225008000,41000,14,5599.0,5488.0
2008-01-20,5379.0,5379.0,5379.0,5379.0,230065209,42771,17,5488.0,5379.0
2008-01-26,5275.0,5372.0,5275.0,5372.0,13410020,2542,6,5379.0,5372.0
2008-01-27,5265.0,5359.0,5265.0,5359.0,26378590,5010,3,5372.0,5359.0
2008-01-28,5252.0,5354.0,5252.0,5354.0,10000828,1904,2,5359.0,5354.0
2008-02-02,5247.0,5344.0,5247.0,5344.0,19950064,3802,5,5354.0,5344.0
2008-02-04,5238.0,5314.0,5238.0,5314.0,58718740,11210,7,5344.0,5314.0
2008-02-09,5208.0,5295.0,5208.0,5295.0,36508950,7010,5,5314.0,5295.0
2008-02-16,5294.0,5295.0,5294.0,5295.0,6405750,1210,2,5295.0,5295.0
2008-02-20,5290.0,5295.0,5290.0,5295.0,5342950,1010,2,5295.0,5295.0
2008-02-26,5285.0,5295.0,5285.0,5295.0,5337950,1010,2,5295.0,5295.0
2008-03-01,5190.0,5292.0,5190.0,5292.0,6280920,1210,2,5295.0,5292.0
2008-03-02,5187.0,5289.0,5187.0,5289.0,5239890,1010,2,5292.0,5289.0
2008-03-10,5184.0,5283.0,5184.0,5283.0,11457630,2210,3,5289.0,5283.0
2008-03-12,5181.0,5234.0,5181.0,5234.0,99124020,19130,7,5283.0,5234.0
2008-03-29,5130.0,5233.0,5130.0,5233.0,1078330,210,2,5234.0,5233.0
2008-04-09,5129.0,5129.0,5129.0,5129.0,1795150,350,2,5233.0,5129.0
2008-04-13,5027.0,5027.0,5027.0,5027.0,5027000,1000,1,5129.0,5027.0
2008-04-19,4927.0,4927.0,4927.0,4927.0,492700,100,1,5027.0,4927.0
2008-04-21,4829.0,4829.0,4829.0,4829.0,193160000,40000,9,4927.0,4829.0
2008-04-26,4733.0,4826.0,4733.0,4826.0,5462812,1154,4,4829.0,4826.0
2008-04-28,4730.0,4812.0,4730.0,4812.0,28428120,6010,5,4826.0,4812.0
2008-04-29,4716.0,4798.0,4716.0,4798.0,28343980,6010,2,4812.0,4798.0
2008-04-30,4797.0,4797.0,4703.0,4710.0,304170998,64576,16,4798.0,4710.0
2008-05-04,4804.0,4804.0,4722.0,4722.0,24067220,5010,4,4710.0,4722.0
2008-05-05,4816.0,4816.0,4816.0,4816.0,192640000,40000,7,4722.0,4816.0
2008-05-06,4912.0,4912.0,4818.0,4818.0,4960180,1010,2,4816.0,4818.0
2008-05-12,4962.0,4962.0,4890.0,4890.0,99288900,20010,6,4818.0,4890.0
2008-05-18,4700.0,4700.0,4700.0,4700.0,9400000,2000,1,4890.0,4700.0
2008-05-19,4700.0,4710.0,4700.0,4700.0,93366667,19859,17,4700.0,4700.0
2008-05-20,4841.0,4841.0,4700.0,4811.0,240631110,50010,10,4700.0,4811.0
2008-05-21,4835.0,4835.0,4701.0,4812.0,9124520,1890,3,4811.0,4812.0
2008-05-24,4828.0,4829.0,4815.0,4815.0,47043781,9749,5,4812.0,4815.0
2008-05-25,4720.0,4791.0,4720.0,4791.0,47247910,10010,3,4815.0,4791.0
2008-05-26,4720.0,4784.0,4720.0,4784.0,18427520,3904,4,4791.0,4784.0
2008-05-27,4799.0,4840.0,4799.0,4820.0,163467760,33870,9,4784.0,4820.0
2008-05-28,4925.0,4926.0,4906.0,4906.0,161590036,32805,11,4820.0,4906.0
2008-05-31,4926.0,4926.0,4922.0,4922.0,152755220,31010,10,4906.0,4922.0
2008-06-01,4927.0,4927.0,4923.0,4923.0,48137404,9772,3,4922.0,4923.0
2008-06-02,4974.0,4978.0,4963.0,4963.0,149337427,30010,8,4923.0,4963.0
2008-06-09,4970.0,4970.0,4963.0,4963.0,1018780,205,2,4963.0,4963.0
2008-06-21,4900.0,4959.0,4900.0,4959.0,10986390,2242,2,4963.0,4959.0
2008-06-29,4811.0,4955.0,4811.0,4955.0,4860550,1010,2,4959.0,4955.0
2008-06-30,4807.0,4807.0,4807.0,4807.0,225049319,46817,9,4955.0,4807.0
2008-07-01,4811.0,4811.0,4810.0,4810.0,155501132,32322,7,4807.0,4810.0
2008-07-07,4954.0,4954.0,4814.0,4814.0,5002140,1010,2,4810.0,4814.0
2008-07-15,4958.0,4958.0,4815.0,4815.0,1039750,210,2,4814.0,4815.0
2008-07-22,4959.0,4959.0,4959.0,4959.0,50085900,10100,5,4815.0,4959.0
2008-07-23,5107.0,5107.0,4959.0,4959.0,560290,110,2,4959.0,4959.0
2008-07-26,5107.0,5107.0,5107.0,5107.0,255350,50,1,4959.0,5107.0
2008-07-27,5260.0,5260.0,5260.0,5260.0,263000,50,1,5107.0,5260.0
2008-07-28,5417.0,5417.0,5417.0,5417.0,270850,50,1,5260.0,5417.0
2008-07-29,5579.0,5579.0,5579.0,5579.0,45976539,8241,4,5417.0,5579.0
2008-08-02,5746.0,5746.0,5746.0,5746.0,287300,50,1,5579.0,5746.0
2008-08-03,5918.0,5918.0,5918.0,5918.0,236720000,40000,4,5746.0,5918.0
2008-08-04,6095.0,6095.0,6094.0,6094.0,835936430,137152,46,5918.0,6094.0
2008-08-05,6098.0,6099.0,6093.0,6098.0,217156878,35611,13,6094.0,6098.0
2008-08-06,6095.0,6097.0,6000.0,6091.0,67376599,11093,11,6098.0,6091.0
2008-08-10,5909.0,6086.0,5909.0,6086.0,5969860,1010,2,6091.0,6086.0
2008-08-11,5909.0,6100.0,5904.0,6075.0,18249541,3071,6,6086.0,6075.0
2008-08-12,6000.0,6073.0,5893.0,5921.0,285184146,48162,12,6075.0,5921.0
2008-08-13,5744.0,5917.0,5744.0,5917.0,4809458,837,2,5921.0,5917.0
2008-08-24,5917.0,5999.0,5917.0,5937.0,61232770,10210,3,5917.0,5937.0
2008-08-30,5937.0,5937.0,5937.0,5937.0,8015009370,1350010,2,5937.0,5937.0
2008-09-07,5759.0,5925.0,5759.0,5925.0,15383949,2671,2,5937.0,5925.0
2008-09-21,5743.0,6200.0,5743.0,5943.0,594414400,100010,23,5925.0,5943.0
