date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-11-12,1.0,1.0,1.0,1.0,26379,26379,26379,1.0,1.0
2022-11-13,1.0,1.0,1.0,1.0,39102,39102,39102,1.0,1.0
2022-11-14,1.0,1.0,1.0,1.0,49906,49906,49906,1.0,1.0
2022-11-15,1.0,1.0,1.0,1.0,54638,54638,54638,1.0,1.0
2022-11-16,1.0,1.0,1.0,1.0,53737,53737,53737,1.0,1.0
2022-11-19,1.0,1.0,1.0,1.0,97408,97408,97408,1.0,1.0
2022-11-20,1.0,1.0,1.0,1.0,23152,23152,23152,1.0,1.0
2022-11-21,1.0,1.0,1.0,1.0,19191,19191,19191,1.0,1.0
2022-11-22,1.0,1.0,1.0,1.0,40470,40470,40470,1.0,1.0
2022-11-23,1.0,1.0,1.0,1.0,175694,175694,175694,1.0,1.0
