date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-03-15,10000.0,10000.0,10000.0,10000.0,1980000000000,198000000,2740,10000.0,10000.0
2021-04-20,10200.0,10202.0,10196.0,10200.0,1020378272356,100037086,2046,10000.0,10200.0
2021-04-21,10206.0,10206.0,10200.0,10201.0,70942377676,6954448,131,10200.0,10206.0
2021-04-24,10206.0,10211.0,10205.0,10210.0,70674909618,6922128,178,10201.0,10206.0
2021-04-25,10211.0,10216.0,10210.0,10211.0,511138522922,50057636,831,10210.0,10211.0
2021-04-26,10216.0,10222.0,10216.0,10217.0,87191333197,8533630,191,10211.0,10217.0
2021-04-27,10226.0,10226.0,10221.0,10221.0,27779634491,2717874,78,10217.0,10222.0
2021-04-28,10230.0,10231.0,10226.0,10227.0,129385788415,12651387,255,10221.0,10230.0
2021-05-01,10245.0,10245.0,10240.0,10241.0,174763185821,17065241,357,10227.0,10244.0
2021-05-02,10250.0,10250.0,10245.0,10246.0,74739341004,7294457,95,10241.0,10245.0
2021-05-03,10254.0,10256.0,10251.0,10252.0,9133005763,890853,30,10246.0,10252.0
2021-05-05,10262.0,10267.0,10262.0,10263.0,10339611242,1007496,45,10252.0,10267.0
2021-05-08,10280.0,10281.0,10275.0,10276.0,74159668225,7216730,189,10263.0,10276.0
2021-05-09,10281.0,10285.0,10281.0,10282.0,525585940358,51117172,553,10276.0,10282.0
2021-05-10,10285.0,10289.0,10285.0,10288.0,2957078526,287435,19,10282.0,10286.0
2021-05-11,10290.0,10295.0,10290.0,10291.0,31279399952,3039481,92,10288.0,10291.0
2021-05-12,10304.0,10305.0,10301.0,10301.0,5862914917,569152,40,10291.0,10305.0
2021-05-15,10315.0,10315.0,10310.0,10311.0,134750248965,13068632,287,10301.0,10313.0
2021-05-16,10314.0,10326.0,10314.0,10321.0,85593102967,8292923,163,10311.0,10321.0
2021-05-17,10330.0,10336.0,10330.0,10332.0,29172789516,2823534,81,10321.0,10330.0
2021-05-18,10345.0,10347.0,10340.0,10343.0,47874678279,4628489,135,10332.0,10341.0
2021-05-19,10350.0,10355.0,10350.0,10351.0,100617177901,9720820,202,10343.0,10350.0
2021-05-22,10369.0,10371.0,10365.0,10366.0,34462426815,3324411,148,10351.0,10366.0
2021-05-23,10373.0,10378.0,10373.0,10374.0,33136209143,3194169,102,10366.0,10373.0
2021-05-24,10382.0,10384.0,10379.0,10380.0,943505614196,90896636,1637,10374.0,10380.0
