date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-02-24,5300.0,5300.0,5300.0,5300.0,503500,95,2,0.0,5300.0
2002-02-26,5311.0,5311.0,5310.0,5310.0,18256685,3438,11,5300.0,5310.0
2002-04-15,6351.0,6351.0,6351.0,6351.0,17007978,2678,2,5310.0,6351.0
2003-09-22,4000.0,4000.0,4000.0,4000.0,600000,150,1,6351.0,4000.0
2004-08-22,4300.0,4300.0,4300.0,4300.0,210700,49,1,4000.0,4300.0
2004-09-25,4730.0,4730.0,4730.0,4730.0,884510,187,1,4300.0,4730.0
2005-04-24,5300.0,5300.0,5300.0,5300.0,742000,140,1,4730.0,5300.0
2005-06-19,5300.0,5300.0,5300.0,5300.0,964600,182,1,5300.0,5300.0
2007-03-31,5990.0,6000.0,5990.0,5995.0,12697470,2118,9,5300.0,5995.0
2007-04-03,5987.0,5987.0,5987.0,5987.0,3490421,583,1,5995.0,5987.0
2007-04-04,5987.0,6222.0,5987.0,6038.0,34864157,5774,10,5987.0,6038.0
2007-04-18,6200.0,6200.0,6200.0,6200.0,52861200,8526,2,6038.0,6200.0
2019-07-29,28000.0,28000.0,26600.0,27496.0,2748762450,99969,191,6200.0,27000.0
2019-07-30,25515.0,27999.0,24900.0,26133.0,3040770770,116356,195,27496.0,26500.0
2019-07-31,26999.0,26999.0,25170.0,26496.0,404250740,15257,53,26133.0,26499.0
2019-08-03,25700.0,27500.0,25501.0,26818.0,1786659358,66622,87,26496.0,27000.0
2019-08-04,27000.0,27990.0,26181.0,27645.0,1474899038,53352,61,26818.0,27979.0
2019-08-05,27007.0,30000.0,27007.0,29371.0,2006250689,68308,80,27645.0,29100.0
2019-08-06,29200.0,32295.0,29200.0,30746.0,3573445775,116226,139,29371.0,32238.0
2019-08-07,30747.0,32999.0,30747.0,32142.0,6587017593,204934,184,30746.0,32450.0
2019-08-13,32141.0,35356.0,32141.0,34377.0,3586773501,104336,73,32142.0,34900.0
2019-08-14,36000.0,36000.0,33500.0,34585.0,2482946784,71793,90,34377.0,34994.0
2019-08-17,31300.0,34350.0,31127.0,31455.0,5707456569,181447,111,34585.0,31128.0
2019-08-18,31128.0,32275.0,29516.0,31159.0,420962101,13510,29,31455.0,31405.0
2019-08-19,30000.0,32003.0,29015.0,31013.0,4710313006,151880,105,31159.0,31500.0
2019-08-21,29301.0,33109.0,29301.0,31648.0,2123614333,67102,63,31013.0,31002.0
2019-08-24,31990.0,33077.0,31990.0,32709.0,1985375463,60699,49,31648.0,32800.0
2019-08-25,30004.0,33170.0,30004.0,32394.0,2634772749,81335,65,32709.0,32381.0
2019-08-26,30300.0,32399.0,30300.0,31761.0,2457101322,77361,55,32394.0,31550.0
2019-08-27,33950.0,33950.0,31100.0,32134.0,2728718217,84918,51,31761.0,31100.0
2019-08-28,30700.0,32900.0,30700.0,32043.0,1649816845,51487,47,32134.0,31707.0
2019-08-31,31624.0,32850.0,31624.0,32039.0,2665307998,83189,74,32043.0,32000.0
2019-09-01,31990.0,32500.0,29600.0,30289.0,8859971482,292510,133,32039.0,32490.0
2019-09-02,30289.0,32250.0,29200.0,30946.0,1534631350,49591,44,30289.0,31000.0
