date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-09-07,1360.0,1360.0,1360.0,1360.0,16487280000,12123000,8112,1000.0,1360.0
2015-09-08,1428.0,1428.0,1428.0,1428.0,1455387612,1019179,245,1360.0,1428.0
2015-09-09,1499.0,1499.0,1499.0,1499.0,808344744,539256,191,1428.0,1499.0
2015-09-12,1573.0,1573.0,1573.0,1573.0,2686905793,1708141,507,1499.0,1573.0
2015-09-13,1651.0,1651.0,1651.0,1651.0,3605514887,2183837,1751,1573.0,1651.0
2015-09-14,1733.0,1733.0,1733.0,1733.0,4980931411,2874167,1519,1651.0,1733.0
2015-09-15,1780.0,1819.0,1780.0,1811.0,36262488473,20020308,12483,1733.0,1819.0
2015-09-16,1830.0,1848.0,1721.0,1790.0,10430716277,5828372,3654,1811.0,1785.0
2015-09-19,1792.0,1810.0,1701.0,1744.0,4619729306,2648490,1129,1790.0,1701.0
2015-09-20,1682.0,1700.0,1657.0,1662.0,3170069517,1906940,487,1744.0,1657.0
2015-09-21,1585.0,1629.0,1579.0,1582.0,2965951898,1874864,440,1662.0,1629.0
2015-09-22,1611.0,1661.0,1580.0,1647.0,4121178296,2501885,508,1582.0,1661.0
2015-09-23,1678.0,1729.0,1650.0,1706.0,2884895763,1690836,357,1647.0,1671.0
2015-09-26,1661.0,1661.0,1621.0,1623.0,2588446749,1594846,291,1706.0,1621.0
2015-09-27,1600.0,1655.0,1560.0,1580.0,1279740410,809976,207,1623.0,1566.0
2015-09-28,1556.0,1640.0,1510.0,1582.0,2708883409,1711897,351,1580.0,1560.0
2015-09-29,1591.0,1591.0,1542.0,1561.0,728655241,466797,152,1582.0,1560.0
2015-09-30,1596.0,1596.0,1550.0,1570.0,520382765,331431,131,1561.0,1565.0
2015-10-03,1570.0,1570.0,1492.0,1504.0,1890495340,1256697,251,1570.0,1492.0
2015-10-04,1450.0,1550.0,1450.0,1527.0,689838379,451908,154,1504.0,1545.0
2015-10-05,1552.0,1552.0,1480.0,1507.0,764012537,506985,138,1527.0,1510.0
2015-10-06,1451.0,1540.0,1451.0,1493.0,1710019850,1145419,210,1507.0,1481.0
2015-10-07,1461.0,1500.0,1450.0,1470.0,1081371618,735789,156,1493.0,1450.0
2015-10-10,1490.0,1490.0,1420.0,1438.0,676238428,470278,145,1470.0,1439.0
2015-10-11,1439.0,1460.0,1410.0,1424.0,919536981,645768,146,1438.0,1448.0
2015-10-12,1424.0,1490.0,1424.0,1465.0,382011581,260825,113,1424.0,1445.0
2015-10-13,1450.0,1509.0,1450.0,1484.0,1208428936,814452,142,1465.0,1502.0
2015-10-14,1500.0,1520.0,1416.0,1445.0,2410709010,1668110,279,1484.0,1455.0
2015-10-17,1464.0,1500.0,1421.0,1467.0,1633944715,1113596,236,1445.0,1490.0
2015-10-18,1490.0,1508.0,1434.0,1469.0,772845788,526037,115,1467.0,1450.0
2015-10-19,1432.0,1478.0,1411.0,1435.0,629583997,438846,108,1469.0,1430.0
2015-10-20,1462.0,1462.0,1420.0,1425.0,650416267,456313,95,1435.0,1421.0
2015-10-21,1425.0,1439.0,1403.0,1410.0,687016884,487241,122,1425.0,1414.0
2015-10-25,1401.0,1401.0,1360.0,1379.0,902568026,654351,152,1410.0,1367.0
2015-10-26,1400.0,1400.0,1368.0,1387.0,224308227,161748,52,1379.0,1392.0
2015-10-27,1400.0,1419.0,1368.0,1379.0,622677188,451556,96,1387.0,1372.0
2015-10-28,1399.0,1399.0,1369.0,1379.0,493589670,357843,71,1379.0,1379.0
2015-10-31,1377.0,1430.0,1370.0,1398.0,894987865,640266,101,1379.0,1415.0
2015-11-01,1405.0,1436.0,1390.0,1411.0,730577487,517623,87,1398.0,1398.0
2015-11-02,1401.0,1433.0,1380.0,1399.0,692243319,494764,47,1411.0,1380.0
2015-11-03,1419.0,1423.0,1330.0,1365.0,1250836509,916592,166,1399.0,1372.0
2015-11-04,1368.0,1382.0,1362.0,1371.0,1034819655,754775,97,1365.0,1362.0
2015-11-07,1391.0,1405.0,1362.0,1374.0,1051566862,765376,128,1371.0,1366.0
2015-11-08,1380.0,1390.0,1366.0,1377.0,341027437,247722,56,1374.0,1376.0
2015-11-09,1370.0,1420.0,1370.0,1403.0,1409596102,1004838,196,1377.0,1400.0
2015-11-10,1432.0,1434.0,1417.0,1424.0,1048179334,735918,159,1403.0,1420.0
2015-11-11,1391.0,1460.0,1390.0,1437.0,2658107024,1850140,325,1424.0,1428.0
2015-11-17,1390.0,1427.0,1380.0,1407.0,1929606666,1371163,211,1337.0,1410.0
2015-11-18,1410.0,1477.0,1400.0,1471.0,2508715153,1705419,253,1407.0,1477.0
2015-11-21,1544.0,1544.0,1544.0,1544.0,197528552,127933,21,1471.0,1544.0
2015-11-22,1590.0,1618.0,1512.0,1571.0,6383892717,4063105,517,1544.0,1559.0
2015-11-23,1555.0,1555.0,1493.0,1507.0,1477312775,980251,162,1571.0,1538.0
2015-11-24,1500.0,1582.0,1500.0,1577.0,1878518511,1191397,150,1507.0,1582.0
2015-11-25,1600.0,1655.0,1600.0,1651.0,5325560682,3224807,397,1577.0,1655.0
2015-11-28,1733.0,1733.0,1652.0,1726.0,6484645807,3756151,357,1651.0,1693.0
2015-11-29,1650.0,1812.0,1642.0,1772.0,4395684376,2481042,384,1726.0,1752.0
2015-11-30,1751.0,1794.0,1684.0,1723.0,2660251660,1544183,225,1772.0,1690.0
2015-12-01,1684.0,1778.0,1657.0,1738.0,1058738912,609136,148,1723.0,1765.0
2015-12-05,1766.0,1824.0,1699.0,1750.0,3221005166,1840535,272,1738.0,1700.0
2015-12-06,1740.0,1740.0,1663.0,1670.0,2876232335,1722790,211,1750.0,1663.0
2015-12-07,1619.0,1690.0,1589.0,1628.0,1389958811,853586,132,1670.0,1600.0
2015-12-08,1635.0,1640.0,1570.0,1613.0,386607700,239728,58,1628.0,1630.0
2015-12-09,1562.0,1650.0,1562.0,1616.0,802791463,496695,73,1613.0,1627.0
2015-12-13,1611.0,1666.0,1600.0,1616.0,1111790652,687990,89,1616.0,1617.0
2015-12-14,1610.0,1650.0,1538.0,1567.0,2208867316,1409678,173,1616.0,1579.0
2015-12-15,1604.0,1645.0,1590.0,1635.0,1181263946,722439,90,1567.0,1645.0
2015-12-16,1692.0,1700.0,1591.0,1641.0,2069569713,1261125,119,1635.0,1650.0
2015-12-19,1630.0,1666.0,1575.0,1597.0,1966683486,1231198,131,1641.0,1577.0
2015-12-20,1620.0,1620.0,1533.0,1545.0,541729566,350551,83,1597.0,1534.0
2015-12-21,1585.0,1589.0,1520.0,1548.0,1264160958,816579,106,1545.0,1546.0
2015-12-22,1544.0,1588.0,1530.0,1547.0,570942360,369150,57,1548.0,1540.0
2015-12-23,1577.0,1624.0,1532.0,1609.0,3048547617,1894993,205,1547.0,1624.0
2015-12-26,1609.0,1689.0,1590.0,1671.0,4590883696,2746673,264,1609.0,1670.0
2015-12-27,1681.0,1754.0,1681.0,1747.0,6402031218,3664232,371,1671.0,1736.0
2015-12-28,1753.0,1754.0,1666.0,1715.0,2908011131,1695209,240,1747.0,1688.0
2015-12-30,1649.0,1788.0,1649.0,1733.0,1358999886,784396,146,1715.0,1700.0
2016-01-02,1671.0,1767.0,1671.0,1733.0,1706372072,984405,160,1733.0,1710.0
2016-01-03,1702.0,1740.0,1679.0,1691.0,1504134844,889624,163,1733.0,1680.0
2016-01-04,1710.0,1720.0,1671.0,1692.0,1485119964,877811,160,1691.0,1673.0
2016-01-05,1657.0,1769.0,1657.0,1735.0,2239947145,1291322,180,1692.0,1758.0
2016-01-06,1730.0,1799.0,1663.0,1734.0,2988307118,1723602,259,1735.0,1670.0
2016-01-09,1718.0,1820.0,1690.0,1811.0,13191048916,7283919,514,1734.0,1820.0
2016-01-10,1875.0,1901.0,1831.0,1892.0,12888554662,6810937,643,1811.0,1880.0
2016-01-11,1900.0,1906.0,1813.0,1849.0,6836023010,3696385,449,1892.0,1815.0
2016-01-12,1814.0,1880.0,1765.0,1818.0,3588861265,1974201,309,1849.0,1820.0
2016-01-13,1840.0,1853.0,1760.0,1800.0,2976846207,1653713,311,1818.0,1765.0
2016-01-16,1801.0,1844.0,1757.0,1812.0,4771984549,2632877,336,1800.0,1827.0
2016-01-17,1870.0,1870.0,1770.0,1814.0,2180779568,1201973,330,1812.0,1800.0
2016-01-18,1839.0,1840.0,1735.0,1779.0,1240496665,697354,236,1814.0,1796.0
2016-01-19,1828.0,1867.0,1828.0,1861.0,5174752513,2780995,230,1779.0,1867.0
2016-01-20,1872.0,1954.0,1865.0,1942.0,5963964893,3070828,290,1861.0,1950.0
2016-01-23,2016.0,2022.0,1941.0,1992.0,5746887263,2884891,320,1942.0,1947.0
2016-01-24,2000.0,2028.0,1896.0,1959.0,5594373047,2856315,337,1992.0,1910.0
2016-01-25,1944.0,1944.0,1862.0,1873.0,5760268503,3075880,374,1959.0,1866.0
2016-01-26,1841.0,1966.0,1841.0,1932.0,10794229129,5586094,625,1873.0,1933.0
2016-01-27,1960.0,1960.0,1841.0,1873.0,2244034437,1198041,221,1932.0,1876.0
2016-01-30,1854.0,1918.0,1800.0,1862.0,3138006090,1685383,236,1873.0,1860.0
2016-01-31,1880.0,1890.0,1805.0,1823.0,1598889891,877168,172,1862.0,1805.0
2016-02-01,1853.0,1879.0,1813.0,1843.0,2018151001,1094765,201,1823.0,1840.0
2016-02-02,1889.0,1889.0,1815.0,1850.0,2178357832,1177701,210,1843.0,1815.0
2016-02-03,1822.0,1830.0,1780.0,1802.0,2032883465,1128101,200,1850.0,1780.0
2016-02-06,1838.0,1892.0,1790.0,1877.0,4243655153,2261084,329,1802.0,1892.0
2016-02-07,1900.0,1970.0,1850.0,1948.0,11065632431,5681006,597,1877.0,1970.0
2016-02-08,2040.0,2045.0,1961.0,2044.0,14461853887,7075642,474,1948.0,2045.0
2016-02-09,2146.0,2146.0,2101.0,2146.0,24693936726,11507240,719,2044.0,2146.0
2016-02-10,2220.0,2253.0,2160.0,2246.0,13967871354,6218764,450,2146.0,2253.0
2016-02-13,2358.0,2358.0,2350.0,2358.0,13022291214,5522757,319,2246.0,2358.0
2016-02-14,2475.0,2475.0,2457.0,2475.0,21874797900,8838324,544,2358.0,2475.0
2016-02-15,2598.0,2598.0,2598.0,2598.0,14460920052,5566174,201,2475.0,2598.0
2016-02-16,2727.0,2727.0,2560.0,2685.0,56499334539,21044933,1837,2598.0,2727.0
2016-02-17,2755.0,2819.0,2650.0,2802.0,28406071896,10136521,853,2685.0,2819.0
2016-02-20,2920.0,2920.0,2750.0,2851.0,20914653149,7335009,995,2802.0,2798.0
2016-02-21,2771.0,2800.0,2709.0,2717.0,9626859008,3543697,420,2851.0,2709.0
2016-02-22,2796.0,2796.0,2582.0,2617.0,17859679199,6825460,871,2717.0,2619.0
2016-02-23,2580.0,2580.0,2487.0,2503.0,5600301951,2237625,276,2617.0,2487.0
2016-02-24,2378.0,2560.0,2378.0,2432.0,21268842111,8745835,1048,2503.0,2518.0
2016-02-27,2553.0,2553.0,2553.0,2553.0,2153264025,843425,84,2432.0,2553.0
2016-02-28,2680.0,2680.0,2490.0,2622.0,11422075814,4355579,763,2553.0,2649.0
2016-02-29,2620.0,2735.0,2491.0,2613.0,16073726346,6151838,965,2622.0,2550.0
2016-03-01,2628.0,2628.0,2500.0,2537.0,4213626156,1661117,422,2613.0,2530.0
2016-03-02,2580.0,2617.0,2483.0,2547.0,7690511274,3019004,523,2537.0,2540.0
2016-03-05,2534.0,2599.0,2444.0,2532.0,5732053804,2263751,455,2547.0,2477.0
2016-03-06,2502.0,2569.0,2406.0,2436.0,9697461505,3980501,703,2532.0,2411.0
2016-03-07,2400.0,2507.0,2350.0,2446.0,6072351550,2482237,517,2436.0,2466.0
