date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-03-07,4380.0,4380.0,4380.0,4380.0,9024334095000,2060350250,1603699,1000.0,4380.0
2020-03-09,4599.0,4599.0,4599.0,4428.0,11519828145,2504855,2536,4380.0,4599.0
2020-03-10,4649.0,4649.0,4649.0,4510.0,19675748846,4232254,2574,4428.0,4649.0
2020-03-11,4735.0,4735.0,4735.0,4587.0,18387345005,3883283,4551,4510.0,4735.0
2020-03-14,4816.0,4816.0,4816.0,4773.0,42532662928,8831533,7821,4587.0,4816.0
2020-03-15,5011.0,5011.0,5011.0,5011.0,287885773393,57450763,5873,4773.0,5011.0
2020-03-16,5261.0,5261.0,5261.0,5143.0,30344853507,5767887,5461,5011.0,5261.0
2020-03-17,5400.0,5400.0,5400.0,5248.0,23965491600,4438054,4262,5143.0,5400.0
2020-03-18,5510.0,5510.0,5510.0,5372.0,28414254520,5156852,4907,5248.0,5510.0
2020-03-24,5640.0,5640.0,5640.0,5486.0,22996671360,4077424,3875,5372.0,5640.0
2020-03-25,5760.0,5760.0,5760.0,5620.0,27045521280,4695403,4374,5486.0,5760.0
2020-03-28,5901.0,5901.0,5901.0,5776.0,31453799349,5330249,5028,5620.0,5901.0
2020-03-29,6064.0,6064.0,6064.0,5967.0,38584049520,6362805,5934,5776.0,6064.0
2020-03-30,6265.0,6265.0,6265.0,6164.0,39753091490,6345266,6102,5967.0,6265.0
2020-04-04,6472.0,6472.0,6472.0,6389.0,45343414480,7006090,6617,6164.0,6472.0
2020-04-05,6708.0,6708.0,6708.0,6572.0,36955203792,5509124,5240,6389.0,6708.0
2020-04-06,6900.0,7245.0,6900.0,7219.0,164500707870,22787680,16610,6572.0,7245.0
2020-04-07,7579.0,7579.0,7579.0,7579.0,157508740961,20782259,21117,7219.0,7579.0
2020-04-08,7957.0,7957.0,7957.0,7957.0,173868470656,21851008,25112,7579.0,7957.0
2020-04-11,8354.0,8354.0,8354.0,8354.0,91959052598,11007787,10651,7957.0,8354.0
2020-04-12,8771.0,8771.0,8771.0,8674.0,64428801402,7345662,7201,8354.0,8771.0
2020-04-13,9107.0,9107.0,8241.0,8868.0,2560101797382,288680114,166526,8674.0,8680.0
2020-04-14,8425.0,8435.0,8425.0,8425.0,247028155975,29320847,18401,8868.0,8425.0
2020-04-15,8425.0,8820.0,8004.0,8396.0,2228930056171,265477778,179369,8425.0,8570.0
2020-04-18,8815.0,8815.0,8815.0,8815.0,404011636350,45832290,22288,8396.0,8815.0
2020-04-19,9255.0,9255.0,8375.0,8973.0,2082596990202,232092903,118577,8815.0,8721.0
2020-04-20,8740.0,9421.0,8704.0,9414.0,666190707187,70762474,35077,8973.0,9421.0
2020-04-21,9884.0,9884.0,9884.0,9884.0,499998023588,50586607,15934,9414.0,9884.0
2020-04-22,10378.0,10378.0,10378.0,10378.0,1577170283282,151972469,25668,9884.0,10378.0
2020-04-25,10896.0,10896.0,10896.0,10896.0,573725284320,52654670,9364,10378.0,10896.0
2020-04-26,11440.0,12012.0,11440.0,11986.0,1655365824056,138111358,29862,10896.0,11900.0
2020-04-27,11999.0,12585.0,11999.0,12575.0,1679563884316,133560915,37725,11986.0,12585.0
2020-04-28,12580.0,13203.0,11947.0,12300.0,3857362857177,313617559,168412,12575.0,12291.0
2020-04-29,12200.0,12915.0,12197.0,12914.0,1333859956278,103285749,28455,12300.0,12915.0
2020-05-02,12950.0,13559.0,12950.0,13557.0,1663126430352,122678329,17454,12914.0,13559.0
2020-05-03,14234.0,14234.0,14234.0,14234.0,2118393682306,148826309,27141,13557.0,14234.0
2020-05-04,14945.0,14945.0,14234.0,14854.0,3664438517324,246699691,75555,14234.0,14945.0
2020-05-05,14940.0,14940.0,14112.0,14113.0,265160597216,18788780,6825,14854.0,14112.0
2020-05-06,14109.0,14818.0,13408.0,13512.0,1650678399889,122165604,51274,14113.0,13408.0
2020-05-09,13408.0,14187.0,13408.0,14106.0,2018803409962,143118446,47368,13512.0,14006.0
2020-05-10,14000.0,14500.0,13401.0,13744.0,2249679959134,163680730,69205,14106.0,13402.0
2020-05-11,13401.0,13401.0,13057.0,13057.0,157112826318,12032674,4047,13744.0,13057.0
2020-05-12,12950.0,12950.0,12405.0,12511.0,92408286855,7448851,2025,13057.0,12405.0
2020-05-13,12300.0,12300.0,11886.0,11886.0,128130476850,10779874,3845,12511.0,11886.0
2020-05-16,11700.0,11700.0,11292.0,11626.0,47382297406,4196043,1644,11886.0,11292.0
2020-05-17,11045.0,11045.0,11045.0,11045.0,208483001145,18875781,5307,11626.0,11045.0
2020-05-18,10493.0,11597.0,10493.0,11511.0,571104712014,49612790,21979,11045.0,11597.0
2020-05-19,12086.0,12086.0,11396.0,11782.0,2138239157198,181477378,84563,11511.0,11490.0
2020-05-20,11250.0,11690.0,11193.0,11232.0,519733208837,46273118,21176,11782.0,11193.0
2020-05-23,10671.0,10933.0,10671.0,10852.0,2655149163177,244674268,73215,11232.0,10672.0
2020-05-26,10687.0,11049.0,10153.0,10457.0,862873761205,82515143,38808,10687.0,10153.0
2020-05-27,9950.0,10840.0,9950.0,10419.0,1090695276743,104686347,59682,10457.0,10605.0
2020-05-30,10850.0,10939.0,10605.0,10908.0,552687681774,50667043,21864,10419.0,10939.0
2020-05-31,11453.0,11453.0,10371.0,10877.0,1027264796272,94442400,35582,10908.0,10642.0
2020-06-01,10700.0,11174.0,10500.0,10792.0,668436526184,61940627,30355,10877.0,10650.0
2020-06-02,11000.0,11331.0,10699.0,11188.0,1118593681311,99982318,37109,10792.0,11331.0
2020-06-06,11621.0,11747.0,11377.0,11714.0,725609867665,61944439,21501,11188.0,11747.0
2020-06-10,12300.0,12898.0,11777.0,12126.0,1157150392815,95424187,28335,11304.0,12056.0
2020-06-13,12550.0,12550.0,11870.0,12140.0,1626651037039,133985999,55732,12126.0,11919.0
2020-06-14,11999.0,12004.0,11533.0,11598.0,1636770397632,141130815,47399,12140.0,11534.0
2020-06-15,11534.0,11853.0,11211.0,11411.0,1362426423786,119396883,45661,11598.0,11380.0
2020-06-16,11550.0,11981.0,11260.0,11816.0,1199172369394,101490652,34981,11411.0,11981.0
2020-06-20,12400.0,12406.0,12050.0,12391.0,748694628738,60423683,17533,11816.0,12406.0
2020-06-21,13010.0,13010.0,13010.0,13010.0,708580738150,54464315,13486,12391.0,13010.0
2020-06-22,13660.0,13660.0,13150.0,13583.0,1055637529248,77716595,19529,13010.0,13660.0
2020-06-23,14262.0,14262.0,13600.0,14147.0,2027100755870,143290159,33079,13583.0,13650.0
2020-06-24,13650.0,14854.0,13540.0,14563.0,2315557945479,159007740,39234,14147.0,14854.0
2020-06-27,15259.0,15291.0,14900.0,15264.0,1357855436397,88955383,19865,14563.0,15291.0
2020-06-28,16027.0,16027.0,14501.0,15578.0,3277972755524,210423396,47948,15264.0,15306.0
2020-06-29,15316.0,16356.0,14800.0,15742.0,3260393798832,207114393,62232,15578.0,16356.0
2020-06-30,16529.0,16529.0,16529.0,16529.0,792468772705,47944145,16427,15742.0,16529.0
2020-07-01,17355.0,17355.0,16900.0,17352.0,2145167567330,123627807,31130,16529.0,17355.0
2020-07-04,18000.0,18000.0,16485.0,17244.0,3742557131569,217032137,84832,17352.0,16830.0
2020-07-05,16831.0,18106.0,16650.0,17608.0,1810175504528,102806046,37387,17244.0,18106.0
