date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-08-24,47182.0,47309.0,47010.0,47159.0,4670814152,99045,20,10000.0,47309.0
2022-08-27,47500.0,47700.0,47200.0,47270.0,6571856780,139014,28,47159.0,47200.0
2022-08-28,47010.0,47430.0,46850.0,47070.0,16006463800,340031,25,47270.0,46850.0
2022-08-29,47000.0,47230.0,46900.0,47090.0,14137307410,300246,28,47070.0,47100.0
2022-08-30,47050.0,47150.0,46800.0,47140.0,2739014170,58104,5,47090.0,46910.0
2022-08-31,46800.0,46900.0,46800.0,46890.0,1506262500,32125,7,47140.0,46900.0
2022-09-03,46900.0,46900.0,46300.0,46580.0,3848414000,82625,16,46890.0,46600.0
2022-09-04,46700.0,46750.0,46700.0,46700.0,1317950100,28220,10,46580.0,46750.0
2022-09-05,46600.0,46900.0,46600.0,46750.0,7350297150,157241,18,46700.0,46700.0
2022-09-06,46300.0,46400.0,46300.0,46320.0,560013300,12091,4,46750.0,46400.0
2022-09-07,46500.0,46600.0,46250.0,46260.0,20271051620,438163,15,46320.0,46250.0
2022-09-10,45600.0,45810.0,45600.0,45790.0,5275424400,115209,9,46260.0,45810.0
2022-09-11,45700.0,46300.0,45500.0,45650.0,1929227000,42258,6,45790.0,45500.0
2022-09-12,45600.0,45650.0,45350.0,45580.0,2146864550,47099,8,45650.0,45350.0
2022-09-13,45500.0,45950.0,45500.0,45570.0,285919850,6274,5,45580.0,45600.0
2022-09-14,45580.0,45910.0,45400.0,45910.0,80740176000,1758810,40,45570.0,45400.0
2022-09-18,45700.0,45700.0,44900.0,45040.0,2446229900,54314,6,45910.0,44900.0
2022-09-19,44850.0,44900.0,44800.0,44870.0,1268550000,28273,8,45040.0,44800.0
2022-09-20,44500.0,44510.0,44500.0,44500.0,4426380500,99469,11,44870.0,44500.0
2022-09-21,44400.0,44400.0,44200.0,44300.0,1169080400,26390,6,44500.0,44200.0
2022-09-24,44200.0,44500.0,43500.0,43910.0,30868100,703,7,44300.0,43500.0
2022-09-26,43300.0,43500.0,43300.0,43330.0,608166000,14036,4,43910.0,43500.0
2022-09-28,43900.0,44210.0,43900.0,44190.0,378500000,8565,5,43330.0,44210.0
2022-10-01,44190.0,44190.0,43000.0,43090.0,442314780,10264,5,44190.0,43000.0
2022-10-02,42900.0,42900.0,42800.0,42800.0,1629312500,38065,8,43090.0,42800.0
2022-10-03,43000.0,43000.0,42800.0,42990.0,8677137400,201850,7,42800.0,42800.0
2022-10-04,42800.0,43000.0,42700.0,42740.0,173063800,4049,6,42990.0,43000.0
2022-10-08,43000.0,43990.0,43000.0,43000.0,4503632850,104733,6,42740.0,43000.0
2022-10-09,42800.0,42800.0,42600.0,42760.0,63973000,1496,4,43000.0,42600.0
2022-10-10,42600.0,42600.0,42600.0,42600.0,488622000,11470,3,42760.0,42600.0
2022-10-11,42900.0,43600.0,42900.0,43010.0,550776200,12805,7,42600.0,43000.0
2022-10-12,43440.0,43440.0,43440.0,43440.0,1985989920,45718,7,43010.0,43440.0
2022-10-15,43200.0,43200.0,43200.0,43200.0,709516800,16424,5,43440.0,43200.0
2022-10-16,43000.0,43000.0,42900.0,42910.0,428827500,9993,10,43200.0,42900.0
2022-10-17,42800.0,42800.0,42800.0,42800.0,537867600,12567,5,42910.0,42800.0
2022-10-18,42900.0,43000.0,42900.0,42990.0,3054061300,71036,9,42800.0,42900.0
2022-10-19,43000.0,43000.0,42900.0,42930.0,181245100,4222,5,42990.0,42900.0
2022-10-22,42800.0,42810.0,42700.0,42800.0,971493040,22701,7,42930.0,42700.0
2022-10-23,42700.0,42710.0,42600.0,42700.0,3032753040,71029,8,42800.0,42600.0
2022-10-24,42700.0,42700.0,41800.0,42410.0,985866050,23244,12,42700.0,41800.0
2022-10-25,41800.0,41900.0,41500.0,41650.0,618323550,14845,12,42410.0,41500.0
2022-10-26,41200.0,41200.0,40500.0,40960.0,1566804500,38253,8,41650.0,40500.0
2022-10-29,40600.0,40900.0,40600.0,40810.0,743207200,18212,3,40960.0,40800.0
2022-10-30,40800.0,41000.0,40800.0,40840.0,587902000,14397,7,40810.0,41000.0
2022-10-31,41500.0,41700.0,41500.0,41500.0,446162500,10750,4,40840.0,41700.0
2022-11-01,41900.0,41900.0,41900.0,41900.0,8170500,195,4,41500.0,41900.0
2022-11-02,41900.0,41900.0,41800.0,41830.0,1481971300,35427,8,41900.0,41900.0
2022-11-05,42000.0,43500.0,42000.0,43020.0,6104552720,141887,11,41830.0,43500.0
2022-11-06,44640.0,44640.0,44290.0,44460.0,555842840,12501,9,43020.0,44620.0
2022-11-07,45000.0,45500.0,44000.0,45400.0,27119881850,597292,38,44460.0,45300.0
2022-11-08,45800.0,46000.0,45800.0,45990.0,609170300,13246,9,45400.0,45900.0
2022-11-09,45500.0,47070.0,45500.0,45730.0,1029242100,22506,15,45990.0,47070.0
2022-11-12,47100.0,47100.0,46300.0,46410.0,874373400,18840,10,45730.0,46300.0
2022-11-13,46400.0,46400.0,46400.0,46400.0,90990400,1961,5,46410.0,46400.0
2022-11-14,45800.0,45800.0,45700.0,45780.0,1232166200,26914,10,46400.0,45700.0
2022-11-15,45700.0,46150.0,45700.0,45800.0,2283747500,49864,13,45780.0,45800.0
2022-11-16,45800.0,46300.0,45800.0,45850.0,2814145100,61379,9,45800.0,45900.0
2022-11-20,45400.0,45900.0,45400.0,45520.0,301449800,6622,5,45850.0,45900.0
2022-11-21,45900.0,46010.0,45900.0,45900.0,1882023760,41000,7,45520.0,45900.0
2022-11-22,45800.0,45800.0,45800.0,45800.0,734082400,16028,4,45900.0,45800.0
2022-11-23,45900.0,45900.0,45900.0,45900.0,157115700,3423,4,45800.0,45900.0
2022-11-26,46000.0,46000.0,45900.0,45930.0,575967800,12540,8,45900.0,45900.0
2022-11-27,45700.0,45700.0,45700.0,45700.0,4250191400,93002,5,45930.0,45700.0
2022-11-28,45800.0,45900.0,45800.0,45800.0,824454100,18000,5,45700.0,45800.0
2022-11-29,45800.0,45900.0,45800.0,45870.0,327099800,7131,6,45800.0,45900.0
2022-11-30,46300.0,47220.0,46300.0,46340.0,501908920,10832,8,45870.0,46300.0
2022-12-03,45900.0,45900.0,45900.0,45900.0,494343000,10770,4,46340.0,45900.0
2022-12-04,45890.0,45890.0,45890.0,45890.0,6975280,152,1,45900.0,45890.0
2022-12-05,45700.0,45710.0,45500.0,45570.0,1503904210,33000,7,45890.0,45500.0
2022-12-06,45200.0,45200.0,45200.0,45200.0,79100000,1750,2,45570.0,45200.0
2022-12-07,45500.0,45500.0,45200.0,45310.0,4101684800,90524,7,45200.0,45200.0
2022-12-10,45000.0,45000.0,44600.0,44970.0,6436073400,143133,9,45310.0,44600.0
2022-12-11,44600.0,44800.0,44600.0,44700.0,447000000,10000,8,44970.0,44800.0
2022-12-12,45000.0,45600.0,45000.0,45240.0,1487925000,32890,5,44700.0,45600.0
2022-12-13,47000.0,47000.0,46800.0,46810.0,628657000,13431,6,45240.0,46800.0
2022-12-14,47000.0,47600.0,47000.0,47430.0,438446100,9244,9,46810.0,47500.0
2022-12-17,47300.0,47600.0,47300.0,47520.0,1762626800,37093,7,47430.0,47600.0
2022-12-18,47900.0,48700.0,47900.0,48580.0,650200800,13384,11,47520.0,48700.0
2022-12-19,48600.0,48600.0,48500.0,48600.0,2657834000,54690,9,48580.0,48500.0
2022-12-20,48000.0,48000.0,48000.0,48000.0,1278912000,26644,7,48600.0,48000.0
2022-12-21,48200.0,48200.0,48200.0,48200.0,482000000,10000,1,48000.0,48200.0
2022-12-24,49000.0,49900.0,48600.0,48950.0,3500216140,71506,21,48200.0,49500.0
2022-12-25,49600.0,49800.0,49600.0,49790.0,865583100,17386,11,48950.0,49800.0
2022-12-26,49800.0,50500.0,49800.0,49990.0,726009760,14524,12,49790.0,50500.0
2022-12-28,50500.0,53000.0,50500.0,52080.0,4335865000,83250,14,49990.0,53000.0
2022-12-31,51000.0,52500.0,50000.0,50680.0,5708717300,112636,14,52080.0,50500.0
2023-01-01,50000.0,50070.0,50000.0,50000.0,3305957350,66119,10,50680.0,50000.0
2023-01-02,48500.0,50700.0,48500.0,49970.0,425879200,8522,11,50000.0,50600.0
2023-01-03,50600.0,50600.0,50600.0,50600.0,31169600,616,3,49970.0,50600.0
2023-01-04,50000.0,50000.0,50000.0,50000.0,347300000,6946,8,50600.0,50000.0
2023-01-07,50000.0,51500.0,50000.0,50910.0,2506522500,49238,15,50000.0,51000.0
2023-01-08,52500.0,54500.0,52000.0,54130.0,1802857690,33303,45,50910.0,52620.0
2023-01-09,51800.0,54000.0,51800.0,52280.0,1818777310,34786,29,54130.0,52680.0
2023-01-10,49550.0,55000.0,49550.0,52990.0,12868038850,242835,21,52280.0,55000.0
2023-01-11,53040.0,53890.0,53000.0,53010.0,2152361260,40605,20,52990.0,53000.0
2023-01-14,52500.0,53500.0,52000.0,52080.0,3395994100,65204,18,53010.0,52700.0
