date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,2927.0,2927.0,2927.0,2927.0,3512400,1200,1,2927.0,2927.0
2001-03-27,2926.0,2927.0,2926.0,2927.0,10537100,3600,5,2927.0,2927.0
2001-03-31,2927.0,2927.0,2927.0,2927.0,2429410,830,3,2927.0,2927.0
2001-04-07,2927.0,2927.0,2927.0,2927.0,3491911,1193,4,2927.0,2927.0
2001-04-08,2930.0,2931.0,2930.0,2931.0,58031860,19802,23,2927.0,2931.0
2001-04-09,2936.0,2974.0,2936.0,2974.0,3712610,1255,3,2931.0,2974.0
2001-04-10,3122.0,3122.0,3122.0,3122.0,3122000,1000,2,2974.0,3122.0
2001-04-11,3278.0,3278.0,3278.0,3278.0,68044724,20758,24,3122.0,3278.0
2001-04-14,3278.0,3441.0,3278.0,3278.0,103039908,31121,32,3278.0,3278.0
2001-04-15,3351.0,3351.0,3278.0,3350.0,124080848,37360,31,3278.0,3350.0
2001-04-16,3399.0,3517.0,3399.0,3517.0,75626121,21852,20,3350.0,3517.0
2001-04-17,3535.0,3580.0,3530.0,3580.0,20232700,5715,6,3517.0,3580.0
2001-04-18,3693.0,3750.0,3582.0,3582.0,236399494,64162,55,3580.0,3582.0
2001-04-21,3691.0,3750.0,3611.0,3750.0,49361749,13359,13,3582.0,3750.0
2001-04-22,3670.0,3737.0,3650.0,3652.0,80378699,21827,14,3750.0,3652.0
2001-04-23,3652.0,3656.0,3615.0,3615.0,58331087,16000,19,3652.0,3615.0
2001-04-24,3615.0,3615.0,3602.0,3605.0,80933110,22429,14,3615.0,3605.0
2001-04-25,3598.0,3648.0,3598.0,3648.0,42556661,11816,13,3605.0,3648.0
2001-04-28,3700.0,3727.0,3650.0,3727.0,28316204,7686,14,3648.0,3727.0
2001-04-29,3734.0,3758.0,3733.0,3750.0,147309898,39334,41,3727.0,3750.0
2001-04-30,3750.0,3801.0,3750.0,3800.0,70636750,18647,21,3750.0,3800.0
2001-05-01,3803.0,3907.0,3803.0,3907.0,169517236,43518,29,3800.0,3907.0
2001-05-02,3990.0,3993.0,3990.0,3993.0,40167390,10061,7,3907.0,3993.0
2001-05-05,4055.0,4100.0,4002.0,4100.0,177573230,43501,30,3993.0,4100.0
2001-05-06,4100.0,4200.0,4100.0,4170.0,139248884,33606,40,4100.0,4170.0
2001-05-07,4315.0,4317.0,4170.0,4317.0,112026128,26442,21,4170.0,4317.0
2001-05-08,4343.0,4366.0,4343.0,4366.0,36191700,8300,15,4317.0,4366.0
2001-05-13,4380.0,4380.0,4370.0,4370.0,112109050,25623,22,4366.0,4370.0
2001-05-15,4337.0,4337.0,4326.0,4328.0,17833840,4120,4,4370.0,4328.0
2001-05-16,4260.0,4260.0,4112.0,4112.0,35888940,8578,15,4328.0,4112.0
2001-05-19,4060.0,4100.0,3999.0,4000.0,43603320,10872,19,4112.0,4000.0
2001-05-20,4050.0,4110.0,4000.0,4051.0,126792058,31096,28,4000.0,4051.0
2001-05-21,4170.0,4170.0,4100.0,4170.0,113140801,27241,30,4051.0,4170.0
2001-05-23,4180.0,4184.0,4170.0,4184.0,5818810,1393,5,4170.0,4184.0
2001-05-26,4250.0,4351.0,4250.0,4351.0,102331331,23693,17,4184.0,4351.0
