date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-05-26,29950.0,29950.0,29950.0,29950.0,5331078406050,177999279,2355996,1000.0,29950.0
2021-05-29,31440.0,31440.0,31440.0,31440.0,49776971280,1583237,8310,29950.0,31440.0
2021-05-30,33010.0,33010.0,33010.0,33010.0,53074270240,1607824,8768,31440.0,33010.0
2021-05-31,34660.0,34660.0,34660.0,34660.0,62184407160,1794126,11307,33010.0,34660.0
2021-06-01,36390.0,36390.0,36390.0,36390.0,82204609710,2258989,17962,34660.0,36390.0
2021-06-02,38200.0,38200.0,38200.0,38200.0,671369927800,17575129,76432,36390.0,38200.0
2021-06-07,40110.0,40110.0,38210.0,39560.0,4567619136680,115450961,582759,38200.0,38630.0
2021-06-08,38750.0,39560.0,37590.0,38260.0,1839947142750,48084723,304051,39560.0,37700.0
2021-06-09,37300.0,38200.0,36660.0,37390.0,648764487990,17352274,109602,38260.0,37450.0
2021-06-12,37390.0,39190.0,37390.0,38320.0,836836285790,21838457,54253,37390.0,38100.0
2021-06-13,38590.0,38590.0,37200.0,37630.0,331620351630,8813266,41066,38320.0,37800.0
2021-06-14,37250.0,38500.0,37250.0,37930.0,481632281300,12697761,48700,37630.0,38180.0
2021-06-15,38000.0,39420.0,37760.0,38650.0,531814717460,13760539,40570,37930.0,38050.0
2021-06-16,37850.0,38400.0,37630.0,37910.0,323369896740,8530855,51223,38650.0,37850.0
2021-06-19,37630.0,38250.0,36510.0,37160.0,319027833200,8584717,22506,37910.0,37020.0
2021-06-20,36700.0,38200.0,36540.0,37300.0,384328985120,10304938,23463,37160.0,37100.0
2021-06-21,37020.0,39160.0,37020.0,38630.0,512212650750,13259200,25767,37300.0,39160.0
2021-06-22,39990.0,40560.0,39500.0,40390.0,908329476740,22490388,21901,38630.0,40560.0
2021-06-23,41500.0,42350.0,40380.0,41290.0,605752881370,14671480,25490,40390.0,40780.0
2021-06-26,41330.0,41330.0,39860.0,40400.0,571994707210,14159998,25227,41290.0,39940.0
2021-06-27,40820.0,41290.0,39600.0,40180.0,365487788670,9095598,13936,40400.0,39720.0
2021-06-28,39600.0,40000.0,38750.0,39110.0,330531500400,8451834,19654,40180.0,39110.0
2021-06-29,39130.0,40060.0,39090.0,39350.0,296401600640,7533080,16314,39110.0,39370.0
2021-06-30,39370.0,41000.0,39000.0,40140.0,582558183370,14513682,20967,39350.0,40790.0
2021-07-07,38150.0,38800.0,37500.0,38360.0,302183502620,7878214,7331,36840.0,38500.0
2021-07-10,39100.0,39100.0,37500.0,38080.0,211841800840,5562406,15208,38360.0,38000.0
2021-07-11,37700.0,38970.0,37700.0,38410.0,148042335130,3854028,13150,38080.0,38390.0
2021-07-12,38200.0,38840.0,37950.0,38300.0,204486323880,5338698,15741,38410.0,38060.0
2021-07-13,38050.0,38450.0,37500.0,37860.0,235470488260,6219092,15332,38300.0,37500.0
2021-07-14,37480.0,38750.0,37380.0,38100.0,233293477970,6123531,19088,37860.0,37900.0
2021-07-17,38400.0,38400.0,37290.0,37680.0,251783454940,6682978,13536,38100.0,37410.0
2021-07-18,37890.0,38500.0,37210.0,37980.0,186754520900,4917821,10072,37680.0,37820.0
2021-07-19,37530.0,39870.0,37530.0,39440.0,297065295960,7532839,12311,37980.0,39870.0
2021-07-26,41410.0,41410.0,39870.0,41380.0,831422125600,20092262,10331,39440.0,41410.0
2021-07-27,41800.0,42500.0,39710.0,40880.0,422796643580,10342580,12464,41380.0,39810.0
2021-07-28,39900.0,42280.0,39900.0,41170.0,363801103700,8837518,12134,40880.0,40950.0
2021-07-31,40700.0,42200.0,40510.0,41320.0,278465759860,6739627,9957,41170.0,41190.0
2021-08-01,41000.0,41200.0,40600.0,40820.0,204084180790,5000195,8845,41320.0,40800.0
2021-08-02,40600.0,41120.0,40300.0,40560.0,154290394330,3803925,7350,40820.0,40600.0
