date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-02-20,10000.0,10000.0,10000.0,10000.0,20409830000,2040983,762,10000.0,10000.0
2021-02-21,10000.0,10000.0,10000.0,10000.0,135420890000,13542089,1976,10000.0,10000.0
2021-02-22,10000.0,10000.0,10000.0,10000.0,115944140000,11594414,664,10000.0,10000.0
2021-02-23,10000.0,10000.0,10000.0,10000.0,19674400000,1967440,385,10000.0,10000.0
2021-02-24,10000.0,10000.0,10000.0,10000.0,33419040000,3341904,553,10000.0,10000.0
2021-04-10,10180.0,10200.0,10180.0,10181.0,3360594835,330101,229,10000.0,10180.0
2021-04-11,10184.0,10200.0,9800.0,10181.0,9009200635,884863,412,10181.0,10184.0
2021-04-12,10184.0,10190.0,10184.0,10185.0,1216942495,119484,103,10181.0,10185.0
2021-04-13,10194.0,10220.0,10189.0,10200.0,3372809232,330673,116,10185.0,10195.0
2021-04-14,10204.0,10209.0,10200.0,10201.0,1812362332,177672,94,10200.0,10200.0
2021-04-17,10202.0,10215.0,10202.0,10202.0,855573920,83861,74,10201.0,10202.0
2021-04-18,10215.0,10215.0,10202.0,10203.0,846022570,82918,60,10202.0,10202.0
2021-04-19,10204.0,10215.0,10204.0,10208.0,272399365,26685,43,10203.0,10215.0
2021-04-20,10209.0,10211.0,10208.0,10208.0,875100533,85723,45,10208.0,10208.0
2021-04-21,10209.0,10215.0,10208.0,10209.0,2062920026,202076,47,10208.0,10213.0
2021-04-24,10230.0,10240.0,10217.0,10222.0,1361516340,133191,62,10209.0,10220.0
2021-04-25,10239.0,10240.0,10226.0,10229.0,789012886,77132,27,10222.0,10235.0
2021-04-26,10234.0,10235.0,10233.0,10233.0,1712959745,167389,45,10229.0,10233.0
2021-04-27,10237.0,10240.0,10237.0,10238.0,476946459,46587,28,10233.0,10237.0
2021-04-28,10242.0,10250.0,10242.0,10243.0,772958061,75464,39,10238.0,10242.0
2021-05-01,10247.0,10250.0,10246.0,10247.0,1991293796,194332,31,10243.0,10250.0
