date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-05-03,12335.0,12335.0,12335.0,12335.0,4555093470,369282,9,1000.0,12335.0
2021-05-10,12458.0,12458.0,12458.0,12336.0,37374000,3000,1,12335.0,12458.0
2021-05-17,12213.0,12213.0,12213.0,12285.0,1021861710,83670,3,12336.0,12213.0
2021-06-21,12653.0,12653.0,12653.0,12653.0,10529687417,832189,20,12285.0,12653.0
2021-06-22,13032.0,13032.0,13032.0,13032.0,10881720000,835000,32,12653.0,13032.0
2021-06-23,13422.0,13422.0,13422.0,13422.0,12079800000,900000,29,13032.0,13422.0
2021-06-26,14093.0,14093.0,14093.0,14093.0,3525392136,250152,7,13422.0,14093.0
2021-06-27,14515.0,14515.0,14515.0,14515.0,3113264290,214486,4,14093.0,14515.0
2021-06-28,14950.0,14950.0,14950.0,14950.0,4662905000,311900,12,14515.0,14950.0
2021-06-29,15398.0,15398.0,15398.0,15398.0,5205601860,338070,10,14950.0,15398.0
2021-06-30,16167.0,16167.0,16167.0,16167.0,26853969012,1661036,48,15398.0,16167.0
2021-07-03,16652.0,16652.0,16652.0,16652.0,3192837828,191739,9,16167.0,16652.0
2021-07-04,17151.0,17151.0,17151.0,17151.0,3432103761,200111,11,16652.0,17151.0
2021-07-05,17665.0,17665.0,17665.0,17665.0,3534784165,200101,7,17151.0,17665.0
2021-07-06,18548.0,18548.0,18548.0,18548.0,3155014800,170100,19,17665.0,18548.0
2021-07-07,19104.0,19104.0,19104.0,19104.0,3056831040,160010,13,18548.0,19104.0
2021-07-10,19677.0,19677.0,19677.0,19253.0,2674360101,135913,11,19104.0,19677.0
2021-07-11,19830.0,19830.0,19830.0,19446.0,3472530450,175115,8,19253.0,19830.0
2021-07-12,20418.0,20418.0,20418.0,20418.0,10827114114,530273,23,19446.0,20418.0
2021-07-13,21030.0,21030.0,21030.0,21030.0,11455419540,544718,41,20418.0,21030.0
2021-07-14,21660.0,21660.0,21660.0,21660.0,12144978600,560710,31,21030.0,21660.0
2021-07-17,22309.0,22309.0,22309.0,22309.0,11550261660,517740,22,21660.0,22309.0
2021-07-18,22309.0,23424.0,21194.0,22379.0,241095789047,10773323,1656,22309.0,21260.0
2021-07-19,22780.0,23050.0,21909.0,23016.0,120653239158,5242232,386,22379.0,23050.0
2021-08-01,23660.0,23660.0,23660.0,23116.0,2174141060,91891,20,22971.0,23660.0
2021-08-02,23809.0,23809.0,23809.0,23135.0,289160305,12145,10,23116.0,23809.0
2021-08-03,23829.0,23829.0,23829.0,23567.0,6451368144,270736,19,23135.0,23829.0
2021-08-04,24274.0,24274.0,24274.0,24129.0,8398318520,345980,17,23567.0,24274.0
2021-08-07,25335.0,25335.0,25335.0,25335.0,13441433580,530548,35,24129.0,25335.0
2021-08-08,26095.0,26095.0,26095.0,25911.0,8194090950,314010,22,25335.0,26095.0
2021-08-09,26688.0,26688.0,26688.0,26688.0,11590625088,434301,52,25911.0,26688.0
2021-08-10,27488.0,27488.0,27488.0,27488.0,14292550528,519956,52,26688.0,27488.0
2021-08-11,28862.0,28862.0,28862.0,28862.0,18895922538,654699,86,27488.0,28862.0
2021-08-14,29727.0,29727.0,29727.0,29727.0,21097489716,709708,56,28862.0,29727.0
2021-08-15,30618.0,30618.0,30618.0,30618.0,13966829352,456164,65,29727.0,30618.0
2021-08-22,31536.0,31536.0,31536.0,31536.0,23814158112,755142,56,30618.0,31536.0
2021-08-23,33112.0,33112.0,30010.0,32548.0,171236425541,5261056,1146,31536.0,32190.0
2021-08-24,31572.0,33524.0,31572.0,33322.0,48239878627,1447707,417,32548.0,33524.0
2021-08-25,34321.0,34321.0,32323.0,32764.0,94256615962,2876857,1236,33322.0,32400.0
2021-08-28,33700.0,33700.0,31782.0,32454.0,35763466122,1101984,665,32764.0,31782.0
2021-08-29,31481.0,33150.0,31481.0,31851.0,43490069622,1365439,551,32454.0,31481.0
2021-08-30,30896.0,31439.0,30896.0,30904.0,12693368498,410740,102,31851.0,30896.0
2021-08-31,29359.0,32449.0,29359.0,31493.0,100406368645,3188242,760,30904.0,32449.0
2021-09-01,32437.0,32437.0,32436.0,32437.0,47167613016,1454130,125,31493.0,32437.0
2021-09-04,33000.0,33410.0,31517.0,32982.0,71533606525,2168854,813,32437.0,32300.0
2021-09-05,33880.0,33880.0,31993.0,32073.0,42104533806,1312782,290,32982.0,31993.0
2021-09-06,31111.0,32900.0,31111.0,31796.0,42510963197,1336996,655,32073.0,31120.0
2021-09-07,32100.0,32100.0,30843.0,30930.0,18940288649,612363,311,31796.0,30843.0
2021-09-08,30050.0,31857.0,30050.0,31182.0,47157716636,1512360,470,30930.0,31855.0
2021-09-11,32000.0,32117.0,31400.0,32030.0,15439004490,482018,299,31182.0,32117.0
2021-09-12,32950.0,32990.0,31100.0,32666.0,40888102733,1251708,396,32030.0,32990.0
2021-09-13,33645.0,33645.0,33645.0,33645.0,12334660740,366612,72,32666.0,33645.0
2021-09-14,35327.0,35327.0,35327.0,35327.0,11791057463,333769,41,33645.0,35327.0
2021-09-15,36386.0,36386.0,36386.0,36386.0,13012179390,357615,62,35327.0,36386.0
2021-09-18,37477.0,37477.0,35899.0,37394.0,115354729245,3084882,869,36386.0,37477.0
2021-09-19,36498.0,38515.0,36273.0,37329.0,45181560877,1210349,627,37394.0,36273.0
2021-09-20,36210.0,37000.0,36210.0,36217.0,86675060218,2393182,418,37329.0,36210.0
2021-09-21,35500.0,37303.0,35131.0,35427.0,75471175009,2130316,634,36217.0,36800.0
2021-09-22,36488.0,36489.0,34470.0,36211.0,67254413298,1857280,728,35427.0,36489.0
2021-09-25,37290.0,37297.0,36206.0,37139.0,34732433906,935196,377,36211.0,36800.0
2021-09-26,37000.0,38253.0,36431.0,38072.0,43816990883,1150887,544,37139.0,38253.0
2021-09-28,39100.0,39214.0,36930.0,37360.0,27022909329,723312,464,38072.0,36931.0
2021-09-29,36253.0,37733.0,36240.0,36249.0,13272518270,366145,182,37360.0,36240.0
2021-10-02,36200.0,37000.0,35162.0,35612.0,53301153306,1496710,501,36249.0,35401.0
2021-10-03,36680.0,36680.0,35696.0,36575.0,43010608660,1175941,415,35612.0,36320.0
2021-10-04,36550.0,36680.0,35478.0,35613.0,25254078315,709124,294,36575.0,35478.0
2021-10-06,35000.0,36680.0,34545.0,35061.0,20127609307,574076,316,35613.0,35193.0
2021-10-09,36112.0,36112.0,34037.0,34881.0,16720130633,479343,203,35061.0,34699.0
2021-10-10,34881.0,35927.0,34881.0,35764.0,9241226467,257714,139,34881.0,35927.0
2021-10-11,36835.0,36835.0,34692.0,35843.0,8019275992,223598,173,35764.0,36100.0
2021-10-12,34920.0,36780.0,34768.0,35462.0,4589117774,131062,74,35843.0,34768.0
2021-10-13,34399.0,35400.0,34399.0,34400.0,22264181531,647207,154,35462.0,34399.0
2021-10-16,34790.0,35400.0,33368.0,33493.0,32510339882,970650,327,34400.0,33890.0
2021-10-17,33990.0,33990.0,32821.0,33660.0,11271100768,334854,201,33493.0,33930.0
2021-10-18,34669.0,34669.0,34669.0,34669.0,13451884021,388009,66,33660.0,34669.0
2021-10-19,35709.0,35709.0,34000.0,35461.0,50419745102,1421853,465,34669.0,34170.0
2021-10-20,34398.0,34398.0,34398.0,34398.0,14454280386,420207,99,35461.0,34398.0
2021-10-23,33367.0,33367.0,33367.0,34312.0,813487460,24380,11,34398.0,33367.0
2021-10-25,33283.0,33283.0,33283.0,34225.0,818528819,24593,15,34312.0,33283.0
2021-10-26,32514.0,32514.0,32514.0,33539.0,3790287036,116574,21,34225.0,32514.0
2021-10-27,32533.0,32533.0,32533.0,33346.0,1814690740,55780,14,33539.0,32533.0
2021-10-30,32346.0,32346.0,32346.0,33324.0,211154688,6528,4,33346.0,32346.0
2021-10-31,32325.0,32325.0,32325.0,33321.0,30935025,957,2,33324.0,32325.0
2021-11-01,31655.0,31655.0,31655.0,32471.0,4844544510,153042,39,33321.0,31655.0
2021-11-02,31497.0,32598.0,31497.0,31537.0,17105591620,542403,176,32471.0,31670.0
2021-11-03,31164.0,31171.0,30591.0,30728.0,17388988557,565906,237,31537.0,30591.0
2021-11-06,30600.0,31649.0,29810.0,31062.0,37077711983,1193677,357,30728.0,31648.0
2021-11-07,31985.0,31985.0,30131.0,30721.0,8505618084,277397,205,31062.0,30131.0
2021-11-08,29903.0,31595.0,29902.0,30615.0,5016928019,164433,171,30721.0,30132.0
2021-11-09,31495.0,31533.0,29697.0,30302.0,63565880319,2097774,993,30615.0,31000.0
2021-11-10,31150.0,31211.0,29800.0,31204.0,85873475730,2752034,180,30302.0,31211.0
