date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-25,8180.0,8180.0,8180.0,8180.0,1952484200,238690,58,1000.0,8180.0
2023-03-26,7940.0,7940.0,7940.0,7940.0,444100080,55932,18,8180.0,7940.0
2023-03-27,7710.0,7710.0,7710.0,7710.0,77100000,10000,2,7940.0,7710.0
2023-03-28,7480.0,7480.0,7480.0,7480.0,2122375200,283740,37,7710.0,7480.0
2023-03-29,7260.0,7700.0,7260.0,7460.0,75498547310,10121516,1438,7480.0,7700.0
2023-04-03,7360.0,7630.0,7240.0,7280.0,37270292950,5116485,572,7460.0,7240.0
2023-04-04,7070.0,7490.0,7070.0,7230.0,28307415300,3914056,525,7280.0,7150.0
2023-04-05,7070.0,7350.0,7020.0,7070.0,16992651530,2404848,405,7230.0,7080.0
2023-04-08,7100.0,7280.0,7100.0,7280.0,14763987000,2028584,217,7070.0,7170.0
2023-04-09,7280.0,7490.0,7100.0,7460.0,22421624830,3004017,238,7280.0,7490.0
2023-04-10,7680.0,7680.0,7240.0,7360.0,25699173770,3490260,276,7460.0,7400.0
2023-04-11,7160.0,7580.0,7140.0,7340.0,6969578740,950134,176,7360.0,7400.0
2023-04-17,7560.0,7560.0,7210.0,7540.0,56263417540,7459703,266,7340.0,7560.0
2023-04-18,7700.0,7760.0,7460.0,7730.0,37988698170,4912914,347,7540.0,7760.0
2023-04-19,7740.0,7800.0,7510.0,7650.0,10095862960,1318899,227,7730.0,7800.0
2023-04-24,7500.0,7860.0,7500.0,7590.0,9822576890,1294794,168,7650.0,7580.0
2023-04-25,7540.0,7810.0,7370.0,7610.0,26179320670,3439602,351,7590.0,7600.0
2023-04-30,7830.0,7830.0,7830.0,7830.0,2279602710,291137,38,7610.0,7830.0
2023-05-01,8060.0,8060.0,8060.0,8060.0,14617865860,1813631,190,7830.0,8060.0
2023-05-02,8300.0,8300.0,8300.0,8300.0,2549004700,307109,80,8060.0,8300.0
2023-05-03,8540.0,8540.0,8540.0,8540.0,3657280620,428253,93,8300.0,8540.0
2023-05-06,8790.0,8790.0,8790.0,8790.0,4172788800,474720,95,8540.0,8790.0
2023-05-09,8530.0,8530.0,8530.0,8530.0,566784380,66446,9,8790.0,8530.0
2023-05-10,8280.0,8780.0,8280.0,8470.0,82797585970,9771770,460,8530.0,8780.0
2023-05-13,8720.0,8720.0,8220.0,8370.0,13464246430,1608534,121,8470.0,8230.0
2023-05-17,8620.0,8620.0,8620.0,8620.0,11320189140,1313247,97,8370.0,8620.0
2023-05-20,8870.0,8870.0,8870.0,8870.0,1901807830,214409,94,8620.0,8870.0
2023-05-21,9130.0,9130.0,9130.0,9130.0,1179796860,129222,48,8870.0,9130.0
2023-05-22,9400.0,9400.0,9400.0,9400.0,2136084200,227243,49,9130.0,9400.0
2023-05-28,9120.0,9120.0,9120.0,9120.0,516201120,56601,14,9400.0,9120.0
2023-05-29,8860.0,9280.0,8850.0,8990.0,7941910720,883337,128,9120.0,9150.0
2023-05-30,9250.0,9250.0,9000.0,9250.0,11502793540,1244038,97,8990.0,9250.0
2023-05-31,9250.0,9520.0,9250.0,9480.0,35308455410,3726095,182,9250.0,9520.0
2023-06-03,9200.0,9210.0,9200.0,9200.0,6881849900,747912,65,9480.0,9200.0
2023-06-06,8930.0,9320.0,8930.0,9200.0,9303035150,1011723,93,9200.0,9230.0
2023-06-07,8940.0,9060.0,8930.0,8980.0,10419004680,1160638,113,9200.0,8930.0
2023-06-10,8720.0,8720.0,8720.0,8720.0,5636834720,646426,48,8980.0,8720.0
2023-06-11,8460.0,8700.0,8460.0,8580.0,11324325410,1319572,127,8720.0,8470.0
2023-06-12,8330.0,8330.0,8330.0,8330.0,3051670510,366347,12,8580.0,8330.0
2023-06-13,8090.0,8090.0,8090.0,8090.0,116407010,14389,2,8330.0,8090.0
2023-06-14,7850.0,7850.0,7850.0,7850.0,4968021650,632869,69,8090.0,7850.0
2023-09-23,7030.0,7030.0,7030.0,7030.0,175750000000,25000000,139,7850.0,7030.0
2023-09-25,7450.0,7450.0,7030.0,7070.0,86296724050,12200000,92,7030.0,7030.0
2023-09-26,7000.0,7000.0,7000.0,7000.0,50400000,7200,1,7070.0,7000.0
2023-09-27,7000.0,7000.0,7000.0,7000.0,51100000,7300,1,7000.0,7000.0
2023-09-30,6580.0,6680.0,6580.0,6580.0,24142808000,3667600,25,7000.0,6580.0
2023-10-01,6200.0,6200.0,6190.0,6190.0,66180013990,10690866,72,6580.0,6190.0
2023-10-02,5860.0,5870.0,5860.0,5860.0,146500800000,25000000,145,6190.0,5860.0
2023-10-04,6210.0,6210.0,5900.0,5940.0,148608659230,25000000,151,5860.0,6000.0
2023-10-07,6500.0,6560.0,6500.0,6550.0,173561695520,26481871,142,5940.0,6560.0
