date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-01-24,700.0,700.0,700.0,700.0,700000,1000,1,700.0,700.0
2005-01-26,701.0,701.0,701.0,701.0,3873025,5525,4,700.0,701.0
2005-02-07,701.0,701.0,701.0,701.0,685342464,977664,57,701.0,701.0
2013-06-12,4474.0,4474.0,4200.0,4305.0,25111400,5833,8,701.0,4200.0
2013-06-15,4100.0,4590.0,3963.0,4236.0,919801475,217162,109,4305.0,4248.0
2013-06-16,4236.0,4236.0,3898.0,3925.0,1753003057,446677,95,4236.0,3901.0
2013-06-17,3800.0,3980.0,3650.0,3724.0,847677165,227620,71,3925.0,3666.0
2013-06-18,3949.0,4021.0,3755.0,3950.0,1257428179,318349,139,3724.0,4021.0
2013-06-19,4233.0,4266.0,4200.0,4258.0,553884413,130078,49,3950.0,4266.0
2013-06-22,4598.0,4598.0,4598.0,4598.0,428602570,93215,30,4258.0,4598.0
2013-06-23,4950.0,4964.0,4500.0,4814.0,1968179663,408867,148,4598.0,4600.0
2013-06-25,4501.0,4700.0,4429.0,4481.0,1174507817,262096,115,4814.0,4430.0
2013-06-26,4250.0,4499.0,4141.0,4224.0,1024794983,242616,69,4481.0,4343.0
2013-06-29,4343.0,4561.0,4230.0,4455.0,327940635,73610,38,4224.0,4561.0
2013-06-30,4700.0,4811.0,4700.0,4762.0,2208874197,463859,151,4455.0,4811.0
2013-07-01,5140.0,5142.0,4865.0,5121.0,1523055898,297414,69,4762.0,5142.0
2013-07-02,5500.0,5530.0,5498.0,5526.0,5161154268,933949,157,5121.0,5530.0
2013-07-03,5968.0,5968.0,5968.0,5968.0,3765957200,631025,36,5526.0,5968.0
2013-07-06,6445.0,6445.0,6445.0,6445.0,85441365,13257,6,5968.0,6445.0
2013-07-07,6960.0,6960.0,6461.0,6870.0,11172976790,1626249,371,6445.0,6928.0
2013-07-08,6900.0,7198.0,6333.0,6770.0,3918596368,578821,187,6870.0,6690.0
2013-07-09,6800.0,6800.0,6229.0,6261.0,1979934606,316226,101,6770.0,6229.0
2013-07-10,6000.0,6000.0,5761.0,5764.0,1261777433,218900,45,6261.0,5761.0
2013-07-13,5303.0,5559.0,5303.0,5315.0,1864126992,350728,95,5764.0,5390.0
2013-07-14,4950.0,5410.0,4950.0,5218.0,625043884,119786,81,5315.0,5120.0
2013-07-15,5635.0,5635.0,5350.0,5634.0,985599278,174946,88,5218.0,5634.0
2013-07-16,5600.0,5600.0,5184.0,5222.0,955617983,182998,103,5634.0,5480.0
2013-07-17,5627.0,5639.0,5550.0,5632.0,1614699738,286715,97,5222.0,5555.0
2013-07-21,5502.0,5503.0,5260.0,5495.0,1814063264,330126,97,5632.0,5300.0
2013-07-22,5697.0,5697.0,5276.0,5280.0,417375663,79043,29,5495.0,5276.0
2013-07-23,5286.0,5374.0,4859.0,5069.0,1050701386,207297,92,5280.0,5216.0
2013-07-24,5217.0,5217.0,4790.0,4934.0,588229605,119208,56,5069.0,4790.0
2013-07-27,5145.0,5145.0,4560.0,4624.0,549913883,118931,48,4934.0,4600.0
2013-07-28,4600.0,4976.0,4272.0,4751.0,546081983,114951,57,4624.0,4720.0
2013-07-29,5075.0,5075.0,4550.0,4809.0,403226845,83855,49,4751.0,4700.0
2013-07-31,5150.0,5150.0,4550.0,4614.0,1140977649,247282,88,4809.0,4670.0
2013-08-03,4615.0,4615.0,4245.0,4281.0,1696067563,396210,122,4614.0,4260.0
2013-08-04,4569.0,4623.0,4445.0,4592.0,1611177385,350863,84,4281.0,4623.0
2013-08-05,4797.0,4797.0,4225.0,4304.0,1857706637,431637,125,4592.0,4300.0
2013-08-06,4310.0,4640.0,4310.0,4510.0,4075643808,903782,260,4304.0,4450.0
2013-10-02,4400.0,4400.0,4400.0,4400.0,4400000000,1000000,20,4510.0,4400.0
2013-10-05,4300.0,4300.0,4300.0,4300.0,6450000000,1500000,30,4400.0,4300.0
2013-10-06,4300.0,4300.0,4200.0,4200.0,7327900400,1744628,51,4300.0,4200.0
2013-10-07,4100.0,4200.0,4100.0,4150.0,8301012200,2000241,59,4200.0,4200.0
2022-09-28,1315.0,1446.0,1315.0,1388.0,3062353413,2206174,501,4150.0,1446.0
2022-10-01,1440.0,1440.0,1255.0,1327.0,2464108119,1856923,593,1388.0,1353.0
2022-10-02,1218.0,1420.0,1218.0,1287.0,1367008981,1062487,308,1327.0,1247.0
2022-10-03,1174.0,1350.0,1174.0,1264.0,860079367,680279,257,1287.0,1200.0
2022-10-04,1200.0,1278.0,1180.0,1229.0,1917029986,1560326,291,1264.0,1230.0
2022-10-08,1165.0,1243.0,1149.0,1205.0,1648668333,1368269,257,1229.0,1162.0
2022-10-09,1109.0,1150.0,1085.0,1113.0,1022407899,918657,172,1205.0,1086.0
