date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-06-23,32500.0,32500.0,32500.0,32500.0,844997497500,25999923,2749900,1000.0,32500.0
2021-06-26,34125.0,34125.0,34125.0,34125.0,26054847000,763512,17626,32500.0,34125.0
2021-06-27,35831.0,35831.0,35831.0,35831.0,46061252134,1285514,17474,34125.0,35831.0
2021-06-28,37622.0,37622.0,37622.0,37622.0,31420389520,835160,24990,35831.0,37622.0
2021-06-29,39503.0,39503.0,39503.0,39503.0,35755073869,905123,32471,37622.0,39503.0
2021-06-30,41478.0,41478.0,41478.0,41478.0,39874916778,961351,35366,39503.0,41478.0
2021-07-03,43551.0,43551.0,43551.0,43551.0,52067136744,1195544,59703,41478.0,43551.0
2021-07-04,45728.0,45728.0,45728.0,45728.0,56957699328,1245576,59949,43551.0,45728.0
2021-07-05,48014.0,48014.0,48014.0,48014.0,62258553450,1296675,72217,45728.0,48014.0
2021-07-06,50414.0,50414.0,50414.0,50414.0,43448045550,861825,21010,48014.0,50414.0
2021-07-10,52934.0,52934.0,52934.0,52934.0,97867290570,1848855,83587,50414.0,52934.0
2021-07-11,55580.0,55580.0,55580.0,55580.0,94698649080,1703826,66170,52934.0,55580.0
2021-07-12,58359.0,58359.0,58359.0,58359.0,88400637507,1514773,61331,55580.0,58359.0
2021-07-13,61276.0,61276.0,61276.0,61276.0,94106884212,1535787,61764,58359.0,61276.0
2021-07-14,64339.0,64339.0,64339.0,64339.0,131919463159,2050381,110138,61276.0,64339.0
2021-07-17,67555.0,67555.0,66700.0,67539.0,1910787507940,28291510,246912,64339.0,67555.0
2021-07-18,67900.0,67980.0,64163.0,65648.0,485181911588,7390702,176701,67539.0,64163.0
2021-07-19,63500.0,68410.0,62366.0,65636.0,933488541809,14222269,158463,65648.0,67508.0
2021-07-26,67500.0,68250.0,62355.0,63787.0,387659781547,6077402,35723,65636.0,62355.0
2021-07-27,62300.0,62355.0,60598.0,60911.0,164045472017,2693200,23023,63787.0,60598.0
2021-07-28,58001.0,60500.0,57866.0,58205.0,318259974404,5467935,62920,60911.0,57866.0
2021-07-31,57800.0,61115.0,56100.0,60375.0,346677981558,5742085,32730,58205.0,61115.0
2021-08-01,61510.0,61575.0,57357.0,58216.0,258847005968,4446318,29489,60375.0,57357.0
2021-08-02,56600.0,57000.0,55306.0,55537.0,208348514588,3751507,20911,58216.0,55306.0
2021-08-03,53900.0,57300.0,53712.0,55119.0,119700602002,2171686,21420,55537.0,54420.0
2021-08-04,54880.0,56151.0,53700.0,54540.0,128338137327,2353117,20829,55119.0,53960.0
2021-08-07,54540.0,54540.0,52000.0,52845.0,100276175688,1897539,22221,54540.0,52562.0
2021-08-08,53200.0,55487.0,53000.0,55201.0,116488697188,2110264,11493,52845.0,55487.0
2021-08-09,57400.0,57961.0,56500.0,57617.0,264864636432,4596949,18514,55201.0,57448.0
2021-08-10,58090.0,58090.0,54737.0,55539.0,169003999758,3042960,25700,57617.0,55700.0
2021-08-11,55550.0,58000.0,54801.0,56994.0,170243503538,2987027,29967,55539.0,57900.0
2021-08-14,57000.0,58315.0,55202.0,56342.0,99728980899,1770063,14463,56994.0,55550.0
2021-08-15,55997.0,56849.0,54145.0,55563.0,91618648497,1648912,14168,56342.0,55300.0
2021-08-22,55380.0,57000.0,54700.0,55463.0,99541089038,1794739,16523,55563.0,55130.0
2021-08-23,55022.0,57500.0,53810.0,55835.0,158995552066,2847578,14829,55463.0,56710.0
2021-08-24,57350.0,58626.0,56700.0,57936.0,196216642516,3386800,14433,55835.0,57150.0
2021-08-25,58195.0,58195.0,56020.0,57105.0,153228897206,2683290,16210,57936.0,57091.0
2021-08-28,58010.0,59950.0,57150.0,59341.0,199403097406,3360308,12624,57105.0,59938.0
