date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-02-15,12100.0,12460.0,11740.0,12060.0,58221603210,4825885,688,1000.0,11870.0
2023-02-19,12380.0,12380.0,11700.0,11890.0,18708349880,1572857,229,12060.0,11700.0
2023-02-20,11540.0,11540.0,11540.0,11540.0,1246470020,108013,20,11890.0,11540.0
2023-02-21,11200.0,11200.0,11200.0,11200.0,155635200,13896,2,11540.0,11200.0
2023-02-22,10870.0,11530.0,10870.0,11270.0,27965568810,2481622,405,11200.0,11350.0
2023-02-25,11600.0,11600.0,10940.0,11010.0,27767148350,2521169,233,11270.0,10940.0
2023-02-26,10800.0,11230.0,10680.0,10730.0,18698486750,1742359,198,11010.0,10680.0
2023-02-27,10500.0,11050.0,10410.0,11000.0,34934698440,3174935,283,10730.0,10920.0
2023-02-28,10920.0,11330.0,10670.0,10890.0,23006616010,2112579,306,11000.0,10910.0
2023-03-01,11210.0,11210.0,11010.0,11210.0,79503922560,7092607,419,10890.0,11210.0
2023-03-04,11540.0,11540.0,11540.0,11540.0,4128146500,357725,23,11210.0,11540.0
2023-03-05,11880.0,11880.0,11610.0,11880.0,112790638170,9495725,490,11540.0,11850.0
2023-03-06,11960.0,12230.0,11880.0,12210.0,42100870250,3448037,397,11880.0,12230.0
2023-03-07,12550.0,12570.0,12300.0,12560.0,41135125760,3275480,276,12210.0,12570.0
2023-03-11,12920.0,12930.0,12300.0,12780.0,48039004000,3759013,404,12560.0,12450.0
2023-03-12,12760.0,12760.0,12400.0,12410.0,7359592560,593158,72,12780.0,12400.0
2023-03-13,12040.0,12600.0,12040.0,12090.0,73255573710,6059523,506,12410.0,12230.0
2023-03-14,12300.0,12430.0,11730.0,11800.0,49894208010,4229274,457,12090.0,11730.0
2023-03-15,11900.0,12130.0,11600.0,11940.0,21244616120,1779703,245,11800.0,11850.0
2023-03-18,12190.0,12280.0,11740.0,11990.0,49315749300,4112289,389,11940.0,11870.0
2023-03-19,11870.0,11900.0,11640.0,11720.0,44178900760,3770428,308,11990.0,11770.0
2023-03-25,11640.0,12070.0,11640.0,11980.0,23778645820,1985047,226,11720.0,11940.0
2023-03-26,11800.0,12000.0,11780.0,11960.0,1723968970,144187,25,11980.0,12000.0
2023-03-27,11730.0,12190.0,11610.0,11840.0,30661839700,2590102,324,11960.0,11610.0
2023-03-28,11490.0,11490.0,11490.0,11490.0,31081254300,2705070,158,11840.0,11490.0
2023-03-29,11150.0,11750.0,11150.0,11160.0,44794303410,4012314,269,11490.0,11150.0
2023-04-03,10840.0,10840.0,10830.0,10830.0,2042164430,188533,27,11160.0,10830.0
2023-04-04,10510.0,11000.0,10510.0,10530.0,42888642620,4071502,301,10830.0,10640.0
2023-04-05,10300.0,10550.0,10220.0,10260.0,62218299750,6062207,438,10530.0,10420.0
2023-04-08,10480.0,10560.0,10410.0,10550.0,29410292890,2787162,176,10260.0,10560.0
2023-04-09,10860.0,10860.0,10860.0,10860.0,794713080,73178,21,10550.0,10860.0
2023-04-10,11180.0,11180.0,11180.0,11180.0,7180399720,642254,35,10860.0,11180.0
2023-04-11,11510.0,11510.0,11510.0,11510.0,6355856530,552203,29,11180.0,11510.0
2023-04-15,11850.0,11850.0,11850.0,11850.0,1921193100,162126,29,11510.0,11850.0
2023-04-16,12200.0,12200.0,12200.0,12200.0,1846421200,151346,24,11850.0,12200.0
2023-04-17,12560.0,12560.0,12560.0,12560.0,17735775040,1412084,71,12200.0,12560.0
2023-04-18,12930.0,12930.0,12450.0,12870.0,87816117670,6825280,474,12560.0,12930.0
2023-04-19,13200.0,13250.0,12530.0,13040.0,22774868540,1746939,256,12870.0,13250.0
2023-04-24,13430.0,13430.0,13430.0,13430.0,1131866970,84279,20,13040.0,13430.0
2023-04-25,13830.0,13830.0,13830.0,13830.0,2682771060,193982,22,13430.0,13830.0
2023-04-26,14240.0,14240.0,13850.0,14230.0,74145488070,5211992,353,13830.0,14240.0
2023-04-29,14200.0,14550.0,14200.0,14410.0,37931269510,2633177,235,14230.0,14340.0
2023-04-30,14310.0,14310.0,13980.0,13980.0,67215837360,4806793,325,14410.0,13980.0
2023-05-01,13980.0,14300.0,13580.0,13670.0,35515049310,2597281,220,13980.0,13990.0
2023-05-02,14080.0,14080.0,14080.0,14080.0,11142320640,791358,41,13670.0,14080.0
2023-05-03,14500.0,14500.0,14500.0,14500.0,35481935000,2447030,140,14080.0,14500.0
2023-07-01,16060.0,16060.0,16060.0,16060.0,6414749440,399424,23,14500.0,16060.0
2023-07-02,17020.0,17020.0,16680.0,16730.0,3399243780,203171,23,16060.0,16680.0
2023-07-03,17550.0,17550.0,16500.0,17100.0,294876800,17240,5,16730.0,16500.0
2023-07-04,16400.0,16400.0,16160.0,16260.0,1763474870,108449,14,17100.0,16160.0
2023-07-05,16600.0,16600.0,16100.0,16500.0,5629931400,341267,13,16260.0,16100.0
2023-07-08,16000.0,16000.0,15510.0,15570.0,4619173320,296591,53,16500.0,15510.0
2023-07-09,15000.0,15000.0,14640.0,14660.0,29257232410,1995045,94,15570.0,14640.0
2023-07-10,14020.0,15000.0,13790.0,13810.0,140209255340,10152696,181,14660.0,13790.0
2023-07-11,14630.0,14630.0,14630.0,14630.0,73415870990,5018173,88,13810.0,14630.0
