date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-10-10,2500.0,4900.0,1611.0,1752.0,3094296910,1765873,272,1000.0,1660.0
2011-10-11,1665.0,1665.0,1665.0,1665.0,104895000,63000,15,1752.0,1665.0
2011-10-12,1582.0,1582.0,1582.0,1582.0,75564230,47765,12,1665.0,1582.0
2011-10-23,1503.0,1503.0,1503.0,1503.0,30060,20,2,1582.0,1503.0
2011-10-24,1428.0,1428.0,1428.0,1428.0,3784200,2650,3,1503.0,1428.0
2011-10-25,1357.0,1357.0,1357.0,1357.0,13570,10,1,1428.0,1357.0
2011-10-26,1295.0,1356.0,1290.0,1296.0,802048304,618992,110,1357.0,1293.0
2011-10-29,1247.0,1248.0,1235.0,1243.0,232850000,187360,43,1296.0,1235.0
2011-10-30,1183.0,1215.0,1181.0,1194.0,402278898,336917,48,1243.0,1210.0
2011-10-31,1175.0,1175.0,1138.0,1149.0,122415950,106545,33,1194.0,1150.0
2011-11-01,1100.0,1150.0,1092.0,1098.0,217179960,197845,58,1149.0,1148.0
2011-11-02,1120.0,1152.0,1120.0,1142.0,176160588,154213,26,1098.0,1152.0
2011-11-05,1199.0,1199.0,1199.0,1199.0,40766000,34000,4,1142.0,1199.0
2011-11-06,1248.0,1248.0,1140.0,1200.0,403616633,336252,51,1199.0,1171.0
2011-11-09,1140.0,1185.0,1140.0,1142.0,310209075,271555,40,1200.0,1185.0
2011-11-12,1143.0,1170.0,1130.0,1146.0,114717915,100095,25,1142.0,1140.0
2011-11-13,1090.0,1094.0,1090.0,1093.0,45548705,41685,9,1146.0,1093.0
2011-11-14,1091.0,1091.0,1041.0,1062.0,110431491,104000,21,1093.0,1060.0
2011-11-16,1069.0,1069.0,1040.0,1042.0,129252342,124000,30,1062.0,1040.0
2011-11-19,1090.0,1090.0,1050.0,1053.0,196719284,186899,33,1042.0,1078.0
2011-11-20,1079.0,1105.0,1079.0,1100.0,248828995,226270,46,1053.0,1105.0
2011-11-21,1120.0,1120.0,1050.0,1093.0,106666012,97595,40,1100.0,1060.0
2011-11-22,1060.0,1080.0,1039.0,1059.0,192239518,181542,27,1093.0,1039.0
2011-11-23,1042.0,1075.0,1040.0,1043.0,236323837,226507,31,1059.0,1075.0
2011-11-26,1040.0,1089.0,1040.0,1047.0,107006100,102200,20,1043.0,1045.0
2011-11-27,1040.0,1078.0,1040.0,1049.0,145873940,139100,21,1047.0,1060.0
2011-11-28,1040.0,1070.0,1000.0,1053.0,126606000,120200,17,1049.0,1061.0
2011-11-29,1040.0,1078.0,1040.0,1048.0,146134720,139425,20,1053.0,1051.0
2011-11-30,1001.0,1096.0,1001.0,1039.0,65549730,63080,12,1048.0,1096.0
2011-12-03,1051.0,1052.0,1051.0,1051.0,27703850,26350,9,1039.0,1052.0
2011-12-04,1065.0,1080.0,1050.0,1060.0,153151434,144450,24,1051.0,1080.0
2011-12-07,1109.0,1109.0,1073.0,1091.0,41540144,38072,9,1060.0,1100.0
2011-12-10,1065.0,1125.0,1060.0,1076.0,59791390,55574,12,1091.0,1094.0
2011-12-11,1053.0,1060.0,1053.0,1055.0,111109830,105358,22,1076.0,1055.0
2011-12-12,1060.0,1107.0,1052.0,1067.0,80218153,75179,9,1055.0,1052.0
2011-12-13,1060.0,1070.0,1053.0,1064.0,68638500,64500,6,1067.0,1053.0
2011-12-14,1048.0,1048.0,1048.0,1048.0,75468576,72012,9,1064.0,1048.0
