date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-07-12,10000.0,10000.0,10000.0,10000.0,9900000000000,990000000,11028,10000.0,10000.0
2022-08-28,10035.0,10035.0,10034.0,10035.0,10780411087,1074288,65,10000.0,10034.0
2022-08-29,10041.0,10042.0,10041.0,10042.0,18961172466,1888262,129,10035.0,10041.0
2022-08-30,10049.0,10049.0,10048.0,10048.0,33477316922,3331723,130,10042.0,10048.0
2022-08-31,10056.0,10056.0,10055.0,10056.0,6593985674,655733,70,10048.0,10056.0
2022-09-03,10076.0,10076.0,10075.0,10075.0,9735505911,966288,97,10056.0,10076.0
2022-09-04,10083.0,10083.0,10082.0,10083.0,24529659680,2432789,148,10075.0,10083.0
2022-09-05,10089.0,10091.0,10088.0,10088.0,103208546875,10230774,265,10083.0,10091.0
2022-09-06,10094.0,10095.0,10093.0,10094.0,5029432330,498268,42,10088.0,10095.0
2022-09-07,10102.0,10103.0,10101.0,10102.0,7417960886,734273,64,10094.0,10102.0
2022-09-10,10114.0,10114.0,10112.0,10114.0,8370096566,827603,52,10102.0,10114.0
2022-09-11,10119.0,10120.0,10119.0,10120.0,70489149197,6965357,492,10114.0,10120.0
2022-09-12,10125.0,10126.0,10125.0,10125.0,79898328642,7891166,56,10120.0,10126.0
2022-09-13,10132.0,10132.0,10131.0,10131.0,25583338459,2525215,61,10125.0,10132.0
2022-09-14,10138.0,10139.0,10137.0,10138.0,207691959276,20486395,292,10131.0,10139.0
2022-09-18,10158.0,10159.0,10158.0,10158.0,212361990874,20905803,99,10138.0,10158.0
2022-09-19,10164.0,10164.0,10163.0,10164.0,17060654263,1678579,110,10158.0,10163.0
2022-09-20,10170.0,10170.0,10169.0,10170.0,3239190229,318509,23,10164.0,10170.0
2022-09-21,10177.0,10178.0,10177.0,10178.0,38404770915,3773364,67,10170.0,10178.0
2022-09-24,10013.0,10014.0,10012.0,10013.0,1028072189836,102673866,262,10178.0,10014.0
2022-09-26,10025.0,10026.0,10025.0,10025.0,162982048627,16256989,120,10013.0,10026.0
2022-09-28,10037.0,10038.0,10037.0,10038.0,58495008249,5827408,62,10025.0,10038.0
2022-10-01,10055.0,10056.0,10055.0,10056.0,858640330023,85388222,237,10038.0,10056.0
2022-10-02,10063.0,10063.0,10062.0,10062.0,63566375932,6317455,357,10056.0,10062.0
2022-10-03,10068.0,10068.0,10067.0,10068.0,773149889759,76792803,182,10062.0,10068.0
2022-10-04,10075.0,10075.0,10074.0,10075.0,758939655628,75329994,212,10068.0,10075.0
2022-10-08,10093.0,10093.0,10092.0,10092.0,39065560125,3870911,64,10075.0,10093.0
2022-10-09,10098.0,10099.0,10098.0,10098.0,3371951136,333917,51,10092.0,10099.0
2022-10-10,10104.0,10105.0,10104.0,10104.0,2236711422,221359,34,10098.0,10104.0
2022-10-11,10109.0,10110.0,10109.0,10110.0,28746639628,2843399,44,10104.0,10110.0
2022-10-12,10115.0,10118.0,10115.0,10117.0,11833723233,1169695,46,10110.0,10117.0
2022-10-15,10133.0,10133.0,10132.0,10133.0,16334509976,1612040,53,10117.0,10132.0
2022-10-16,10139.0,10139.0,10138.0,10139.0,17757276146,1751392,44,10133.0,10139.0
2022-10-17,10145.0,10145.0,10144.0,10144.0,24165265685,2382202,26,10139.0,10144.0
2022-10-18,10151.0,10151.0,10150.0,10150.0,29263376631,2882986,41,10144.0,10150.0
2022-10-19,10156.0,10156.0,10155.0,10155.0,44027610976,4335541,64,10150.0,10155.0
2022-10-22,10173.0,10174.0,10169.0,10171.0,20910730772,2056007,58,10155.0,10169.0
2022-10-23,10007.0,10008.0,10006.0,10007.0,613517590576,61308935,257,10171.0,10007.0
2022-10-24,10012.0,10012.0,10011.0,10012.0,72938622498,7285357,86,10007.0,10012.0
2022-10-25,10017.0,10018.0,10017.0,10018.0,60353844523,6024600,166,10012.0,10017.0
2022-10-26,10024.0,10024.0,10023.0,10024.0,69591670320,6942598,114,10018.0,10024.0
2022-10-29,10041.0,10041.0,10040.0,10041.0,60149411197,5990456,83,10024.0,10041.0
2022-10-30,10047.0,10047.0,10046.0,10047.0,6506225664,647597,39,10041.0,10047.0
2022-10-31,10052.0,10052.0,10051.0,10051.0,42679550593,4246250,92,10047.0,10052.0
2022-11-01,10057.0,10058.0,10057.0,10058.0,18622942986,1851585,32,10051.0,10058.0
2022-11-02,10063.0,10064.0,10063.0,10063.0,588213999796,58452636,265,10058.0,10063.0
2022-11-05,10080.0,10081.0,10080.0,10080.0,77657781496,7704136,59,10063.0,10080.0
2022-11-06,10087.0,10087.0,10086.0,10086.0,21475431467,2129142,30,10080.0,10087.0
2022-11-07,10093.0,10093.0,10092.0,10092.0,26710481036,2646688,35,10086.0,10092.0
2022-11-08,10097.0,10098.0,10097.0,10097.0,6408863999,634713,45,10092.0,10097.0
2022-11-09,10104.0,10105.0,10104.0,10105.0,186777916292,18484193,62,10097.0,10105.0
2022-11-12,10120.0,10122.0,10120.0,10121.0,311046321228,30732801,85,10105.0,10121.0
2022-11-13,10126.0,10127.0,10126.0,10127.0,4867389655,480646,25,10121.0,10127.0
2022-11-14,10133.0,10133.0,10132.0,10133.0,111847459582,11037960,39,10127.0,10133.0
2022-11-15,10138.0,10139.0,10138.0,10138.0,19918188903,1964632,26,10133.0,10139.0
2022-11-16,10144.0,10145.0,10144.0,10145.0,184834408670,18220110,66,10138.0,10144.0
2022-11-19,10162.0,10162.0,10161.0,10161.0,92677655245,9120893,46,10145.0,10161.0
2022-11-20,10167.0,10167.0,10166.0,10166.0,9815488480,965504,33,10161.0,10166.0
2022-11-21,10175.0,10176.0,10175.0,10176.0,122411045545,12029435,121,10166.0,10176.0
2022-11-22,10006.0,10006.0,10005.0,10005.0,162083345290,16199622,160,10176.0,10006.0
2022-11-23,10012.0,10012.0,10011.0,10012.0,47340983130,4728445,94,10005.0,10012.0
2022-11-26,10028.0,10029.0,10028.0,10029.0,82653970609,8241658,98,10012.0,10029.0
2022-11-27,10035.0,10035.0,10034.0,10034.0,482094375332,48045935,148,10029.0,10034.0
2022-11-28,10041.0,10041.0,10040.0,10040.0,556169802163,55395124,170,10034.0,10041.0
2022-11-29,10046.0,10047.0,10046.0,10046.0,374782477852,37305923,154,10040.0,10046.0
2022-11-30,10053.0,10053.0,10052.0,10053.0,168723547803,16783430,79,10046.0,10053.0
2022-12-03,10070.0,10075.0,10069.0,10069.0,126276264295,12541003,75,10053.0,10070.0
2022-12-04,10074.0,10075.0,10074.0,10075.0,116005447649,11514475,84,10069.0,10075.0
2022-12-05,10080.0,10081.0,10077.0,10078.0,214918012492,21325566,121,10075.0,10077.0
2022-12-06,10086.0,10087.0,10078.0,10082.0,144268471643,14309710,110,10078.0,10086.0
2022-12-07,10093.0,10094.0,10093.0,10094.0,63290993556,6270224,70,10082.0,10094.0
2022-12-10,10114.0,10114.0,10113.0,10113.0,64453365809,6373149,64,10094.0,10114.0
2022-12-11,10120.0,10120.0,10119.0,10119.0,55364630242,5471135,75,10113.0,10120.0
2022-12-12,10125.0,10125.0,10124.0,10124.0,144091127953,14232582,73,10119.0,10125.0
2022-12-13,10130.0,10131.0,10130.0,10130.0,156459025017,15444702,82,10124.0,10131.0
2022-12-14,10137.0,10138.0,10137.0,10137.0,119394063459,11777857,95,10130.0,10137.0
2022-12-17,10156.0,10157.0,10156.0,10156.0,325085325643,32008257,107,10137.0,10157.0
2022-12-18,10163.0,10163.0,10162.0,10163.0,59049817160,5810496,68,10156.0,10163.0
2022-12-19,10168.0,10169.0,10168.0,10169.0,158630064395,15599822,78,10163.0,10169.0
2022-12-20,10175.0,10176.0,10175.0,10175.0,1055788898956,103762976,259,10169.0,10176.0
2022-12-21,10183.0,10183.0,10182.0,10182.0,42102255753,4134873,51,10175.0,10183.0
2022-12-24,10019.0,10022.0,10018.0,10019.0,560500840377,55943400,250,10182.0,10022.0
2022-12-25,10026.0,10026.0,10025.0,10026.0,234305388035,23369878,114,10019.0,10026.0
2022-12-26,10032.0,10033.0,10031.0,10031.0,344957236179,34388233,170,10026.0,10032.0
2022-12-28,10045.0,10045.0,10044.0,10045.0,178714809781,17792074,156,10031.0,10045.0
2022-12-31,10063.0,10064.0,10063.0,10063.0,512977716734,50975292,217,10045.0,10064.0
2023-01-01,10069.0,10070.0,10069.0,10070.0,293655267626,29162360,173,10063.0,10070.0
2023-01-02,10076.0,10077.0,10076.0,10077.0,42306121530,4198418,106,10070.0,10077.0
2023-01-03,10084.0,10086.0,10083.0,10084.0,198606150883,19694857,108,10077.0,10084.0
2023-01-04,10092.0,10094.0,10092.0,10093.0,29349231185,2907861,88,10084.0,10092.0
2023-01-07,10111.0,10114.0,10111.0,10112.0,90709138405,8970182,116,10093.0,10114.0
2023-01-08,10119.0,10120.0,10118.0,10118.0,519914156776,51384409,172,10112.0,10120.0
2023-01-09,10125.0,10125.0,10124.0,10125.0,45121580566,4456481,72,10118.0,10125.0
