date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-08-10,18500.0,18500.0,18500.0,18500.0,1248750000000,67500000,600856,1000.0,18500.0
2019-08-11,19425.0,19425.0,19425.0,19425.0,975484650,50218,545,18500.0,19425.0
2019-08-13,20396.0,20396.0,20396.0,20396.0,2384843092,116927,1149,19425.0,20396.0
2019-08-14,21415.0,21415.0,21415.0,21415.0,3700426340,172796,1662,20396.0,21415.0
2019-08-17,22485.0,22485.0,22485.0,22485.0,8327926845,370377,3469,21415.0,22485.0
2019-08-18,23609.0,23609.0,23609.0,23609.0,7240667819,306691,2966,22485.0,23609.0
2019-08-19,24789.0,24789.0,24789.0,24789.0,16111982385,649965,7517,23609.0,24789.0
2019-08-21,26028.0,26028.0,26028.0,26028.0,11608253748,445991,4003,24789.0,26028.0
2019-08-24,27329.0,27329.0,27329.0,27329.0,19884635058,727602,6793,26028.0,27329.0
2019-08-25,28695.0,28695.0,28695.0,28695.0,8515499505,296759,2706,27329.0,28695.0
2019-08-27,30129.0,31635.0,30129.0,31561.0,323245827294,10242062,74542,28695.0,31635.0
2019-08-28,30600.0,31000.0,29983.0,30677.0,179436673235,5849215,51124,31561.0,30900.0
2019-08-31,30790.0,30790.0,30000.0,30781.0,98696646936,3206410,18499,30677.0,30650.0
2019-09-01,29250.0,29280.0,29242.0,29249.0,179655217511,6142297,46283,30781.0,29242.0
2019-09-02,28011.0,29000.0,27787.0,28155.0,416057572812,14777638,108714,29249.0,28440.0
2019-09-03,28399.0,29562.0,28300.0,29373.0,111901332105,3809656,26521,28155.0,29562.0
2019-09-04,30400.0,30841.0,30060.0,30700.0,123104116990,4009970,22651,29373.0,30841.0
2019-09-07,31600.0,32235.0,30700.0,32064.0,330164516777,10297017,32863,30700.0,32235.0
2019-09-08,32400.0,33433.0,31461.0,32542.0,264879502778,8139646,28162,32064.0,33000.0
2019-09-11,32700.0,33800.0,32393.0,32807.0,126988524075,3870778,14837,32542.0,32620.0
2019-09-14,32698.0,32954.0,31502.0,32013.0,175284927171,5475482,22660,32807.0,31795.0
2019-09-15,31350.0,31400.0,30421.0,30878.0,142941785721,4629295,15620,32013.0,30835.0
2019-09-16,30900.0,31500.0,30300.0,30829.0,117381427044,3807486,10868,30878.0,30499.0
2019-09-17,30200.0,30500.0,29800.0,30095.0,72287411236,2401983,9376,30829.0,29990.0
2019-09-18,29370.0,30000.0,28591.0,28809.0,120603139631,4186256,10044,30095.0,29480.0
2019-09-21,28889.0,30249.0,28889.0,30174.0,69318270527,2297301,4877,28809.0,30249.0
2019-09-22,31390.0,31682.0,31167.0,31554.0,65791260392,2085053,4309,30174.0,31682.0
2019-09-23,32800.0,32999.0,31801.0,32440.0,115619699637,3564147,8795,31554.0,32006.0
2019-09-24,32021.0,32091.0,30821.0,31439.0,119035400815,3786228,12186,32440.0,31505.0
2019-09-25,31200.0,31570.0,29999.0,30894.0,99062348270,3206499,15207,31439.0,31550.0
2019-09-28,32438.0,32438.0,32300.0,32427.0,59305340396,1828886,3113,30894.0,32438.0
2019-09-29,34048.0,34048.0,32600.0,33951.0,234964057981,6920655,6483,32427.0,34048.0
2019-09-30,34000.0,35648.0,34000.0,35311.0,84639868520,2397005,2760,33951.0,35648.0
2019-10-01,37076.0,37076.0,35400.0,36831.0,236661525111,6425571,5853,35311.0,36100.0
2019-10-02,36690.0,38000.0,34990.0,36389.0,133456480633,3667538,5956,36831.0,36480.0
2019-10-05,36349.0,37434.0,34570.0,35593.0,138473871283,3890482,6666,36389.0,34570.0
2019-10-06,33814.0,34998.0,33814.0,33896.0,122411687181,3611390,4880,35593.0,33814.0
2019-10-07,33300.0,35500.0,32222.0,33671.0,92830686841,2756980,6483,33896.0,32222.0
2019-10-08,32301.0,33036.0,31988.0,32245.0,52975076238,1642903,3270,33671.0,31988.0
2019-10-09,30633.0,31864.0,30633.0,30754.0,152017961481,4942991,7144,32245.0,31400.0
2019-10-12,31521.0,32291.0,31521.0,31956.0,81412985751,2547661,4977,30754.0,31990.0
2019-10-13,32290.0,33551.0,30910.0,31950.0,55497689910,1737041,5012,31956.0,31000.0
2019-10-14,31499.0,31499.0,30353.0,30383.0,31664695230,1042192,1644,31950.0,30353.0
2019-10-15,30000.0,30000.0,28864.0,29174.0,22753592209,779921,1210,30383.0,28864.0
2019-10-16,27716.0,28500.0,27716.0,27800.0,80727804594,2903899,3734,29174.0,27716.0
2019-10-20,27790.0,27790.0,26410.0,26664.0,17686628981,663310,1016,27800.0,26410.0
2019-10-21,25331.0,27000.0,25331.0,25795.0,61928503380,2400750,3571,26664.0,26662.0
2019-10-22,27041.0,27084.0,26000.0,26991.0,63276830769,2344374,2502,25795.0,27084.0
2019-10-23,27480.0,27945.0,26001.0,26872.0,28084378093,1045118,3044,26991.0,27245.0
2019-10-26,27299.0,27299.0,26001.0,26780.0,22513225809,840668,2731,26872.0,26800.0
2019-10-28,26790.0,28119.0,26775.0,28034.0,31373754936,1119143,2009,26780.0,28119.0
2019-10-30,28600.0,29435.0,28500.0,29317.0,45720813989,1559528,2864,28034.0,29435.0
2019-11-02,29000.0,29980.0,27859.0,28631.0,46818199212,1635250,3515,29317.0,28364.0
2019-11-03,28200.0,29110.0,27600.0,28412.0,32613056002,1147868,2698,28631.0,28005.0
2019-11-04,28000.0,28090.0,26992.0,27173.0,48437478696,1782533,3074,28412.0,27020.0
2019-11-05,26470.0,27500.0,26470.0,26825.0,35191032283,1311861,2389,27173.0,27000.0
2019-11-09,27004.0,27813.0,27004.0,27389.0,27302377796,996836,2229,26825.0,27149.0
2019-11-10,27180.0,27350.0,26225.0,26600.0,24839639224,933804,1983,27389.0,26651.0
2019-11-11,26501.0,27500.0,26339.0,27259.0,23723161336,870284,2044,26600.0,27300.0
2019-11-12,27490.0,28110.0,26411.0,27590.0,24988419723,905703,2060,27259.0,27727.0
2019-11-13,27727.0,28000.0,27264.0,27527.0,23035154570,836814,1887,27590.0,27399.0
2019-11-16,27201.0,27560.0,26811.0,27225.0,23218869965,852839,1773,27527.0,27105.0
2019-11-17,25910.0,26990.0,25864.0,25949.0,39727965492,1531021,2067,27225.0,25864.0
2019-11-18,24900.0,26980.0,24900.0,26380.0,19252791482,729823,1288,25949.0,26356.0
2019-11-19,26999.0,27000.0,26548.0,26798.0,18877864942,704440,1425,26380.0,26748.0
2019-11-20,27000.0,27198.0,26513.0,26823.0,17499129084,652395,1589,26798.0,27100.0
2019-11-23,27200.0,27390.0,26990.0,27087.0,19166630580,707589,1676,26823.0,26999.0
2019-11-24,27199.0,27199.0,26360.0,26686.0,21554038720,807690,1875,27087.0,26980.0
2019-11-25,26709.0,28020.0,26709.0,27695.0,37220779808,1343964,2498,26686.0,28020.0
2019-11-26,28800.0,29079.0,28210.0,28791.0,63770339034,2214927,3055,27695.0,29079.0
2019-11-27,29580.0,30219.0,28800.0,29613.0,42031223633,1419332,2560,28791.0,29500.0
2019-11-30,29500.0,30555.0,28801.0,29855.0,54141340535,1813501,2991,29613.0,30493.0
2019-12-01,30340.0,31050.0,30016.0,30515.0,33947137676,1112460,2149,29855.0,30201.0
2019-12-02,30470.0,30470.0,28990.0,29306.0,82670611255,2820944,3662,30515.0,29000.0
2019-12-03,28300.0,29350.0,28300.0,28904.0,32087850676,1110149,2073,29306.0,28913.0
2019-12-04,28600.0,29699.0,28351.0,29273.0,25525287695,871988,1932,28904.0,29250.0
2019-12-07,29800.0,30199.0,29290.0,29612.0,39098397310,1320348,2163,29273.0,29380.0
2019-12-08,29900.0,29900.0,28889.0,29371.0,37220707640,1267253,2563,29612.0,29400.0
2019-12-09,29420.0,30839.0,28997.0,29990.0,83764417584,2793100,4875,29371.0,30839.0
2019-12-10,31400.0,31489.0,30300.0,31207.0,63157492432,2023836,2520,29990.0,30694.0
2019-12-11,30201.0,32003.0,30200.0,31271.0,39502038941,1263229,2017,31207.0,31156.0
2019-12-14,31900.0,32000.0,31000.0,31437.0,39620860137,1260335,2815,31271.0,31990.0
2019-12-15,32390.0,32390.0,29866.0,31324.0,42494427583,1356627,2394,31437.0,30999.0
2019-12-16,30080.0,31300.0,30080.0,30796.0,37486488640,1217259,2331,31324.0,30980.0
2019-12-17,31498.0,31498.0,30557.0,31015.0,29144578858,939679,2034,30796.0,30901.0
2019-12-18,30310.0,31000.0,30250.0,30480.0,36975722196,1213098,2244,31015.0,30590.0
2019-12-21,30328.0,31699.0,30155.0,30663.0,37522587213,1223693,2915,30480.0,31140.0
2019-12-22,31450.0,32196.0,31000.0,31915.0,70428005760,2206733,2963,30663.0,32196.0
2019-12-23,32800.0,32800.0,30320.0,31384.0,76520268238,2438182,3201,31915.0,30950.0
2019-12-24,31600.0,32953.0,30934.0,32748.0,123743496846,3778638,2803,31384.0,32953.0
2019-12-25,33400.0,34111.0,32760.0,33459.0,81009354533,2421123,3305,32748.0,33360.0
2019-12-28,33850.0,33850.0,32500.0,33056.0,72758157415,2201081,3238,33459.0,32991.0
2019-12-29,32890.0,33299.0,31858.0,32415.0,67921480571,2095346,3033,33056.0,32890.0
2019-12-30,33150.0,33154.0,32111.0,32772.0,61792937044,1885513,2643,32415.0,32479.0
2019-12-31,32500.0,33000.0,31500.0,31971.0,77899488990,2436563,3051,32772.0,32100.0
2020-01-01,31910.0,33000.0,31800.0,32222.0,53381589968,1656661,2602,31971.0,31985.0
2020-01-04,30611.0,30611.0,30611.0,30611.0,4252694397,138927,233,32222.0,30611.0
2020-01-05,29081.0,29798.0,29081.0,29134.0,70666647911,2425604,2241,30611.0,29081.0
2020-01-07,28100.0,29808.0,27678.0,28237.0,49446932714,1751118,1544,29134.0,27678.0
2020-01-08,27673.0,27673.0,27673.0,27673.0,3030525576,109512,156,28237.0,27673.0
2020-01-11,28226.0,28226.0,28226.0,28226.0,3573609182,126607,202,27673.0,28226.0
2020-01-12,29637.0,29637.0,29637.0,29637.0,1680299352,56696,186,28226.0,29637.0
2020-01-13,31118.0,31118.0,30555.0,31078.0,84218816913,2709877,2013,29637.0,31118.0
2020-01-14,31301.0,31353.0,30000.0,30619.0,46653891714,1523684,2225,31078.0,30460.0
2020-01-15,29700.0,31292.0,29700.0,30561.0,58759772597,1922689,2225,30619.0,30800.0
2020-01-18,30800.0,31850.0,30611.0,31368.0,55386721759,1765705,2250,30561.0,31200.0
2020-01-19,31899.0,31899.0,30500.0,31261.0,47164148914,1508742,1983,31368.0,31120.0
