date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-03-13,2200.0,2200.0,2200.0,2200.0,2200000000,1000000,100,1000.0,2200.0
2013-03-17,2200.0,2200.0,2200.0,2200.0,92180000000,41900000,4190,2200.0,2200.0
2013-03-18,2200.0,2200.0,2200.0,2200.0,16225000000,7375000,739,2200.0,2200.0
2013-04-09,2200.0,2200.0,2200.0,2200.0,1100000000,500000,50,2200.0,2200.0
2013-04-15,2200.0,2200.0,2200.0,2200.0,110000,50,1,2200.0,2200.0
2013-04-20,2090.0,2090.0,2090.0,2090.0,10450000000,5000000,500,2200.0,2090.0
2013-04-28,2050.0,2050.0,2028.0,2048.0,2047800000,1000000,1810,2090.0,2028.0
2013-05-07,2028.0,2048.0,1995.0,2032.0,14190235472,6984739,716,2048.0,1995.0
2013-06-11,1931.0,1931.0,1931.0,1931.0,965500,500,1,2032.0,1931.0
2013-06-15,1930.0,1930.0,1930.0,1930.0,1102854110,571427,60,1931.0,1930.0
2013-06-26,1928.0,1928.0,1900.0,1902.0,1526169200,802510,1602,1930.0,1900.0
2013-06-29,1808.0,1808.0,1808.0,1808.0,48166928,26641,8,1902.0,1808.0
2013-06-30,1850.0,1850.0,1850.0,1850.0,2992256600,1617436,298,1808.0,1850.0
2013-07-06,1931.0,1931.0,1851.0,1914.0,273453005,142855,23,1850.0,1851.0
2013-07-14,2009.0,2009.0,2009.0,2009.0,17534552,8728,2,1914.0,2009.0
2013-07-16,2009.0,2109.0,2009.0,2010.0,1394264510,693771,81,2009.0,2109.0
2013-07-17,2110.0,2110.0,2110.0,2110.0,3165000,1500,1,2010.0,2110.0
2013-08-20,2300.0,2300.0,2300.0,2139.0,230000000,100000,10,1870.0,2300.0
2013-09-08,2114.0,2114.0,2114.0,2139.0,1057000,500,1,2139.0,2114.0
2013-09-15,2500.0,2500.0,2500.0,2141.0,2500000,1000,1,2139.0,2500.0
2013-09-21,3000.0,3000.0,3000.0,2455.0,175500000,58500,54,2141.0,3000.0
2013-11-19,1227.0,1227.0,1227.0,909.0,131289000,107000,11,818.0,1227.0
2013-11-20,1363.0,1363.0,1363.0,1004.0,136300000,100000,10,909.0,1363.0
2013-11-25,1506.0,1506.0,1506.0,1056.0,75300000,50000,5,1004.0,1506.0
2013-11-26,1584.0,1584.0,1584.0,1168.0,161265456,101809,18,1056.0,1584.0
2013-11-27,1752.0,1752.0,1752.0,1545.0,543120000,310000,32,1168.0,1752.0
2013-11-30,1622.0,1622.0,1622.0,1622.0,3244000,2000,1,1545.0,1622.0
2013-12-01,1703.0,1703.0,1703.0,1703.0,8515000,5000,1,1622.0,1703.0
2013-12-03,1788.0,1788.0,1788.0,1788.0,58662492,32809,11,1703.0,1788.0
2013-12-04,1877.0,1877.0,1877.0,1877.0,175124100,93300,17,1788.0,1877.0
2013-12-08,1970.0,1970.0,1970.0,1970.0,37430000,19000,7,1877.0,1970.0
2013-12-09,2068.0,2068.0,2068.0,2068.0,80652000,39000,8,1970.0,2068.0
2013-12-10,2171.0,2171.0,2171.0,2171.0,28594241,13171,8,2068.0,2171.0
2013-12-11,2279.0,2279.0,2279.0,2279.0,84323000,37000,7,2171.0,2279.0
2013-12-14,2388.0,2388.0,2180.0,2258.0,656036590,290582,55,2279.0,2180.0
2013-12-15,2370.0,2370.0,2370.0,2370.0,249364290,105217,16,2258.0,2370.0
2013-12-16,2488.0,2488.0,2488.0,2488.0,132767144,53363,12,2370.0,2488.0
2013-12-17,2612.0,2612.0,2612.0,2612.0,248053804,94967,23,2488.0,2612.0
2013-12-21,2742.0,2742.0,2738.0,2741.0,320295484,116841,30,2612.0,2738.0
2013-12-22,2604.0,2604.0,2604.0,2604.0,26040000,10000,1,2741.0,2604.0
2013-12-24,2500.0,2730.0,2474.0,2522.0,55903568,22162,5,2604.0,2730.0
2013-12-25,2400.0,2400.0,2396.0,2396.0,153358000,64000,13,2522.0,2396.0
2013-12-28,2510.0,2515.0,2510.0,2515.0,312976855,124456,52,2396.0,2515.0
2013-12-29,2640.0,2640.0,2515.0,2602.0,650139460,249814,58,2515.0,2518.0
2013-12-30,2732.0,2732.0,2732.0,2732.0,273200000,100000,14,2602.0,2732.0
2014-01-01,2700.0,2700.0,2700.0,2700.0,6750000,2500,1,2732.0,2700.0
2014-01-04,2569.0,2569.0,2569.0,2569.0,1284500,500,1,2700.0,2569.0
2014-01-05,2600.0,2600.0,2441.0,2443.0,37145855,15205,6,2569.0,2441.0
2014-01-06,2565.0,2565.0,2563.0,2565.0,162291224,63278,18,2443.0,2565.0
2014-01-07,2600.0,2693.0,2600.0,2600.0,8872130,3412,4,2565.0,2693.0
2014-01-11,2679.0,2679.0,2470.0,2492.0,18689500,7500,3,2600.0,2470.0
2014-01-13,2368.0,2370.0,2368.0,2368.0,255520096,107897,21,2492.0,2370.0
2014-01-14,2300.0,2410.0,2250.0,2279.0,131259000,57604,15,2368.0,2410.0
2014-01-15,2166.0,2166.0,2166.0,2166.0,54150000,25000,6,2279.0,2166.0
2014-01-18,2058.0,2058.0,2058.0,2058.0,175279860,85170,19,2166.0,2058.0
2014-01-20,2058.0,2058.0,1956.0,1957.0,100342530,51285,7,2058.0,1956.0
2014-01-21,1871.0,1871.0,1860.0,1865.0,275100000,147500,55,1957.0,1860.0
2014-01-22,1772.0,1772.0,1772.0,1772.0,35440000,20000,4,1865.0,1772.0
2014-01-25,1710.0,1710.0,1710.0,1710.0,10000080,5848,1,1772.0,1710.0
2014-01-26,1626.0,1626.0,1625.0,1626.0,35251436,21686,6,1710.0,1625.0
2014-01-27,1580.0,1626.0,1580.0,1611.0,24160000,15000,5,1626.0,1626.0
2014-01-28,1531.0,1691.0,1531.0,1587.0,267226554,168334,108,1611.0,1691.0
2014-01-29,1666.0,1666.0,1666.0,1666.0,16660000,10000,2,1587.0,1666.0
2014-02-01,1749.0,1749.0,1749.0,1749.0,71306730,40770,6,1666.0,1749.0
2014-02-02,1836.0,1836.0,1836.0,1836.0,91800000,50000,5,1749.0,1836.0
2014-02-03,1927.0,1927.0,1850.0,1899.0,300828523,158386,32,1836.0,1850.0
2014-02-04,1805.0,1805.0,1805.0,1805.0,104180990,57718,7,1899.0,1805.0
2014-02-09,1718.0,1850.0,1718.0,1825.0,14424270,7905,4,1805.0,1850.0
2014-02-10,1750.0,1750.0,1750.0,1750.0,16443000,9396,8,1825.0,1750.0
2014-02-12,1692.0,1692.0,1663.0,1666.0,107311282,64406,29,1750.0,1663.0
2014-02-15,1749.0,1749.0,1747.0,1748.0,65023927,37190,10,1666.0,1747.0
2014-02-16,1750.0,1750.0,1661.0,1732.0,43124316,24900,5,1748.0,1661.0
2014-02-17,1749.0,1818.0,1749.0,1758.0,72744400,41384,11,1732.0,1818.0
2014-02-19,1800.0,1800.0,1759.0,1779.0,17795000,10000,2,1758.0,1759.0
2014-02-22,1820.0,1867.0,1820.0,1864.0,320836641,172123,35,1779.0,1867.0
2014-02-23,1864.0,1957.0,1864.0,1893.0,95623261,50507,8,1864.0,1880.0
2014-03-04,1799.0,1799.0,1799.0,1799.0,3598000,2000,1,1893.0,1799.0
2014-03-05,1798.0,1798.0,1710.0,1715.0,124117520,72360,16,1799.0,1710.0
2014-03-08,1631.0,1631.0,1630.0,1630.0,57323950,35165,9,1715.0,1630.0
2014-03-09,1570.0,1570.0,1570.0,1570.0,1570000,1000,1,1630.0,1570.0
2014-03-11,1494.0,1494.0,1493.0,1494.0,14935599,10000,6,1570.0,1493.0
2014-03-15,1568.0,1568.0,1568.0,1568.0,3228512,2059,2,1494.0,1568.0
2014-03-16,1646.0,1646.0,1646.0,1646.0,3456600,2100,3,1568.0,1646.0
2014-03-17,1728.0,1728.0,1728.0,1728.0,3628800,2100,2,1646.0,1728.0
2014-03-18,1814.0,1814.0,1814.0,1814.0,20679600,11400,13,1728.0,1814.0
2014-03-19,1880.0,1880.0,1878.0,1879.0,12175400,6480,3,1814.0,1878.0
2014-03-25,1880.0,1880.0,1879.0,1880.0,58941160,31357,5,1879.0,1880.0
2014-04-20,1878.0,1900.0,1786.0,1875.0,208343926,111142,36,1880.0,1786.0
2014-04-26,1898.0,1898.0,1888.0,1890.0,7562000,4000,3,1875.0,1888.0
2014-04-27,1888.0,1888.0,1880.0,1881.0,10287360,5470,4,1890.0,1888.0
2014-04-30,1886.0,1886.0,1886.0,1886.0,1886000,1000,1,1881.0,1886.0
2014-05-05,1886.0,1886.0,1886.0,1886.0,3772000,2000,3,1886.0,1886.0
2014-05-10,1806.0,1806.0,1806.0,1806.0,10966032,6072,6,1886.0,1806.0
2014-05-12,1716.0,1716.0,1716.0,1716.0,2574000,1500,1,1806.0,1716.0
2014-05-14,1631.0,1641.0,1631.0,1633.0,108310581,66341,16,1716.0,1641.0
2014-05-17,1552.0,1552.0,1552.0,1552.0,155200000,100000,28,1633.0,1552.0
2014-05-19,1476.0,1476.0,1475.0,1475.0,305425000,207000,27,1552.0,1475.0
2014-05-20,1430.0,1500.0,1402.0,1438.0,195656434,136023,29,1475.0,1500.0
2014-05-21,1509.0,1509.0,1509.0,1509.0,30958644,20516,5,1438.0,1509.0
2014-05-24,1580.0,1580.0,1580.0,1580.0,15800000,10000,2,1509.0,1580.0
2014-05-31,1501.0,1501.0,1501.0,1501.0,27980141,18641,2,1580.0,1501.0
2014-06-01,1426.0,1426.0,1426.0,1426.0,130142464,91264,24,1501.0,1426.0
2014-06-02,1355.0,1355.0,1355.0,1355.0,6775000,5000,3,1426.0,1355.0
2014-06-03,1422.0,1422.0,1351.0,1398.0,20975000,15000,2,1355.0,1351.0
2014-06-09,1329.0,1329.0,1329.0,1329.0,38342979,28851,3,1398.0,1329.0
2014-06-10,1308.0,1308.0,1308.0,1308.0,13080000,10000,1,1329.0,1308.0
2014-06-11,1279.0,1279.0,1243.0,1247.0,1170878768,939004,99,1308.0,1247.0
2014-06-14,1244.0,1244.0,1244.0,1244.0,4043000,3250,1,1247.0,1244.0
2014-06-16,1288.0,1289.0,1288.0,1288.0,12883250,10000,2,1244.0,1289.0
2014-06-17,1230.0,1230.0,1230.0,1230.0,12300000,10000,10,1288.0,1230.0
2014-06-18,1291.0,1291.0,1291.0,1291.0,13878250,10750,2,1230.0,1291.0
2014-06-21,1355.0,1355.0,1355.0,1355.0,13550000,10000,2,1291.0,1355.0
2014-06-22,1422.0,1422.0,1422.0,1422.0,41889276,29458,11,1355.0,1422.0
2014-06-23,1488.0,1489.0,1488.0,1488.0,15624510,10500,4,1422.0,1489.0
2014-06-24,1420.0,1421.0,1414.0,1416.0,112160592,79190,39,1488.0,1414.0
2014-06-28,1346.0,1346.0,1346.0,1346.0,8198486,6091,2,1416.0,1346.0
2014-06-30,1283.0,1286.0,1283.0,1284.0,28249456,22000,16,1346.0,1284.0
2014-07-02,1347.0,1348.0,1347.0,1348.0,19605704,14548,3,1284.0,1348.0
2014-07-05,1415.0,1415.0,1415.0,1415.0,171231980,121012,25,1348.0,1415.0
2014-07-07,1483.0,1484.0,1483.0,1483.0,8086768,5452,2,1415.0,1484.0
2014-07-12,1485.0,1485.0,1485.0,1483.0,16893360,11376,9,1483.0,1485.0
2014-07-14,1649.0,1649.0,1477.0,1483.0,44984180,30340,8,1483.0,1477.0
2014-07-15,1477.0,1477.0,1477.0,1483.0,996975,675,2,1483.0,1477.0
2014-08-20,1321.0,1321.0,1321.0,1220.0,2044908,1548,1,1220.0,1321.0
2014-08-24,1300.0,1300.0,1300.0,1223.0,20884500,16065,2,1220.0,1300.0
2014-08-31,1250.0,1250.0,1250.0,1223.0,7125000,5700,9,1223.0,1250.0
2014-09-03,1201.0,1201.0,1200.0,1221.0,60030000,50000,16,1223.0,1200.0
2014-09-10,1200.0,1282.0,1199.0,1218.0,158070772,130505,89,1221.0,1282.0
2014-09-14,1121.0,1126.0,1120.0,1177.0,227527455,202855,55,1218.0,1120.0
2014-09-15,1101.0,1103.0,1052.0,1171.0,40083210,36500,18,1177.0,1103.0
2014-09-17,1290.0,1290.0,1026.0,1168.0,12785850,12265,3,1171.0,1026.0
2014-09-21,1280.0,1280.0,1280.0,1173.0,25600000,20000,2,1168.0,1280.0
