date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-04-26,1260.0,1260.0,1260.0,1260.0,201600000,160000,16,1000.0,1260.0
2017-05-22,2600.0,2803.0,2600.0,2666.0,327771800,122943,15,1260.0,2803.0
2017-05-24,2667.0,2667.0,2667.0,2667.0,203182728,76184,19,2666.0,2667.0
2017-05-31,2871.0,2871.0,2871.0,2871.0,157905000,55000,10,2667.0,2871.0
2017-06-07,3202.0,3301.0,3202.0,3248.0,500446174,154096,32,2871.0,3301.0
2017-06-10,3489.0,3620.0,3489.0,3534.0,464677566,131494,51,3248.0,3620.0
2017-06-12,3800.0,3800.0,3800.0,3800.0,1115220200,293479,65,3534.0,3800.0
2017-06-17,4001.0,4001.0,4001.0,4001.0,161648402,40402,10,3800.0,4001.0
2017-07-01,4400.0,4400.0,4400.0,4400.0,402600000,91500,17,4001.0,4400.0
2017-07-05,4650.0,4670.0,4650.0,4651.0,2118191350,455439,110,4400.0,4670.0
2017-07-08,4800.0,4800.0,4799.0,4800.0,129803700,27044,13,4651.0,4799.0
2017-07-10,4599.0,4599.0,4590.0,4599.0,1779599862,386959,95,4800.0,4590.0
2017-07-12,4400.0,4400.0,4400.0,4400.0,320711600,72889,10,4599.0,4400.0
2017-07-15,4400.0,4400.0,4400.0,4400.0,421058000,95695,25,4400.0,4400.0
2017-07-17,4050.0,4050.0,4050.0,4050.0,101250000,25000,4,4400.0,4050.0
2017-07-19,4050.0,4060.0,4050.0,4051.0,280893200,69344,19,4050.0,4060.0
2017-07-22,4061.0,4210.0,4061.0,4160.0,1241784684,298476,39,4051.0,4210.0
2017-07-24,4311.0,4726.0,4311.0,4592.0,809311247,176227,26,4160.0,4726.0
2017-07-26,4775.0,4775.0,4775.0,4775.0,1583031875,331525,77,4592.0,4775.0
2017-07-29,4775.0,4775.0,4775.0,4775.0,477500000,100000,18,4775.0,4775.0
2017-07-31,4600.0,4700.0,4600.0,4670.0,1032702600,221131,26,4775.0,4700.0
2017-08-02,4670.0,4700.0,4670.0,4679.0,1316173740,281322,47,4670.0,4700.0
