date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-19,1300.0,1300.0,1261.0,1264.0,7507316375,5940397,1169,1000.0,1263.0
2023-03-25,1300.0,1300.0,1227.0,1235.0,90542924242,73310093,1816,1264.0,1297.0
2023-03-26,1272.0,1272.0,1272.0,1272.0,3499018872,2750801,70,1235.0,1272.0
2023-03-27,1310.0,1310.0,1250.0,1310.0,13425119270,10251969,497,1272.0,1310.0
2023-03-28,1349.0,1349.0,1349.0,1349.0,1501180690,1112810,75,1310.0,1349.0
2023-03-29,1389.0,1389.0,1389.0,1389.0,970263726,698534,68,1349.0,1389.0
2023-04-03,1430.0,1430.0,1430.0,1430.0,1289039180,901426,57,1389.0,1430.0
2023-04-04,1472.0,1472.0,1472.0,1472.0,49849140160,33864905,1304,1430.0,1472.0
2023-04-05,1516.0,1516.0,1516.0,1516.0,5773072020,3808095,133,1472.0,1516.0
2023-04-08,1561.0,1561.0,1471.0,1488.0,88080650438,59175410,1497,1516.0,1471.0
2023-04-09,1444.0,1454.0,1444.0,1444.0,37289501963,25820774,651,1488.0,1444.0
2023-04-10,1401.0,1401.0,1401.0,1401.0,30657453951,21882551,236,1444.0,1401.0
2023-04-11,1359.0,1395.0,1359.0,1360.0,48144520587,35407031,640,1401.0,1382.0
2023-04-15,1323.0,1345.0,1320.0,1322.0,55551997504,42017875,896,1360.0,1320.0
2023-04-16,1310.0,1345.0,1283.0,1291.0,28440984455,22037357,533,1322.0,1286.0
2023-04-17,1262.0,1329.0,1253.0,1271.0,17197671619,13530890,387,1291.0,1269.0
2023-04-18,1304.0,1309.0,1272.0,1293.0,17718897370,13705746,332,1271.0,1309.0
2023-04-19,1331.0,1331.0,1294.0,1326.0,21795313912,16437018,366,1293.0,1331.0
2023-04-24,1288.0,1365.0,1287.0,1342.0,72402485236,53957182,747,1326.0,1365.0
2023-04-25,1382.0,1382.0,1357.0,1382.0,13004435587,9411110,217,1342.0,1382.0
2023-04-26,1423.0,1423.0,1357.0,1411.0,27811767400,19710519,373,1382.0,1423.0
2023-04-29,1423.0,1453.0,1391.0,1407.0,16322480073,11603800,308,1411.0,1392.0
2023-04-30,1371.0,1449.0,1370.0,1434.0,22986456164,16029193,362,1407.0,1441.0
2023-05-01,1453.0,1453.0,1391.0,1394.0,17766747193,12748076,247,1434.0,1391.0
2023-05-02,1381.0,1405.0,1353.0,1358.0,55857833174,41126223,684,1394.0,1384.0
2023-05-03,1388.0,1391.0,1351.0,1382.0,23972701564,17346049,403,1358.0,1390.0
2023-05-06,1362.0,1423.0,1361.0,1421.0,48270201347,33963640,572,1382.0,1423.0
2023-05-07,1423.0,1442.0,1379.0,1388.0,18705924463,13477960,271,1421.0,1379.0
2023-05-08,1350.0,1350.0,1347.0,1347.0,2985828357,2215831,37,1388.0,1347.0
2023-05-09,1307.0,1380.0,1307.0,1309.0,25870680850,19766655,363,1347.0,1307.0
2023-05-10,1307.0,1340.0,1270.0,1280.0,5025292564,3926745,109,1309.0,1270.0
2023-05-13,1243.0,1246.0,1242.0,1243.0,7545897159,6072634,119,1280.0,1242.0
2023-05-14,1217.0,1280.0,1206.0,1240.0,70936299841,57218499,1087,1243.0,1279.0
2023-07-10,1550.0,1550.0,1550.0,1550.0,212298850,136967,3,1240.0,1550.0
2023-07-11,1643.0,1643.0,1457.0,1494.0,2070173500,1385500,10,1550.0,1457.0
2023-07-12,1405.0,1405.0,1405.0,1405.0,965392360,687112,10,1494.0,1405.0
2023-07-15,1330.0,1330.0,1321.0,1321.0,4264263696,3227376,37,1405.0,1321.0
2023-07-16,1242.0,1242.0,1242.0,1242.0,124200000,100000,2,1321.0,1242.0
2023-07-18,1170.0,1170.0,1168.0,1168.0,2526343272,2162704,22,1242.0,1168.0
2023-07-19,1214.0,1214.0,1098.0,1105.0,31650092343,28652315,200,1168.0,1098.0
2023-07-22,950.0,950.0,869.0,875.0,397623406024,454664159,2512,1105.0,869.0
