date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-02-27,2380.0,2383.0,2221.0,2285.0,118526298078,51862158,9973,1000.0,2260.0
2023-02-28,2269.0,2269.0,2130.0,2165.0,106486121281,49176926,12223,2285.0,2158.0
2023-03-01,2126.0,2156.0,2067.0,2105.0,56274480545,26729016,6813,2165.0,2087.0
2023-03-04,2060.0,2060.0,1991.0,2014.0,62556310374,31054676,4964,2105.0,2007.0
2023-03-05,2005.0,2073.0,2005.0,2039.0,41658100748,20430494,4505,2014.0,2027.0
2023-03-06,2023.0,2066.0,2006.0,2031.0,26686041021,13142050,3540,2039.0,2050.0
2023-03-07,2020.0,2070.0,2015.0,2046.0,35139616616,17175811,3914,2031.0,2034.0
2023-03-11,2042.0,2124.0,2041.0,2091.0,52769238698,25232495,4525,2046.0,2059.0
2023-03-12,2042.0,2050.0,1993.0,2008.0,48171325003,23990162,3990,2091.0,2002.0
2023-03-13,2000.0,2007.0,1959.0,1986.0,49664541714,25006679,9226,2008.0,1961.0
2023-03-14,1945.0,1950.0,1880.0,1907.0,74213216232,38921467,15806,1986.0,1914.0
2023-03-15,1902.0,1957.0,1902.0,1928.0,34277562289,17780642,4795,1907.0,1936.0
2023-03-18,1950.0,2029.0,1949.0,1999.0,6805429225,3404488,717,1928.0,2003.0
2023-03-27,2080.0,2080.0,2000.0,2053.0,55662777782,27117695,6242,1999.0,2058.0
2023-03-28,2060.0,2109.0,2040.0,2077.0,66187037466,31868848,6973,2053.0,2101.0
2023-03-29,2084.0,2222.0,2070.0,2154.0,103371500635,47994162,7901,2077.0,2222.0
2023-04-03,2270.0,2304.0,2160.0,2284.0,43014927612,18833253,4231,2154.0,2304.0
2023-04-04,2443.0,2443.0,2440.0,2443.0,73910628652,30254152,2421,2284.0,2443.0
2023-04-05,2614.0,2614.0,2614.0,2614.0,62453413530,23891895,4274,2443.0,2614.0
2023-04-08,2796.0,2796.0,2796.0,2796.0,65320023384,23361954,4645,2614.0,2796.0
2023-04-09,2991.0,2991.0,2991.0,2991.0,50178532437,16776507,4927,2796.0,2991.0
2023-04-10,3200.0,3200.0,2991.0,3133.0,477142259955,152318387,12510,2991.0,3083.0
2023-04-11,3084.0,3200.0,2914.0,3069.0,250055507707,81467626,11893,3133.0,3000.0
2023-04-15,3140.0,3283.0,3069.0,3251.0,212556779780,65388078,10072,3069.0,3283.0
2023-04-16,3349.0,3429.0,3112.0,3278.0,350758484135,107001749,12015,3251.0,3226.0
2023-04-17,3296.0,3311.0,3049.0,3177.0,242708454952,76394316,8729,3278.0,3080.0
2023-04-18,3100.0,3250.0,3005.0,3142.0,234849463496,74736260,12784,3177.0,3111.0
2023-04-19,3041.0,3198.0,3041.0,3120.0,173719398045,55674949,11611,3142.0,3075.0
2023-04-24,3100.0,3110.0,2991.0,3061.0,110095903233,35966826,5735,3120.0,3065.0
2023-04-25,3137.0,3188.0,3061.0,3109.0,82783120400,26626818,3955,3061.0,3070.0
2023-04-26,3070.0,3149.0,3030.0,3115.0,95785347567,30746382,5448,3109.0,3120.0
2023-04-29,3075.0,3180.0,3075.0,3107.0,197172917591,63455776,7050,3115.0,3096.0
2023-04-30,3101.0,3324.0,3100.0,3282.0,207562526882,63234005,7662,3107.0,3324.0
2023-05-01,3469.0,3511.0,3302.0,3489.0,164185416828,47063030,5012,3282.0,3511.0
2023-05-02,3733.0,3733.0,3513.0,3731.0,124059565500,33250685,5666,3489.0,3733.0
2023-05-03,3992.0,3992.0,3801.0,3945.0,427547465689,108375882,10706,3731.0,3992.0
2023-05-06,4215.0,4221.0,4100.0,4215.0,310463499016,73660005,7259,3945.0,4221.0
2023-05-07,4451.0,4451.0,3920.0,4066.0,212710491524,52318356,4107,4215.0,3920.0
2023-05-08,3782.0,3782.0,3782.0,3782.0,19505434298,5157439,263,4066.0,3782.0
2023-05-09,3518.0,4020.0,3518.0,3775.0,410352500954,108706996,13519,3782.0,3882.0
2023-05-10,4026.0,4039.0,3721.0,3920.0,482050957365,122972863,13769,3775.0,3917.0
2023-08-14,4100.0,4100.0,4100.0,4100.0,59122000,14420,4,3920.0,4100.0
2023-08-15,4000.0,4000.0,3900.0,3980.0,117339500,29503,15,4100.0,3900.0
2023-08-16,3900.0,3900.0,3810.0,3870.0,40825500,10550,3,3980.0,3810.0
2023-08-19,4140.0,4140.0,3700.0,3810.0,189852530,49881,15,3870.0,3700.0
2023-08-20,3900.0,3900.0,3610.0,3800.0,228808850,60235,9,3810.0,3610.0
2023-08-21,3950.0,3950.0,3600.0,3737.0,88166800,23592,14,3800.0,3600.0
2023-08-22,3650.0,3650.0,3550.0,3550.0,2857317750,804811,16,3737.0,3550.0
2023-08-23,3670.0,3670.0,3620.0,3628.0,2810771000,774800,17,3550.0,3620.0
2023-08-26,3881.0,3881.0,3780.0,3844.0,2858104893,743497,38,3628.0,3881.0
2023-08-27,4113.0,4113.0,4113.0,4113.0,2480143113,603001,36,3844.0,4113.0
2023-08-28,4400.0,4400.0,4400.0,4400.0,4924792400,1119271,54,4113.0,4400.0
2023-08-29,4708.0,4708.0,4650.0,4699.0,460770378,98054,17,4400.0,4650.0
2023-08-30,5027.0,5027.0,4900.0,4923.0,452142970,91841,23,4699.0,4900.0
2023-09-02,5267.0,5267.0,4580.0,4755.0,284994882,59937,23,4923.0,4580.0
2023-09-03,4900.0,4900.0,4450.0,4498.0,155053250,34473,13,4755.0,4450.0
2023-09-04,4812.0,4812.0,4400.0,4402.0,45141473290,10254891,128,4498.0,4400.0
2023-09-05,4710.0,4710.0,4400.0,4403.0,5322741020,1208835,31,4402.0,4400.0
2023-09-09,4711.0,4711.0,4510.0,4526.0,7198943333,1590571,113,4403.0,4510.0
2023-09-10,4842.0,4842.0,4400.0,4407.0,25179651891,5713850,121,4526.0,4400.0
2023-09-11,4715.0,4715.0,4400.0,4405.0,19285332944,4378506,79,4407.0,4400.0
2023-09-12,4600.0,4600.0,4400.0,4440.0,194339150,43775,16,4405.0,4400.0
2023-09-13,4750.0,4750.0,4200.0,4279.0,916210186,214102,41,4440.0,4200.0
2023-09-17,4578.0,4578.0,4155.0,4188.0,5463484294,1304514,102,4279.0,4155.0
2023-09-18,4481.0,4481.0,4100.0,4113.0,2771829650,673910,46,4188.0,4100.0
2023-09-19,4400.0,4400.0,4000.0,4048.0,5790861219,1430574,78,4113.0,4000.0
2023-09-20,4331.0,4331.0,3850.0,3926.0,2744074640,698885,79,4048.0,3850.0
2023-09-23,4200.0,4200.0,3900.0,3937.0,3013687001,765384,49,3926.0,3900.0
2023-09-25,4212.0,4212.0,3662.0,3684.0,64853080742,17601956,479,3937.0,3662.0
2023-09-26,3801.0,3801.0,3500.0,3582.0,192520951175,53743957,919,3684.0,3500.0
2023-09-27,3832.0,3832.0,3500.0,3507.0,995448271199,283875771,2276,3582.0,3500.0
2023-09-30,3752.0,3752.0,3263.0,3290.0,4172818746274,1268247172,8647,3507.0,3263.0
