date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-03-15,5500.0,5500.0,5500.0,5500.0,24750000000,4500000,32,1000.0,5500.0
2021-05-03,5555.0,5555.0,5555.0,5500.0,44440000,8000,1,5500.0,5555.0
2021-05-31,2013.0,2013.0,2013.0,1999.0,611952000,304000,4,1994.0,2013.0
2021-06-07,2018.0,2018.0,2018.0,2001.0,201800000,100000,1,1999.0,2018.0
2021-06-14,2021.0,2021.0,2021.0,2001.0,2021000,1000,1,2001.0,2021.0
2021-06-30,2101.0,2101.0,2101.0,2001.0,8404000,4000,1,2001.0,2101.0
2021-08-25,2061.0,2061.0,2061.0,2001.0,10305000,5000,1,2001.0,2061.0
2021-09-06,2061.0,2061.0,2061.0,2002.0,92817135,45035,4,2001.0,2061.0
2021-09-07,2102.0,2102.0,2102.0,2003.0,63060000,30000,3,2002.0,2102.0
2021-09-12,3440.0,3543.0,3337.0,3437.0,141861530435,41271487,4260,2003.0,3543.0
2021-09-13,3540.0,3540.0,3540.0,3540.0,49600515300,14011445,2858,3437.0,3540.0
2021-09-14,3646.0,3646.0,3434.0,3551.0,146897625320,41363765,8335,3540.0,3619.0
2021-09-15,3600.0,3657.0,3570.0,3654.0,52609769884,14396844,3002,3551.0,3657.0
2021-09-18,3763.0,3763.0,3762.0,3763.0,54196621367,14402509,2454,3654.0,3763.0
2021-09-19,3875.0,3875.0,3875.0,3875.0,38954390750,10052746,1578,3763.0,3875.0
2021-10-03,3880.0,3991.0,3840.0,3944.0,76720368785,19452034,3957,3875.0,3991.0
2021-10-04,4062.0,4062.0,3922.0,4053.0,34212327543,8440684,1632,3944.0,4062.0
2021-10-06,4174.0,4174.0,4174.0,4112.0,5246438342,1256933,286,4053.0,4174.0
2021-10-23,4235.0,4235.0,4235.0,4235.0,11614957585,2742611,425,4112.0,4235.0
2021-10-25,4362.0,4362.0,4362.0,4285.0,4197853578,962369,218,4235.0,4362.0
2021-10-26,4413.0,4413.0,4413.0,4316.0,2628228345,595565,142,4285.0,4413.0
2021-10-27,4445.0,4445.0,4445.0,4342.0,2170675745,488341,124,4316.0,4445.0
2021-10-30,4559.0,4559.0,4125.0,4407.0,179034249692,40627135,8805,4342.0,4300.0
2021-10-31,4329.0,4528.0,4275.0,4364.0,28194934067,6460702,1432,4407.0,4275.0
2021-11-01,4234.0,4300.0,4234.0,4239.0,32631553995,7697103,1720,4364.0,4234.0
2021-11-02,4112.0,4112.0,4112.0,4181.0,4318702016,1050268,228,4239.0,4112.0
2021-11-03,3972.0,4025.0,3972.0,3972.0,54309983035,13672480,2980,4181.0,3972.0
2021-11-06,3853.0,3916.0,3853.0,3858.0,188674500576,48899728,10915,3972.0,3853.0
2021-11-07,3853.0,3900.0,3743.0,3753.0,37484010422,9987700,2226,3858.0,3743.0
2021-11-08,3642.0,3753.0,3641.0,3642.0,21602948481,5931154,1262,3753.0,3641.0
2021-11-09,3507.0,3824.0,3470.0,3772.0,75074904108,19905792,4400,3642.0,3824.0
2021-11-10,3880.0,3885.0,3659.0,3740.0,64634590474,17282062,4019,3772.0,3659.0
2021-11-13,3628.0,3675.0,3628.0,3629.0,24561671091,6768871,1485,3740.0,3660.0
2021-11-14,3551.0,3661.0,3521.0,3558.0,35365413489,9940443,2245,3629.0,3550.0
2021-11-15,3555.0,3628.0,3452.0,3462.0,42100241091,12162360,2725,3558.0,3452.0
2021-11-16,3366.0,3490.0,3359.0,3395.0,21325034653,6280802,1427,3462.0,3359.0
2021-11-17,3359.0,3359.0,3294.0,3296.0,36828219443,11173296,2433,3395.0,3294.0
2021-11-20,3330.0,3330.0,3198.0,3206.0,13275543671,4140419,925,3296.0,3198.0
2021-11-21,3275.0,3302.0,3125.0,3281.0,10060137578,3066063,633,3206.0,3302.0
2021-11-22,3377.0,3379.0,3351.0,3358.0,8063851772,2386811,509,3281.0,3379.0
2021-11-23,3420.0,3458.0,3360.0,3441.0,9021547716,2611484,604,3358.0,3458.0
2021-11-24,3540.0,3585.0,3300.0,3436.0,11449708488,3331909,681,3441.0,3437.0
2021-11-27,3349.0,3477.0,3333.0,3398.0,3694916771,1107369,264,3436.0,3420.0
2021-11-28,3300.0,3436.0,3297.0,3354.0,5040644817,1521148,349,3398.0,3297.0
2021-11-29,3261.0,3393.0,3254.0,3298.0,7026590867,2143888,462,3354.0,3354.0
2021-11-30,3210.0,3347.0,3200.0,3227.0,10712778702,3320177,698,3298.0,3200.0
2021-12-01,3259.0,3270.0,3131.0,3156.0,7128549041,2273340,512,3227.0,3131.0
2021-12-04,3158.0,3158.0,3062.0,3103.0,6323305610,2057253,417,3156.0,3083.0
2021-12-05,3190.0,3190.0,3012.0,3104.0,23994753078,7730666,1263,3103.0,3160.0
2021-12-06,3190.0,3197.0,3150.0,3152.0,5759147509,1806651,409,3104.0,3197.0
2021-12-07,3240.0,3246.0,3058.0,3145.0,9788902802,3112965,645,3152.0,3181.0
2021-12-08,3156.0,3190.0,3090.0,3143.0,2953612788,941157,198,3145.0,3116.0
2021-12-11,3230.0,3230.0,3049.0,3110.0,3961735951,1293752,272,3143.0,3090.0
2021-12-12,3017.0,3079.0,3017.0,3089.0,2245866225,744015,144,3110.0,3017.0
2021-12-13,3000.0,3078.0,2997.0,3039.0,5197604526,1734117,333,3089.0,2997.0
2021-12-14,3000.0,3000.0,2948.0,2948.0,16506131820,5598715,1127,3039.0,2948.0
2021-12-15,2860.0,2948.0,2860.0,2891.0,6710226935,2337204,465,2948.0,2900.0
2021-12-18,2885.0,2976.0,2810.0,2942.0,17538970667,5961660,811,2891.0,2900.0
2021-12-19,2855.0,2930.0,2854.0,2925.0,3258752570,1127635,220,2942.0,2855.0
2021-12-20,2839.0,2910.0,2838.0,2847.0,19563664427,6872093,770,2925.0,2838.0
2021-12-21,2762.0,2890.0,2762.0,2800.0,5834358114,2106570,434,2847.0,2762.0
2021-12-22,2716.0,2800.0,2716.0,2733.0,8450639367,3100840,645,2800.0,2716.0
2021-12-25,2653.0,2800.0,2652.0,2716.0,4212246475,1564148,351,2733.0,2654.0
2021-12-26,2670.0,2684.0,2635.0,2691.0,3061501132,1160661,259,2716.0,2635.0
2021-12-27,2698.0,2717.0,2611.0,2669.0,5008959673,1891905,398,2691.0,2611.0
2021-12-28,2589.0,2664.0,2589.0,2659.0,1711282745,655242,167,2669.0,2610.0
2021-12-29,2620.0,2620.0,2580.0,2628.0,3740178439,1449165,287,2659.0,2580.0
2022-01-01,2550.0,2551.0,2550.0,2623.0,592832707,232476,44,2628.0,2550.0
2022-01-02,2545.0,2701.0,2545.0,2655.0,6575203776,2460123,492,2623.0,2701.0
2022-01-03,2734.0,2734.0,2655.0,2677.0,2988907116,1093730,193,2655.0,2734.0
2022-01-04,2757.0,2757.0,2677.0,2720.0,5655815756,2052191,434,2677.0,2757.0
2022-01-05,2795.0,2801.0,2650.0,2745.0,3872756050,1388474,321,2720.0,2801.0
2022-01-08,2827.0,2827.0,2740.0,2759.0,2218829627,789297,160,2745.0,2780.0
2022-01-09,2677.0,2841.0,2677.0,2769.0,2824101736,1009809,241,2759.0,2679.0
2022-01-10,2840.0,2841.0,2686.0,2767.0,2534434101,917268,219,2769.0,2700.0
2022-01-11,2800.0,2849.0,2684.0,2763.0,3050150443,1107345,226,2767.0,2685.0
2022-01-12,2682.0,2717.0,2681.0,2742.0,2561945965,955232,198,2763.0,2682.0
2022-01-15,2663.0,2670.0,2660.0,2728.0,1795516900,673425,109,2742.0,2660.0
2022-01-16,2647.0,2647.0,2647.0,2728.0,16294932,6156,2,2728.0,2647.0
2022-01-17,2647.0,2809.0,2647.0,2761.0,16260722282,5888435,1160,2728.0,2752.0
2022-01-18,2830.0,2830.0,2679.0,2750.0,1828201245,677075,158,2761.0,2749.0
2022-01-19,2790.0,2829.0,2668.0,2745.0,3453913664,1263081,238,2750.0,2810.0
2022-01-22,2745.0,2820.0,2745.0,2759.0,3214578507,1152022,234,2745.0,2813.0
2022-01-23,2798.0,2835.0,2761.0,2772.0,4112155683,1472684,289,2759.0,2798.0
2022-01-24,2800.0,2855.0,2800.0,2854.0,14642297609,5130559,996,2772.0,2855.0
2022-01-25,2939.0,2939.0,2769.0,2896.0,12346783106,4264031,860,2854.0,2907.0
2022-01-26,2982.0,2982.0,2982.0,2982.0,11000767974,3689057,745,2896.0,2982.0
2022-01-29,3071.0,3071.0,3071.0,3019.0,4282933298,1394638,275,2982.0,3071.0
2022-01-30,3109.0,3109.0,3109.0,3077.0,6702071300,2155700,439,3019.0,3109.0
2022-01-31,3230.0,3230.0,3150.0,3229.0,16540538070,5122179,838,3077.0,3230.0
2022-02-01,3325.0,3325.0,3229.0,3306.0,20369917476,6160915,1157,3229.0,3325.0
2022-02-02,3404.0,3404.0,3207.0,3274.0,6369671033,1958760,465,3306.0,3300.0
2022-02-05,3372.0,3372.0,3274.0,3307.0,5698035606,1709323,337,3274.0,3275.0
2022-02-06,3275.0,3372.0,3208.0,3287.0,2596118219,803785,167,3307.0,3208.0
2022-02-07,3189.0,3290.0,3189.0,3266.0,2748218917,855522,198,3287.0,3287.0
2022-02-08,3330.0,3363.0,3169.0,3315.0,23842525507,7191509,1425,3266.0,3300.0
2022-02-09,3320.0,3358.0,3216.0,3310.0,1696945901,516442,137,3315.0,3318.0
2022-02-12,3400.0,3400.0,3260.0,3392.0,14223071509,4193338,765,3310.0,3270.0
2022-02-13,3302.0,3374.0,3291.0,3377.0,1571584497,476342,85,3392.0,3291.0
2022-02-14,3276.0,3320.0,3276.0,3366.0,1095296492,334123,77,3377.0,3276.0
2022-02-16,3300.0,3310.0,3266.0,3354.0,1376772330,420154,84,3366.0,3266.0
2022-02-19,3266.0,3266.0,3254.0,3309.0,4501659584,1382437,281,3354.0,3254.0
2022-02-20,3210.0,3310.0,3210.0,3300.0,2609583566,796373,162,3309.0,3298.0
2022-02-21,3201.0,3300.0,3201.0,3257.0,5109424253,1587260,268,3300.0,3242.0
2022-02-22,3160.0,3339.0,3160.0,3250.0,1218773081,380224,95,3257.0,3179.0
2022-02-23,3250.0,3280.0,3153.0,3231.0,2019701704,639265,128,3250.0,3153.0
2022-02-26,3153.0,3199.0,3135.0,3219.0,1261285940,401644,79,3231.0,3135.0
2022-02-27,3123.0,3270.0,3123.0,3190.0,3516968213,1120904,247,3219.0,3123.0
2022-03-08,3080.0,3080.0,2998.0,3089.0,80915030,26885,12,3090.0,2998.0
2022-03-09,2997.0,3181.0,2997.0,3151.0,9719014567,3081203,643,3089.0,3181.0
2022-03-12,3245.0,3245.0,3245.0,3186.0,3838974535,1183043,256,3151.0,3245.0
2022-03-13,3281.0,3281.0,3281.0,3235.0,5374054892,1637932,339,3186.0,3281.0
2022-03-14,3396.0,3396.0,3396.0,3296.0,4051407624,1192994,241,3235.0,3396.0
2022-03-15,3394.0,3394.0,3394.0,3349.0,5788901432,1705628,352,3296.0,3394.0
2022-03-16,3449.0,3449.0,3394.0,3443.0,10297148665,2985779,629,3349.0,3449.0
2022-03-19,3546.0,3546.0,3530.0,3478.0,3550508122,1001327,204,3443.0,3546.0
2022-03-26,3651.0,3651.0,3600.0,3565.0,5597660226,1537780,368,3478.0,3651.0
2022-03-27,3671.0,3671.0,3459.0,3609.0,7680380472,2118868,484,3565.0,3671.0
2022-03-28,0.0,0.0,0.0,3609.0,7680380472,2118868,484,3609.0,3671.0
2022-03-29,3610.0,3717.0,3610.0,3637.0,3336184866,901803,234,3609.0,3717.0
2022-03-30,3746.0,3746.0,3528.0,3636.0,2771041623,762792,213,3637.0,3528.0
2022-04-03,3527.0,3720.0,3527.0,3595.0,6825690245,1908141,472,3636.0,3600.0
2022-04-04,3500.0,3500.0,3488.0,3577.0,1595206505,457241,124,3595.0,3488.0
2022-04-05,3470.0,3684.0,3470.0,3624.0,7467022267,2051481,447,3577.0,3684.0
2022-04-06,3729.0,3729.0,3540.0,3648.0,9712997595,2662074,555,3624.0,3545.0
2022-04-09,3557.0,3757.0,3539.0,3658.0,12324146119,3368907,741,3648.0,3755.0
2022-04-10,3767.0,3767.0,3592.0,3688.0,5156908068,1387189,329,3658.0,3686.0
2022-04-11,3766.0,3798.0,3578.0,3730.0,8308208790,2221236,497,3688.0,3795.0
2022-04-12,3810.0,3840.0,3642.0,3745.0,3102693167,820468,223,3730.0,3732.0
2022-04-13,3800.0,3857.0,3633.0,3812.0,9420699152,2466437,504,3745.0,3857.0
2022-04-16,3923.0,3925.0,3725.0,3909.0,9643730196,2463132,605,3812.0,3923.0
2022-04-17,4026.0,4026.0,3827.0,3916.0,3659339070,931336,236,3909.0,3911.0
2022-04-18,4024.0,4024.0,3799.0,3889.0,12814387528,3295238,781,3916.0,3890.0
2022-04-19,3800.0,3890.0,3773.0,3791.0,8600333761,2277261,528,3889.0,3773.0
2022-04-20,3678.0,3872.0,3678.0,3740.0,9940845205,2658050,628,3791.0,3810.0
2022-04-24,3752.0,3852.0,3660.0,3817.0,9651192993,2525796,590,3740.0,3851.0
2022-04-25,3890.0,3931.0,3890.0,3898.0,7526242097,1915298,444,3817.0,3931.0
2022-04-26,4014.0,4014.0,4012.0,3995.0,8954523662,2230833,522,3898.0,4014.0
2022-04-27,4114.0,4114.0,3910.0,4057.0,8606270868,2112476,518,3995.0,3960.0
2022-04-30,4159.0,4178.0,3936.0,4031.0,37674654196,9345327,2005,4057.0,4178.0
2022-05-01,4151.0,4151.0,4151.0,4151.0,15595406624,3757024,778,4031.0,4151.0
2022-05-02,4275.0,4275.0,4030.0,4259.0,28657747582,6729408,1568,4151.0,4227.0
2022-05-07,4302.0,4302.0,4132.0,4161.0,15054395402,3617972,917,4259.0,4209.0
2022-05-08,4229.0,4285.0,4150.0,4272.0,18385678343,4303601,1100,4161.0,4285.0
2022-05-09,4333.0,4400.0,4333.0,4394.0,14593419778,3321528,834,4272.0,4400.0
2022-05-10,4524.0,4524.0,4265.0,4415.0,13575780840,3075100,746,4394.0,4300.0
2022-05-11,4388.0,4547.0,4283.0,4431.0,31628301883,7137596,1784,4415.0,4546.0
2022-05-14,4563.0,4563.0,4380.0,4510.0,15152407177,3359697,793,4431.0,4403.0
2022-05-15,4628.0,4628.0,4375.0,4400.0,8727039097,1990048,555,4510.0,4375.0
2022-05-16,4268.0,4500.0,4268.0,4303.0,27008414817,6275926,1591,4400.0,4280.0
2022-05-17,4400.0,4432.0,4186.0,4423.0,37278585332,8429157,1954,4303.0,4432.0
2022-05-18,4530.0,4555.0,4530.0,4535.0,8756871825,1922655,514,4423.0,4555.0
2022-05-21,4671.0,4671.0,4671.0,4671.0,12761676468,2732108,628,4535.0,4671.0
2022-05-22,4811.0,4811.0,4811.0,4763.0,7001048987,1455217,334,4671.0,4811.0
2022-05-23,4905.0,4905.0,4621.0,4893.0,44309196452,9056464,1964,4763.0,4905.0
2022-05-24,5039.0,5039.0,5039.0,5039.0,16296120961,3233999,689,4893.0,5039.0
2022-05-25,5190.0,5190.0,5190.0,5070.0,2334524280,449812,123,5039.0,5190.0
2022-05-28,5220.0,5220.0,5000.0,5190.0,53906536880,10386459,2269,5070.0,5220.0
