date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-02-10,5625.0,5625.0,5625.0,5625.0,2812483366875,499997043,1388439,1000.0,5625.0
2020-02-12,5906.0,5906.0,5906.0,5906.0,3581439742,606407,1951,5625.0,5906.0
2020-02-15,6201.0,6201.0,6201.0,6201.0,4693425282,756882,2408,5906.0,6201.0
2020-02-16,6511.0,6511.0,6511.0,6511.0,4916195660,755060,2324,6201.0,6511.0
2020-02-17,6836.0,6836.0,6836.0,6836.0,5781376100,845725,2652,6511.0,6836.0
2020-02-18,7177.0,7177.0,7177.0,7177.0,7698186563,1072619,3471,6836.0,7177.0
2020-02-19,7535.0,7535.0,7535.0,7535.0,159367081005,21150243,5127,7177.0,7535.0
2020-02-22,7911.0,7911.0,7911.0,7911.0,493866215046,62427786,6346,7535.0,7911.0
2020-02-23,8306.0,8306.0,8306.0,8306.0,595108462426,71648021,5999,7911.0,8306.0
2020-02-24,8721.0,8721.0,8721.0,8721.0,7229839815,829015,1849,8306.0,8721.0
2020-02-26,9157.0,9614.0,9157.0,9611.0,765931096706,79692693,21919,8721.0,9614.0
2020-02-29,10091.0,10091.0,9901.0,10090.0,1381712307622,136941399,78939,9611.0,10091.0
2020-03-01,10594.0,10594.0,10594.0,10594.0,1115027017576,105250804,22545,10090.0,10594.0
2020-03-02,11123.0,11123.0,11123.0,10945.0,38384015887,3450869,7517,10594.0,11123.0
2020-03-03,11492.0,11492.0,11492.0,11492.0,1263269178288,109925964,34067,10945.0,11492.0
2020-03-04,12066.0,12066.0,10918.0,12066.0,1528693522470,126694343,53053,11492.0,12066.0
2020-03-07,12050.0,12669.0,11463.0,12281.0,2322462770184,189108250,216469,12066.0,12669.0
2020-03-09,12599.0,12895.0,11667.0,12146.0,1913533570966,157544028,193142,12281.0,12000.0
2020-03-10,12000.0,12200.0,11539.0,11706.0,731527397331,62489836,79384,12146.0,11539.0
2020-03-11,11121.0,11490.0,11121.0,11166.0,753519258946,67482966,65166,11706.0,11121.0
2020-03-14,10608.0,10608.0,10608.0,10806.0,30657395808,2890026,2979,11166.0,10608.0
2020-03-15,10266.0,10266.0,10266.0,10575.0,19631784726,1912311,1471,10806.0,10266.0
2020-03-16,10300.0,11103.0,10047.0,10137.0,752503989517,74235180,65276,10575.0,10300.0
2020-03-17,10225.0,10555.0,9700.0,10036.0,691473750783,68897293,70150,10137.0,9850.0
2020-03-18,9970.0,10420.0,9634.0,10094.0,635380861758,62949006,52434,10036.0,10357.0
2020-03-24,10401.0,10598.0,9916.0,10327.0,393741356293,38127256,30677,10094.0,10598.0
2020-03-25,10843.0,10843.0,10608.0,10840.0,247237200871,22807617,10103,10327.0,10843.0
2020-03-28,11382.0,11382.0,11271.0,11381.0,260878669970,22922254,11179,10840.0,11382.0
2020-03-29,11950.0,11950.0,10901.0,11533.0,762745056319,66137742,38757,11381.0,11175.0
2020-03-30,11240.0,11382.0,10957.0,11030.0,844275199922,76545718,45997,11533.0,10957.0
2020-04-04,11111.0,11450.0,10843.0,11068.0,774340067321,69960057,51586,11030.0,10925.0
2020-04-05,10902.0,10902.0,10515.0,10578.0,759305641779,71783626,54610,11068.0,10526.0
2020-04-06,10350.0,10940.0,10111.0,10615.0,726172403939,68411186,64516,10578.0,10920.0
2020-04-07,11012.0,11145.0,11012.0,11112.0,351765811809,31654979,35967,10615.0,11145.0
2020-04-08,11300.0,11496.0,10890.0,11166.0,681989418393,61077018,49283,11112.0,10974.0
2020-04-11,10855.0,11412.0,10855.0,11219.0,602979345989,53745671,30982,11166.0,11069.0
2020-04-12,11223.0,11779.0,11223.0,11513.0,935378712551,81244127,39511,11219.0,11779.0
2020-04-13,12088.0,12088.0,11600.0,11926.0,731089647632,61304072,26347,11513.0,11930.0
2020-04-14,11555.0,11555.0,11330.0,11386.0,583693571607,51263140,45398,11926.0,11330.0
2020-04-15,11249.0,11900.0,11010.0,11625.0,693410633283,59645753,44801,11386.0,11660.0
2020-04-18,12000.0,12206.0,11720.0,12132.0,553033697240,45585143,21979,11625.0,12206.0
2020-04-19,12580.0,12738.0,11600.0,12486.0,1128848658019,90409068,27196,12132.0,11910.0
2020-04-20,12032.0,13000.0,12032.0,12638.0,676667792584,53542310,23105,12486.0,12485.0
2020-04-21,12635.0,12638.0,12010.0,12223.0,874701262330,71559613,28796,12638.0,12013.0
2020-04-22,12023.0,12700.0,12015.0,12417.0,833976668885,67165272,26653,12223.0,12502.0
2020-04-25,13037.0,13037.0,12990.0,13033.0,435659776056,33426888,10528,12417.0,13037.0
2020-04-26,13684.0,13684.0,12382.0,13413.0,1384839318687,103245065,24100,13033.0,13670.0
2020-04-27,13700.0,14083.0,13200.0,13943.0,738809443514,52987182,18756,13413.0,14083.0
2020-04-28,14450.0,14450.0,13320.0,13840.0,991561135554,71645511,25416,13943.0,13540.0
2020-04-29,13825.0,14500.0,13500.0,14167.0,936055143078,66073891,27989,13840.0,14389.0
2020-05-02,14869.0,14875.0,14600.0,14859.0,376813280191,25359760,9413,14167.0,14875.0
2020-05-03,15601.0,15601.0,15601.0,15601.0,189621434041,12154441,5092,14859.0,15601.0
2020-05-04,15750.0,16180.0,14822.0,15422.0,1097983076448,71195953,27057,15601.0,15330.0
2020-05-05,15960.0,15960.0,14651.0,14918.0,880370444299,59013651,17043,15422.0,14651.0
2020-05-06,14173.0,14744.0,14173.0,14286.0,861040584844,60269742,21758,14918.0,14173.0
2020-05-09,14780.0,15000.0,14551.0,14968.0,502891618967,33597898,13434,14286.0,15000.0
2020-05-10,15560.0,15690.0,14220.0,14750.0,787806441148,53409814,21442,14968.0,14518.0
2020-05-11,14700.0,14700.0,14013.0,14090.0,340058506451,24134201,7902,14750.0,14013.0
2020-05-12,13440.0,14048.0,13386.0,13424.0,631348680753,47030876,14297,14090.0,13386.0
2020-05-13,12955.0,13999.0,12785.0,13259.0,676429710217,51016640,21943,13424.0,12910.0
2020-05-16,13150.0,13823.0,12597.0,12815.0,536194918304,41840129,18696,13259.0,12607.0
2020-05-17,12440.0,13455.0,12357.0,13060.0,484175575593,37073535,17113,12815.0,13455.0
2020-05-18,13713.0,13713.0,13455.0,13701.0,242893360299,17728340,7536,13060.0,13713.0
2020-05-19,14386.0,14386.0,13880.0,14204.0,481631957819,33907007,16224,13701.0,13940.0
2020-05-20,13533.0,14000.0,13494.0,13515.0,469401866309,34732724,15185,14204.0,13505.0
2020-05-23,12901.0,13500.0,12840.0,12897.0,392559052242,30437840,13655,13515.0,12885.0
2020-05-26,12820.0,13100.0,12253.0,12433.0,199123680060,16015413,7644,12897.0,12253.0
2020-05-27,11821.0,12900.0,11821.0,12477.0,220988007416,17711229,11905,12433.0,12600.0
2020-05-30,12989.0,13100.0,12685.0,13040.0,175706311948,13474480,5849,12477.0,13100.0
2020-05-31,13450.0,13450.0,12388.0,12734.0,286333551399,22486111,8676,13040.0,12700.0
2020-06-01,12700.0,13370.0,12511.0,13065.0,342323174952,26202201,10269,12734.0,13370.0
2020-06-02,13519.0,13718.0,13401.0,13675.0,145461854698,10637019,5384,13065.0,13718.0
2020-06-06,14300.0,14358.0,14012.0,14300.0,342846472064,23975047,10068,13675.0,14358.0
2020-06-07,14980.0,15015.0,14400.0,14891.0,554151453172,37214945,12231,14300.0,14550.0
2020-06-08,14220.0,15200.0,14147.0,14543.0,612280542415,42101348,11683,14891.0,14148.0
2020-06-09,14501.0,14900.0,14084.0,14389.0,336302319144,23371539,8268,14543.0,14320.0
2020-06-10,14395.0,15108.0,14395.0,15063.0,330856215798,21964330,6726,14389.0,15108.0
2020-06-13,15816.0,15816.0,15112.0,15791.0,297891692190,18864513,6704,15063.0,15816.0
2020-06-14,16400.0,16400.0,15180.0,15919.0,638535492406,40112304,14343,15791.0,16050.0
2020-06-15,16040.0,16550.0,15440.0,15827.0,534319137016,33759385,12093,15919.0,15670.0
2020-06-16,15650.0,16610.0,15300.0,16208.0,584167248600,36042275,13258,15827.0,16610.0
2020-06-20,16900.0,17018.0,16651.0,16966.0,330720396592,19493530,7231,16208.0,17018.0
2020-06-21,17814.0,17814.0,17311.0,17795.0,441580940474,24815022,6482,16966.0,17814.0
2020-06-22,17980.0,18684.0,17000.0,18233.0,762011997487,41792621,13748,17795.0,18682.0
2020-06-23,19144.0,19144.0,19144.0,19144.0,83904495496,4382809,898,18233.0,19144.0
2020-06-27,20090.0,20101.0,18807.0,20017.0,245635451539,12271303,3424,19144.0,20101.0
2020-06-28,20500.0,20500.0,19017.0,19576.0,1137672664073,58114485,15044,20017.0,19100.0
2020-07-01,20380.0,21399.0,19362.0,20942.0,511730100332,24435007,7782,19076.0,21100.0
2020-07-04,21650.0,21989.0,20070.0,21673.0,1701908054872,78526367,18574,20942.0,21627.0
2020-07-05,21880.0,22756.0,21000.0,22288.0,501083756426,22481881,8610,21673.0,22756.0
2020-07-06,23400.0,23402.0,22925.0,23396.0,590014855887,25219076,7041,22288.0,23402.0
2020-07-07,24290.0,24560.0,22500.0,23846.0,991691414864,41587006,13769,23396.0,23600.0
2020-07-08,23600.0,23600.0,22654.0,22848.0,644465223743,28206775,9855,23846.0,22654.0
2020-07-11,21706.0,22491.0,21706.0,21772.0,859406481232,39472284,9922,22848.0,21707.0
2020-07-12,22655.0,22860.0,21800.0,22706.0,775580933372,34157239,8898,21772.0,22290.0
2020-07-13,21600.0,22500.0,21571.0,21720.0,863753352476,39767250,9577,22706.0,21571.0
2020-07-14,21880.0,22650.0,20634.0,21075.0,1058897767884,50244679,12580,21720.0,20640.0
2020-07-15,20100.0,21436.0,20100.0,20690.0,583038072080,28180159,12015,21075.0,20570.0
2020-07-18,21600.0,21724.0,21000.0,21667.0,312789480451,14435950,5560,20690.0,21724.0
2020-07-19,22750.0,22750.0,22750.0,22750.0,95208545250,4184991,2663,21667.0,22750.0
2020-07-20,23887.0,23887.0,23400.0,23884.0,434002361116,18171517,4551,22750.0,23515.0
2020-07-21,23590.0,24000.0,22690.0,23021.0,771214659385,33500249,11264,23884.0,22690.0
2020-07-22,22120.0,23200.0,21870.0,22031.0,516868338035,23460994,7563,23021.0,21870.0
2020-07-25,22100.0,23132.0,22100.0,22924.0,765111276761,33375929,11432,22031.0,23090.0
2020-07-26,24070.0,24070.0,22570.0,23709.0,980862540572,41370344,12764,22924.0,23650.0
2020-07-27,23400.0,24200.0,22530.0,23520.0,667489400832,28379829,10286,23709.0,24001.0
2020-07-28,24480.0,24696.0,24115.0,24650.0,1167543964242,47364896,8067,23520.0,24470.0
2020-07-29,23800.0,24500.0,23418.0,23797.0,465415334731,19557510,9192,24650.0,23888.0
2020-08-01,24800.0,24986.0,23810.0,24837.0,231485733970,9320047,4338,23797.0,24986.0
2020-08-02,26078.0,26078.0,26078.0,26078.0,170921966202,6554259,3194,24837.0,26078.0
2020-08-03,27200.0,27300.0,26080.0,26853.0,447346321966,16659109,7159,26078.0,26400.0
2020-08-04,27500.0,27500.0,25800.0,26744.0,554364821679,20728719,9360,26853.0,26880.0
2020-08-05,26800.0,26820.0,25420.0,26140.0,550024545076,21041504,9349,26744.0,26250.0
2020-08-09,26810.0,27447.0,26800.0,27422.0,1066898043170,38906589,7800,26140.0,27447.0
2020-08-10,27730.0,27730.0,26051.0,26504.0,425506159030,16054200,5246,27422.0,26051.0
2020-08-11,25179.0,25250.0,25179.0,25179.0,135561412842,5383811,1564,26504.0,25179.0
2020-08-12,25179.0,26000.0,23921.0,24152.0,544891923479,22560892,5970,25179.0,23921.0
2020-08-15,23080.0,24150.0,22945.0,23002.0,133943275483,5823221,1549,24152.0,22945.0
2020-08-16,21852.0,21852.0,21852.0,22505.0,37762157124,1728087,446,23002.0,21852.0
2020-08-17,21380.0,21999.0,21380.0,21387.0,458200906096,21423958,4385,22505.0,21380.0
2020-08-18,22440.0,22456.0,20530.0,21863.0,435874746086,19937009,6710,21387.0,20530.0
2020-08-19,20770.0,20770.0,20770.0,21352.0,38876475970,1871761,679,21863.0,20770.0
2020-08-22,20830.0,21940.0,20285.0,20430.0,229290447906,11223435,2803,21352.0,20285.0
2020-08-23,19409.0,19991.0,19409.0,19435.0,76918513668,3959738,1102,20430.0,19409.0
2020-08-24,18464.0,18646.0,18464.0,18464.0,197944849806,10720316,1240,19435.0,18464.0
2020-08-25,18100.0,19387.0,17800.0,19024.0,312484409672,16425581,3614,18464.0,19387.0
