date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-02-09,100000.0,100000.0,100000.0,100000.0,1400000000,14000,10,100000.0,100000.0
2020-02-10,100000.0,100000.0,100000.0,100000.0,8600000000,86000,15,100000.0,100000.0
2020-02-12,100000.0,100000.0,100000.0,100000.0,5000000000,50000,18,100000.0,100000.0
2020-08-16,100000.0,100000.0,100000.0,100000.0,4600000000,46000,14,100000.0,100000.0
2020-08-17,100010.0,110000.0,100010.0,109907.0,11979810000,109000,38,100000.0,110000.0
2020-08-18,120897.0,120897.0,120897.0,120897.0,3868704000,32000,19,109907.0,120897.0
2020-08-19,132986.0,132986.0,132986.0,132986.0,638332800,4800,3,120897.0,132986.0
2020-08-23,146284.0,146284.0,146284.0,146284.0,146284000,1000,1,132986.0,146284.0
2020-08-31,160912.0,160912.0,160912.0,160912.0,12058745280,74940,21,146284.0,160912.0
2020-09-06,177003.0,177003.0,177003.0,177003.0,1911632400,10800,8,160912.0,177003.0
2020-09-08,194703.0,194703.0,194000.0,194671.0,23681694050,121650,51,177003.0,194703.0
2020-09-15,214138.0,214138.0,214138.0,214138.0,4582553200,21400,11,194671.0,214138.0
2020-11-11,214137.0,214137.0,214137.0,214137.0,214137000,1000,1,214138.0,214137.0
2020-12-09,120000.0,160000.0,120000.0,140000.0,2247000000,16050,7,214137.0,160000.0
2020-12-16,145001.0,150000.0,145000.0,148711.0,1154001000,7760,4,140000.0,150000.0
2020-12-19,143000.0,143000.0,141000.0,141287.0,1055414200,7470,8,148711.0,141000.0
2020-12-20,130000.0,130000.0,125000.0,125464.0,3875589000,30890,8,141287.0,125100.0
2020-12-21,126020.0,126020.0,126000.0,126011.0,340230000,2700,3,125464.0,126000.0
2020-12-29,128720.0,128800.0,128720.0,128776.0,643881000,5000,3,126011.0,128800.0
2020-12-30,130001.0,130001.0,130001.0,130001.0,260002000,2000,1,128776.0,130001.0
2021-01-02,130101.0,130101.0,130101.0,130101.0,260202000,2000,1,130001.0,130101.0
2021-01-04,130101.0,130101.0,130000.0,130092.0,1431010000,11000,11,130101.0,130000.0
2021-01-09,135000.0,135000.0,130000.0,132381.0,556000000,4200,3,130092.0,135000.0
2021-01-11,130000.0,130000.0,130000.0,130000.0,390000000,3000,3,132381.0,130000.0
2021-01-13,131000.0,131000.0,131000.0,131000.0,131000000,1000,1,130000.0,131000.0
2021-01-16,130000.0,130000.0,130000.0,130000.0,780000000,6000,2,131000.0,130000.0
2021-01-19,132500.0,133050.0,132500.0,132721.0,796327000,6000,5,130000.0,132500.0
2021-01-23,130000.0,130000.0,130000.0,130000.0,130000000,1000,1,132721.0,130000.0
2021-01-24,130000.0,130000.0,125001.0,126668.0,380003000,3000,3,130000.0,125001.0
2021-01-31,126668.0,126668.0,125011.0,125909.0,302180500,2400,3,126668.0,125011.0
2021-02-01,125011.0,125011.0,125011.0,125011.0,237520900,1900,1,125909.0,125011.0
2021-03-10,120011.0,125011.0,120011.0,122511.0,245022000,2000,2,125011.0,125011.0
2021-04-12,124000.0,124000.0,124000.0,124000.0,124000000,1000,1,122511.0,124000.0
2021-04-14,136400.0,136400.0,124000.0,127784.0,557140000,4360,4,124000.0,126000.0
2021-11-28,420000.0,420000.0,410000.0,413333.0,1240000000,3000,2,427784.0,410000.0
2021-11-30,410000.0,410000.0,410000.0,410000.0,410000000,1000,1,413333.0,410000.0
2021-12-20,425000.0,451000.0,425000.0,448634.0,13082160000,29160,10,410000.0,451000.0
2022-01-01,440000.0,440000.0,440000.0,440000.0,880000000,2000,2,448634.0,440000.0
2022-01-02,450000.0,450000.0,450000.0,450000.0,450000000,1000,1,440000.0,450000.0
2022-01-05,430000.0,430000.0,430000.0,430000.0,430000000,1000,1,450000.0,430000.0
2022-01-16,425000.0,425000.0,425000.0,425000.0,1275000000,3000,4,430000.0,425000.0
2022-01-19,422000.0,422000.0,422000.0,422000.0,844000000,2000,1,425000.0,422000.0
2022-01-23,435000.0,435000.0,435000.0,435000.0,435000000,1000,1,422000.0,435000.0
2022-01-24,435000.0,435000.0,435000.0,435000.0,8700000000,20000,1,435000.0,435000.0
2022-01-30,433000.0,433000.0,423000.0,431475.0,1018280000,2360,3,435000.0,423000.0
2022-01-31,430000.0,430000.0,423000.0,427268.0,700720000,1640,2,431475.0,423000.0
2022-02-08,425000.0,425000.0,425000.0,425000.0,425000000,1000,1,427268.0,425000.0
2022-02-09,420000.0,420000.0,400000.0,403687.0,6055300000,15000,6,425000.0,400000.0
2022-02-13,390000.0,390000.0,365000.0,373750.0,2990000000,8000,5,403687.0,365000.0
2022-02-14,380000.0,400000.0,350000.0,368333.0,2210000000,6000,5,373750.0,400000.0
2022-02-16,385000.0,385000.0,385000.0,385000.0,385000000,1000,1,368333.0,385000.0
2022-03-07,385000.0,385000.0,385000.0,385000.0,385000000,1000,1,385000.0,385000.0
2022-03-09,395000.0,395000.0,395000.0,395000.0,395000000,1000,1,385000.0,395000.0
2022-03-13,405000.0,405000.0,405000.0,405000.0,405000000,1000,1,395000.0,405000.0
2022-03-14,412500.0,420000.0,412500.0,416250.0,832500000,2000,2,405000.0,420000.0
2022-03-27,425000.0,435000.0,425000.0,430000.0,860000000,2000,2,416250.0,435000.0
2022-03-28,0.0,0.0,0.0,430000.0,860000000,2000,2,430000.0,435000.0
2022-04-03,435000.0,460000.0,435000.0,447917.0,2687500000,6000,6,430000.0,435000.0
2022-04-06,450000.0,460000.0,450000.0,455000.0,910000000,2000,2,447917.0,460000.0
2022-04-11,450000.0,450000.0,450000.0,450000.0,450000000,1000,1,455000.0,450000.0
2022-04-13,445000.0,445000.0,445000.0,445000.0,445000000,1000,1,450000.0,445000.0
2022-04-17,450000.0,450000.0,450000.0,450000.0,900000000,2000,2,445000.0,450000.0
2022-04-19,445000.0,445000.0,415000.0,427000.0,2135000000,5000,5,450000.0,415000.0
2022-04-24,422500.0,422500.0,422500.0,422500.0,422500000,1000,1,427000.0,422500.0
2022-04-30,417500.0,417500.0,417500.0,417500.0,417500000,1000,1,422500.0,417500.0
2022-05-11,412500.0,412500.0,412500.0,412500.0,412500000,1000,1,417500.0,412500.0
2022-05-17,407500.0,420000.0,400000.0,418259.0,7808900000,18670,3,412500.0,400000.0
2022-06-06,412500.0,412500.0,412500.0,412500.0,412500000,1000,1,418259.0,412500.0
2022-06-11,407500.0,407500.0,395000.0,398437.0,3187500000,8000,4,412500.0,400000.0
2022-06-12,392500.0,392500.0,392500.0,392500.0,392500000,1000,1,398437.0,392500.0
2022-06-22,389000.0,389000.0,389000.0,389000.0,389000000,1000,1,392500.0,389000.0
2022-06-27,385000.0,385000.0,385000.0,385000.0,385000000,1000,1,389000.0,385000.0
2022-07-31,382500.0,382500.0,382500.0,382500.0,382500000,1000,1,385000.0,382500.0
2022-08-16,382500.0,382500.0,382500.0,382500.0,1912500000,5000,1,382500.0,382500.0
2022-09-04,380000.0,380000.0,380000.0,380000.0,380000000,1000,1,382500.0,380000.0
2022-09-07,389000.0,389000.0,373000.0,380857.0,1066400000,2800,3,380000.0,373000.0
2022-09-19,389000.0,389000.0,389000.0,389000.0,389000000,1000,1,380857.0,389000.0
2022-09-20,379000.0,379000.0,379000.0,379000.0,379000000,1000,1,389000.0,379000.0
2022-09-24,373100.0,373100.0,373100.0,373100.0,373100000,1000,1,379000.0,373100.0
2022-09-26,370000.0,370000.0,365000.0,367500.0,735000000,2000,2,373100.0,365000.0
2022-10-01,370000.0,370000.0,370000.0,370000.0,370000000,1000,1,367500.0,370000.0
2022-10-02,365000.0,365000.0,365000.0,365000.0,365000000,1000,1,370000.0,365000.0
2022-10-03,362500.0,362500.0,360000.0,361250.0,722500000,2000,2,365000.0,360000.0
2022-10-04,360000.0,360000.0,360000.0,360000.0,360000000,1000,1,361250.0,360000.0
2022-10-16,355000.0,355000.0,355000.0,355000.0,355000000,1000,1,360000.0,355000.0
2022-10-19,349000.0,349000.0,349000.0,349000.0,349000000,1000,1,355000.0,349000.0
2022-10-22,352000.0,360000.0,352000.0,356000.0,712000000,2000,2,349000.0,360000.0
2022-10-30,352000.0,352000.0,352000.0,352000.0,352000000,1000,1,356000.0,352000.0
