date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-06-11,1840.0,1840.0,1840.0,1840.0,7286389721760,3959994414,2186624,1000.0,1840.0
2023-06-12,1932.0,1932.0,1932.0,1932.0,30593621856,15835208,1903,1840.0,1932.0
2023-06-13,2028.0,2028.0,2028.0,2028.0,31586838192,15575364,1670,1932.0,2028.0
2023-06-14,2129.0,2129.0,2129.0,2129.0,35241181583,16552927,2198,2028.0,2129.0
2023-06-17,2235.0,2235.0,2235.0,2235.0,46123560900,20636940,4559,2129.0,2235.0
2023-06-18,2346.0,2346.0,2346.0,2346.0,55751029032,23764292,6336,2235.0,2346.0
2023-06-19,2463.0,2463.0,2463.0,2463.0,530480856258,215379966,33142,2346.0,2463.0
2023-06-20,2586.0,2586.0,2586.0,2586.0,536788055244,207574654,24444,2463.0,2586.0
2023-06-21,2715.0,2715.0,2715.0,2715.0,1079231792790,397507106,111063,2586.0,2715.0
2023-06-24,2716.0,2788.0,2580.0,2698.0,5455504250292,2022371821,621222,2715.0,2695.0
2023-06-25,2723.0,2723.0,2564.0,2593.0,2016439999129,777793581,242400,2698.0,2565.0
2023-06-26,2564.0,2719.0,2505.0,2632.0,1603031019034,609138320,152277,2593.0,2629.0
2023-06-27,2649.0,2668.0,2501.0,2538.0,982608601747,387161452,80668,2632.0,2511.0
2023-06-28,2481.0,2532.0,2436.0,2479.0,580987293236,234396802,57183,2538.0,2506.0
2023-07-01,2506.0,2539.0,2473.0,2500.0,392691641046,157061905,36024,2479.0,2478.0
2023-07-02,2481.0,2540.0,2464.0,2496.0,498135400467,199592289,40743,2500.0,2475.0
2023-07-03,2481.0,2509.0,2415.0,2436.0,652860241906,268018600,59392,2496.0,2423.0
2023-07-04,2421.0,2448.0,2384.0,2414.0,566083208757,234523046,52775,2436.0,2424.0
2023-07-05,2442.0,2534.0,2410.0,2506.0,628300047875,250701430,28168,2414.0,2534.0
2023-07-08,2630.0,2630.0,2534.0,2591.0,865997095218,334190618,28375,2506.0,2546.0
2023-07-09,2541.0,2570.0,2462.0,2484.0,499874983019,201243980,24890,2591.0,2475.0
2023-07-10,2440.0,2529.0,2360.0,2400.0,395843636108,164939863,19201,2484.0,2376.0
2023-07-11,2389.0,2450.0,2281.0,2359.0,362424098880,153638661,16264,2400.0,2355.0
2023-07-12,2380.0,2417.0,2252.0,2305.0,310227630458,134615522,16074,2359.0,2307.0
2023-07-15,2340.0,2361.0,2234.0,2286.0,219167497034,95873804,13858,2305.0,2247.0
2023-07-16,2251.0,2269.0,2172.0,2178.0,336650630939,154556678,13579,2286.0,2172.0
2023-07-17,2145.0,2160.0,2070.0,2081.0,325120909468,156209049,14276,2178.0,2100.0
2023-07-18,2141.0,2185.0,2130.0,2176.0,254928773159,117176985,9876,2081.0,2185.0
2023-07-19,2201.0,2275.0,2101.0,2196.0,242288503187,110310177,17099,2176.0,2120.0
2023-07-22,2115.0,2130.0,2087.0,2090.0,259860317738,124340664,9513,2196.0,2087.0
2023-07-23,2080.0,2157.0,2040.0,2108.0,102530594145,48645933,7479,2090.0,2090.0
2023-07-24,2131.0,2181.0,2113.0,2137.0,89701461802,41970434,6348,2108.0,2126.0
2023-07-25,2126.0,2220.0,2122.0,2158.0,150882288820,69903170,7098,2137.0,2132.0
2023-07-26,2090.0,2140.0,2085.0,2111.0,149278243994,70713516,7109,2158.0,2122.0
2023-07-29,2129.0,2144.0,2073.0,2095.0,108949760237,52010463,6620,2111.0,2086.0
2023-07-30,2079.0,2094.0,1999.0,2021.0,195400249506,96680703,8801,2095.0,2013.0
2023-07-31,2035.0,2065.0,2021.0,2037.0,92596288436,45457896,6204,2021.0,2053.0
2023-08-01,2060.0,2105.0,2045.0,2069.0,124773820265,60300467,7236,2037.0,2089.0
2023-08-05,2101.0,2160.0,2081.0,2120.0,118796918313,56046827,7276,2069.0,2116.0
2023-08-06,2101.0,2120.0,2068.0,2082.0,137075869073,65825361,7233,2120.0,2076.0
2023-08-07,2073.0,2105.0,2050.0,2074.0,150260844520,72434526,13080,2082.0,2058.0
2023-08-08,2070.0,2070.0,2030.0,2043.0,101226043801,49544170,5745,2074.0,2040.0
2023-08-09,2040.0,2145.0,2036.0,2122.0,348664430807,164345592,9298,2043.0,2145.0
2023-08-12,2145.0,2218.0,2051.0,2162.0,508556311370,235250508,12905,2122.0,2150.0
2023-08-13,2161.0,2220.0,2126.0,2170.0,216202014609,99613934,7915,2162.0,2139.0
2023-08-14,2145.0,2205.0,2100.0,2134.0,218866172041,102569711,8725,2170.0,2108.0
2023-08-15,2098.0,2126.0,2051.0,2072.0,134956033938,65133457,8459,2134.0,2060.0
2023-08-16,2088.0,2101.0,2035.0,2052.0,150482812709,73334955,20530,2072.0,2047.0
2023-08-19,2040.0,2072.0,1990.0,2014.0,154766171993,76850938,7535,2052.0,2000.0
2023-08-20,2001.0,2053.0,2001.0,2028.0,91447810540,45097027,5110,2014.0,2024.0
2023-08-21,2031.0,2065.0,1989.0,2014.0,129994375898,64546509,6365,2028.0,1990.0
2023-08-22,2000.0,2042.0,1970.0,1995.0,178820909993,89636070,5963,2014.0,1977.0
2023-08-23,2010.0,2060.0,2004.0,2026.0,85760173162,42328255,5069,1995.0,2055.0
2023-08-26,2077.0,2100.0,2057.0,2079.0,121644474409,58502213,5140,2026.0,2068.0
2023-08-27,2079.0,2131.0,2060.0,2093.0,239799101078,114573099,8341,2079.0,2076.0
