date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-09,15458.0,15458.0,15458.0,15458.0,59987087700,3880650,1956,1000.0,15458.0
2021-08-10,15921.0,15921.0,15921.0,15844.0,8586879903,539343,365,15458.0,15921.0
2021-08-11,16319.0,16319.0,16319.0,16319.0,11222200963,687677,644,15844.0,16319.0
2021-08-14,16808.0,16808.0,16808.0,16358.0,819356384,48748,50,16319.0,16808.0
2021-08-15,17175.0,17175.0,17175.0,17173.0,10497909600,611232,541,16358.0,17175.0
2021-08-22,17688.0,17688.0,17688.0,17593.0,8400438024,474923,477,17173.0,17688.0
2021-08-23,18120.0,18120.0,18120.0,18120.0,10821264000,597200,607,17593.0,18120.0
2021-08-24,18663.0,18663.0,18663.0,18663.0,25006647015,1339905,979,18120.0,18663.0
2021-09-07,5058.0,5058.0,5058.0,4913.0,113501520,22440,7,4911.0,5058.0
2021-09-08,5060.0,5060.0,5060.0,4921.0,535494740,105829,36,4913.0,5060.0
2021-09-11,5068.0,5068.0,5068.0,4974.0,3680761700,726275,152,4921.0,5068.0
2021-09-12,5222.0,5222.0,5222.0,5212.0,10203861108,1954014,308,4974.0,5222.0
2021-09-13,5368.0,5368.0,5368.0,5219.0,479899200,89400,20,5212.0,5368.0
2021-09-14,5375.0,5375.0,5375.0,5225.0,424474500,78972,17,5219.0,5375.0
2021-09-15,5381.0,5381.0,5381.0,5249.0,1673372618,310978,70,5225.0,5381.0
2021-09-18,5511.0,5511.0,5511.0,5366.0,4675256850,848350,179,5249.0,5511.0
2021-09-19,5526.0,5526.0,5526.0,5366.0,5575734,1009,1,5366.0,5526.0
2021-10-04,5526.0,5526.0,5526.0,5490.0,7984495296,1444896,213,5366.0,5526.0
2021-10-06,5654.0,5654.0,5326.0,5652.0,98858077373,17491013,3469,5490.0,5654.0
2021-10-09,5600.0,5821.0,5483.0,5722.0,126041431988,22028227,4710,5652.0,5821.0
2021-10-10,5893.0,5893.0,5770.0,5892.0,39591978722,6720013,1455,5722.0,5893.0
2021-10-11,6130.0,6186.0,6010.0,6172.0,24977103258,4047148,854,5892.0,6186.0
2021-10-12,6357.0,6357.0,6005.0,6327.0,67903171629,10733058,2210,6172.0,6357.0
2021-10-13,6510.0,6516.0,6410.0,6512.0,21157940305,3249042,781,6327.0,6516.0
2021-10-16,6707.0,6707.0,6707.0,6707.0,10305157946,1536478,301,6512.0,6707.0
2021-10-17,7042.0,7042.0,7042.0,7042.0,15862759906,2252593,356,6707.0,7042.0
2021-10-18,7253.0,7253.0,7253.0,7253.0,14083875400,1941800,265,7042.0,7253.0
2021-10-19,7470.0,7470.0,7250.0,7463.0,69320475084,9288675,1636,7253.0,7470.0
2021-10-20,7686.0,7686.0,7686.0,7686.0,14020724340,1824190,280,7463.0,7686.0
2021-10-23,7900.0,8070.0,7761.0,7999.0,107039824352,13381821,2556,7686.0,8070.0
