date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-01,108100.0,108367.0,108100.0,108193.0,16120783,149,4,108106.0,108367.0
2021-08-02,110000.0,110600.0,107500.0,109575.0,11659396718,106406,26,108193.0,110600.0
2021-08-03,109317.0,111800.0,109317.0,111134.0,1524975210,13722,33,109575.0,111800.0
2021-08-04,111028.0,115480.0,107800.0,111167.0,6964188924,62646,48,111134.0,115480.0
2021-08-07,115480.0,115510.0,114800.0,115375.0,1950867980,16909,52,111167.0,115510.0
2021-08-08,114590.0,116049.0,111620.0,114388.0,1539211698,13456,30,115375.0,115000.0
2021-08-09,111500.0,116700.0,111500.0,114799.0,2745885285,23919,31,114388.0,115999.0
2021-08-10,116700.0,116949.0,115250.0,116480.0,557355300,4785,27,114799.0,116900.0
2021-08-11,117866.0,121750.0,117866.0,120243.0,620092834,5157,28,116480.0,121750.0
2021-08-14,122200.0,122200.0,117900.0,119775.0,1288779930,10760,56,120243.0,121100.0
2021-08-15,120500.0,121000.0,118110.0,119614.0,576659924,4821,35,119775.0,119998.0
2021-08-22,120400.0,124000.0,120400.0,121902.0,1126862600,9244,37,119614.0,121900.0
2021-08-23,122400.0,122750.0,120610.0,121510.0,2034312502,16742,36,121902.0,122000.0
2021-08-24,123300.0,126100.0,123300.0,124597.0,1261418360,10124,36,121510.0,125150.0
2021-08-25,128000.0,128650.0,125000.0,127381.0,1972233800,15483,43,124597.0,127600.0
2021-08-28,129000.0,130850.0,129000.0,129690.0,1759764650,13569,61,127381.0,130750.0
2021-08-29,131750.0,132300.0,125050.0,130355.0,3660372415,28080,77,129690.0,125060.0
2021-08-30,127150.0,127150.0,121300.0,122927.0,2617857960,21296,61,130355.0,122510.0
2021-08-31,120500.0,124800.0,119350.0,120997.0,5126166850,42366,46,122927.0,122000.0
2021-09-01,121450.0,124470.0,120300.0,121636.0,2656282206,21838,44,120997.0,124470.0
2021-09-04,124879.0,124999.0,122850.0,122913.0,10735354674,87341,39,121636.0,122850.0
2021-09-05,123000.0,123000.0,121500.0,122230.0,1032354900,8446,19,122913.0,123000.0
2021-09-06,122800.0,124500.0,120000.0,122415.0,973322778,7951,32,122230.0,120000.0
2021-09-07,119790.0,121729.0,119000.0,121297.0,193954214,1599,17,122415.0,121729.0
2021-09-08,119600.0,121800.0,119600.0,121056.0,266322900,2200,14,121297.0,121800.0
2021-09-11,124400.0,124400.0,120500.0,121581.0,236595681,1946,15,121056.0,121000.0
2021-09-12,120000.0,120000.0,116350.0,119320.0,99274600,832,11,121581.0,119200.0
2021-09-13,119600.0,121000.0,115200.0,117115.0,301569870,2575,14,119320.0,118690.0
2021-09-14,120000.0,120700.0,118600.0,119682.0,216265300,1807,14,117115.0,120000.0
2021-09-15,120300.0,120300.0,116800.0,117092.0,2017371008,17229,21,119682.0,117500.0
2021-09-18,117250.0,118290.0,113101.0,114933.0,1534008745,13347,21,117092.0,113200.0
2021-09-19,115000.0,115200.0,111400.0,113122.0,1191961729,10537,19,114933.0,113100.0
2021-09-20,113530.0,114100.0,111950.0,113272.0,982521680,8674,21,113122.0,113600.0
2021-09-21,113300.0,113300.0,109000.0,111046.0,1967062426,17714,29,113272.0,109700.0
2021-09-22,110050.0,111450.0,109700.0,110573.0,905482500,8189,19,111046.0,111440.0
2021-09-25,111500.0,113700.0,111500.0,112794.0,975439920,8648,25,110573.0,113690.0
2021-09-26,114500.0,114790.0,111850.0,113371.0,603247449,5321,19,112794.0,113700.0
2021-09-28,114000.0,115200.0,112371.0,113549.0,820051287,7222,27,113371.0,113501.0
2021-09-29,114489.0,115390.0,113801.0,114338.0,1015432227,8881,25,113549.0,115390.0
2021-10-02,116400.0,117900.0,115150.0,116764.0,1150477300,9853,33,114338.0,115801.0
2021-10-03,117990.0,117990.0,115300.0,117038.0,484304850,4138,23,116764.0,116330.0
