date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-12-12,500.0,500.0,500.0,500.0,360000000000,720000000,9920,1000.0,500.0
2023-03-15,1400.0,1400.0,1400.0,1400.0,159352972800,113823552,7859,1000.0,1400.0
2023-03-18,1442.0,1442.0,1442.0,1442.0,22794469796,15807538,278,1400.0,1442.0
2023-03-19,1485.0,1485.0,1485.0,1445.0,1303681500,877900,28,1442.0,1485.0
2023-03-25,1488.0,1488.0,1488.0,1450.0,2176762464,1462878,52,1445.0,1488.0
2023-03-26,1493.0,1493.0,1493.0,1453.0,1294431000,867000,28,1450.0,1493.0
2023-03-27,1496.0,1496.0,1496.0,1458.0,2214000712,1479947,53,1453.0,1496.0
2023-03-28,1501.0,1501.0,1501.0,1462.0,2058879672,1371672,38,1458.0,1501.0
2023-03-29,1505.0,1505.0,1505.0,1487.0,12108623485,8045597,182,1462.0,1505.0
2023-04-03,1531.0,1531.0,1531.0,1489.0,876130060,572260,21,1487.0,1531.0
2023-04-04,1533.0,1533.0,1533.0,1493.0,1688039955,1101135,31,1489.0,1533.0
2023-04-05,1537.0,1537.0,1537.0,1497.0,1734404595,1128435,38,1493.0,1537.0
2023-04-08,1541.0,1541.0,1541.0,1502.0,2549932766,1654726,49,1497.0,1541.0
2023-04-09,1547.0,1547.0,1547.0,1507.0,2257846500,1459500,39,1502.0,1547.0
2023-04-10,1552.0,1552.0,1552.0,1508.0,302640000,195000,6,1507.0,1552.0
2023-04-11,1553.0,1553.0,1553.0,1510.0,1061696026,683642,23,1508.0,1553.0
2023-04-15,1555.0,1555.0,1555.0,1514.0,1710500000,1100000,32,1510.0,1555.0
2023-04-16,1559.0,1559.0,1559.0,1519.0,2149672361,1378879,36,1514.0,1559.0
2023-04-17,1564.0,1564.0,1564.0,1523.0,1616655188,1033667,27,1519.0,1564.0
2023-04-18,1568.0,1568.0,1568.0,1527.0,1620606400,1033550,32,1523.0,1568.0
2023-04-19,1572.0,1572.0,1572.0,1530.0,1288664292,819761,23,1527.0,1572.0
2023-04-24,1575.0,1575.0,1575.0,1532.0,951248025,603967,19,1530.0,1575.0
2023-04-25,1577.0,1577.0,1577.0,1577.0,947699727,600951,16,1532.0,1577.0
2023-04-26,1624.0,1624.0,1624.0,1624.0,657994456,405169,11,1577.0,1624.0
2023-05-01,1672.0,1672.0,1672.0,1672.0,1170400000,700000,19,1624.0,1672.0
2023-05-03,1722.0,1722.0,1722.0,1722.0,1970629248,1144384,25,1672.0,1722.0
2023-05-07,1773.0,1773.0,1773.0,1773.0,1874750697,1057389,48,1722.0,1773.0
2023-05-08,1826.0,1826.0,1826.0,1826.0,3638860104,1992804,81,1773.0,1826.0
2023-05-09,1880.0,1880.0,1880.0,1880.0,2131145440,1133588,31,1826.0,1880.0
2023-05-10,1936.0,1936.0,1936.0,1936.0,1937963104,1001014,31,1880.0,1936.0
2023-05-13,1994.0,1994.0,1994.0,1994.0,3381349428,1695762,47,1936.0,1994.0
